id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en6301ea1cf28f477a974e7cb126420d26-10,en6301ea1cf28f477a974e7cb126420d26,en,46、INT. DINING HALL - NIGHT ; 20、INT. DISPENSARY - DAY,What decision by Dr. Larch leads to Homer witnessing him in the dispensary?,Dr. Larch decides to handle the delivery himself after Homer refuses,"After Homer declines to assist with a patient delivery, Dr. Larch expresses quiet disappointment and takes over the procedure alone, stepping away from the projector as Homer stays behind. This moment sets the stage for Homer later observing Dr. Larch in the dispensary, where he finds him sedated on the ether-bed, reflecting the emotional and procedural weight Larch continues to carry alone.",Causal-Motivational Reasoning
legacy-en6301ea1cf28f477a974e7cb126420d26-12,en6301ea1cf28f477a974e7cb126420d26,en,20、INT. DISPENSARY - DAY ; 4、INT./EXT. ORPHANAGE - DAY,What moment directly precedes and motivates the farewell scene between Homer and the staff at the orphanage?,Homer enters the room and observes Dr. Larch uneasily,"Homer enters the dispensary where Dr. Larch lies on the ether-bed, the cone over his face, a bottle of ether in his hand. The room is lined with glass-encased medical cabinets and old photographs of St. Cloud's. A record turns on the phonograph. Larch dozes, the cone slips from his face, and he stirs, replacing it and dripping more ether onto the gauze. Homer stands still, watching. After a moment, he turns and walks back into the corridor. This quiet, tense observation precedes the scene in which Larch and the nurses gather at the front door to bid Homer goodbye as he departs the orphanage.",Causal-Motivational Reasoning
legacy-en6301ea1cf28f477a974e7cb126420d26-13,en6301ea1cf28f477a974e7cb126420d26,en,16、INT. DELIVERY ROOM - DAY ; 44、INT. HOSPITAL ROOM - NIGHT,"What event directly enables the moment when the pregnant woman presses Homer's head to her belly, with Dr. Larch observing?",Dr. Larch examines the pregnant woman and has Homer feel the fetus move,"During an examination in the delivery room, Dr. Larch invites Homer to place his hand on the pregnant woman's abdomen so he can experience the sensation of the fetus moving inside her. This physical and emotional introduction to fetal life establishes a connection between Homer and the woman, which resurfaces later when she, in a moment of distress, pulls Homer toward her and presses his head to her belly while Dr. Larch silently watches from the doorway.",Causal-Motivational Reasoning
legacy-en6301ea1cf28f477a974e7cb126420d26-14,en6301ea1cf28f477a974e7cb126420d26,en,27、INT. DINING HALL - AFTERNOON ; 183、EXT. ORPHANAGE - EARLY MORNING,How does Buster's relationship with Homer Wells evolve from their initial interaction through later scenes at the orphanage?,Buster remains a loyal and supportive ally to Homer throughout the sequence.,"From the dining hall onward, Buster consistently demonstrates alignment with Homer, offering help and following him despite being ignored. Their bond is reinforced through shared experiences among the orphans, intimate conversations at the train station, and mutual expressions of gratitude during their journey. In the final scene at the orphanage, Buster's immediate movement toward Homer confirms the persistence of this supportive connection, reflecting an enduring alliance rooted in trust and camaraderie.",Role-Relation Continuity
legacy-en6301ea1cf28f477a974e7cb126420d26-15,en6301ea1cf28f477a974e7cb126420d26,en,"9、EXT. HILL, ST. CLOUD'S - DAY ; 15、INT. LARCH'S OFFICE - DAY ; 4、INT./EXT. ORPHANAGE - DAY",What pivotal event sets in motion Larch's efforts to integrate Homer into the life of St. Cloud's and secure his future there?,Larch Carries Homer to St. Cloud's,"In the early morning light on a hillside near the orphanage, Dr. Larch finds Homer after rescuing him from an abusive foster home and carries him back to St. Cloud's, marking the moment when Larch assumes full responsibility for Homer's upbringing and begins shaping his role within the institution. This act initiates a series of deliberate steps to train, instruct, and emotionally bind Homer to the orphanage and its mission. [9、EXT. HILL, ST. CLOUD'S - DAY]",Narrative Progression
legacy-en6301ea1cf28f477a974e7cb126420d26-16,en6301ea1cf28f477a974e7cb126420d26,en,21、INT. CORRIDOR - DAY ; 44、INT. HOSPITAL ROOM - NIGHT ; 23、INT. CORRIDOR - DAY,What pivotal event sets in motion the confrontation between Homer and Dr. Larch regarding medical responsibility and patient care?,Homer Searches for Dr. Larch,"Homer's search for Dr. Larch initiates a chain of critical interactions, including a tense moment with a patient, a moral dispute over abortion, and their joint response to incoming medical cases, marking a shift in Homer's engagement with the clinic's ethical burdens [23、INT. CORRIDOR - DAY].",Narrative Progression
legacy-en6301ea1cf28f477a974e7cb126420d26-17,en6301ea1cf28f477a974e7cb126420d26,en,22、INT. DISPENSARY - DAY ; 18、INT. DELIVERY ROOM - DAY ; 25、INT. DELIVERY ROOM - DAY,"What pivotal event sets in motion the sequence where Homer assists in a delivery, Larch examines the newborn and sends Homer to Dorothy, and Larch assumes control during the birth?",Larch and Homer Respond to New Patients,"The arrival of new patients prompts Larch and Homer to shift from routine duties to active medical intervention, initiating a cascade of events centered on a critical delivery. This moment marks the transition from preparation to real-world application, directly leading to Homer's involvement in the delivery room, Larch's assessment of the infant, and the subsequent assignment of Homer to attend to Dorothy. [22、INT. DISPENSARY - DAY]",Narrative Progression
legacy-en6301ea1cf28f477a974e7cb126420d26-18,en6301ea1cf28f477a974e7cb126420d26,en,23、INT. CORRIDOR - DAY ; 22、INT. DISPENSARY - DAY ; 46、INT. DINING HALL - NIGHT,What pivotal event shifts the narrative toward Homer's growing conflict with medical responsibility and his eventual withdrawal from assisting in procedures?,Homer and Larch Argue Over Abortion and Duty,"In the corridor during the day, Homer and Larch confront each other over the moral and professional implications of performing abortions, marking a critical divergence in their values. This confrontation sets in motion Homer’s increasing reluctance to participate in medical duties, directly leading to his refusal to assist in a delivery and his decision to observe Larch from a distance before ultimately leaving his side.",Narrative Progression
legacy-en6301ea1cf28f477a974e7cb126420d26-2,en6301ea1cf28f477a974e7cb126420d26,en,8、INT. COUPLE #2'S HOME - DAY,What does Larch's immediate action upon finding Homer reveal about his role toward Homer in this moment?,Protector/dependent,"Larch bursts into the home of the second couple and finds Homer in bed, crying and covered in bruises. Without hesitation, he lifts Homer from the bed and holds him, then turns a furious gaze toward the couple.",Character Understanding
legacy-en6301ea1cf28f477a974e7cb126420d26-25,en6301ea1cf28f477a974e7cb126420d26,en,29、INT. DISPENSARY - NIGHT ; 47、INT. BOYS' DIVISION - NIGHT (LATER),"By the time Larch adjusts Fuzzy's breathing tent during storytime, what has already taken place between Larch and Homer?",Larch and Homer construct a humidified tent for Fuzzy,"Prior to the moment when Larch fine-tunes the breathing apparatus around Fuzzy during a quiet story session, there is a critical preparatory step carried out by Larch and Homer. They collaborate to build and install a specialized humidified tent designed to support Fuzzy’s fragile condition, establishing the necessary medical environment that remains in use during later scenes.",Temporal Reasoning
