id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en44fd740e98fd44c186677b99ad139c57-1,en44fd740e98fd44c186677b99ad139c57,en,0、INT. CAR,How does Gerald Mercer's behavior reflect his dependency on Cal Donovan after learning about the potential funding?,"Gerald Mercer attempts to contact Cal Donovan to coordinate, revealing Cal Donovan's role as a necessary accomplice in the plan tied to the proposed funding.","Warren Moore informs Gerald Mercer that Samuel Harper may finance his proposal if the numbers are accurate, setting a meeting for 2:30. Gerald Mercer needs to locate Cal Donovan and Gaear to proceed, but Derek Parker refuses to help, and Gerald Mercer expresses frustration over being unable to reach them.",Character Understanding
legacy-en44fd740e98fd44c186677b99ad139c57-10,en44fd740e98fd44c186677b99ad139c57,en,15、INT. CABIN ; 32、INT. PROWLER,What action by Cal Donovan directly prompts Gerald Mercer and Samuel Harper to finalize the ransom drop and depart in the Lincoln?,Cal Donovan demands money from Gerald Mercer over the phone,"In a tense phone call from a roadside diner, Cal Donovan confronts Gerald Mercer, demanding the full ransom be delivered within thirty minutes and threatening to kill Gerald Mercer’s wife and child if he fails to comply. Gerald Mercer, visibly strained, confirms the money is ready but hesitates, attempting to stall. Cal Donovan ends the call abruptly, unaware that Warren Moore has been listening on an extension. This ultimatum forces Gerald Mercer and Samuel Harper to immediately coordinate the handoff in the snowy parking lot, where they finalize the plan before departing in the Lincoln as Warren Moore waits, engine running.",Causal-Motivational Reasoning
legacy-en44fd740e98fd44c186677b99ad139c57-11,en44fd740e98fd44c186677b99ad139c57,en,9、INT. GUNDERSON HOUSE,What physical evidence at the crash site allows Mara Gunderson to infer that two suspects were involved?,"She distinguishes two sets of footprints: a larger man leaves and returns from the wreck, while a smaller man appears to have waited in the trooper's car.",Scene 9 shows Mara Gunderson reconstructing the pursuit and comparing footprints at the wreck and the trooper's car.,Causal-Motivational Reasoning
legacy-en44fd740e98fd44c186677b99ad139c57-12,en44fd740e98fd44c186677b99ad139c57,en,37、INT. CABIN ; 23、INT. Warren Moore'S OFFICE,What decision by Gerald Mercer leads Warren Moore to threaten handling the deal without him?,Gerald Mercer refuses to let anyone else handle the ransom call,"During a meeting at the Lundegaard cabin, Gerald Mercer insists that only he can manage the ransom exchange, citing the kidnappers' explicit instructions and the danger involved. Warren Moore argues that the money is his and demands a role in the delivery, warning that exclusion will prompt him to bring in outside help. Samuel Harper supports Warren Moore’s position, creating pressure on Gerald Mercer to compromise. Gerald Mercer’s firm rejection of their involvement establishes the tension that later erupts when Warren Moore declares his willingness to proceed without Gerald Mercer in the negotiation.",Causal-Motivational Reasoning
legacy-en44fd740e98fd44c186677b99ad139c57-13,en44fd740e98fd44c186677b99ad139c57,en,0、INT. CAR ; 37、INT. CABIN,How does Derek Parker Proudpfut's treatment of Cal Donovan evolve from their first interaction to the cabin confrontation?,Derek Parker Proudpfut continues to pursue Cal Donovan as an enemy,"From their initial encounter in the car, where Derek Parker refuses to vouch for Cal Donovan and expresses clear distrust, through multiple subsequent scenes including unprovoked physical attacks and mutual threats, Derek Parker consistently maintains a hostile stance toward Cal Donovan. This adversarial dynamic culminates in the cabin scene with Derek Parker violently confronting Cal Donovan, confirming an unbroken trajectory of enmity initiated early in the narrative.",Role-Relation Continuity
legacy-en44fd740e98fd44c186677b99ad139c57-14,en44fd740e98fd44c186677b99ad139c57,en,0、INT. CAR ; 33、EXT. CABIN,How does Cal Donovan's relationship to Jenna Mercer remain consistent from the initial confrontation through the cabin scenes?,Cal Donovan continues to treat Jenna Mercer as a captive and target of hostility,"From the moment Cal Donovan arrives while Jenna Mercer is under attack, she perceives him as a threat and flees, establishing immediate hostility. Throughout subsequent scenes, including during her captivity in the car and at the cabin, Cal Donovan reinforces this dynamic by threatening her, restraining her, and mocking her distress, demonstrating a sustained adversarial and captor-victim relationship without any shift in alignment or intent.",Role-Relation Continuity
legacy-en44fd740e98fd44c186677b99ad139c57-15,en44fd740e98fd44c186677b99ad139c57,en,0、INT. CAR ; 19、INT. Gerald Mercer'S CAR ; 21、EXT. CAR,How does Gerald Mercer's role progress from organizer of the kidnapping to fugitive apprehended by police?,"He initiates the scheme, tries to control the ransom and conceal Warren Moore's murder, then flees as the evidence closes in and is finally found under an assumed name and physically restrained.","The opening scheme, scene 19's concealment of Warren Moore's body, and scene 21's motel arrest establish the full progression.",Narrative Progression
legacy-en44fd740e98fd44c186677b99ad139c57-16,en44fd740e98fd44c186677b99ad139c57,en,11、EXT. CABIN ; 11、EXT. CABIN ; 37、INT. CABIN,What event sets in motion the sequence in which Jenna Mercer is held captive and Cal Donovan reacts with laughter as she struggles to escape?,Gunnar Grimm and Cal Donovan bring Jenna Mercer to the lakeside cabin,"After Jenna Mercer is transported against her will, the dynamics at the remote cabin shift decisively. Her attempts to flee are met with restraint, and Cal Donovan's demeanor turns mocking as tension mounts between him and Gunnar Grimm. The isolation of the location intensifies the power imbalance, establishing the conditions for Jenna Mercer's prolonged captivity and the psychological confrontation that unfolds. [11、EXT. CABIN]",Narrative Progression
legacy-en44fd740e98fd44c186677b99ad139c57-17,en44fd740e98fd44c186677b99ad139c57,en,0、INT. CAR ; 22、INT. CAR ; 40、INT. HUT,"What pivotal event sets in motion Gerald Mercer's efforts to secure support from Derek Parker, Warren Moore's confrontation with Cal Donovan, and Gerald Mercer's encounter with Cal Donovan and Gaear at the tavern?",Gerald Mercer awaits funding decision and tries to reach Cal Donovan,"As Gerald Mercer waits in his car for a crucial funding decision, he repeatedly attempts to contact Cal Donovan, whose silence heightens the tension and forces Gerald Mercer to seek alternative alliances. This moment marks the shift where Gerald Mercer begins taking decisive action, prompting his visit to Derek Parker at the garage, escalating Warren Moore's suspicions leading to the rooftop confrontation, and ultimately driving Gerald Mercer to meet Cal Donovan and Gaear at the Jolly Troll Tavern. [scene: INT. CAR]",Narrative Progression
legacy-en44fd740e98fd44c186677b99ad139c57-18,en44fd740e98fd44c186677b99ad139c57,en,7、EXT. ROAD ; 33、EXT. CABIN ; 43、EXT. CAR,"What event sets in motion Mara Gunderson's series of actions involving the station, her return home with information, and her investigation of the wreck?","Mara Gunderson Awakened by Call, Prepares for Work, and Departs","The sequence begins when Mara Gunderson is roused by an urgent call, prompting her to prepare and leave for work. This moment initiates her involvement with the unfolding events along the road, leading directly to her delivery of earthworms to Nolan Grant at the station, her subsequent return home with critical news, and her later examination of the accident site where she questions the trooper's absence. [scene: 7、EXT. ROAD]",Narrative Progression
