id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第14场,在紫霞发现金铃是自己的信物后，她冲向孙悟空并抱住他的那一刻，内心最强烈的意图是什么？,保护悟空不惜牺牲,紫霞认出金铃是自己的信物，情绪激动地扑向孙悟空，恰逢牛魔王背后偷袭。她本能地挡在孙悟空身前，用身体承受钢叉，以生命阻止伤害。这一举动源于她对悟空的深情与守护之志，而非一时冲动。,Character Understanding
2,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第4场,至尊宝在盘丝洞发现白晶晶消失并捡到她留下的玉佩，他由此意识到两人关系发生了怎样的转变？,白晶晶已决定离开，不再依赖他的保护,至尊宝寻医返回后见人去楼空，仅余玉佩，推知白晶晶主动离去，关系由共患难转为分离,Character Understanding
3,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第8场,牛魔王突然出现时，其行动背后的直接目标是什么？,夺人夺宝以成仙,牛魔王误以为猪八戒兑现承诺送来唐僧，为求长生立即抓人并强取月光宝盒，意图掌控关键人物与法器。,Character Understanding
4,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第13场,紫霞割断青霞绳索时，她判断的关键是什么？,救姐姐脱困,紫霞在婚礼高台上割断青霞的绳索，意图解救被绑的姐姐，随后青霞挣脱并立即反抗牛魔王，表明紫霞的行动是出于营救家人的判断。,Character Understanding
5,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第14场,在[第14场]中，紫霞确认自己信物后触发的关键情节是什么？,紫霞为救孙悟空挡下钢叉,紫霞发现金铃是自己的信物后情绪激动，与孙悟空相拥之际，牛魔王偷袭，她挺身挡下致命一击，这一动作直接引发后续孙悟空的悲痛与反击，成为该场戏的核心转折点。,Scene Grounding
6,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第11场,在[牛魔王夺宝与众人混战]中，哪一动作直接触发了后续所有冲突的爆发？,牛魔王突然出现并接住月光宝盒,这一动作标志着外部强权的介入，打破了原有对峙格局，引发牛魔王质问至尊宝、铁扇公主到场、姐妹反目、战斗升级等一系列连锁反应，是整场戏冲突升级的起点。,Scene Grounding
7,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第4场,在至尊宝带白晶晶逃至悬崖边的场景中，他通过什么关键动作推动了两人关系的转折？,向白晶晶坦白自己并非孙悟空,至尊宝在悬崖边面对受伤的白晶晶，选择揭示自己冒充孙悟空的真相，这一坦白打破了之前的伪装，直接引发白晶晶的情感崩溃，也标志着两人关系从欺骗转向真实情感的临界点，是该场景中最具定义性的动作。,Scene Grounding
8,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第8场; 第14场,在牛魔王家族聚会上，紫霞当众向至尊宝提出成亲请求，这一举动如何促成了后来她为救孙悟空挡下钢叉的决绝行为？,紫霞询问至尊宝是否能留下成亲,紫霞在公开场合确认与至尊宝的情感关联，使她后续在危急时刻将孙悟空视为命运所系，不惜以生命相护。这一情感承诺的建立，成为她挺身挡叉的直接动因。,Causal-Motivational Reasoning
9,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第10场; 第10场,在逃亡开始前，至尊宝对牛魔王说了什么并做了什么，导致后续沙僧在途中提高警惕并发现持刀女子？,至尊宝将紫霞交给牛魔王并谎称她自杀未遂，借此脱身,至尊宝通过编造紫霞自杀未遂的谎言，成功让牛魔王分心，得以抱着紫霞脱险并与八戒、沙僧会合。这一系列行动发生在逃亡初期，为后续团队在途中遭遇埋伏时保持警觉埋下伏笔，沙僧因此在行进中主动探查前方动静，最终发现持刀女子。,Causal-Motivational Reasoning
10,ch0322a858c8bac81427599b9ce19beab3dfdaec4a,zh,第3场; 第3场,在白晶晶出房挽留至尊宝并赠款示好之前，至尊宝做了什么关键举动，使她改变了对他的态度？,至尊宝为引起白晶晶注意而剃须换装，在桥上等候她经过。,至尊宝初见白晶晶便心生爱慕，主动改变形象精心打扮，并在桥上等待她经过，这一系列行为体现了他对她的重视，成为后续白晶晶转变态度、主动赠信示好的情感铺垫。,Causal-Motivational Reasoning
