id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en75adf53b6d3142588f900aaa97847091-10,en75adf53b6d3142588f900aaa97847091,en,12、INT. Spencer Foster'S UNMARKED POLICE CAR - LATER THAT NIGHT ; 46、EXT. YACHT - STERN - CONTINUOUS,What event directly prompts Spencer Foster and Reese Calloway to shift from personal conflict to confronting Kendall Ellison's betrayal?,Reese Calloway confronts Spencer Foster about lying,"After escaping a chaotic fight, Spencer Foster and Reese Calloway drive through Hong Kong in silence, both physically battered. Reese Calloway breaks the quiet by accusing Spencer Foster of deception, expressing anger over being misled. Spencer Foster attempts to apologize, but Reese Calloway dismisses the apology, insisting only on being taken home. Spencer Foster insists there's no time, revealing that an explosion at the American Embassy earlier that day killed two American translators, escalating the stakes and redirecting their focus toward the larger threat. This moment of confrontation and revelation reorients their priorities, setting the stage for their later realization that Kendall Ellison is complicit when they witness Casey Finch’s escape and Kendall Ellison’s calm, knowing reaction aboard the yacht.",Causal-Motivational Reasoning
legacy-en75adf53b6d3142588f900aaa97847091-11,en75adf53b6d3142588f900aaa97847091,en,8、EXT. RAVEN CLUB - NIGHT ; 10、EXT. HONG KONG STREET - NIGHT,What event immediately pressures Reese Calloway into attempting the climb that ends in his retreat?,Spencer Foster and Reese Calloway confront Jonah Hollis in the street,"After spotting Casey Finch and several Jonah Hollis in the street, Reese Calloway and Spencer Foster initiate a pursuit. Reese Calloway shouts 'Stop! LAPD!' as Spencer Foster sprints after the fleeing suspects, setting off a chase that drives Reese Calloway toward the scaffolding in a desperate attempt to intercept them, leading directly to his failed climb and subsequent retreat when the structure collapses under him.",Causal-Motivational Reasoning
legacy-en75adf53b6d3142588f900aaa97847091-12,en75adf53b6d3142588f900aaa97847091,en,38、INT. SHIP'S HALLWAY - NIGHT ; 200、INT. HALLWAY - NIGHT,How does the adversarial relationship between Spencer Foster and the Drew Dalton evolve from their first confrontation to later encounters?,"Spencer Foster and the Drew Dalton remain in active opposition, each repeatedly attacking the other","From their initial confrontation in the ship's hallway, where Spencer Foster disarms and physically intimidates the Drew Dalton, the relationship escalates into a sustained pattern of mutual hostility. Subsequent interactions show the Summit Holdings attacking Spencer Foster on the yacht's upper deck, Spencer Foster exchanging blows with a Evan Calloway, and knocking down another guard at a truck stop. By the later hallway scene, the Harper Davenport are actively pursuing Spencer Foster, who continues to evade and resist them, confirming an ongoing adversarial dynamic characterized by repeated physical confrontations initiated by both sides.",Role-Relation Continuity
legacy-en75adf53b6d3142588f900aaa97847091-13,en75adf53b6d3142588f900aaa97847091,en,67、EXT. LOADING DOCK PLATFORM - Kendall Ellison PLAZA - CONTINUOUS ; 216、INT. Stonebridge House - NIGHT,How does Casey Finch's relationship to Spencer Foster evolve from their encounter on the loading dock platform through the confrontation in the Stonebridge House?,Casey Finch continues to pursue Spencer Foster as an enemy through direct physical and verbal threats,"From the loading dock platform onward, Casey Finch consistently acts toward Spencer Foster with hostility, knocking him out, threatening him with a knife and grenade, detaining him under guard, and ultimately confronting him in the Stonebridge House with a the paper photograph. Each interaction reinforces an adversarial dynamic in which Casey Finch positions herself as an aggressor, maintaining a sustained pursuit of Spencer Foster as an opponent across multiple locations and escalating confrontations.",Role-Relation Continuity
legacy-en75adf53b6d3142588f900aaa97847091-14,en75adf53b6d3142588f900aaa97847091,en,47、EXT. DOCK - NIGHT ; 214、INT. Stonebridge House - CONTINUOUS,How does Spencer Foster's relationship with Carson Thorne evolve from their initial confrontation to the final moments in the Stonebridge House?,Spencer Foster continues to pursue Carson Thorne as an adversary driven by personal vengeance,"From the dock confrontation where Spencer Foster accuses Carson Thorne of killing his father and involvement in the smuggling case, their relationship remains adversarial through multiple encounters. In the Eye in the Sky room and the Fairview School, both characters express mutual hostility, with Carson Thorne mocking Spencer Foster and Spencer Foster reacting with urgency upon seeing him. The conflict escalates in the Stonebridge House when Parker Mercer attempts to attack and shoot Spencer Foster, reinforcing their established enmity. Even in the final moments, Spencer Foster’s attempt to grab Carson Thorne occurs within a context of desperation rather than reconciliation, maintaining the antagonistic dynamic throughout.",Role-Relation Continuity
legacy-en75adf53b6d3142588f900aaa97847091-15,en75adf53b6d3142588f900aaa97847091,en,47、EXT. DOCK - NIGHT ; 12、INT. Spencer Foster'S UNMARKED POLICE CAR - LATER THAT NIGHT ; 18、INT. QUIET ROOM MASSAGE PARLOR - DAY,"What pivotal revelation sets in motion Spencer Foster's confrontation with Carson Thorne, Reese Calloway's growing suspicion, and the unraveling of prior allegiances?",Spencer Foster Reveals His Father's Murder by Carson Thorne,"In the aftermath of escalating tensions and hidden loyalties, Spencer Foster discloses that Carson Thorne was responsible for his father's murder, a confession that reshapes the trajectory of his alliance with Reese Calloway and directly precipitates confrontations at the spa and in the car. This disclosure, made at the dock under cover of night, transforms Spencer Foster's personal vendetta into an open conflict, aligning his mission against Carson Thorne and eroding the trust between him and Reese Calloway, who begins to question the integrity of their shared objectives.",Narrative Progression
legacy-en75adf53b6d3142588f900aaa97847091-16,en75adf53b6d3142588f900aaa97847091,en,22、INT. Spencer Foster'S OFFICE - DAY ; 46、EXT. YACHT - STERN - CONTINUOUS ; 49、INT. CHEAP HOTEL ROOM - DOWNTOWN Northbridge District - NIGHT,"What pivotal event sets in motion the sequence where Spencer Foster and Reese Calloway witness Casey Finch's escape, cling to a bamboo pole, and confront the fleeing Jonah Hollis?",Chase on Foot,"The confrontation at the Raven Club escalates when Spencer Foster and Reese Calloway pursue the gang on foot, triggering a chain of urgent actions that lead directly to Casey Finch's escape, the discovery of Kendall Ellison's betrayal, a perilous struggle on a bamboo pole, and a final standoff as the Jonah Hollis retreat under Reese Calloway's warning.",Narrative Progression
legacy-en75adf53b6d3142588f900aaa97847091-17,en75adf53b6d3142588f900aaa97847091,en,42、INT. SHIP'S HALLWAY - CONTINUOUS ; 44、INT. SHIP'S HALLWAY - CONTINUOUS ; 25、INT. Darian Thorne'S OFFICE - LAPD HEADQUARTERS - DAY,What pivotal event shifts the momentum toward the confrontation in the hallway and subsequent rooftop attack?,Reese Calloway Confronts Casey Finch After Tripping Her,"In the immediate aftermath of Reese Calloway tripping Casey Finch, he directly confronts her in the ship's hallway, escalating their tension. This confrontation sets off a chain of hostile interactions, leading to Casey Finch attacking Reese Calloway verbally, Reese Calloway brushing past her, and ultimately being kicked off the roof. The incident marks the first overt clash that transforms underlying friction into physical conflict. [43, INT. SHIP'S HALLWAY - CONTINUOUS]",Narrative Progression
legacy-en75adf53b6d3142588f900aaa97847091-18,en75adf53b6d3142588f900aaa97847091,en,22、INT. Spencer Foster'S OFFICE - DAY ; 46、EXT. YACHT - STERN - CONTINUOUS ; 49、INT. CHEAP HOTEL ROOM - DOWNTOWN Northbridge District - NIGHT,"What pivotal moment shifts the narrative toward the sequence where Spencer Foster and Reese Calloway observe Casey Finch's escape and uncover Kendall Ellison's betrayal, leading to escalating tension between Spencer Foster and Reese Calloway and Spencer Foster's eventual departure after an encounter with Casey Colter?",Dressing Amid Tension,"In the scene set in Spencer Foster's office, the mounting strain between Spencer Foster and Reese Calloway becomes palpable as they prepare for an operation. This moment marks a critical shift in their dynamic and sets in motion a chain of events including the surveillance of Casey Finch's escape, the recognition of Kendall Ellison's duplicity, Reese Calloway's insistence on duty despite Spencer Foster's interference, and Spencer Foster's exit following a brief but significant exchange with Casey Colter. The tension established here directly catalyzes the subsequent developments. [23, INT. Spencer Foster'S OFFICE - DAY]",Narrative Progression
legacy-en75adf53b6d3142588f900aaa97847091-25,en75adf53b6d3142588f900aaa97847091,en,5、INT. RAVEN CLUB - NIGHT ; 18、INT. QUIET ROOM MASSAGE PARLOR - DAY,"By the time Reese Calloway confronts Carson Thorne at the spa, what has already taken place involving Spencer Foster and Reese Calloway’s infiltration?","Spencer Foster and Reese Calloway enter a dark, upscale club filled with Jonah Hollis and civilians","Before Reese Calloway's confrontation with Carson Thorne at the massage parlor, Spencer Foster and Reese Calloway gain access to a high-end nightclub frequented by members of the criminal underworld. The scene establishes their covert entry into the gang's territory, setting up the chain of events that leads to the later confrontation. This sequence marks the beginning of their direct engagement with the organization, preceding Reese Calloway’s isolated encounter at the spa by several key developments.",Temporal Reasoning
