id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-12,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,10、10场日/内景 ; 119、119场傍晚/外景,从[10、10场日/内景]到[119、119场傍晚/外景]，家倩和雷蒙之间的关系发生了怎样的变化？,从亲密伴侣转变为因情感背叛而产生敌意的对立关系，家倩由情感依赖者变为被欺骗者，雷蒙则从亲密对象转为伤害来源。,关系演变基于多次亲密互动的累积与雷蒙提出维持关系导致家倩情绪崩溃的转折，体现从正向依附到负面疏离的连续性变化。,Role-Relation Continuity
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-13,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,26、26场夜/内景 ; 147、147场日/内景,从[26、26场夜/内景]到[147、147场日/内景]，家倩和家珍之间的关系发生了怎样的变化？,从敌对者转变为保持联系的家人,早期互动显示家珍因家倩受特殊对待而心生嫉妒，后期家倩提及家珍主动沟通缺席原因，表明关系已转为有情感维系的亲属联系。,Role-Relation Continuity
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-14,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,83、83场雨夜/内景 ; 144、144场日/内景,在[144、144场日/内景]中，梁母对老朱的态度与此前多次互动中的亲近表现形成怎样的反差？,从亲如一家的互敬互重转为公开斥责与拒绝,梁母此前在多个场景中以礼相待、言语安慰，并强调两家亲如一家，表现出对老朱的尊重与情感联结；但在144场后半段，她激烈指责老朱为‘杀千刀的老朱’并拒绝对方帮助，标志关系彻底破裂。,Role-Relation Continuity
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-27,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,33、33场夜/内景 ; 34、34场夜/内景,在“老朱与老温笑闹着搭肩离去”之前，前面先发生了什么关键情节？,老温饮酒后情绪放松并开始唱歌,在两人关系缓和的场景之前，老温在饮酒后展现出情绪上的松动，通过唱歌流露出真实情感，为后续二人互动回暖提供了行为和情绪上的前置转折点。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-28,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,31、31场夜/外景 ; 32、32场夜/内景,“珊珊展示朱爷爷的漫画”之后不久，紧接着发生了什么？,家宁追着珊珊索要漫画,根据场景顺序，珊珊展示漫画的情节发生在31、31场夜/外景，紧接着在下一场景32、32场夜/内景中，家宁开始追回被珊珊拿走的漫画。两场戏时间连续、人物行动连贯，构成直接的前后动作承接。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-29,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,29、29场夜/内景 ; 30、30场夜/内景,“家宁带珊珊去画画”之后不久，紧接着发生了什么？,家宁画朱全副武装持锅铲的漫画，珊珊坐在他腿上看,根据场景时序，29场后紧接[30、30场夜/内景]，家宁从带珊珊画画转为在家绘制朱以锅铲武装的漫画，动作连贯且场景未中断，体现日常生活的延续。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-30,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,29、29场夜/内景 ; 31、31场夜/外景,在“珊珊执意送漫画给朱爷爷”之前，珊珊先采取了什么关键行动？,珊珊请求家宁带她去画画,在送漫画这一行动之前，剧情通过珊珊主动提出去画画展现了她创作漫画的起点，为后续赠送行为提供了动机和情节基础。该请求发生在前一场戏中，是通向赠送漫画的重要前置步骤。,Temporal Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-32,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,33、33场夜/内景,在[33、33场夜/内景]中，老朱借烧菜感慨子女离家，他内心最深处的失落感源于什么？,他对子女成长离家感到存在性失落，如同菜肴被冷落,老朱：唉！这些孩子我一个个不了解，我也不想了解，养大了让她随着去吧，就像烧菜一样，菜上桌了，一点胃口都没有了！,Character Understanding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-33,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,39、39场日/内景,在[39、39场日/内景]，当学生们争着要行动却没人真的动身时，家珍为什么决定亲自去捡回飞进教室的排球？,她看到学生争着举手但无人行动，选择亲自处理以维持课堂秩序,家珍：好，那我自己去。 全班同学全部举手。学生：老师我去，老师我去！,Character Understanding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-34,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,21、21场傍晚/内景,在[21、21场傍晚/内景]中，家倩提出要搬出去住，她这个决定背后的现实考量是什么？,用朋友关系获得折扣投资房产并搬离家庭,家倩：我正好有一个朋友，认识那个营造商，说房子造得满实在的，价钱也给我很好的折扣，那个房子…… 家倩：大概还要几个月才能交屋吧，我差不多所有的钱都押到头款去了…… 家倩：那，等交屋我就搬出去啰！,Character Understanding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-35,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,33、33场夜/内景,在[33、33场夜/内景]中，老朱为何会承认自己做菜必须依赖老温来判断味道？,他自觉味觉退化，已无法独立完成对味道的最终确认,老朱：说真的，最近没你我菜都烧不成，我这个舌头愈来愈不行，每次下手都看你的脸色！,Causal-Motivational Reasoning
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-4,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,25、25场,发现排翅无法成菜时，老朱做出的关键判断是什么？,排翅是假翅，久煮会散且不入味，不能按原菜处理，只能改成羹汤类并以“龙凤呈祥”稳住场面,原文中老朱检查蒸笼后判断“假翅发开之后没弹性，久煮则散，怎么煨也不入味儿”，因此原定“翠盖排翅”不能成立，只能改成赤羹方向，并进一步决定改做“龙凤呈祥”，即使赔钱也要先稳住宴席。,Character Understanding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-5,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,24、24场,在[老朱与老温检查蒸笼准备炖菜]这场戏中，推动情节发展的关键动作是什么？,老朱决定更换菜品并安排新菜备料,老朱在检查蒸笼时发现排翅蒸散，无法制作原定菜品，随即决定改做‘龙凤呈祥’，并指挥厨房调整准备内容，这一决策直接推动了后续的备餐行动。,Scene Grounding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-6,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,3、3场日/内景,在[3、3场日/内景]中，老朱开始准备宴席时最关键的起始动作是什么？,从后院水缸抓起草鱼，并用筷子插进鱼嘴刮鳞、剖腹清肠,原文先写老朱从后院水缸抓起草鱼，放到洗碗槽上用筷子插进鱼嘴刮鳞，再剖腹清肠；剁五花肉发生在随后的做菜蒙太奇中，不是宴席准备的起始动作。,Scene Grounding
legacy-ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75-7,ch060a57fa2cc7b375d4db567c3ec463f4c7f0dd75,zh,21、21场傍晚/内景,在[21、21场傍晚/内景]中，老朱端出炸响铃后紧接着要做什么？,准备讲话,这场戏的核心动作始于老朱将炸响铃端上桌并准备发言，意图开启家庭交流，但尚未开口即被家珍的祷告打断。因此，老朱‘准备讲话’是推动场景发展的关键节点，标志着家庭互动的潜在展开。,Scene Grounding
