id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-11,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,48、路上 外 日 ; 49、杂货铺 内 日,小四在杂货铺爆发前，哪段与父亲的对话揭示了他情绪积累的根源？,小四感慨世上类似不公之事太多,在前往杂货铺的路上，小四向父亲表达对社会不公的压抑感受，反复沉默与注视父亲的行为显示出内心的挣扎。这种情绪积累为后续在杂货铺面对嘲讽时的激烈反应埋下伏笔，成为父亲及时制止他的深层动因。,Causal-Motivational Reasoning
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-12,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,4、摄影棚 内 夜 ; 173、片场 内 日,从[4、摄影棚 内 夜]到[173、片场 内 日]，小四和小猫之间的互动关系发生了怎样的具体转变？,从共同行动的共谋伙伴转变为小猫单方面承诺协助小四,在早期场景中，两人共同偷看拍戏、一起逃跑，表现出对等的合作与默契；而在后期场景中，小猫主动承诺为小四安排会面并安抚其情绪，但互动已无先前的共同行动模式，关系转为单向支持。,Role-Relation Continuity
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-13,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,16、教室 内 日 ; 157、157冰店 内 夜,从[16、教室 内 日]到[157、157冰店 内 夜]，小四和滑头之间的互动关系经历了怎样的转变？,从滑头单方面欺凌小四，转变为滑头试图示好修复关系但遭小四拒绝,早期场景中滑头多次对小四进行言语和肢体攻击，表现出主导性的敌意；后期在冰店场景中，滑头主动道歉并提议和解，显示出关系修复的意图，但小四以沉默和暴力回应，未接受该姿态。关系由明确的单向敌对转向未被确认的缓和尝试。,Role-Relation Continuity
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-14,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,27、路上 外 日 ; 179、路上 外 夜,从[27、路上 外 日]到[179、路上 外 夜]，小四对小明承担了怎样的持续角色或责任？,一直护着小明，视其为需要自己拯救的依赖者,从小四多次回头照应一瘸一拐的小明，到在夜晚路上自称是小明唯一的希望并主动承担帮助责任，其行为始终围绕保护与支撑小明展开，体现出持续的守护角色。,Role-Relation Continuity
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-16,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,40、车棚 内 夜 ; 31、路上 外 日 ; 29、影棚 外 日,哪一个事件成为推动后续小四沉默目送、两人于摄影棚外重逢对话，以及小明试探小四去留意愿这一系列发展的情感转折点？,小明追问小四为何躲着自己,该场景中，小明主动质问小四回避自己的原因，打破了两人之间的沉默与疏离，使原本隐忍的情绪浮出水面，直接触发了后续关于离别与关系存续的对话推进。,Narrative Progression
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-18,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,46、办公室 内 日 ; 46、办公室 内 日 ; 17、教室 外 日,哪个事件直接引发了小四被记过、交出球棒并等待父亲的一系列后续发展？,小四与老师和主任争执,该争执是办公室场景中的核心冲突，标志着校方正式介入事件，促使纪律处分程序启动，从而推动小四从对抗转向被动接受处罚，构成情节走向低谷的关键转折。,Narrative Progression
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-25,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,11、教室 内 夜 ; 33、路上 外 夜,到了二条持铲袭击滑头被众人拦下时，此前在教室中已发生的关键对峙是什么？,滑头警告外人不得侵犯地盘,在袭击事件发生前，滑头于教室场景中对外来者发出地盘警告并嘲讽二条，这一举动为后续冲突埋下导火索，构成明确的前序关键发展。,Temporal Reasoning
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-26,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,4、摄影棚 内 夜 ; 28、学校 外 日,到了导演在摄影棚怒斥女演员并注意到小明之前，已经发生了什么关键发展？,导演与女演员因服装颜色发生争执,在摄影棚的拍摄过程中，导演对女演员的服装颜色提出异议，引发争执，这一冲突为后续他在情绪波动中转向关注小明埋下伏笔。事件发生在同一场景内，构成直接的前序动作。,Temporal Reasoning
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-27,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,16、教室 内 日 ; 17、教室 外 日,在“主任到来，小四交出球棒”之前，滑头先采取了什么关键行动？,滑头推搡并掌掴小四，挑衅他拿起球棒,滑头因小四不愿给他抄答案而在教室外推搡小四，并打了他一巴掌，使小四撞向柱子受伤。随后滑头继续挑衅“有种过来”，小四才抢过球棒；主任到来后，小四被迫交出球棒。,Temporal Reasoning
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-28,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,10、教学楼 内 夜 ; 11、教室 内 夜,“滑头现身被小弟询问”之后不久，滑头接下来做了什么？,白衣男孩被押到滑头面前求饶,根据场景顺序，‘教学楼 内 夜’之后紧接着是‘教室 内 夜’，情节从滑头与小弟对话迅速推进到白衣男孩被带至其面前求饶，中间无其他事件插入，时间衔接紧密。,Temporal Reasoning
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-29,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,36、篮球场 内 日 ; 37、操场 外 日,“小虎推搡滑头引发围攻”之后不久，紧接着发生了什么？,被篮球队成员分两路围堵并殴打,小虎在篮球场推搡滑头后，事件迅速升级，下一场景中篮球队成员在操场外分两路包围并殴打滑头，情节具有紧密的时间顺接和空间转移，显示冲突从个体推搡发展为群体暴力。,Temporal Reasoning
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-35,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,32、台球室 内 日,在[32、台球室 内 日]中，光头几次想喝水又忍住，最终选择把水递给山东，他内心最在意却始终没说出口的是什么？,担心失礼或触怒山东而压抑自身需求,光头在山东旁边倒水，刚想喝，犹豫了一下递给山东。 山东没有回应，光头刚想喝，山东转过身看着他。,Character Understanding
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-4,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,11、教室 内 夜,滑头在与二条互动时表现出轻蔑态度，反映出他对双方在组织中角色分工的何种判断？,滑头视自己为实际掌控者，而二条只是无足轻重的跟班,滑头以强硬姿态宣称对抗外敌的主导权，并通过甩手和反问否定二条的作用，显示其不认可二条的替代地位。,Character Understanding
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-5,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,49、杂货铺 内 日,在[49、杂货铺 内 日]这场戏中，推动父子关系紧张升级的关键动作是什么？,父亲制止小四动手并拉他离开,小四因胖叔的嘲讽冲动欲动手，父亲立即制止并将他带离现场，这一动作凸显了父子在冲突处理上的对立，也加剧了两人之间的紧张关系，是该场景的核心情节推进点。,Scene Grounding
legacy-ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2-6,ch031fd9f8e8339ed61190f6e72d73dc8b05e8aef2,zh,11、教室 内 夜,在[11、教室 内 夜]这场戏中，推动冲突爆发的关键动作是什么？,滑头抢回砖头并砸向求饶的白衣男孩,二条带人出现后，场面先进入质问和对峙；真正使冲突爆发为暴力的是滑头从飞机手里抢回砖头，当众砸向求饶的白衣男孩。这一动作震住众人，也把场景推入公开施暴和后续冲突升级。,Scene Grounding
