id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ene31a5765eef2481ba7f4a03de7180508-11,ene31a5765eef2481ba7f4a03de7180508,en,2、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT ; 3、INT. FITCH SENIOR HIGH SCHOOL/TUNNEL - NIGHT,What action by Mike immediately before leaving the gym explains his decision to catch up with Scarlet and kiss her?,Mike abandons jump ball to pursue Scarlet after seeing her upset,"During the opening moments of the basketball game, as the referee prepares for the jump ball, Mike notices Scarlet in the stands appearing distressed and moving toward the exit. He silently walks off the court, ignoring Coach Harvey’s shouts and the start of the game, and heads after her. This leads directly to the moment in the tunnel where he catches up to her and kisses her as she leans against the wall.",Causal-Motivational Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-12,ene31a5765eef2481ba7f4a03de7180508,en,33、INT. RESTAURANT/BAR - NIGHT ; 33、INT. RESTAURANT/BAR - NIGHT,What event motivates Mike's withdrawn demeanor when the woman joins him and Ed at the bar?,Mike recounts being humiliated at school,"At the bar, Mike is visibly shaken as he tells Ed about the public humiliation he endured at the school—his beanbag set on fire, students mocking his appearance and belongings, his daughter facing an unwanted advance, and someone pouring ice cream into his ears. Ed reacts with amusement, having seen the incident's video online, and suggests Mike take aggressive action to regain control, even proposing ways to get himself suspended so Ed can intervene with the principal. Mike remains dejected, picking at a cherry in the Shirley Temple Ed ordered for him instead of the scotch he wanted. As Ed continues his manipulative scheming, an older woman sits beside them and, overhearing the conversation, condemns Ed's behavior, urging him to be reported to child services before disengaging in disgust.",Causal-Motivational Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-14,ene31a5765eef2481ba7f4a03de7180508,en,32、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY ; 101、INT. ED'S HOUSE/KITCHEN - NIGHT,How does the relationship between Samantha and the Wonder Bras evolve from their initial alignment in the cafeteria to their coordinated actions at Ed's house?,They transition from situational alignment to active cooperation in shared goals,"From the high school cafeteria through events at Ed's house, Samantha's interactions with the Wonder Bras progress from momentary alignment based on shared context to coordinated joint action. Initially, her remarks while seated with them reflect a fleeting sense of common perspective, but without evidence of a stable bond. Later, they dance in unison and physically engage Mike together, demonstrating established rapport. By the final scene, they are actively collaborating in a search mission, indicating a consolidated working relationship centered on mutual objectives.",Role-Relation Continuity
legacy-ene31a5765eef2481ba7f4a03de7180508-15,ene31a5765eef2481ba7f4a03de7180508,en,28、INT. ED'S HOUSE/KITCHEN - NIGHT ; 22、INT. ED'S HOUSE/FOYER - DAY ; 30、INT. PRINCIPAL'S OFFICE - DAY,"What pivotal event shifts the narrative trajectory toward the escalation between Ed and Mike, leading to their physical confrontation, joint investigation, and final reckoning over the samples case?",Ed Confronts Mike at the Door,"The tension between Ed and Mike reaches a breaking point when Ed confronts Mike at his doorstep, challenging his motives and actions head-on. This direct confrontation disrupts their fragile alliance, setting off a chain of events that includes a physical struggle, a collaborative attempt to uncover the truth, and ultimately, Mike holding Ed accountable for his role in the samples case. [20、INT. ED'S HOUSE - MORNING]",Narrative Progression
legacy-ene31a5765eef2481ba7f4a03de7180508-16,ene31a5765eef2481ba7f4a03de7180508,en,28、INT. ED'S HOUSE/KITCHEN - NIGHT ; 22、INT. ED'S HOUSE/FOYER - DAY ; 30、INT. PRINCIPAL'S OFFICE - DAY,"What pivotal event shifts the narrative trajectory toward the confrontation between Ed and Mike, the disruption of the meeting, and Mike's recollection of past humiliation?",Ed takes Mike's beer and refuses to return to Fitch,"In the kitchen at Ed's house, tensions escalate when Ed confiscates Mike's beer and declares he will not go back to Fitch, directly triggering a physical struggle between the two men. This act severs their cooperation, setting off a chain of events that includes Mike's attempt to de-escalate the fight, the submission of incriminating transcripts, and Mike's emotional recounting of his school humiliation. The moment marks a definitive break in their alliance and redirects the story toward confrontation and revelation. [28、INT. ED'S HOUSE/KITCHEN - NIGHT]",Narrative Progression
legacy-ene31a5765eef2481ba7f4a03de7180508-17,ene31a5765eef2481ba7f4a03de7180508,en,21、INT. BATHROOM - DAY ; 21、INT. BATHROOM - DAY ; 22、INT. ED'S HOUSE/FOYER - DAY,What pivotal moment shifts the narrative toward Mike's confrontation with his deteriorating reality and the ensuing conflict with Ed?,Mike Sees His Younger Reflection,"In the bathroom scene, Mike encounters a reflection that evokes his younger self, triggering a psychological shift that sets off a chain of confrontations, including his struggle with Ed and Ed's refusal to return to Fitch. This moment marks the onset of Mike's unraveling and reorients the story toward his internal and external breakdowns. [21、INT. BATHROOM - DAY]",Narrative Progression
legacy-ene31a5765eef2481ba7f4a03de7180508-18,ene31a5765eef2481ba7f4a03de7180508,en,24、EXT. FITCH SENIOR HIGH SCHOOL/PARKING LOT - DAY ; 11、INT. FITCH SENIOR HIGH SCHOOL/HALL - DUSK ; 3、INT. FITCH SENIOR HIGH SCHOOL/TUNNEL - NIGHT,What event sets in motion Mike's confrontation with Scarlet and the scheme to mislead the principal?,Mike Arrives at School in a Hurry,"Mike's rushed arrival at Fitch Senior High initiates a chain of actions that directly lead to his encounter with Scarlet, their brief reconciliation, and the subsequent plan with Ed to deceive the principal. This moment marks the shift from prior buildup to active engagement in the central conflicts of the day. [25, EXT. FITCH SENIOR HIGH SCHOOL/PARKING LOT - DAY]",Narrative Progression
legacy-ene31a5765eef2481ba7f4a03de7180508-25,ene31a5765eef2481ba7f4a03de7180508,en,12、INT. FITCH SENIOR HIGH SCHOOL/GYM - DUSK ; 26、INT. FITCH SENIOR HIGH SCHOOL/BATHROOM - DAY,"By the time Alex leaves after being freed, what has already happened when Mike searches the school?",Mike calls out for Alex in an empty room,"Mike searches for Alex in the gym at dusk, calling out into the empty space, establishing that Alex is already gone before the later scene in which Alex leaves after being freed from the bathroom.",Temporal Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-26,ene31a5765eef2481ba7f4a03de7180508,en,7、INT. ED'S HOUSE/LIVING ROOM - MORNING ; 28、INT. ED'S HOUSE/KITCHEN - NIGHT,"By the time Ed takes Mike's beer and refuses to return to Fitch, what has already happened during Mike's visit to Ed's house?",Mike enters and observes Ed's acupuncture session,"Mike arrives at Ed's house in the morning and finds him in the living room undergoing an acupuncture session, which he quietly observes before any confrontation over the beer occurs later that night in the kitchen.",Temporal Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-27,ene31a5765eef2481ba7f4a03de7180508,en,47、INT. MIKE'S HOUSE/LIVING ROOM - NIGHT ; 48、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,Which scene immediately precedes the conversation in the backyard where Alex interrupts Mike and Scarlet?,47、INT. MIKE'S HOUSE/LIVING ROOM - NIGHT,The conversation in the backyard where Alex interrupts Mike and Scarlet is directly preceded by the scene in which Scarlet shows Mike the backyard renovation project inside the house. [scene: 47、INT. MIKE'S HOUSE/LIVING ROOM - NIGHT],Temporal Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-28,ene31a5765eef2481ba7f4a03de7180508,en,29、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY ; 30、INT. PRINCIPAL'S OFFICE - DAY,What occurs immediately before Mike enters the Principal's office to disrupt the meeting?,Ed and Mike wait outside the Principal's office,"Shortly after preparing their plan to deceive the Principal, Ed and Mike are seen waiting just outside the office, positioning themselves for the confrontation. This moment directly precedes their entry and the subsequent disruption of the meeting, establishing the immediate setup for the unfolding confrontation.",Temporal Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-29,ene31a5765eef2481ba7f4a03de7180508,en,1、INT. FITCH SENIOR HIGH SCHOOL/GYM - CONTINUOUS ; 2、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,What occurs in the gym shortly before Scarlet's arrival heightens tensions ahead of the game?,Dom mocks Ed Freedman's absence,"In the moments leading up to Scarlet's entrance, the atmosphere in the gym is charged as the team prepares for tip-off. Prior to this, during the team photo, Dom takes the opportunity to ridicule Ed Freedman for not being present, setting a confrontational tone that lingers as tensions rise. [scene: 1、INT. FITCH SENIOR HIGH SCHOOL/GYM - CONTINUOUS]",Temporal Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-30,ene31a5765eef2481ba7f4a03de7180508,en,31、INT. FITCH SENIOR HIGH SCHOOL/CALCULUS CLASS - DAY ; 32、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY,"Shortly after standing up to Mr. Adams in calculus class, what does Mike do before asking Maggie out?",confronts Mr. Adams about humiliating Maggie,"Mike confronts Mr. Adams in class after witnessing him publicly humiliate Maggie, defending her with visible frustration. This moment occurs in the classroom scene just before Mike approaches Maggie in the cafeteria, where he eventually asks her out and is rejected.",Temporal Reasoning
legacy-ene31a5765eef2481ba7f4a03de7180508-6,ene31a5765eef2481ba7f4a03de7180508,en,43、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY,What action initiates the confrontation between Mike and Stan in the cafeteria?,Stan throws a basketball at Mike and demands it back,"After leaving the Wonder Bras' table, Mike is approached by Stan, who hurls a basketball at him, sparking a public confrontation. Mike catches the ball mid-air and mocks the name 'Stan' stitched on the letter jacket. As tension escalates, Mike dribbles and spins the ball while delivering a mocking psychological analysis of Stan's behavior, drawing laughter from the crowd. He feigns throwing the ball at Stan, who flinches, then gently tosses it back, intensifying the humiliation. Amid the chaos, another student throws a ball that misses Mike and hits Miss Goodwin’s tray, splattering her with food, leading her to glare at Stan.",Scene Grounding
legacy-ene31a5765eef2481ba7f4a03de7180508-8,ene31a5765eef2481ba7f4a03de7180508,en,28、INT. ED'S HOUSE/KITCHEN - NIGHT ; 22、INT. ED'S HOUSE/FOYER - DAY,What action by Ed directly provokes the physical confrontation in which Mike tries to restrain him?,Ed confiscates and drinks Mike's beer,"In the kitchen, Mike opens a beer, but before he can drink it, Ed takes the beer and consumes it himself. Ed, visibly agitated, accuses Mike of dragging him into trouble again and refuses to return to Fitch High, establishing tension rooted in control and resistance. This act of taking the beer escalates the underlying friction, directly preceding the struggle in the foyer where Mike tackles Ed in an attempt to de-escalate his behavior, resulting in a physical scuffle.",Causal-Motivational Reasoning
