id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en97cd44f4ac92471e9137b4d2262a4dac-13,en97cd44f4ac92471e9137b4d2262a4dac,en,40、INT: SAL'S FAMOUS PIZZERIA--DAY ; 79、INT: SAL'S FAMOUS PIZZERIA--NIGHT,How does Radio Raheem's relationship with Sal evolve from their initial confrontation to the final escalation in the pizzeria?,Radio Raheem treats Sal as an enemy and ultimately attacks him physically,"From the daytime confrontation, where Sal threatens Radio Raheem with a bat over the loud music and Radio Raheem refuses to back down, the tension between them remains adversarial. This hostility culminates at night when Sal destroys Radio Raheem's boom box, prompting Radio Raheem to launch a physical attack by choking him, confirming an unbroken trajectory of antagonism directed from Radio Raheem toward Sal.",Role-Relation Continuity
legacy-en97cd44f4ac92471e9137b4d2262a4dac-14,en97cd44f4ac92471e9137b4d2262a4dac,en,35、EXT: STOOP--DAY ; 65、EXT: STREET--DUSK,How does Da Mayor's relationship with Eddie Lovell remain consistent from their interaction on the stoop through the incident in the street?,Da Mayor continues to act with paternal concern and protection toward Eddie,"From the stoop scene, where Da Mayor entrusts Eddie with buying beer in a familiar, fatherly manner, to the moment he pulls Eddie from danger in the street and comforts him afterward by calling him 'son', Da Mayor consistently demonstrates a protective and caring dynamic, reinforcing an established role of guidance and emotional responsibility toward Eddie across these scenes.",Role-Relation Continuity
legacy-en97cd44f4ac92471e9137b4d2262a4dac-15,en97cd44f4ac92471e9137b4d2262a4dac,en,71、INT: HALLWAY--NIGHT ; 72、INT: TINA'S APARTMENT--NIGHT ; 73、INT: TINA'S BEDROOM--NIGHT,What event sets in motion the sequence of escalating tension between Mookie and Tina after his arrival at her apartment?,Mookie Delivers Pizza and Enters Tina's Apartment,"The encounter begins when Mookie arrives to deliver a pizza and crosses the threshold into Tina's apartment, marking the start of an increasingly charged interaction. From this moment, the narrative momentum shifts as their private exchange unfolds, leading directly to physical advances, emotional strain, and boundary violations in the confined space of her living room and futon. This entry acts as the pivotal access point that enables the subsequent developments to occur. [71、INT: HALLWAY--NIGHT]",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-16,en97cd44f4ac92471e9137b4d2262a4dac,en,72、INT: TINA'S APARTMENT--NIGHT ; 73、INT: TINA'S BEDROOM--NIGHT ; 75、INT: TINA'S BEDROOM--NIGHT,What turning point initiates the shift toward the intimate encounter between Mookie and Tina in her apartment?,"Tina Takes the Pizza, Mookie Initiates a Kiss","In the scene set in Tina's apartment at night, the tension between Mookie and Tina shifts decisively when Tina accepts the pizza and Mookie responds by initiating a kiss. This moment marks the transition from ambiguous rapport to physical intimacy, directly setting in motion the subsequent actions that unfold on the futon.",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-17,en97cd44f4ac92471e9137b4d2262a4dac,en,73、INT: TINA'S BEDROOM--NIGHT ; 73、INT: TINA'S BEDROOM--NIGHT ; 72、INT: TINA'S APARTMENT--NIGHT,"What pivotal moment shifts the narrative toward the intimate encounter between Mookie and Tina, despite her initial resistance?",Mookie Sets the Mood with Music and Dim Lights,"In the scene set in Tina's bedroom at night, Mookie's deliberate actions to create a romantic atmosphere—adjusting the lighting and playing music—establish the conditions that lead directly to the subsequent escalation of physical intimacy, including his advance, her ambiguous response, and their eventual closeness on the futon. This moment functions as the crucial bridge that propels the story into its emotionally charged climax.",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-18,en97cd44f4ac92471e9137b4d2262a4dac,en,45、INT: JADE'S BEDROOM--DAY ; 45、INT: JADE'S BEDROOM--DAY ; 53、INT: MOOKIE'S ROOM--DAY,"What pivotal event sets in motion Mookie's return home, the preparation to leave, and the subsequent argument with Jade over boundaries and money?",Jade Confronts Mookie About Skipping Work,"In the bedroom during the day, Jade confronts Mookie for neglecting his work responsibilities, challenging his reliability and prompting a chain of decisions that lead to his temporary return home, their joint preparations to depart, and an escalating dispute about personal limits and finances. This confrontation disrupts the status quo and initiates a shift in their relationship dynamics and immediate plans. [45、INT: JADE'S BEDROOM--DAY]",Narrative Progression
legacy-en97cd44f4ac92471e9137b4d2262a4dac-2,en97cd44f4ac92471e9137b4d2262a4dac,en,45、INT: JADE'S BEDROOM--DAY,What role does Jade assume in her interaction with Mookie during the scene at the air conditioner?,Protector/dependent,"Jade questions Mookie about skipping work, expressing concern that he might lose his job and reminding him she is already supporting him financially. She insists he fulfill his responsibilities, showing her ongoing effort to stabilize his life. Mookie resists her scrutiny but acknowledges her support, indicating a dynamic where Jade manages practical stability for him [Jade Confronts Mookie About Skipping Work].",Character Understanding
legacy-en97cd44f4ac92471e9137b4d2262a4dac-25,en97cd44f4ac92471e9137b4d2262a4dac,en,38、INT: SAL'S FAMOUS PIZZERIA--DAY ; 71、INT: HALLWAY--NIGHT,"By the time Mookie delivers pizza and enters Tina's apartment, what has already taken place at Sal’s pizzeria?",Mookie picks up two pizza pies for delivery,"Before Mookie arrives at Tina's apartment with the pizzas, he must first collect the order from Sal’s Famous Pizzeria during the day, where he picks up two pizza pies intended for delivery. This occurs in the same timeline as his later entry into the building hallway at night, establishing the necessary sequence of events for the delivery to unfold.",Temporal Reasoning
legacy-en97cd44f4ac92471e9137b4d2262a4dac-26,en97cd44f4ac92471e9137b4d2262a4dac,en,33、INT: SAL'S FAMOUS PIZZERIA--DAY ; 77、INT: STOREROOM--NIGHT,"By the time Sal calls the brothers away, what incident has already taken place in the pizzeria?",Pino smacks his brother Vito during a confrontation in the shop,"Before Sal intervenes to de-escalate tensions by calling the brothers away, a heated argument between Pino and Vito erupts in the pizzeria, culminating in Pino striking Vito. This physical altercation sets off a chain of reactions, including Mookie demanding retaliation, which heightens the conflict and makes Sal's later intervention necessary to prevent further violence. The confrontation occurs in the main shop area during the day, well before the private conversation in the storeroom at night.",Temporal Reasoning
legacy-en97cd44f4ac92471e9137b4d2262a4dac-27,en97cd44f4ac92471e9137b4d2262a4dac,en,44、INT: MOOKIE'S APARTMENT--DAY ; 45、INT: JADE'S BEDROOM--DAY,What does Mookie do shortly before being confronted by Jade about skipping work?,unlocks and enters the apartment,"Mookie arrives at the apartment and lets himself in, setting the immediate context for Jade's confrontation about his absence from work. This action directly precedes her challenge and establishes his physical return home. [scene: 44、INT: MOOKIE'S APARTMENT--DAY]",Temporal Reasoning
