id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en6825fec0dcce429abef2b213d6372bbd-10,en6825fec0dcce429abef2b213d6372bbd,en,12、EXT. CEMETERY - NIGHT ; 40、EXT. LARGE GRAVEYARD - DAWN,What change in Louis enables Lestat to carry him through the crypts while he is incapacitated?,Louis experiences transformed vampire vision,"After Louis awakens as a vampire, his senses are dramatically heightened, allowing him to perceive the world with intense clarity and vivid detail. He sees the cemetery, the swamp, and even the remains of his deceased family with a new, unsettling beauty, overwhelmed by the brightness and richness of his transformed perception. This sensory transformation leaves him disoriented and stunned, rendering him unable to move independently, which explains why Lestat must carry him through the crypts as he remains in a state of sensory overload.",Causal-Motivational Reasoning
legacy-en6825fec0dcce429abef2b213d6372bbd-11,en6825fec0dcce429abef2b213d6372bbd,en,19、INT. DINING ROOM - NIGHT ; 46、INT. HOUSE - NIGHT,"What event during the dinner scene makes Louis increasingly alienated, leading to his eventual flight after Claudia's transformation?",Lestat reviews financial documents and dismisses Louis's moral concerns while drinking rat blood,"During a lavish dinner, Lestat focuses on financial records, revealing that Louis's wealth from cotton can sustain them for decades. He mocks Louis’s hesitation about killing, insisting he will adapt. When Yvette enters, Louis briefly fixates on her humanity, but stops her from clearing his plate, holding her wrist and studying her veins before sending her away. Lestat scolds him for showing vulnerability, then produces a live rat, drains it, and pours the blood into a glass, insisting Louis drink. Louis does, surprised by the taste, and asks if they can survive on animal blood. Lestat condescends, calling it mere survival, not living, and urges Louis to go to New Orleans to experience real feeding. This moment crystallizes Louis’s discomfort with Lestat’s amorality and the erosion of his own humanity, setting the stage for his later flight when Lestat kills and dances with the dead after transforming Claudia.",Causal-Motivational Reasoning
legacy-en6825fec0dcce429abef2b213d6372bbd-12,en6825fec0dcce429abef2b213d6372bbd,en,99、EXT. LATIN QUARTER - NIGHT ; 262、INT. STAIRS,How does Santiago's relationship to Louis de Pointe du Lac evolve from their initial confrontation through later encounters?,Santiago consistently pursues Louis as an adversary,"From their first encounter in the Latin Quarter, where Santiago provokes and physically attacks Louis while Louis responds with anger and contempt, the adversarial dynamic persists through multiple scenes. Santiago continues to view Louis as a threat, as indicated by Armand's report that Santiago blames Louis for killing his maker. Subsequent interactions, including a strike in the theatre corridor and a final attack from behind on the stairs, reinforce Santiago's sustained hostile stance, marked by repeated physical confrontations and an enduring perception of Louis as a rival.",Role-Relation Continuity
legacy-en6825fec0dcce429abef2b213d6372bbd-13,en6825fec0dcce429abef2b213d6372bbd,en,112、EXT. HOTEL BALCONY - LATER ; 262、INT. STAIRS,How does the adversarial relationship between Estelle and Louis de Pointe du Lac evolve from their initial confrontation to the final attack on the stairs?,"They remain mutual adversaries with escalating hostility, culminating in Louis killing Estelle.","From the balcony confrontation onward, Estelle positions herself as an enforcer of vampire justice against Louis, leading attacks and mocking his vulnerability. Louis responds with increasing aggression, culminating in his premeditated killing of Estelle during the fire, confirming their sustained and intensifying antagonism across multiple encounters.",Role-Relation Continuity
legacy-en6825fec0dcce429abef2b213d6372bbd-14,en6825fec0dcce429abef2b213d6372bbd,en,102、INT. FOOT OF STAIRWAY ; 250、INT. CORRIDOR OF THEATRE DES VAMPIRES - NIGHT,How does Estelle's treatment of Claudia evolve from their initial encounter to the confrontation at the Theatre des Vampires?,Estelle consistently treats Claudia as a target of hostility and condemnation,"From the foot of the stairway onward, Estelle singles out Claudia with direct threats and physical intimidation, including baring her fangs and advancing menacingly despite attempts to de-escalate. This pattern persists through multiple encounters, culminating in her pronouncement of a death sentence during the Theatre des Vampires sequence, where she frames Claudia as a subject of punitive justice.",Role-Relation Continuity
legacy-en6825fec0dcce429abef2b213d6372bbd-15,en6825fec0dcce429abef2b213d6372bbd,en,7、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC ; 7、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC ; 7、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC,What pivotal event initiates Louis's transformation and sets into motion his subsequent confrontations with Lestat?,Louis Awakens to Lestat by His Bed,"In the opulent bedroom at Point du Lac, Louis regains consciousness to find Lestat watching over him, marking the moment when his mortal life ends and his existence as a vampire begins. This encounter establishes the foundation for their fraught relationship and directly precipitates Louis's later acts of defiance, including facing Lestat with a pistol, rejecting the offer of full transformation, and ultimately drawing a sword in confrontation.",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-16,en6825fec0dcce429abef2b213d6372bbd,en,12、EXT. CEMETERY - NIGHT ; 40、EXT. LARGE GRAVEYARD - DAWN ; 39、INT. BURNING MANSION - NIGHT,"What pivotal revelation shifts the trajectory of the narrative toward the sequences involving Louis’s journey through the crypt, his rescue at dawn, and his confrontation with self-recognition?",Lestat Reveals the Crypt's Truth,"In the cemetery at night, Lestat discloses a foundational truth about the crypt and its significance, fundamentally altering Louis’s understanding of their existence and setting in motion the chain of events that lead to Louis being carried through the crypt, rescued at dawn, and ultimately seeing his reflection. This disclosure serves as the critical narrative hinge that propels the story into its next phase.",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-17,en6825fec0dcce429abef2b213d6372bbd,en,12、EXT. CEMETERY - NIGHT ; 40、EXT. LARGE GRAVEYARD - DAWN ; 39、INT. BURNING MANSION - NIGHT,"What pivotal event initiates the transformation that leads directly to Louis navigating the crypt, Lestat's dawn rescue, and Louis confronting his reflection?",Louis Awakens as a Vampire,"The moment Louis rises as a vampire marks a definitive shift in the narrative, setting in motion a chain of consequential actions: Lestat carries him through the crypts, delivers him to safety at dawn, and Louis ultimately sees his altered self in a mirror. This transformation fundamentally redirects the story’s trajectory, establishing the central dynamic between the characters and launching Louis’s journey of identity and resistance. [12、EXT. CEMETERY - NIGHT]",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-18,en6825fec0dcce429abef2b213d6372bbd,en,44、INT. INN - EVENING ; 47、EXT. STREETS - NIGHT ; 18、INT. BASEMENT - POINTE DU LAC,What pivotal moment shifts the narrative toward Louis's nocturnal flight through New Orleans and Lestat's final gestures of closure?,Louis Declares He Is Leaving Lestat,"In the quiet tension of a dimly lit inn at evening, Louis confronts the irreversible fracture in his bond with Lestat, voicing his decision to depart. This declaration sets into motion a chain of emotionally charged farewells and symbolic acts—Louis running alone through the city, Lestat sealing the coffin, whispering prayers in darkness, and a final, bittersweet gesture of affection—marking the end of their intertwined existence.",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-2,en6825fec0dcce429abef2b213d6372bbd,en,25、EXT. LAWNS. NIGHT,What does Lestat's confrontation with Louis reveal about his view of their relationship?,Protector/dependent,"Lestat kills the widow to eliminate a threat and immediately confronts Louis, berating him for weak feeding choices and nearly exposing them. When Louis attacks in rage, Lestat resists effortlessly but does not retaliate, instead ruffling Louis's hair and offering him freedom to feed as he chooses while affirming his enduring presence. His actions frame Louis as someone who needs guidance and protection, while positioning himself as the one who sustains Louis despite his flaws [scene: Lestat Kills the Widow and Confronts Louis].",Character Understanding
