id,related_scenes,question,answer,related_context,question_type,question_source
1,54、EXT./INT. ST. CLOUD'S ROAD - TRUCK CAB - DAY,Why does Homer mention the incinerator compared to their current situation?,To highlight their survival as preferable to a worse fate.,We could have ended up in the incinerator!... Happy to be alive,Causal-Motivational Reasoning,broad_coverage_scene
2,67、INT. GIRLS' DIVISION - NIGHT,What is Mary Agnes doing in the girls' washroom?,Repetitively slapping her face in front of the mirror by the sinks.,"In the girls' washroom, in front of the mirror by the row of sinks, Mary Agnes is repeatedly slapping her face.",Scene Grounding,broad_coverage_scene
3,57、INT. CORRIDOR - DAY,Why can't Homer get excited according to his own explanation?,Because he has a heart defect that prevents him from getting excited.,"Homer They wouldn't take me. I'm Class IV--I've got a heart defect. No strain, no stress. I try to keep calm all the time.",Causal-Motivational Reasoning,broad_coverage_scene
4,4、INT. LARCH'S OFFICE - DAY,"In [4、INT. LARCH'S OFFICE - DAY], Who possesses the infant before handing him over?",Dr. Larch,"Dr. Larch shows couple #1 their newly adopted son, HOMER, an infant who lies smiling in Dr. Larch's arms.",Scene Grounding,broad_coverage_scene
5,55、EXT. ORPHANAGE DRIVEWAY - DAY,Why does Wally give chocolates to the children?,"To ease his anxiety about Larch, Homer, and Buster","Nervously, Wally gives the children chocolates. They are anxious of Larch and Homer and Buster...",Causal-Motivational Reasoning,broad_coverage_scene
6,57、INT. CORRIDOR - DAY,Why did Wally open the window after exiting the O.R.?,To regain composure after the ether's smell affected him.,Wally breathes deeply to regain his composure. WALLY I think it was the ether--the smell got to me.,Causal-Motivational Reasoning,broad_coverage_scene
7,32、EXT. ST. CLOUD'S - THE HILL - NIGHT,When does the evening come according to Edna's dialogue?,When the shadows lengthen and the busy world is hushed,"until the shadows lengthen and the evening comes, and the busy world is hushed, and the fever of life is over, and our work is done",Temporal Reasoning,broad_coverage_scene
8,37、INT. BABY ROOM - MORNING,What does Larch claim about naming the baby?,Henceforth you shall be... Little Dorrit!,LARCH: Henceforth you shall be... Little Dorrit!,Character Understanding,broad_coverage_scene
9,56、INT. LARCH'S OFFICE - DAY,What causes Edna to correct her statement?,She sees that all three have misunderstood her.,Edna quickly sees that all three of them have misunderstood her.,Causal-Motivational Reasoning,broad_coverage_scene
10,56、INT. LARCH'S OFFICE - DAY,Why is Wally relieved after Homer's response?,Because Homer says Dr. Larch will perform the procedure.,No. Dr. Larch will be performing the procedure.,Causal-Motivational Reasoning,broad_coverage_scene
