id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en8546b56484754b42b4bc1b26acaff242-10,en8546b56484754b42b4bc1b26acaff242,en,28、EXT. SCHOOL YARD - DAY ; 145、INT. CARNEGIE HALL - STAGE - PODIUM - NIGHT,"From the argument on the schoolyard to the speech at Carnegie Hall, how did the relationship between Janet and Roberta evolve?",From mutual hostility to becoming collaborators in advancing music education,"Initially, Janet showed clear dissatisfaction with Roberta due to teaching disruptions, creating tension. As the story unfolded, they engaged in multiple conversations and shared experiences, eventually reaching consensus on establishing the East Harlem Violin Project. Their public statements reflected a relationship built on trust and shared goals.",Role-Relation Continuity
legacy-en8546b56484754b42b4bc1b26acaff242-11,en8546b56484754b42b4bc1b26acaff242,en,23、INT. BRIAN'S BEDROOM - NIGHT ; 137、EXT. ROBERTA'S BROWNSTONE - DAY,"From [24, INT. BRIAN'S BEDROOM - NIGHT] to [138, EXT. ROBERTA'S BROWNSTONE - DAY], how did the role relationship between Nick and Roberta evolve?",From Roberta caring for Nick in a parental role to becoming close companions who act together,"Initially, Roberta displayed caretaking behaviors toward Nick in family scenes, establishing her as a guardian. In later scenes, Nick participated in Roberta's team activities and assisted with tasks, indicating their relationship had evolved into one of equal partnership. Despite emotional entanglements and brief conflict, the overall arc moved from one-sided care to mutual collaboration.",Role-Relation Continuity
legacy-en8546b56484754b42b4bc1b26acaff242-12,en8546b56484754b42b4bc1b26acaff242,en,15、INT. MUSIC ROOM - LATER ; 130、INT. CPE 1 - MUSIC ROOM - A LITTLE LATER,"From initial instruction in the music room to joint music creation, how did the collaborative dynamic between Naeem and Roberta evolve?",From one-way instruction to mutually trusting musical partners,"Initially, Roberta instructed Naeem in playing, reflecting a hierarchical teacher-student relationship. As the story progressed, they played together in multiple scenes, supported each other, and maintained collaboration even during emotional vulnerability, ultimately forming an equal and trusting creative partnership.",Role-Relation Continuity
legacy-en8546b56484754b42b4bc1b26acaff242-13,en8546b56484754b42b4bc1b26acaff242,en,24、INT. MUSIC ROOM - DAY ; 120、INT. MUSIC ROOM - DAY,"In multiple interactions in the music room, how did the relationship between Lucy and Roberta evolve from initial conflict to eventual reconciliation?",From disciplinary control and opposition to acceptance and friendly interaction,"Initially, Roberta showed clear hostility toward Lucy's misbehavior, criticizing her and considering expulsion. As the story progressed, when they reunited in the same setting, Roberta greeted Lucy with a smile and embraced her, indicating a positive shift. This change reflects a dynamic evolution from authoritative discipline to emotional acceptance.",Role-Relation Continuity
legacy-en8546b56484754b42b4bc1b26acaff242-14,en8546b56484754b42b4bc1b26acaff242,en,24、INT. MUSIC ROOM - DAY ; 125、INT. ROBERTA'S BROWNSTONE - NIGHT,"From [25, INT. MUSIC ROOM - DAY] to [126, INT. ROBERTA'S BROWNSTONE - NIGHT], how was the teaching and learning relationship between Guadalupe and Roberta sustained?","Roberta remained Guadalupe's mentor, and Guadalupe consistently respected and accepted her guidance as a student","In early scenes, Roberta attended to Guadalupe's physical needs and provided technical instruction, establishing a mentor-student dynamic. Subsequent interactions maintained this supportive and trusting pattern. In the final scene, Guadalupe explicitly acknowledged Roberta's teaching, confirming the continuity of their relationship.",Role-Relation Continuity
legacy-en8546b56484754b42b4bc1b26acaff242-18,en8546b56484754b42b4bc1b26acaff242,en,27、INT. CLASSROOM - DAY ; 28、EXT. SCHOOL YARD - DAY ; 28、EXT. SCHOOL YARD - DAY,"Which event marked Roberta's temporary disconnection from her teaching duties and paved the way for Janet's managerial intervention, demonstration of control tools, and Roberta's redefinition of her role?",Roberta leaves the classroom without leading the violin students,"In this scene, Roberta exits alone without organizing the students, exposing a breakdown in teaching order. This became the catalyst for administrative intervention and the restructuring of role dynamics. It directly triggered the renegotiation of classroom control authority, serving as a key narrative turning point.",Narrative Progression
legacy-en8546b56484754b42b4bc1b26acaff242-2,en8546b56484754b42b4bc1b26acaff242,en,14、INT. MUSIC ROOM - DAY,"At the beginning of the violin lesson in the music room, what was Roberta's first key action to establish order?",Told the children not to open their instrument cases,"The core of this scene is Roberta's attempt to impose classroom discipline amid chaos. Her initial effort focuses on preventing the children from opening their cases, marking the starting point of her attempt to regain control. Though her tone is gentle, repeated defiance from the students triggers a chain of rule-breaking behaviors. This instruction is her first clear intervention to maintain order, setting the tone for the power struggle that defines the scene.",Scene Grounding
legacy-en8546b56484754b42b4bc1b26acaff242-25,en8546b56484754b42b4bc1b26acaff242,en,"20、INT. BRIAN'S BATHROOM - DAY ; 32、INT. BRIAN'S HOTEL ROOM, TEXAS - NIGHT","Before Brian apologized to Roberta at the Texas hotel, what key preparation did he make at home in the bathroom?",Brian packed his toiletries into a plastic bag,"Prior to traveling to Texas and apologizing, the script shows Brian packing his toiletries at home in the bathroom. This action marks the practical beginning of his journey and sets up the narrative for the subsequent apology scene.",Temporal Reasoning
legacy-en8546b56484754b42b4bc1b26acaff242-26,en8546b56484754b42b4bc1b26acaff242,en,13、INT. JANET'S OFFICE - CONTINUOUS ; 45、INT. JANET WILLIAMS' OFFICE - DAY,"When Janet gave Roberta advice about raising children, what key question had Lexi previously asked her?",Lexi asked Janet if she would hire Roberta,"Before Janet's conversation with Roberta, Lexi asked Janet in her office whether she intended to formally hire Roberta. This question set the stage for Janet's later advice, establishing her managerial authority and creating narrative continuity before the counseling scene.",Temporal Reasoning
legacy-en8546b56484754b42b4bc1b26acaff242-27,en8546b56484754b42b4bc1b26acaff242,en,38、EXT. SCHOOL YARD - LUNCH RECESS - DAY ; 39、INT. ROBERTA'S NEW APARTMENT - LIVING ROOM - NIGHT,"Shortly before Roberta tells Nick about the separation, what does she do in the schoolyard?",Observes children playing,"Roberta arrives in the schoolyard during lunch recess, where she watches children play. This moment precedes her conversation with Nick about the separation, serving as a quiet, reflective setup before the emotional revelation.",Temporal Reasoning
legacy-en8546b56484754b42b4bc1b26acaff242-28,en8546b56484754b42b4bc1b26acaff242,en,19、INT. BRIAN'S OFFICE - DAY ; 20、INT. BRIAN'S BATHROOM - DAY,What key event sets the stage for Roberta confronting Brian about leaving?,Brian receives confirmation of research grant approval,"Shortly after Brian learns that his research grant has been approved in his office, he begins preparing for his trip. This development directly precedes Roberta confronting him about his departure later in the day.",Temporal Reasoning
legacy-en8546b56484754b42b4bc1b26acaff242-29,en8546b56484754b42b4bc1b26acaff242,en,17、INT. BRIAN'S APARTMENT - OFFICE - CONTINUOUS ; 18、INT. BRIAN'S BEDROOM - DAY,What occurs between Roberta and Brian shortly before she wakes up in his bed?,Roberta resists Brian's advances while expressing marital loyalty,"In the scene immediately preceding Roberta waking up in Brian's bedroom, she is in his apartment where tensions surface as Brian makes romantic overtures. Roberta pushes back against his advances, clearly affirming her commitment to her marriage, setting the emotional and narrative stage for the complicated situation that follows.",Temporal Reasoning
