id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,en3b9c9c29e0ba4991bf8328f835c78f30,en,149、INT. HOTEL,What is Nicky's immediate objective when she accesses the secure system while Bourne observes?,To locate Daniel using the hotel's 3-D tracking interface,"Nicky logs into a secure computer system and retrieves real-time location data showing Daniel inside a hotel, with Bourne present and monitoring her actions throughout [Nicky Logs In and Finds Daniel's Location].",Character Understanding
2,en3b9c9c29e0ba4991bf8328f835c78f30,en,141、INT. VOSEN'S OFFICE,What is Landy's objective in entering Vosen's office unannounced?,Confront Vosen over unauthorized lethal authority,"Landy pushes open the door to Vosen's office without knocking and immediately demands to know when he obtained authorization for lethal action against Daniels. She challenges his decision to bypass standard protocols, arguing that apprehension should be the goal. Vosen defends the order by citing operational necessity and the risk posed by Daniels possessing sensitive Blackbriar intelligence, including the full playbook on covert operations. When Landy reviews the 'Lethal Action Protocol' file, she expresses shock at the lack of oversight, questioning how such power can be exercised without checks. Vosen insists the threat environment justifies bypassing bureaucratic constraints.",Character Understanding
3,en3b9c9c29e0ba4991bf8328f835c78f30,en,167、EXT. DAY. TANGIER STREET,"What does Desh conclude upon seeing Bourne after the explosion, and how does it inform his immediate objective?",Bourne is down; pursue Nicky,"After the explosion, Desh turns and sees Bourne lying motionless in the street. He interprets this as confirmation that Bourne is no longer a threat, mounts his motorbike, and rides away toward his next target, Nicky.",Character Understanding
4,en3b9c9c29e0ba4991bf8328f835c78f30,en,141、INT. VOSEN'S OFFICE,What is Landy's objective in confronting Vosen after entering unannounced?,Challenge unauthorized lethal authority,"Landy enters without knocking and demands to know when Vosen obtained authorization for lethal action against Daniels. Vosen claims the authority was granted after Daniels took sensitive material and fled. He asserts control under the Blackbriar protocol, citing an immediate threat and the need for autonomous decisions. Landy argues that such power exceeds his mandate and lacks oversight, emphasizing that apprehension should take precedence over assassination. The exchange centers on the legitimacy and scope of Vosen's operational authority.",Character Understanding
5,en3b9c9c29e0ba4991bf8328f835c78f30,en,164、EXT. DAY. TANGIER,What occurs when Desh receives the target photos during his Vespa ride?,Receives target information while riding his Vespa,"Desh rides through Tangier on his Vespa and receives new intelligence, including photographs of Bourne and Nicky. As he reviews the images, he notices Bourne in his rearview mirror, marking the moment he becomes aware of both his targets and being followed.",Scene Grounding
6,en3b9c9c29e0ba4991bf8328f835c78f30,en,167、EXT. DAY. TANGIER STREET,What occurs when Bourne spots Desh in the street just before the explosion?,Bourne sees Desh holding the detonator,"Bourne turns and sees Desh standing with the detonator in his hand. Their eyes meet, and in the next instant, Desh triggers the device. The explosion erupts, hurling Bourne across the street. He lands motionless on the pavement, and Desh rides away on his motorbike after confirming Bourne is down.",Scene Grounding
7,en3b9c9c29e0ba4991bf8328f835c78f30,en,154、INT. HOTEL,What does Bourne direct Nicky to do regarding Desh Bouksani in the hotel room?,Arrange a meeting with Desh Bouksani,"In the hotel room, Bourne instructs Nicky to set up a meeting with Desh Bouksani, claiming he has a new phone for him. Nicky cautions that if Desh is stopped, someone else will simply take his place, but Bourne clarifies that their goal is not to stop him—they intend to follow Desh, believing he will lead them to Daniels.",Scene Grounding
8,en3b9c9c29e0ba4991bf8328f835c78f30,en,178、EXT. PETIT SOCCO -- CONTINUOUS *; 167、EXT. DAY. TANGIER STREET,What action by Desh immediately enables the confrontation and explosion in the Tangier street scene?,Desh parks the motorbike and walks around the corner,"Desh parks his motorbike and walks around a corner, allowing Bourne to follow closely behind on foot. This movement positions both characters in the same confined urban space, leading directly to the moment when Desh, now holding the detonator, sees Bourne, triggers the explosion, and escapes on his motorbike after Bourne is thrown to the ground.",Causal-Motivational Reasoning
9,en3b9c9c29e0ba4991bf8328f835c78f30,en,178、EXT. PETIT SOCCO -- CONTINUOUS *; 167、EXT. DAY. TANGIER STREET,What event immediately prior to the detonation explains Bourne's presence and confrontation with Desh?,Bourne arrives and notices Nicky has left,"Bourne arrives at the crowded Petit Socco and observes that Nicky is no longer there, with Desh's Vespa parked nearby. As police move through the area, Bourne scans the scene, looks toward the rooftops, and begins ascending a nearby staircase, positioning himself directly before the confrontation on the Tangier street where Desh triggers the explosion.",Causal-Motivational Reasoning
10,en3b9c9c29e0ba4991bf8328f835c78f30,en,167、EXT. DAY. TANGIER STREET; 167、EXT. DAY. TANGIER STREET,What event immediately triggers the explosion that kills Daniels and knocks Bourne unconscious?,Daniels' car approaches down the street,"As Bourne stands on the Tangier street, he notices Daniels' car moving toward him and freezes, recognizing the threat. At that moment, Desh, holding a detonator, locks eyes with Bourne. The explosion follows instantly, killing Daniels and throwing Bourne violently to the ground, where he lies unconscious as Desh flees on his motorbike.",Causal-Motivational Reasoning
