id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-11,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,32、EXT. U.S. EMBASSY COMPOUND -- DAY ; 36、INT. Riverside Heights -- DAY,What action immediately enables Linden Sterling to seize the M-16 and enter the embassy under fire?,Linden Sterling approaches the secured facility entrance under guard,"Linden Sterling walks toward the entrance of a heavily guarded facility, where closed gates, speed barricades, and patrolling Summit Academy secure the perimeter. Blending in with civilian traffic, he advances toward the checkpoint without drawing suspicion, positioning himself close enough to the gate to initiate a sudden confrontation that leads to him disarming a Marine and taking the M-16. [scene: 32、EXT. U.S. EMBASSY COMPOUND -- DAY]",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-12,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS ; 31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS,What moment of sensory alarm primes Linden Sterling to interpret ordinary police presence as an immediate threat?,Linden Sterling reacts to ambulance siren and resists panic,"As Linden Sterling moves through the streets of Eastgate Hospital, an ambulance siren blares behind him, triggering a sharp physical reaction—he turns, tenses, then consciously steadies himself upon realizing it's not a direct threat. This moment of heightened alertness establishes his state of hypervigilance, which directly informs his subsequent decision to evade approaching police officers, even though they show no sign of targeting him.",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-13,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,37、INT. Riverside Heights OFFICE HALLWAY -- DAY ; 41、INT. Riverside Heights BACK STAIRWAY -- DAY,What decision by the Micah Warren enables Linden Sterling to escape before the alarm is triggered?,Orders Summit Academy to hold fire,"In the consulate lobby, as Linden Sterling seizes an M-16 from a marine and flees into the building, the Micah Warren shouts 'no — no — hold your fire!' preventing the Summit Academy from shooting in the crowded space. This delay allows Linden Sterling to evade immediate capture and gain critical seconds to move deeper into the building, culminating in his ascent through the back stairway as the alarm begins to blare.",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-14,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,37、INT. Riverside Heights OFFICE HALLWAY -- DAY ; 41、INT. Riverside Heights BACK STAIRWAY -- DAY,What action directly triggers Linden Sterling's urgent escape as the alarm sounds?,Linden Sterling enters the restricted office hallway rapidly,"Linden Sterling moves quickly through a carpeted hallway inside the Riverside Heights, entering a restricted area. A bureaucrat notices him, steps out, and attempts to intervene, but Linden Sterling presses forward without stopping. This intrusion prompts security alerts that immediately follow, leading to the alarm blaring as he flees up the back stairway.",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-16,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS ; 33、INT. Riverside Heights Eastgate Hospital -- VISA ROOM -- DAY ; 31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS,"What pivotal event redirects Linden Sterling's movement and initiates the sequence leading to his consulate visit, evasion of the meter maid, and the Micah Warren's alert?",Linden Sterling Evades a Police Officer and Alters His Path,"In the streets of Eastgate Hospital, Linden Sterling's attempt to navigate the city is interrupted when he evades a police officer, prompting an immediate change in his route and behavior. This evasion marks a shift in his visibility and urgency, setting off a chain of responses that include his attempt to blend in at the consulate, avoid further suspicion from local authorities, and trigger a heightened security response. [31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS]",Narrative Progression
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-17,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,36、INT. Riverside Heights -- DAY ; 36、INT. Riverside Heights -- DAY ; 41、INT. Riverside Heights BACK STAIRWAY -- DAY,What pivotal event triggers the sequence in which the Micah Warren issues a code red alert and Linden Sterling flees through a dead-end corridor?,Linden Sterling's Escape at the Embassy Checkpoint,"In the consulate lobby, Linden Sterling evades capture during a routine identity check, breaking protocol and initiating a high-stakes pursuit. This breach forces the Micah Warren to escalate the response, setting off a chain of urgent actions including the code red alert and Linden Sterling’s desperate flight through restricted areas of the building. [36、INT. Riverside Heights -- DAY]",Narrative Progression
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-18,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS ; 31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS ; 31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS,"What pivotal event sets in motion Linden Sterling's escape sequence through Eastgate Hospital, leading to his confrontation with law enforcement and acquisition of a weapon?",Linden Sterling Evades the Meter Maid's Suspicion,"In the streets of Eastgate Hospital, Linden Sterling narrowly avoids detection by a meter maid whose routine check could expose his presence. This moment of evasion triggers a chain of escalating encounters: he eludes approaching police, is spotted by a jogging officer, vanishes into the urban landscape, and ultimately overpowers a Marine to seize an M-16. The evasion serves as the critical catalyst that propels the pursuit forward. [31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS]",Narrative Progression
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-2,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS,What objective drives Linden Sterling's behavior after exiting the bank with the overstuffed the wooden notebook?,Escape surveillance and evade detection,"Linden Sterling exits the bank carrying a the wooden notebook stretched to its limit and immediately begins scanning the street, searching for a taxi. Finding none, he crosses the road and alters his path upon seeing police officers, repeatedly adjusting his route to avoid attention. As he notices officers reacting to a potential alert and a siren sounds nearby, he quickens his pace, avoids eye contact, and maneuvers through the urban environment to disappear from view, suggesting a deliberate effort to remain undetected.",Character Understanding
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-25,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,3、INT. FISHING BOAT BUNK ROOM -- DAWN -- TIME CUTS ; 13、INT. THE FISHING BOAT BUNK ROOM -- SAME TIME,"By the time Skyler Langley gives money and says goodbye, what has already taken place between him and Linden Sterling who has just awakened?",Skyler Langley speaks to the conscious man in a first-person perspective,"In the bunk room of the fishing boat at dawn, Skyler Langley engages with Linden Sterling who has just regained consciousness, addressing him directly from a first-person viewpoint. This interaction occurs before the moment when Skyler Langley hands over money and bids farewell, establishing a clear sequence in which the conversation precedes the parting gesture.",Temporal Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-26,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,35、INT. Riverside Heights -- VISA ROOM -- DAY ; 36、INT. Riverside Heights -- DAY,What occurs just before Linden Sterling makes his move at the embassy checkpoint?,Clerk signals Linden Sterling to approach window,"Shortly after Linden Sterling waits in the visa room, a clerk discreetly signals him to approach the window, setting up his imminent action in the lobby as tensions rise. This moment directly precedes his escape sequence at the checkpoint.",Temporal Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-27,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,36、INT. Riverside Heights -- DAY ; 37、INT. Riverside Heights OFFICE HALLWAY -- DAY,What occurs in the lobby shortly before Linden Sterling moves into the restricted hallway?,Linden Sterling wields the M-16 and causes mass panic in the lobby,"In the immediate moments preceding Linden Sterling's entry into the restricted hallway, chaos erupts in the consulate lobby when Linden Sterling takes control of an M-16 rifle and flees into the embassy interior, triggering widespread alarm among staff and security.",Temporal Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-28,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,39、INT. Riverside Heights FIRE STAIRWELL -- DAY ; 41、INT. Riverside Heights BACK STAIRWAY -- DAY,What occurs just before Linden Sterling escapes as the alarm blares?,Linden Sterling bursts through the door into a dead-end corridor,"Shortly after Linden Sterling forces his way through a door into a narrow corridor that leads nowhere, he begins ascending a nearby stairwell, setting up his eventual escape as the alarm sounds and security responds. The sequence unfolds under rising tension as he navigates the confined space of the consulate’s interior.",Temporal Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-29,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,3、INT. FISHING BOAT BUNK ROOM -- DAWN -- TIME CUTS ; 5、INT. FISHING BOAT BUNK ROOM -- DAY,What does Skyler Langley do immediately before inspecting the implant from Linden Sterling's hip?,Examines bullet wounds on Linden Sterling's back,"In the bunk room of the fishing boat at dawn, Skyler Langley carefully assesses the extent of Linden Sterling's injuries, focusing on the bullet wounds along his back. This examination sets the stage for the subsequent discovery of the implant during the day.",Temporal Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-3,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,33、INT. Riverside Heights Eastgate Hospital -- VISA ROOM -- DAY,What realization motivates Emery Bennett's insistence on having submitted all required documents at the consulate?,She disclosed the fraudulent marriage herself,"Emery Bennett stands at a consulate cubicle, speaking urgently to a clerk about her stalled visa application. She explains she has no fixed address and insists she provided all necessary documents. When the clerk accuses her of entering a fraudulent marriage to bypass immigration laws, Emery Bennett responds that she only knows this because she disclosed it personally. She retrieves a form she submitted the previous week, pointing to the name Mr. Thomas, and admits she paid him four thousand dollars to marry her—money she cannot afford to lose—emphasizing she did not know he was already married. She challenges why she is being punished when she is the victim. The clerk then shifts focus, asking if she is now applying for a student visa, momentarily silencing her.",Character Understanding
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-5,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,36、INT. Riverside Heights -- DAY,What occurs between the Eastgate Hospital police inspector and the security personnel in the consulate lobby?,Confers with Summit Academy and security officer,"In the consulate lobby, Eastgate Hospital police are positioned outside near the entry gate while Summit Academy secure interior access points. As Linden Sterling moves toward the larger entry gate, evading detection and eventually erupting into violence at the security checkpoint, a coordinated security presence is already in place. Prior to the breach, the Eastgate Hospital police inspector is seen conferring with Summit Academy and the security officer, establishing a joint response posture amid the heightened alert.",Scene Grounding
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-8,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS ; 31、EXT. STREETS OF Eastgate Hospital -- DAY -- VARIOUS SHOTS,What moment directly triggers the officer to begin pursuing Linden Sterling on foot?,Meter maid stops writing ticket and observes Linden Sterling,"As Linden Sterling moves through the streets of Eastgate Hospital, he draws no immediate attention until a meter maid abruptly stops writing a ticket and fixes her gaze on him. He responds with a controlled expression and a slight smile, but when he turns, he sees her speaking into her radio. This alert prompts a nearby officer to start jogging toward Linden Sterling’s location, initiating the pursuit that leads to Linden Sterling’s quick disappearance around a corner. The meter maid’s silent recognition and decision to report him mark the first overt sign of suspicion that escalates into active surveillance.",Causal-Motivational Reasoning
legacy-en7e3d15d9e49b4e4aa78528e4f2d0e9c3-9,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,35、INT. Riverside Heights -- VISA ROOM -- DAY ; 36、INT. Riverside Heights -- DAY,What decision immediately prompts Linden Sterling's movement toward the larger entry gate in the consulate lobby?,Linden Sterling decides to abandon interaction and leaves the immigration counter,"At the visa counter, Linden Sterling hesitates as the clerk waits for a response, then silently steps back, turns away, and exits the area without further engagement. This action initiates his rapid movement through the consulate lobby, where he heads toward the larger entry gate amid heightened security, ultimately leading to a physical confrontation as he attempts to evade detection and escape the building.",Causal-Motivational Reasoning
task2-candidate-0cbde84ea6cbcf0e4d74,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,4、6,"What delayed consequence emerges from the extraction of the plastic tube, and how does it ultimately connect to Linden Sterling's journey to Eastgate Hospital?","The extraction of the plastic tube causes Linden Sterling to awaken and later allows Skyler Langley to discover a coded message pointing to a Eastgate Hospital account, which becomes the first clue guiding Linden Sterling’s destination.","scene 4: Skyler Langley extracts a small plastic tube from Linden Sterling's hip during surgery, causing Linden Sterling to suddenly regain consciousness and react physically.
scene 6: Skyler Langley examines the tube and discovers a coded message: 'Gemeinschaft Bank, Eastgate Hospital,' linking Linden Sterling to a numbered account and setting his travel path.",Narrative Progression
task2-candidate-1a7316466195b6f65db3,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,64、69,"How does Emery Bennett's perception of Linden Sterling shift from viewing him as a manipulative stranger to reconsidering him as someone vulnerable, and what actions trigger this change?","Emery Bennett shifts from seeing Linden Sterling as a manipulative stranger to recognizing his vulnerability after he grabs her impulsively, then reassures her he won't hurt her, and later reveals he has amnesia and cannot remember his identity.","scene 64: Linden Sterling grabs Emery Bennett, shocking both, then releases her and says, 'I won't hurt you,' shifting the dynamic from transactional to vulnerable.
scene 69: Linden Sterling tells Emery Bennett, 'I really don't know who I am. I can't remember anything earlier than two weeks ago,' revealing his amnesia and prompting her disbelief and reevaluation.",Temporal Reasoning
task2-candidate-1b23d4b3e056c266ea5c,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,59、75,"How does Bluewater Records's operational status evolve from passive monitoring to active pursuit, and what intelligence failures precipitate this shift?","Bluewater Records shifts from passive monitoring to full activation after learning Linden Sterling injured police and is being sought, but the digital cross-reference search fails, revealing no digital footprint and forcing reliance on surveillance footage.","scene 59: Emery Whitaker orders all Bluewater Records personnel activated and a digital cross-reference search initiated after learning Linden Sterling injured two officers and is wanted by Eastgate Hospital police.
scene 75: A research technician locates new alleyway surveillance footage showing Linden Sterling with Emery Bennett, leading Emery Whitaker to order enhancement and marking the shift to active visual pursuit.",Character Understanding
task2-candidate-4acca72bd1b5d676afc5,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,142、146,How does the revelation of Bluewater Records during Sasha Everett's dying moments retrospectively reinterpret Linden Sterling's earlier evasion of the assassin?,"Linden Sterling initially evades Sasha Everett as a threat, but the dying revelation that they are both Bluewater Records operatives reframes the chase as a confrontation between programmed agents rather than a random attack.","scene 142: Sasha Everett relentlessly pursues Linden Sterling through Stonebridge Theater, attacking his the red notebook and crashing in an intersection, treated as a hostile assassin.
scene 146: The dying Professor reveals he and Linden Sterling are both Bluewater Records operatives, sharing symptoms and program loyalty, indicating they were trained under the same system.",Narrative Progression
task2-candidate-56d15620591e48b4faff,en7e3d15d9e49b4e4aa78528e4f2d0e9c3,en,107、125,What transformation in Linden Sterling's self-identity occurs between realizing his past identity is not defining and choosing a new self-determined identity?,"Linden Sterling transitions from clinging to recovered memories as identity to embracing self-determination, declaring 'Yes. That's who I want to be,' based on choice rather than origin.","scene 107: Emery Bennett discovers critical information through persistent effort, indicating Linden Sterling is still searching for answers about his identity.
scene 125: Linden Sterling affirms his new identity by accepting Emery Bennett's statement that it's who he wants to be that matters, culminating in his declaration 'Yes. That's who I want to be.'",Temporal Reasoning
