id,related_scenes,question,answer,related_context,question_type,question_source
1,35、INT. BRIDGE OF RELIANT,What action does Chekov perform as the camera widens?,Chekov turns away as the camera widens to reveal Khan by his side.,"Chekov, in a matched cut, turns away as CAMERA WIDENS TO REVEAL KHAN by his side.",Scene Grounding,broad_coverage_scene
2,2、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,What happens to Sulu when the Enterprise is hit?,Sulu is hurled from his station.,"Sulu does his best, but Enterprise is hit; Sulu is hurled from his station, and Bones hurries to him.",Scene Grounding,broad_coverage_scene
3,16、INT. RELIANT BRIDGE,"In [16、INT. RELIANT BRIDGE], What does Beach order Kyle to muster?",A landing party with full arms,muster a landing party with full arms,Scene Grounding,broad_coverage_scene
4,5、INT. BRIDGE OF RELIANT,What does Terrell propose regarding the anomaly?,Contact Doctor Marcus to see if it can be transplanted.,"TERRELL All right, let's get on the Comm-pic to Doctor Marcus. Maybe it's something we can transplant.",Character Understanding,broad_coverage_scene
5,4、EXT. DEEP SPACE - NEAR CETI ALPHA V,"In [4、EXT. DEEP SPACE - NEAR CETI ALPHA V], Why is the USS Reliant approaching CETI ALPHA V?",To test the Genesis Experiments on a lifeless planet.,Starship log... project code name GENESIS... suitable test site for the Genesis Experiments.,Causal-Motivational Reasoning,broad_coverage_scene
6,"8、INT. CORRIDOR, SPACE STATION REGULA I",What does David say about procrastination?,Never put off tomorrow what you can put off today.,DAVID: Never put off tomorrow what you can put off today.,Character Understanding,broad_coverage_scene
7,15、INT. CARGO HOLD - CETI ALPHA V,"In [15、INT. CARGO HOLD - CETI ALPHA V], What is Khan's role according to Chekov?","A criminal, a product of late 20th Century genetic engineering","CHEKOV: A criminal, Captain -- a product of the late 20th Century genetic engineering --",Character Understanding,broad_coverage_scene
8,43、INT. SPOCK'S QUARTERS,How does Kirk react when Spock states he has no ego?,Smiles in bemused wonderment.,Kirk smiles in bemused wonderment.,Scene Grounding,broad_coverage_scene
9,53、INT. ENTERPRISE BRIDGE - FAVORING SPOCK,What action does Kirk take after Spock's warning?,He orders to raise shields and energize phasers.,"KIRK Raise shields! Energize phasers, stand by to --",Scene Grounding,broad_coverage_scene
10,42、EXT. SPACE - ENTERPRISE (FEATURE STOCK),What action does the ship take after accelerating?,It undergoes an eye-filled burst and whips ahead to warp speed.,"The ship accelerates, and then, with an eye-filled burst, whips ahead to warp speed, disappearing.",Scene Grounding,broad_coverage_scene
