id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-11,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,46、玉娇龙的闺房(夜) ; 47、马车内/大漠(日),在俞秀莲发现高师娘偷看之前，哪一个举动直接促成了两人在马车外的相遇？,绣香敲门通报俞秀莲求见,绣香通报俞秀莲求见，引发她被引入玉娇龙闺房的过程。高师娘当时在场，因玉娇龙执意接见而被迫退场，这一互动埋下其后续暗中观察的动机，最终导致俞秀莲在离开时察觉被偷看。,Causal-Motivational Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-12,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,23、铁府书斋(日) ; 122、废弃作坊(日),从[23、铁府书斋(日)]到[122、废弃作坊(日)]，俞秀莲和玉娇龙之间的互动关系如何演变？,从俞秀莲单方面觉得玉娇龙有趣，发展为玉娇龙主动恳求并承诺信任，形成情感依赖与回应关系,初期俞秀莲对玉娇龙表现出善意关注，认为其率真娇憨而感到有趣；随着剧情推进，玉娇龙逐渐将俞秀莲视为依靠，在关键时刻含泪恳求并承诺‘相信我’，显示出关系已转向以情感诉求和信任交付为核心的双向联结。,Role-Relation Continuity
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-13,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,12、玉府外广场空地（日） ; 99、96C.花轿外（日）,从[12、玉府外广场空地（日）]到[99、96C.花轿外（日）]，刘泰保对蔡湘妹的态度和互动方式经历了怎样的转变？,从主动帮助、暗中关注发展为公开亲昵、情感确认,最初刘泰保在蔡湘妹父女遇困时伸出援手，流露好感，建立初步善意；随后一度因误会转为尾随监视，关系出现波动；之后蔡湘妹在危急中保护刘泰保，双方重建信任，互动中夹杂打闹与亲近；最终刘泰保主动拥抱并邀约，确立亲密伴侣关系。整个过程呈现从善意萌芽到波折试探，再到情感落地的递进转变。,Role-Relation Continuity
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-14,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,4、俞秀莲房（日) ; 122、废弃作坊(日),从[4、俞秀莲房（日)]到[122、废弃作坊(日)]，俞秀莲和吴妈之间的协作关系如何体现？,俞秀莲主导决策，吴妈执行协助并照顾其安危,两人在多个场景中持续展现双向信任与分工：早期吴妈可自由出入俞秀莲私密空间，显示亲近与默契；中期俞秀莲关心吴妈身体，吴妈为俞秀莲包扎伤口，体现相互照护；后期俞秀莲通过信物指派任务，吴妈配合行动，表明组织性协作延续。关系始终以俞秀莲为行动核心、吴妈为支持者。,Role-Relation Continuity
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-15,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,23、铁府书斋(日) ; 23、铁府书斋(日) ; 26、铁府外院（傍晚）,哪一个事件成为触发玉娇龙后续指认字画为赝品、以谈笑掩饰笔法破绽并最终在黄昏离府的关键转折？,得禄带俞秀莲进书斋遇见玉娇龙,该场景首次将俞秀莲引入玉娇龙的私密空间，迫使玉娇龙在身份未明的情况下直面外部审视，其应对方式直接引发对字画真伪的质疑与自身破绽的暴露，从而推动一系列连锁反应。,Narrative Progression
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-17,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,11、玉府门口（日） ; 31、铁府院后门(夜) ; 19、下院班房（日）,哪一个动作直接促成了刘泰保后续察觉身后黑影、为玉府千金肤色辩解，以及确认上车情况后带队出发的一系列推进？,刘泰保下马整装等候玉府家人,该动作标志着刘泰保从行进状态转入正式接应姿态，使他处于观察位置并介入玉府事务，从而触发后续对千金的辩护、环境警觉及出发决策，是情节由等待转向行动的结构支点。,Narrative Progression
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-18,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,32、铁府书斋外内(夜) ; 34、京城街道(夜) ; 33、铁府边巷侧门(夜),什么事件触发了刘泰保接连追入暗巷、摆脱家丁阻拦并最终追踪贼人至玉府的行动链条？,刘泰保追捕盗剑贼人,该场景中，刘泰保发现盗剑贼的踪迹并展开追捕，成为后续一系列行动的直接导火索，推动其脱离原有处境，转入主动追踪的剧情阶段。,Narrative Progression
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-25,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,8、京城天桥（日） ; 47、马车内/大漠(日),到了俞秀莲发现高师娘偷看之前，她已经经历了哪一关键发展？,俞秀莲骑马观察京城风貌,在进入马车内察觉被监视的情节之前，俞秀莲曾于京城街市骑马巡视，这一行动展现了她对环境的初步探查，为后续察觉隐秘行为建立了叙事铺垫。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-26,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,12、玉府外广场空地（日） ; 44、玉娇龙房（日）,到了刘泰保尾随提油的蔡湘妹时，此前在玉府外广场空地已发生的关键发展是什么？,刘泰保出手帮助蔡湘妹扶起蔡九并捡起锣,在尾随情节发生前，刘泰保已在玉府外广场介入蔡九父女的困境，主动协助他们起身并收拾物品，这一举动成为后续关注蔡湘妹行动的起点。,Temporal Reasoning
legacy-ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881-27,ch6c733e4efe1ce5abf66b263d3cb3b9d6b0e66881,zh,32、铁府书斋外内(夜) ; 33、铁府边巷侧门(夜),在“刘泰保持棍追击黑衣人反被制服”之前，哪一关键情节已经为这一幕埋下了伏笔？,被刘泰保发现并发出警告,在追击发生前的相邻场景中，黑衣人行踪暴露，刘泰保在铁府书斋外察觉其存在并出声示警，为后续冲突埋下伏笔。,Temporal Reasoning
