id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-1,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,38、超市门口，日，外,陈浪冲进陈正家时，最想做什么？,找到陈正,陈浪进入屋内未发现人影，立即外出继续搜寻，行动表明其核心意图是 locate 陈正。,Character Understanding
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-10,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,14、阳台上，日，外 ; 49、何一家，日,在小花、陈正和陈浪于走廊商议活动进展并决定临时上场之前，哪一个具体行动促成了陈浪的参与？,陈正捡起BB机并招呼陈浪跟上,陈正在确认安全后拾起BB机并主动示意陈浪跟随，这一举动标志着他开始信任并拉拢陈浪，为后续三人共同策划活动、陈浪临时决定上场埋下关键伏笔。该互动发生在阳台场景，早于走廊商议，是推动陈浪进入核心行动圈的起点。,Causal-Motivational Reasoning
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-11,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,14、阳台上，日，外 ; 15、小镇，日，外,在警察追问陈浪与陈正关系的场景中，是什么关键互动促使陈浪随后询问对方全名并接受入会邀请？,警察当面质问两人关系，迫使陈正临时认亲并编造祭日谎言以脱身,面对警察盘问，陈正为摆脱嫌疑临时认陈浪为弟，并谎称当日是父亲祭日。这一紧急共谋制造了虚假兄弟关系的起点，使后续询问姓名与邀请入会显得合理，推动了两人关系的戏剧性展开。,Causal-Motivational Reasoning
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-12,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,14、阳台上，日，外 ; 58、小河，日，外,从[14、阳台上，日，外]到[58、小河，日，外]，陈浪和陈正之间的互动如何体现出他们关系的演进？,从单向指令发展为相互信任的兄弟关系,初期陈正通过BB机对陈浪下达‘过来’的指令，体现单向沟通；随后在修理厂共同策划行动、同步踩碎眼镜，展现合作默契；后期陈正主动邀请陈浪合伙经营，并在离别时托付家人，称其为‘陈浪’，表明深厚信任与情感联结。关系逐步深化为平等、互信的兄弟纽带。,Role-Relation Continuity
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-13,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,16、汽车修理厂屋顶，日，外 ; 50、饭店大厅，日，内,从汽车修理厂屋顶的冲突到饭店大厅的共处，何一和陈正之间的关系如何演变？,从责备对立转为相互信任的同伴关系,最初陈正因何一走丢而公开责备他，表现出明显的对立情绪；随后在仓库中两人共同商议对策、配合行动，显示出合作与信任；最终何一主动背负陈正的武器，标志着关系已稳定为彼此托付的同伴状态。,Role-Relation Continuity
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-14,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,25、汽车修理厂仓库，日，内 ; 45、仓库，日，内,从[25、汽车修理厂仓库，日，内]到[45、仓库，日，内]，何一和陈浪之间的合作关系是如何延续的？,持续作为行动伙伴共同制定策略并保持默契配合,从汽车修理厂仓库开始，两人在制定帮派策略时展现合作，过程中通过一致动作和肢体互动强化团结；后续场景中面对威胁时仍主张集体行动，信任关系稳定，表明其伙伴关系贯穿多个关键决策时刻。,Role-Relation Continuity
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-15,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,21、电影院，夜，内 ; 24、挚爱 KTV 内，夜，内 ; 36、楼顶，日，外 ; 51、黄世强办公室，日，内 ; 54、镜头组合,何一从通过考验的强者到被众人祭奠的人物，其身份和行动经历了怎样的推进？,他先把自己视为通过考验的强者，受质疑后以未来承诺重建自我，随后把保护兄弟、讨回公道作为核心行动，最终在执行中死亡并成为被祭奠的对象。,第20、23、35、50和53场覆盖反抗、承诺、保护行动与死亡结果。,Narrative Progression
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-16,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,35、陈正家，日，内 ; 39、小河，日，外 ; 45、仓库，日，内,陈浪与陈正的关系如何从兄弟式忠诚推进到被陈浪明确承认的父子依附？,陈浪先以兄弟身份表达忠诚，继而通过操办婚礼和分享童年伤痛主动修复关系，最终在危机中本能地喊出“爸”。,第34、38和44场构成关系从兄弟认同到父子确认的连续进展。,Narrative Progression
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-17,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,32、汽车修理厂值班室，日，内 ; 46、陈正家，夜，内 ; 46、陈正家，夜，内,在汽车修理厂值班室的对峙中，哪一个事件打破了僵局，直接引发了黄世强下令施暴、陈浪挑衅与陈正激化冲突，以及罗启持枪现身派出所门口被制止的后续发展？,陈正驾车闯入，陈浪联手制服对手,该事件标志着被动防御转向主动反击，打破了原有对峙平衡，迫使黄世强采取镇压行动，同时激化双方矛盾，为后续冲突升级和外部武力介入提供了直接导火索。,Narrative Progression
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-18,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,36、楼顶，日，外 ; 36、楼顶，日，外 ; 36、楼顶，日，外,在[36、楼顶，日，外]场景中，哪一个事件成为陈浪与小花关系推进与心理变化的关键转折，直接引发了后续亲近倾诉、心生疑虑与情感退缩的发展？,小花开窗后与陈浪近距离互动并选定《白蛇传》,该场景中，小花主动开窗与陈浪建立近距离接触，并共同选择观看《白蛇传》，这一行为打破了此前的隔阂，既推动了两人情感升温，也为陈浪后续对关系的犹豫与怀疑埋下伏笔，构成情节走向的枢纽。,Narrative Progression
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-2,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,40、岸边，日，外,在陈浪喝了一口酒后，他因观察到什么情况而决定采取行动？,发现家中冒烟,陈浪在饮酒后注意到陈正家方向有烟，虽遭否认仍坚持判断并决定前往查看，表明其行动由这一观察触发。,Character Understanding
legacy-ch65a92838a9e782e6aae93c01ec0de618faca113f-24,ch65a92838a9e782e6aae93c01ec0de618faca113f,zh,,何一作为青浪帮成员参与行动的场景对应的是哪几场戏？,22、拉面馆，日，内 | 23、挚爱 KTV 门口，夜，外 | 25、汽车修理厂仓库，日，内 | 36、楼顶，日，外,何一被陈正确认为通过终极考验的成员，且在多个场景中与陈正、陈浪共同出现于团伙据点并参与行动，表明其以青浪帮成员身份参与这些场景。,Scene Grounding
