id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-end30e8354cc2549e29114e0b2f142ca37-10,end30e8354cc2549e29114e0b2f142ca37,en,49、EXT. JENNY'S HOUSE - DAWNBREAK ; 48、INT. HOUSE - DAWNBREAK,What action immediately prior to Jenny's emotional collapse explains her refusal to leave with the Star Man?,Jenny drives the Mustang out of the driveway with the Star Man as passenger,"Before breaking down, Jenny is seen backing the Mustang out of the driveway at dawn, steering calmly while the Star Man sits beside her, tense and silent. This moment of apparent compliance precedes her sudden retreat into the house, where she tearfully refuses to go with him, confessing her fear despite recognizing his resemblance to Scott. The shift from controlled action to emotional collapse suggests the drive marked a threshold where her resolve faltered, making the earlier departure attempt the key precursor to her refusal.",Causal-Motivational Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-11,end30e8354cc2549e29114e0b2f142ca37,en,48、INT. HOUSE - DAWNBREAK ; 47、INT. JENNY'S HOUSE - BEDROOM - DAWNBREAK,What event immediately before the Star Man examines himself in the mirror explains his need to adjust his appearance?,Jenny breaks away from Star Man in resistance,"After the Star Man attempts to force Jenny out through the front door, she resists, pulling away and refusing to go, which leads him to fire a warning shot. This act of defiance disrupts his control over the situation, prompting him to return upstairs where he later checks and reconfigures his human disguise in the mirror, ensuring it is convincing before re-engaging with her.",Causal-Motivational Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-12,end30e8354cc2549e29114e0b2f142ca37,en,47、INT. JENNY'S HOUSE - BEDROOM - DAWNBREAK ; 41、INT. BEDROOM - NIGHT,What action by Star Man directly prompts Jenny to barricade the door and search for the gun?,Star Man grabs Jenny's arm to pull her to her feet,"In the bedroom at dawnbreak, Jenny resists as Star Man grabs her arm and forcibly pulls her to her feet, ignoring her pleas. Though he resembles someone familiar from her past, his physical insistence and silent determination unsettle her deeply. This act of force triggers her subsequent actions: fleeing ahead of him, locking herself in a room, and frantically searching the closet where she ultimately finds the .45 pistol. The escalation from restraint to self-defense is rooted in this moment of physical coercion.",Causal-Motivational Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-13,end30e8354cc2549e29114e0b2f142ca37,en,40、INT. HOUSE - NIGHT ; 49、EXT. JENNY'S HOUSE - DAWNBREAK,What action by Star Man directly enables his presence in the car with Jenny during the drive?,Star Man restrains Jenny against the wall,"After breaking into the house, Star Man confronts Jenny at the front door, slams it shut, and pins her against the wall, subduing her scream by covering her mouth. During the encounter, he examines her skin in a disturbing, intimate gesture that triggers a violent reaction—Jenny screams and strikes him, causing flashes of light from his chest before she flees upstairs. This physical confrontation establishes his dominance and connection to her, setting the stage for their later shared moment in the car.",Causal-Motivational Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-14,end30e8354cc2549e29114e0b2f142ca37,en,31、INT. HELICOPTER - DAWNBREAK ; 165、EXT. ROADBLOCK (INTERSTATE 70) - DAY,"What consistent role does Lyman hold in relation to Shermin across their interactions, from the helicopter coordination to the roadblock on Interstate 70?",trusted associate,"From their first interaction in the helicopter at dawn (scene 32), where Lyman follows Shermin's orders without hesitation, through shared command decisions at the shopping mall (scene 106) and pasture operation (scene 136), to Shermin leaving Lyman in charge during the Interstate 70 roadblock (scene 166), Lyman consistently functions as a trusted associate—relied upon for critical tasks, direct coordination, and situational leadership in Shermin's absence.",Role-Relation Continuity
legacy-end30e8354cc2549e29114e0b2f142ca37-15,end30e8354cc2549e29114e0b2f142ca37,en,43、INT. HOUSE - NIGHT ; 49、EXT. JENNY'S HOUSE - DAWNBREAK ; 47、INT. JENNY'S HOUSE - BEDROOM - DAWNBREAK,"What pivotal event shifts the narrative trajectory toward the sequence in which Jenny drives the Mustang with Star Man, Star Man takes the gun and calls Jenny, and Jenny resists him at the front door?",Jenny's Attempt to Escape,"The shift toward the escalating confrontation between Jenny and Star Man is catalyzed by her decision to flee, marking a definitive break from passivity. This action sets off a chain of direct engagements, altering the balance of power and intent between the characters. [43、INT. HOUSE - NIGHT]",Narrative Progression
legacy-end30e8354cc2549e29114e0b2f142ca37-17,end30e8354cc2549e29114e0b2f142ca37,en,42、INT. HALLWAY - NIGHT ; 48、INT. HOUSE - DAWNBREAK ; 47、INT. JENNY'S HOUSE - BEDROOM - DAWNBREAK,What pivotal action sets in motion Jenny's confrontation with the Star Man and her subsequent struggle to escape the house?,Jenny Searches the Bathroom and Descends the Stairs,"In the hallway late at night, Jenny investigates the upper floor alone, searching for signs of intrusion. After finding nothing in the bathroom, she begins to descend the stairs, unknowingly positioning herself directly in the path of the intruder. This movement initiates the sequence in which she encounters the Star Man at the front door, resists his advance, and is forcibly dragged downstairs, marking the shift from suspense to physical conflict.",Narrative Progression
legacy-end30e8354cc2549e29114e0b2f142ca37-2,end30e8354cc2549e29114e0b2f142ca37,en,41、INT. BEDROOM - NIGHT,What does Jenny's immediate action upon locking the door reveal about her state of mind when the Star Man arrives?,"She is focused and prepared for confrontation, acting with urgency to arm herself.","Jenny reaches the room just ahead of the Star Man, slamming the door shut and locking it before he can get in. He begins pounding on the door as she rushes to the closet, tearing through the side pockets of her jackets and coats in a frantic search. The pounding stops abruptly. The sudden silence makes her turn toward the door, listening. Only the sound of rain breaks the stillness. She keeps searching, her hands moving quickly through the layers of clothing, until she finds the Army-issued .45 in the pocket of a down jacket. She releases the safety, grips the gun tightly, and moves toward the night table where the phone sits.",Character Understanding
legacy-end30e8354cc2549e29114e0b2f142ca37-25,end30e8354cc2549e29114e0b2f142ca37,en,28、EXT. FOOT OF EMBANKMENT - DAWNBREAK ; 47、INT. JENNY'S HOUSE - BEDROOM - DAWNBREAK,"By the time Star Man takes the gun and calls Jenny, what has already happened to him in the rain?",Star Man awakens suddenly in the rain,"Before Star Man can take the gun and call Jenny, he is shown awakening suddenly at the foot of an embankment during dawnbreak, drenched in rain and disoriented as he begins to assess his condition. This moment marks his first conscious action after arrival, setting in motion the sequence of events that lead to his confrontation with Jenny.",Temporal Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-26,end30e8354cc2549e29114e0b2f142ca37,en,39、EXT. HOUSE - NIGHT ; 48、INT. HOUSE - DAWNBREAK,"By the time Star Man traps Jenny and fires a warning shot, what has Jenny already done?",Dragged the first garbage can to the street,"Jenny's action of dragging the first garbage can to the street occurs in an earlier scene at night outside the house, setting in motion the sequence that leads to Star Man's response by dawnbreak. This physical act initiates the chain of events that culminates in the confrontation inside the house, establishing a clear cause-and-effect progression between her routine task and his escalated reaction.",Temporal Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-27,end30e8354cc2549e29114e0b2f142ca37,en,11、EXT. HOUSING TRACT - NIGHT ; 13、EXT. HOUSING TRACT - NIGHT,"What occurs shortly before the officers halt as the alien craft activates, when Benny is still reacting to a sudden sound?",Benny hears a high-pitched whistle from his left,"In the moments leading up to the activation of the alien craft, Benny is disoriented in the fog and responds to an unexpected auditory stimulus. This happens in the housing tract at night, just prior to the officers freezing in place as the craft powers up, establishing a cause-effect link between the sound and his heightened alertness before the larger event unfolds.",Temporal Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-28,end30e8354cc2549e29114e0b2f142ca37,en,13、EXT. HOUSING TRACT - NIGHT ; 15、EXT. HOUSING TRACT - NIGHT,"Shortly after the officers converge on the hilltop, what occurs just before the spacecraft rises and knocks them down?",Two men begin to trot toward the light,"After the officers chase the mysterious light up the hill and gather at the top, a brief moment of tension follows. Before the spacecraft suddenly ascends and knocks Benny and the officers down, two figures are seen moving quickly toward the glowing source, initiating the immediate action that precedes the launch.",Temporal Reasoning
legacy-end30e8354cc2549e29114e0b2f142ca37-29,end30e8354cc2549e29114e0b2f142ca37,en,42、INT. HALLWAY - NIGHT ; 43、INT. HOUSE - NIGHT,What does Jenny do just before Star Man takes the gun and completes his transformation?,Jenny creeps toward the stairs in stockinged feet,"Shortly after Jenny searches the bathroom, she moves cautiously through the hallway, approaching the stairs barefoot except for her stockings. This moment sets the stage for the subsequent scene in which Star Man takes the gun and completes his transformation, with the tension building from her quiet, deliberate movement through the dark house.",Temporal Reasoning
