id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-endffac0563af542049ec8e89fb53065ba-10,endffac0563af542049ec8e89fb53065ba,en,19、INT. HOME FOR GIRLS - PLAYROOM - DAY ; 31、EXT. HOME FOR GIRLS - DAY.,What action immediately prompts Nico Langley to stand watching as the the brass case departs?,Bennett Davenport urges Reese Hart to leave with her quickly,"In the final moments at the Home for Girls, Bennett Davenport pulls Reese Hart toward the the brass case, eager to leave. Reese Hart complies, laughing, and the two wave at Nico Langley before getting in. Riley Brooks has already loaded the trunk, and as the the brass case pulls away, Nico Langley remains at the gate, watching silently as it drives off—her expression shifting from warmth to stillness—prompted directly by the suddenness of their departure initiated by Bennett Davenport’s urgency.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-11,endffac0563af542049ec8e89fb53065ba,en,19、INT. HOME FOR GIRLS - PLAYROOM - DAY ; 31、EXT. HOME FOR GIRLS - DAY.,What prompts Nico Langley's lingering farewell as she watches the the brass case depart?,Nico Langley informs Bennett Davenport about Drew Sawyer's departure,"In the playroom, Nico Langley announces Drew Sawyer’s departure, marking a moment of quiet emotional strain, particularly for Bennett Davenport, whose faltering smile and silent gaze signal a subdued reaction. This exchange sets the emotional tone that culminates in Nico Langley’s later, solitary vigil at the gate, where she watches the the brass case drive away with a fading smile, remaining motionless long after it disappears.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-12,endffac0563af542049ec8e89fb53065ba,en,37、INT. COLEMAN RESIDENCE - VARIOUS - DAY ; 38、INT. Bennett Davenport'S Lakeview Warehouse - DAY,What earlier moment explains Bennett Davenport's approval of the remodeled nursery?,Bennett Davenport tours her luxurious new home in awe,"As Bennett Davenport moves through the house, she marvels at its size and opulence, visibly impressed despite lingering tension with Casey Sterling. The family follows her, with Reese Hart gently guiding her toward her new Lakeview Warehouse. This tour establishes Bennett Davenport’s sense of wonder and growing attachment to her new environment, setting the stage for her emotional acceptance of the personalized nursery space.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-13,endffac0563af542049ec8e89fb53065ba,en,14、INT. Lakeview Warehouse - NIGHT ; 15、INT.-LAWYER'S OFFICE -- DAY,What action by Riley Brooks directly enables the couple’s confident stance during the adoption discussion with the lawyer?,Riley Brooks reassures Reese Hart of their unbroken bond and proposes adoption again,"After an intimate moment is interrupted, Reese Hart expresses guilt and emotional distress, feeling broken and inadequate as a mother. Riley Brooks comforts her, affirming their enduring connection and the stability of their family. He renews his proposal to adopt, emphasizing their capacity to provide love and care despite past losses. His persistence and emotional support help shift Reese Hart’s perspective, leading to her quiet acceptance. This moment of reconciliation and renewed commitment precedes their meeting with the lawyer, where they present a united and prepared front.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-14,endffac0563af542049ec8e89fb53065ba,en,3、INT. Cameron Hollis'S OFFICE - DAY ; 123、INT. RESTROOM -- DAY,How does the professional relationship between Cameron Hollis and Reese Hart remain consistent from their initial session to their later interaction in the restroom?,Cameron Hollis continues to serve as Reese Hart's trusted therapeutic advisor,"From their first meeting in Cameron Hollis's office, where a foundation of therapeutic trust is established, through Reese Hart's repeated referrals of others to the doctor and their later encounter in the restroom, Cameron Hollis consistently maintains a supportive, counseling role, offering guidance and emotional reassurance, which underscores an enduring professional dynamic centered on medical and psychological trust.",Role-Relation Continuity
legacy-endffac0563af542049ec8e89fb53065ba-15,endffac0563af542049ec8e89fb53065ba,en,20、INT. HOME FOR GIRLS - ENTRY - DAY ; 40、INT. UPSTAIRS HALLWAY - NIGHT ; 30、INT: HOME FOR GIRLS - CHAPEL DAY,"What pivotal moment shifts the narrative trajectory toward the subsequent scenes involving Reese Hart, Riley Brooks, and Bennett Davenport in the chapel and their farewell with Nico Langley?",Reese Hart Hugs Nico Langley and Notices Bennett Davenport Watching,"In the entryway of the Home for Girls, Reese Hart shares an emotional embrace with Nico Langley, a gesture that momentarily unites past and present. During this embrace, she becomes aware of Bennett Davenport observing them, a silent but charged moment that alters Reese Hart’s understanding of the relationships around her and sets in motion the intimate developments that follow in the chapel and during the farewell.",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-16,endffac0563af542049ec8e89fb53065ba,en,37、INT. COLEMAN RESIDENCE - VARIOUS - DAY ; 38、INT. Bennett Davenport'S Lakeview Warehouse - DAY ; 39、INT. Bennett Davenport'S Lakeview Warehouse - NIGHT,"What pivotal event sets in motion Bennett Davenport's integration into the Coleman household, leading to her approval of the nursery and moments of domestic intimacy?",Bennett Davenport Explores Her New Home,"In the scene where Bennett Davenport first tours the residence, her cautious engagement with the environment marks a shift from outsider to resident. This exploration directly precedes and motivates her emotional acceptance of the remodeled nursery, the The Midnight Ceremony, and Riley Brooks's personal gesture of revealing the fish tank, establishing a new phase in her relationship with the family. [37、INT. COLEMAN RESIDENCE - VARIOUS - DAY]",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-17,endffac0563af542049ec8e89fb53065ba,en,38、INT. Bennett Davenport'S Lakeview Warehouse - DAY ; 31、EXT. HOME FOR GIRLS - DAY. ; 43、INT. Bennett Davenport'S Lakeview Warehouse - DAY,What pivotal event sets in motion Bennett Davenport and Reese Hart's transition toward domestic collaboration and departure from the facility?,Bennett Davenport Enters and Approaches the Remodeled Nursery,"After the nursery is remodeled, Bennett Davenport's entrance and approval of the space marks a shift in her engagement, signaling acceptance and a new phase in her relationship with Reese Hart. This moment catalyzes their shared domestic planning, physical closeness, and eventual departure from the facility together.",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-18,endffac0563af542049ec8e89fb53065ba,en,14、INT. Lakeview Warehouse - NIGHT ; 21、INT.the brass case - NIGHT ; 14、INT. Lakeview Warehouse - NIGHT,What pivotal event initiates the emotional arc leading to Reese Hart's vulnerability and Riley Brooks's reassurance about their family responsibilities?,Riley Brooks and Reese Hart Discuss Adopting a Child,"The conversation between Riley Brooks and Reese Hart about adopting a child marks a critical shift in their relationship dynamics, setting in motion a series of emotional revelations. This moment introduces underlying tensions about parenthood and responsibility, which culminate in Reese Hart confronting her emotional struggles and Riley Brooks offering reassurance about their children and future. [14、INT. Lakeview Warehouse - NIGHT]",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-25,endffac0563af542049ec8e89fb53065ba,en,35、EXT. COLEMAN RESIDENCE - DAY ; 48、EXT. COLEMAN RESIDENCE - POOL - NIGHT -,"By the time Bennett Davenport opens the sign language book and signs thank you, what has already taken place as the group approaches the house?",Reese Hart leads the group toward the house holding the girls' hands,"Before the moment at the pool where Bennett Davenport opens the sign language book and expresses gratitude through signing, the group is seen walking toward the Coleman residence during the day. Reese Hart guides the children, holding the girls' hands as they approach, setting the stage for the later emotional exchange.",Temporal Reasoning
