id,related_scenes,question,answer,related_context,question_type,question_source
1,59、INT. PRINCIPAL MERKIN'S HONDA CIVIC - MOVING - DAY,What is the content of the radio spot's message?,Ad for 'The Girls of Xenia' pictorial mentioning cows' udders,RADIO SPOT (V.O.) (CONT'D) Come on down for 'The Girls of Xenia' pictorial. Let's show the nation our cows aren't the only ones with great udders.,Scene Grounding,broad_coverage_scene
2,5、INT. TED'S OFFICE - NEWSROOM - DAY,"In [5、INT. TED'S OFFICE - NEWSROOM - DAY], What is Ted's state when the tornado drill alarm sounds?",Snapped out of a reverie.,The shrill ringing of a TORNADO DRILL ALARM snaps Ted out of his reverie.,Character Understanding,broad_coverage_scene
3,17、INT. LAX - TERMINAL - DAY,"In [17、INT. LAX - TERMINAL - DAY], What is Ted's emotional state when the chauffeur mentions his father?",Stunned.,Ted's stunned.,Character Understanding,broad_coverage_scene
4,10、INT. TECUMSEH HIGH SCHOOL - MEN'S ROOM - DAY,What does Julie say to William Randolph about the woman's shoes?,She's got stiletto heels hidden in those Keds.,"I tried to warn you, William Randolph. She's got stiletto heels hidden in those Keds.",Character Understanding,broad_coverage_scene
5,13、INT. NELSON LIVING ROOM - NIGHT,"In [13、INT. NELSON LIVING ROOM - NIGHT], What is Ted's emotional state during the will reading discussion?",Bewildered and moping,"Ted sits on the couch, bewildered. TED (quietly; moping)",Character Understanding,broad_coverage_scene
6,8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY,"In [8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY], Why do the teachers freeze when Principal Merkin enters?","He bursts in and spills 'EXPOSED!' flyers, causing shock.","PRINCIPAL MERKIN bursts in, spilling a stack of 'EXPOSED!' onto a table. Everyone freezes.",Causal-Motivational Reasoning,broad_coverage_scene
7,1、EXT. ABOVE THE CLOUDS - DAY,What does Ted say about life changing?,Your life CAN change in the blink of an eye.,TED (V.O.) ...Your life CAN change in the blink of an eye.,Character Understanding,broad_coverage_scene
8,9、INT. TED'S OFFICE - NEWSROOM - DAY,How does Ted physically position himself in front of Christy?,gets down on one knee in front of Christy,He gets down on one knee in front of Christy.,Scene Grounding,broad_coverage_scene
9,9、INT. TED'S OFFICE - NEWSROOM - DAY,What action does Julie perform while sitting in the chair?,"leans back on the chair, rests her feet on Ted's files, and blows a huge bubble","Julie leans back on the chair, rests her feet on Ted's files, and blows a huge bubble.",Scene Grounding,broad_coverage_scene
10,"31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT","In [31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT], What is Charlie's behavioral state in the scene?",Confident and dismissive,"Charlie tells Ted, 'Don't be such a pansy.'",Character Understanding,broad_coverage_scene
11,"24、INT. ""HEAVEN"" MANSION - LIVING ROOM - DAY","In [24、INT. ""HEAVEN"" MANSION - LIVING ROOM - DAY], What is Uncle Billy's emotional state when he winks at Ted?",Conspiratorial.,Uncle Billy winks at Ted. ... share a conspiratorial smirk.,Character Understanding,broad_coverage_scene
12,"33、INT. ""HEAVEN"" MANSION - GARAGE - THE NEXT MORNING",When does Ted realize the keys are in the ignition?,After Ginger points out they are in the ignition,Ted glances down. There they are.,Temporal Reasoning,broad_coverage_scene
13,"31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT","In [31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT], What is Ted's emotional state when he responds to Charlie?",Overwhelmed and uncertain,"Ted says, 'It's a lot to digest.'",Character Understanding,broad_coverage_scene
14,1、EXT. ABOVE THE CLOUDS - DAY,What belief does Ted express about dreams?,"It could happen to any guy, any time...even ME.","TED (V.O.) ...It could happen to any guy, any time...even ME.",Character Understanding,broad_coverage_scene
15,18、INT. STRETCH LIMO - DAY,"In [18、INT. STRETCH LIMO - DAY], What is Ted's emotional state when Charlie opens the bar?",Extremely uptight,You are extremely uptight.,Character Understanding,broad_coverage_scene
16,"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY","In [27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY], What is Ted's behavioral state when responding to Uncle Billy's suggestion?",Nervous and flustered,Ted's voice cracking. I...uh...I think she's doing fine on her own.,Character Understanding,broad_coverage_scene
