id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en33cfabe4a5c548168d991fca802b0bfc-11,en33cfabe4a5c548168d991fca802b0bfc,en,102、INT. HENRY'S APARTMENT - NIGHT ; 102、INT. HENRY'S APARTMENT - NIGHT,What event immediately prior to Max demanding Eddie leave prompts Eddie's appearance and claim on the vault job?,Henry hears a knock at the door and opens it to find Joe and Eddie,"A knock at the door interrupts Max and Henry during a private conversation. Henry investigates, finds Joe drunk and accompanied by Eddie, and allows them entry. Eddie immediately asserts his presence, sits in Joe's chair, and declares his knowledge of the vault job, demanding inclusion. This direct intrusion sets the stage for Max's confrontation and Henry's subsequent skepticism about Eddie's motives.",Causal-Motivational Reasoning
legacy-en33cfabe4a5c548168d991fca802b0bfc-12,en33cfabe4a5c548168d991fca802b0bfc,en,115、INT. JULIE'S DRESSING ROOM - NIGHT ; 100、INT. APARTMENT - CONTINUOUS,What prompts Henry's silent reaction after Julie tells him to leave?,Henry declares his desire to be with Julie,"In Julie's dressing room, Henry arrives and urgently asks her to meet him in California, insisting it's their only chance to access the vault. Despite her resistance and reminders that the play is opening that night, he presses her, claiming nothing is ruined—especially since Arnold is returning. He moves closer and confesses he wants them to be together. She laughs, calls it absurd, and rejects him outright, reminding him they barely had a relationship and telling him to go rob his bank instead. After this rejection, he stands motionless, saying nothing.",Causal-Motivational Reasoning
legacy-en33cfabe4a5c548168d991fca802b0bfc-14,en33cfabe4a5c548168d991fca802b0bfc,en,141、INT. TUNNEL ROOM - NIGHT ; 139、INT. TUNNEL - CONTINUOUS,What event immediately prompts Eddie to begin drilling and Joe to prepare the charges?,Henry rushes into the tunnel to find Joe and Max examining the steel vault underside,"In the tunnel, Joe and Max are inspecting the underside of the steel bank vault when Henry suddenly enters. Max praises Henry’s earlier performance, and Joe reacts with awe upon seeing the vault. As Henry touches the surface, Eddie appears in a protective suit with a thermite tool, ordering everyone out before igniting the device. This moment directly precedes the team’s transition into active execution, with Eddie drilling and Joe readying the explosives.",Causal-Motivational Reasoning
legacy-en33cfabe4a5c548168d991fca802b0bfc-15,en33cfabe4a5c548168d991fca802b0bfc,en,139、INT. TUNNEL - CONTINUOUS ; 146、INT. VAULT -- SAME TIME ; 141、INT. TUNNEL ROOM - NIGHT,What turning point initiates the sequence leading directly to the final confrontations and operational climax?,Eddie arrives with the thermite burning tool and begins the vault breach,"The operation is underway before this, but the immediate turning point into the endgame is Eddie's arrival in protective gear with the thermite burning tool. His activation of the tool burns through the vault, creates the operational rupture, and leads directly toward the final tunnel-room confrontation and climax.",Narrative Progression
legacy-en33cfabe4a5c548168d991fca802b0bfc-16,en33cfabe4a5c548168d991fca802b0bfc,en,102、INT. HENRY'S APARTMENT - NIGHT ; 106、EXT. PARKING LOT BEHIND THE THEATRE - LATER ; 103、INT. APARTMENT - SAME TIME,"What pivotal event sets in motion the chain of confrontations involving Frank, Max, and Henry?",Henry Answers the Door to Joe and Eddie,"The arrival of Joe and Eddie at Henry's apartment initiates a series of escalating tensions that directly lead to the outdoor confrontation with Frank, Max's threat against Eddie, and Henry's eventual intervention in the standoff. This moment marks the point where previously diverging character trajectories converge, triggering the sequence of climactic interactions.",Narrative Progression
legacy-en33cfabe4a5c548168d991fca802b0bfc-17,en33cfabe4a5c548168d991fca802b0bfc,en,102、INT. HENRY'S APARTMENT - NIGHT ; 112、INT. HENRY'S APARTMENT - DAY ; 137、EXT. BACKSTAGE DOOR - SAME TIME,"What pivotal interaction sets in motion the sequence where Henry and Max leave the apartment, Max meets Julie, and Henry joins the dig?",Henry and Max Talk About Julie,"In the apartment late at night, Henry and Max have a critical conversation about Julie that shifts their intentions and propels them toward immediate action. This discussion directly precedes and triggers their departure from the apartment, Max's delayed arrival to meet Julie, and Henry's decision to join the dig. The scene establishes the motivation and timeline for the subsequent events. [102、INT. HENRY'S APARTMENT - NIGHT]",Narrative Progression
legacy-en33cfabe4a5c548168d991fca802b0bfc-18,en33cfabe4a5c548168d991fca802b0bfc,en,103、INT. APARTMENT - SAME TIME ; 103、INT. APARTMENT - SAME TIME ; 148、INT. TUNNEL ROOM - A FEW MINUTES LATER,What turning point escalates the confrontation and sets into motion Max's subsequent actions of isolating Eddie and initiating the operation?,Max Threatens to Kill Eddie,"In the escalating tension of the apartment, Max's threat to kill Eddie marks a critical shift in power and intent, directly precipitating his decision to cut off communication with Joe, subdue Eddie by force, and move forward with the operation without hesitation. This moment redefines Max's role from reactive participant to decisive controller of the situation. [103、INT. APARTMENT - SAME TIME]",Narrative Progression
legacy-en33cfabe4a5c548168d991fca802b0bfc-25,en33cfabe4a5c548168d991fca802b0bfc,en,111、INT. TUNNEL - NIGHT ; 141、INT. TUNNEL ROOM - NIGHT,"By the time Eddie begins the thermite burn, what has Joe already done to expose the vault?",Joe digs through dirt and triggers collapse above him,"Joe's excavation in the tunnel leads to a collapse that reveals the vault's location, setting the conditions for the subsequent thermite operation. This event occurs in the same continuous underground setting, establishing the physical access needed before the team can proceed with cutting into the vault.",Temporal Reasoning
legacy-en33cfabe4a5c548168d991fca802b0bfc-26,en33cfabe4a5c548168d991fca802b0bfc,en,105、INT. DRESSING ROOM - LATER ; 141、INT. TUNNEL ROOM - NIGHT,"By the time Henry finds Joe and Max at the steel vault, what has already taken place at the excavation site?",Henry arrives at scene with ongoing excavation,"Before Henry locates Joe and Max inside the tunnel room, he is present at the excavation effort where work is already underway. This moment establishes his arrival and observation of the active dig, setting the stage for his subsequent discovery of the others deeper within the site.",Temporal Reasoning
legacy-en33cfabe4a5c548168d991fca802b0bfc-29,en33cfabe4a5c548168d991fca802b0bfc,en,106、EXT. PARKING LOT BEHIND THE THEATRE - LATER ; 107、INT. JOE'S CAR - DRIVING,"Shortly after Frank insists on being part of the plan, what does he do next?",Frank demands to be included in the group's plan,"In the parking lot behind the theatre, Frank confronts the group and forcefully asserts his involvement, making it clear he will not be left out. This moment directly precedes the scene in Joe's car where Frank proposes the heist and addresses Joe's skepticism, establishing his transition from outsider to active participant.",Temporal Reasoning
