id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-10,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,"23、INT. COFFEE SHOP -- LATER -- AFTERNOON ; 48、INT. Noel Hawthorne'S HOUSE, BEDROOM -- NIGHT",What prior action enables Skyler Carter and Jordan Arden to successfully disable the alarms and confirm entry into the house?,Quinn North explains security system layout,"In a coffee shop meeting, Quinn North sketches the house's security layout on a napkin, identifying an exterior alarm, a hallway motion detector, and a bedroom-located control panel. Skyler Carter assesses the exterior alarm as manageable but notes the bedroom system will be challenging. The team devises a plan to enter through the bedroom window after disabling the outside alarm, with Skyler Carter and Jordan Arden assigned to neutralize the internal systems. Quinn North confirms the occupants will be away that night, creating the necessary window for the operation, and the team finalizes their roles and logistics accordingly.",Causal-Motivational Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-11,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING,What event directly prompts Skyler Carter to warn Sasha Hollis about Jordan Arden's danger?,Jordan Arden enters the bar and is introduced to Sasha Hollis,"When Jordan Arden arrives at the bar, he enters with a calm but intense presence, immediately fixing his gaze on Sasha Hollis. Wesley Foster introduces him tersely, and Sasha Hollis attempts to lighten the mood with a joke, which falls flat and creates visible discomfort among the group. Jordan Arden shows dismissive behavior toward Sasha Hollis, speaking in French before switching to English, and expresses confusion about being included if no one is to be killed—implying a readiness for violence. Skyler Carter observes the interaction and quickly intervenes, removing Sasha Hollis from the situation, which leads directly to his warning about Jordan Arden’s unpredictability and lethal potential.",Causal-Motivational Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-12,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,6、INT. PEUGEOT -- CONTINUOUS ; 6、INT. PEUGEOT -- CONTINUOUS,What accusation creates the pressure that leads Remy Monroe to take sudden control of the car?,Skyler Carter accuses Remy Monroe of not moving the car,"As the old man approaches the Peugeot with a shotgun, Skyler Carter shouts at Remy Monroe, blaming him for failing to move the car before they exited the house. The tension escalates inside the vehicle, with Wesley Foster also urging Remy Monroe to act. This moment of confrontation and blame directly precedes Remy Monroe's abrupt physical response behind the wheel, where he forces the car into motion by crashing into the Mercedes behind them to escape the threat.",Causal-Motivational Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-13,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,41、INT. ITALIAN RESTAURANT -- EVENING ; 184、EXT. PRIVATE AIRPORT -- AFTERNOON,How does Kendall Whitaker's relationship to Carson Vaughn evolve or persist across their interactions from the restaurant meeting to the airport assignment?,Kendall Whitaker remains a trusted enforcer who acts on Carson Vaughn's authority,"From the Italian restaurant through the private airport, Kendall Whitaker consistently operates as a loyal associate within Carson Vaughn's inner circle. He relays messages on Carson Vaughn's behalf, collaborates directly with him in security matters, provides situational assessments, and follows operational directives without deviation, demonstrating a sustained role as a trusted enforcer rather than a mere subordinate.",Role-Relation Continuity
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-14,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,83、EXT. BAY VIEW MOTEL -- MORNING ; 208、EXT. ACROSS THE Cedar Grove School -- AFTERNOON,What specific role-based relationship persists between Remy Monroe and Jordan Arden from their coordination at the Bay View Motel to the aftermath across the Cedar Grove School?,trusted teammates who back each other,"Remy Monroe and Jordan Arden maintain a consistent positive working relationship throughout multiple key scenes, beginning with joint decision-making under pressure at the Bay View Motel [scene 84], continuing through collaborative actions at the Northbridge District [scene 96] and the private airport [scene 185], and culminating in their shared presence and mutual recognition of justice achieved at the Cedar Grove School wreckage site [scene 209]. Their interactions across this span reflect sustained trust and coordination without rupture or ambiguity.",Role-Relation Continuity
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-15,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING,What event sets in motion Jordan Arden's integration into the household and initiates his quiet interrogation of Sasha Hollis’s identity and role?,Jordan Arden arrives at the bar,"The arrival of Jordan Arden at the bar marks a pivotal shift in the narrative, introducing a new presence that subtly disrupts the existing dynamics. From this moment, Jordan Arden begins to observe and engage with Sasha Hollis, leading to a series of unspoken inquiries into his background and function within the space. This progression culminates in Jordan Arden and Skyler Carter relocating to the side of the house, signaling a reconfiguration of territory and power. The scene establishes Jordan Arden not as an intruder but as an inevitable force of change. [13、INT. CAFE -- MORNING]",Narrative Progression
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-17,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING ; 12、INT. BATHROOM -- CONTINUOUS -- DAY,"What event initiates the chain of confrontations and planning that follows, setting the central conflict in motion?",Sasha Hollis arrives and introduces himself,"Sasha Hollis's arrival at the café in the morning marks the moment he enters the narrative space and establishes contact with the existing characters. This encounter disrupts the prior equilibrium, triggering Skyler Carter's warning about Jordan Arden, prompting Sasha Hollis's subsequent confrontation with Emery Langley, and ultimately leading the group to organize the break-in. The scene serves as the pivotal entry point for Sasha Hollis, aligning his trajectory with the core plot.",Narrative Progression
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-18,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,11、INT. CAFE -- LATIN QUARTER -- DAY ; 11、INT. CAFE -- LATIN QUARTER -- DAY ; 12、INT. BATHROOM -- CONTINUOUS -- DAY,What pivotal event sets in motion the escalating confrontation between Sasha Hollis and Emery Langley that culminates in the bar encounter and physical altercation?,Sasha Hollis's Failed Escape from Emery Langley,"In the Latin Quarter café, Sasha Hollis attempts to flee from Emery Langley but is intercepted before he can get away. This failed escape marks the point of no return, triggering a chain of confrontations that lead directly to the tense exchange at the bar, Sasha Hollis's accusation about spreading rumors, and Emery Langley's violent response as he corners him against the door.",Narrative Progression
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-25,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,23、INT. COFFEE SHOP -- LATER -- AFTERNOON ; 37、INT. Lakeview Park -- EVENING,"By the time Westfield Department departs for the operation, what has Sasha Hollis already done that signals hesitation about the plan?",questioned the timing of the operation,"In the coffee shop scene, Sasha Hollis voices concern about whether the operation is being rushed, reflecting doubt about the planned timeline. This moment of pushback occurs well before Westfield Department gathers at Lakeview Park to leave for the heist, establishing an early undercurrent of tension around the schedule they're following.",Temporal Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-26,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,9、INT. Sawyer Calloway'S OFFICE -- DAY ; 14、EXT. CAFE -- DAY,"By the time Emery Langley joins Wesley Foster at the limousine, what crucial detail about Westfield Department has already been confirmed?",Sawyer Calloway confirms Wesley Foster and his Westfield Department speak English,"Before Emery Langley meets Wesley Foster at the cafe, Sawyer Calloway verifies in his office that Wesley Foster and his team are capable of speaking English, ensuring they can operate effectively during the planned heist in America. This confirmation occurs in a prior scene and sets the foundation for their assignment.",Temporal Reasoning
