id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-1,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,36、乡间小路，日，外 ; 39、乡间小路，日，外,在沈云拦下任然并质问她的行为中，他与任然之间的关系可被理解为哪种互动模式？,胁迫控制者/受害者,沈云利用母亲是警察局局长的权势威慑任然，又展示她昏迷时被拍下的裸照和视频，以公开隐私相威胁，迫使她晚上到仓库见面。任然哭泣求删视频并试图逃避，二人的互动核心是权力压迫、性胁迫和心理控制。,Character Understanding
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-10,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,20、一组镜头 大街，日，外 ; 22、寺庙，日，外,沈云为何会威胁任然晚上到仓库见面？,沈云用银色钥匙偷拍任然并露出猥琐神情,沈云在寺庙广场趁任然不备偷拍她的私密照片，并表现出不轨意图，这一行为成为他后续以此为要挟、强迫任然赴约的心理和实际筹码，构成了威胁行为的直接动因。,Causal-Motivational Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-11,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,36、乡间小路，日，外 ; 39、乡间小路，日，外,沈云为何会威胁任然晚上到仓库见面？这一威胁背后的直接导火索是什么？,任然请求沈云删除视频，沈云随即以公开视频相威胁,沈云先在乡间小路上向任然展示偷拍视频并暴露自己能查到她住址；随后任然伸手拿银色钥匙并哭求删除视频，沈云便以公开视频为要挟，要求她晚上十点到家中仓库见面。,Causal-Motivational Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-12,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,48、春山酒店，夜，内 ; 187、一组镜头 小商店，日，外,从春山酒店的调查到小商店外的对峙，徐玩和王澜之间的关系如何演变？,从信任的对话者变为亲密陪伴,初期徐玩能直言劝诫王澜的家庭行为，显示彼此信任；后续王澜主动搂住徐玩并劝其离开危险现场，表现出更深层的情感联结与保护意图，关系已升华为亲密陪伴。,Role-Relation Continuity
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-13,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,12、高慕春山酒店，夜，内 ; 195、何晨商铺，日，内,从[高慕春山酒店，夜，内]到[195、何晨商铺，日，内]，许云和何晨之间的关系如何延续？,许云始终信任并支持何晨，何晨则利用这份信任进行布局,两人初见时礼节性友好，随后许云多次表现出对何晨的关心与公开支持，何晨也向其托付关键联络任务，显示信任关系逐步加深；但最终揭示何晨利用许云的善良与信任达成自身目的，关系本质为单向利用，但始终维持表面合作与情感依赖。,Role-Relation Continuity
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-14,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,11、公寓春山酒店，夜，内 ; 151、一组镜头 海港公园清水医院，日，内,从[11、公寓春山酒店，夜，内]到[151、一组镜头 海港公园清水医院，日，内]，何晨和赵瑞之间的关系或分工如何延续？,何晨始终保护并主导应对危机，赵瑞依赖并配合其决策,从初期亲密互动到后续共同应对危机，何晨始终处于主动保护位置，主导计划并安抚赵瑞，而赵瑞持续表现出信任与配合，关系稳定且分工明确。,Role-Relation Continuity
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-15,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,22、寺庙，日，外 ; 29、寺庙院子，日，外 ; 31、何晨的门店，日，内,哪一个事件直接引发了后续任然与沈云进入仓库、赵瑞对峙沈云并警告他远离女儿，以及赵瑞在床边关切任然的一系列发展？,沈云威胁任然晚上到仓库见面,该威胁发生在寺庙外的白天场景中，是沈云对任然施加控制的关键举动，迫使任然赴约进入仓库，从而触发赵瑞介入保护女儿并察觉异常，推动母女关系与冲突对抗进入高潮阶段。,Narrative Progression
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-16,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,28、寺庙广场，日，外 ; 20、一组镜头 大街，日，外 ; 20、一组镜头 大街，日，外,哪一个事件为沈云后续展示偷拍照片、提及药物并发出见面威胁的行为提供了直接的叙事起点？,沈云偷拍任然后试图接近她,该事件标志着沈云从暗中窥视转向主动控制，使他获得对任然的权力筹码，从而触发后续一系列胁迫行为的发展。,Narrative Progression
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-17,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,12、高慕春山酒店，夜，内 ; 3、下水管道，日，内 ; 3、下水管道，日，内,哪一个事件成为何晨后续在饭店谈论电影、打探梁灵行踪并对其威胁表现出轻蔑态度的剧情转折点？,何晨劝说老人鉴定伤情引发梁灵怒火,该事件标志着何晨从被动避让转向主动对抗，激化了与梁灵的矛盾，为后续一系列反击行动提供了动机和情势基础。,Narrative Progression
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-18,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,20、一组镜头 大街，日，外 ; 20、一组镜头 大街，日，外 ; 22、寺庙，日，外,哪一个事件为沈云后续展示裸照、发出威胁以及赵瑞母女情感爆发提供了关键转折？,沈云透露母亲身份并炫耀权力,该场景中，沈云通过揭示其母的权势地位获得心理优势，这一行为标志着他从被动纠缠转向主动施压，直接激发了其后续的威胁行动与控制行为，同时也为赵瑞的愤怒反击和母女和解建立了情感支点，构成推动情节升级的核心动力。,Narrative Progression
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-25,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,7、墓地，日，外 ; 15、一组镜头 袁柔春山酒店，夜，内,到了高慕拉下窗外的绳子时，此前在袁柔春山酒店内已发生的最关键动作是什么？,高慕将袁柔搀扶至床边并绑住其脖颈,在绳子被拉动之前，高慕已在春山酒店内控制袁柔，将其扶到床边并实施束缚，这一行为为后续动作创造了条件。,Temporal Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-28,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,12、高慕春山酒店，夜，内 ; 13、袁柔春山酒店，日，内,“任然回家要求签字参加夏令营引发争执”之后不久，紧接着发生了什么？,深夜查看熟睡的女儿并放下同意书,争执发生后，何晨在夜间前往女儿春山酒店，确认她安睡，并默默留下夏令营的签字同意书，表现出态度的转变与父爱的流露。,Temporal Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-30,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,20、一组镜头 大街，日，外 ; 22、寺庙，日，外,在“沈云威胁任然晚上到仓库见面”之前，前面先发生了什么关键情节？,驾车靠近任然并打招呼,在沈云发出威胁之前，他曾主动在街上驾车接近任然，试图与她对话，这一举动为后续冲突埋下伏笔，显示他早已开始追踪她的行踪。,Temporal Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-5,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,16、高慕春山酒店，夜，内 ; 17、袁柔春山酒店，夜，内,在[高慕春山酒店，夜，内]这场戏中，推动后续冲突爆发的关键动作是什么？,高慕走到窗边并猛地拉动窗外的绳子,高慕离开牌局走到窗户旁，看到窗外预先布置的绳子后猛地一拉；下一场中绳子勒紧袁柔的脖颈，袁柔醒来挣扎。这一动作才是该高慕春山酒店段落中推动命案冲突爆发的关键动作。,Scene Grounding
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-7,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,20、一组镜头 大街，日，外,在[20、一组镜头 大街，日，外]中，沈云如何迫使任然面对羞辱性的证据？,展示她昏迷时被偷拍的裸照,沈云通过银色钥匙向任然展示其昏迷状态下的裸体照片，以此作为羞辱和控制的手段，迫使她承认照片中的形象就是自己。这一动作构成了该场景的核心冲突。,Scene Grounding
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-8,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,33、宴会厅，夜，内 ; 33、宴会厅，夜，内,在宴会厅场景中，赵瑞为何会遭到沈云的暴力反击？,赵瑞扇了沈云一巴掌,沈云以赵瑞女儿的视频相要挟并对其进行言语和肢体挑衅，赵瑞愤而扇了他一巴掌，这一反抗行为直接激起了沈云的暴力回应。,Causal-Motivational Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-9,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,3、下水管道，日，内 ; 3、下水管道，日，内,在3、下水管道，日，内 [3、下水管道，日，内]，何晨为何会当着叶城的面嘲讽警察，进而引发梁灵的当场质问？,何晨向叶城打听梁灵频繁出现的原因，得知其借调查谋私后产生轻蔑态度,何晨在得知梁灵以办案为名敲诈敛财后，表现出对警察系统的不屑，这种态度促使他在后续对话中出言嘲讽，间接导致梁灵折返质问。,Causal-Motivational Reasoning
task2-candidate-15eea4458a9709eaafd6,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,177、194,何晨在被警方带走后，如何通过后续行为展现其身份从被动防御者转变为承担全部责任的主动忏悔者？,何晨从最初制造不在场证明的策划者，转变为在公众面前坦白自己Anonymous Screenplay 05沈云并利用家人的真相，最终主动自首，承担全部责任。,"scene 177: 警察们给何晨戴着手铐，带着他们走上警车。
scene 194: 沈云那天确实来过我们家，他侮辱了我的女儿，伤害我的家人。我本来想阻止他，却Anonymous Screenplay 05了他。我利用了我身边所有最亲密的人。",Character Understanding
task2-candidate-202f756a59f934901276,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,192、194,何晨从决定保护家人到最终自首，其承担责任的动机如何演变？,何晨最初以‘挡在家人前面’为由承担全部责任，最终在自首时公开承认Anonymous Screenplay 05并表示利用了亲人，完成了从家庭保护到公开赎罪的信念转变。,"scene 192: 何晨：我是一个没有什么本事的男人，也没能让你们过得好一点。能做的只有挡在你们前面。
scene 194: 何晨：沈云那天确实来过我们家，他侮辱了我的女儿，伤害我的家人。我本来想阻止他，却Anonymous Screenplay 05了他。我利用了我身边所有最亲密的人。",Temporal Reasoning
task2-candidate-310b2f52732cf8636cdb,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,78、88,何晨从观看电影到实施掩盖行为之间存在怎样的触发关系？,何晨在观看《蒙太奇》和希区柯克电影后，接触到重演完美犯罪和制造不在场证明的情节，随后主导家庭统一口径、伪造生活痕迹，表明电影内容触发其策划掩盖行动。,"scene 78: 《蒙太奇》演员丙：重演了十五年前的完美案件，但是比十五年前更加安全提高了作案技术。
scene 88: 何晨：我们就不认识沈云。如果认识，也只有任然在夏令营见过他，只是见过。而且从今天开始，我们必须当做所有的事情没有发生过。",Causal-Motivational Reasoning
task2-candidate-33666073e71ce21e4d09,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,108、144,警方最初为何放弃对沈云车辆下落的调查，之后又为何重启？,最初因梁灵饮酒且目击距离远，李如无法确认细节，线索不可靠而中止；后因银色钥匙信号与监控均指向灿班镇，结合目击证词重启调查。,"scene 108: 丁豪质疑梁灵饮酒后远距离目击的可信度，李如也无法确认车辆中的人，最终决定中止调查。
scene 144: 警方通过监控和银色钥匙信号确认车辆与通话均出现在灿班镇，并结合梁灵的目击陈述，重新锁定调查方向。",Character Understanding
task2-candidate-474b146365252d252cc7,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,74、198,何晨在事件全过程中的核心信念是否始终一致？请结合其行为变化说明。,何晨始终坚信保护家人高于法律，即使从制造伪证到最终自首，其动机始终是为家人承担后果。,"scene 74: 你现在报警连坐牢的机会都没有，死的是沈云，再说任然才是受害者，我们才是受害者。
scene 198: 是爸爸对不起你，让你失去了对我的信任。希望这件事能让你真正的长大，不再惧怕生活里的任何经历。爸爸爱你。",Scene Grounding
task2-candidate-57578d8783f9cf0d15d6,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,175、194,何晨关于自己是否涉案的认知变化经历了哪些关键阶段，最终导致他承认罪行？,何晨最初试图用蒙太奇手法制造集体记忆混淆以脱罪，但在社会动荡和家庭代价显现后，承认自己Anonymous Screenplay 05沈云并承担责任。,"scene 175: 何晨：这就叫蒙太奇！就是镜头剪接加音效！
scene 194: 沈云那天确实来过我们家，他侮辱了我的女儿，伤害我的家人。我本来想阻止他，却Anonymous Screenplay 05了他。我利用了我身边所有最亲密的人。",Temporal Reasoning
task2-candidate-61bc46691811c213b578,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,109、114,任然在面对警方质问时如何利用父亲教导维持说辞一致性？,她回忆何晨‘说真话就没有破绽’的教导，坚持陈述夏令营后再未见过沈云，并以长滩公园之行为证，避免编造细节。,"scene 109: 何晨教导子女不要编造，只需真实叙述当天活动，强调‘说真话就没有破绽’。
scene 114: 任然在丁豪追问下坚持‘没有再见沈云’，并提供长滩公园行程作为佐证，体现对父亲策略的执行。",Role-Relation Continuity
task2-candidate-623982e76e94fcaadbd1,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,107、110,梁灵最初指认何晨的依据如何从个人恩怨演变为被警方重视的线索？,最初基于私人冲突，后因夏令营名单显示何晨女儿与沈云有关联，使该指认获得间接证据支持，从而升级为调查关注点。,"scene 107: 梁灵在海港公园走廊坚持指认何晨，但丁豪警告其不要借案报复，显示其证词初期不被采信。
scene 110: 警察报告沈云参加的夏令营中有何晨的女儿任然，梁灵获得新信息后露出狞笑，暗示掌握关键关联证据。",Causal-Motivational Reasoning
