id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-11,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,43、酒吧，日，内 ; 28、小店门口，夜，外,小曼向卢小鱼承诺保护他之后，为何紧接着会出现她发现他不告而别的场景？,小曼拉着卢小鱼转圈并表白理解,小曼在情感升温时表达占有与保护意愿，这一强烈情感表态可能让性格内敛的卢小鱼感到压力，促使他在承诺后迅速离开，导致小曼发现他已悄然离去。,Causal-Motivational Reasoning
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-12,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,3、卢小鱼住处，夜，外 ; 51、发布会会场，日，内,从卢小鱼住处夜戏到发布会会场日戏，卢小鱼与卢小鱼小弟之间的关系是否发生转变？,始终保持信任的伙伴,从初期共同生活、处理伤口、分享私密话题，到后续协作执行任务，直至发布会现场公开声援，两人始终表现出稳定的合作与信任，未出现关系断裂或角色反转的迹象。,Role-Relation Continuity
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-13,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,2、龙凤酒楼，日，内 ; 53、发布会会场，日，内,从[2、龙凤酒楼，日，内]到[53、发布会会场，日，内]，卢小鱼和蔡老板之间的角色关系经历了怎样的转变？,从卢小鱼为蔡老板充当托儿、效忠追随的上下级合作，转变为蔡老板主动伤害并羞辱卢小鱼的公开敌对,初期多场戏显示卢小鱼为蔡老板执行任务、视其为榜样，双方维持效忠与指挥的正向关系；至结尾场景，蔡老板以倒水致烫伤和言语讽刺直接表现出对卢小鱼的敌意，关系彻底破裂。,Role-Relation Continuity
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-14,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,8、招牌小吃，夜，内 ; 46、卢小鱼住处，夜，外,从[8、招牌小吃，夜，内]到[46、卢小鱼住处，夜，外]，卢小鱼和黄杰瑞之间的互动关系经历了怎样的转变？,从敌对转为理解与精神上的联结,在初始场景中，黄杰瑞以暴力和羞辱方式阻拦卢小鱼，表现出明显敌意；随后虽短暂建立师徒形式的指导关系，但冲突仍存。随着剧情推进，黄杰瑞在后期通过画外音深入剖析卢小鱼的本质，展现出对其命运的深刻共情与认知，形成一种单向但深厚的理解与情感联结，标志关系从对抗走向精神层面的认同。,Role-Relation Continuity
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-15,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,40、堕落街，夜，外 ; 40、堕落街，夜，外 ; 49、发布会现场，日，内,哪一个事件成为推动卢小鱼挺身救人、发起厨艺对决以及其真实身份被揭晓的关键转折？,小曼当众痛殴蔡老板并力挺卢小鱼,该事件标志着小曼从被动卷入到主动捍卫卢小鱼的转变，直接激化与蔡老板的冲突，为后续卢小鱼采取对抗性行动及身份暴露创造了叙事动力。,Narrative Progression
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-17,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,28、小店门口，夜，外 ; 50、医院，日，内 ; 18、小曼家门口，夜，外,哪一个事件成为后续小曼情感退缩、卢小鱼求婚受挫以及两人围绕食物与等待展开对话的叙事转折点？,小曼识破卢小鱼的伪装并确认彼此感情,该场景中，小曼揭穿卢小鱼伪装的行为标志着两人关系从误解与掩饰转向直面真实情感，由此引发后续情感张力的释放与沟通模式的转变，构成推动后续情节发展的关键枢纽。,Narrative Progression
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-18,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,40、堕落街，夜，外 ; 9、小曼家，日，内 ; 31、卢小鱼住处，夜，外,哪个事件成为触发小曼对卢小鱼产生怀疑、引发后续对峙与情感动摇的关键转折？,卢小鱼为救小曼被爆米花机击中,该事件表面上是卢小鱼救助小曼的英勇行为，但其异常的受伤方式和现场情境引发了小曼的误解，成为她质疑卢小鱼身份的导火索，进而推动众人对峙、情感关系动摇与身体冲突的连锁发展。,Narrative Progression
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-25,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,23、树林里，日，外 ; 40、堕落街，夜，外,到了众人奔向小曼、蔡老板手下冷笑嘲讽之时，此前在树林里已发生的那个扭转关系的关键举动是什么？,卢小鱼向小曼揭示自己性别并试图安慰,在堕落街事件发生前，卢小鱼于树林中向小曼坦白身份并尝试安抚，这一举动构成后续众人反应的情感前提，场景之间存在明确的因果与时间顺序。,Temporal Reasoning
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-26,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,23、树林里，日，外 ; 24、田间街道，夜，外,在“卢小鱼与小曼谈论食物与等待”之前，哪一关键情节已经为这一幕埋下了伏笔？,在树林中发现卢小鱼假扮成女人,小曼在田间街道与卢小鱼对话前，曾在树林中撞破卢小鱼伪装成女性身份的场景，这一发现构成了后续对话的情感与情节基础。,Temporal Reasoning
legacy-ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3-27,ch6d1d9f66a85adc2119804cfbe50dea12dba17fc3,zh,27、招牌小店，夜，内 ; 28、小店门口，夜，外,“卢小鱼中刀后小曼与黄杰瑞紧急施救”之后不久，小曼随后意识到了什么？,小曼发现卢小鱼突然消失,前一场戏发生在小店内部，众人正在对卢小鱼进行急救；下一场戏转至店外，小曼发现卢小鱼已不在原地。两场戏连续发生，时间与空间紧密衔接，表明事件进展迅速。,Temporal Reasoning
