id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en48bdeeb754c548448c2bfaf7976c365b-12,en48bdeeb754c548448c2bfaf7976c365b,en,14、INT. THE ENTRY OF THE ROSE THEATER - CONTINUOUS ; 26、EXT. OXFORD STONE - GARDEN - DAY,What suggestion prompts Oxford to later lead Jonson and Francesco into the garden maze?,Southampton suggests going to Essex's,"After the performance halts, Southampton rises and suggests to Oxford that they go to Essex's. Oxford remains seated at first, observing the activity on stage, but eventually nods in response. Later, he stands and walks toward the garden maze, with Jonson and Francesco following him into its pathways.",Causal-Motivational Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-13,en48bdeeb754c548448c2bfaf7976c365b,en,60、INT. THE MERMAID'S TAVERN - DAY ; 129、INT. THE GLOBE THEATER - DAY,How does the working relationship between Dekker and Nashe evolve from their interaction at the tavern to their encounter at the Globe Theater?,They remain collaborative colleagues engaging in familiar dialogue,"From their conversation at the Mermaid's Tavern after a play to their exchange at the Globe Theater, Dekker and Nashe maintain a consistent rapport as fellow playwrights, characterized by direct and familiar communication that reflects an ongoing professional camaraderie.",Role-Relation Continuity
legacy-en48bdeeb754c548448c2bfaf7976c365b-14,en48bdeeb754c548448c2bfaf7976c365b,en,85、INT. OXFORD STONE - STUDY - DUSK ; 111、INT. A ROOM ABOVE THE MERMAID'S TAVERN - DAY,How does Francesco's relationship to Oxford evolve from their interaction in the study at Oxford Stone through their joint actions at the Mermaid's Tavern?,Francesco continues serving Oxford as a loyal and trusted associate,"From the study at Oxford Stone, where Francesco is established as Oxford's servant following him into the room, through their shared presence at Essex House amid tension, and into the room above the Mermaid's Tavern where Oxford silently delegates payment to Francesco, their dynamic remains consistently one of service and trust. Francesco acts on Oxford's behalf without explicit instruction, indicating an ongoing, operational alliance grounded in loyalty and mutual understanding.",Role-Relation Continuity
legacy-en48bdeeb754c548448c2bfaf7976c365b-16,en48bdeeb754c548448c2bfaf7976c365b,en,26、EXT. OXFORD STONE - GARDEN - DAY ; 26、EXT. OXFORD STONE - GARDEN - DAY ; 27、EXT. MAZE - DAY,"What pivotal event initiates the sequence in which Oxford leads Jonson and Francesco into the garden maze, Jonson confronts the offer and is left behind, and Jonson ultimately acknowledges his release to Oxford?",Oxford Meets Jonson in the Garden,"The confrontation between Oxford and Jonson in the garden sets in motion a critical chain of events, beginning with their encounter at the stone garden and escalating as Oxford guides Jonson and Francesco deeper into the maze. This meeting shifts the narrative trajectory, leading directly to Jonson's internal reckoning with Oxford's offer, his isolation within the maze, and his eventual acceptance of release, marking a definitive turn in the story's progression. [26、EXT. OXFORD STONE - GARDEN - DAY]",Narrative Progression
legacy-en48bdeeb754c548448c2bfaf7976c365b-17,en48bdeeb754c548448c2bfaf7976c365b,en,17、INT. CHANGING ROOMS/ESSEX HOUSE - DAY ; 17、INT. CHANGING ROOMS/ESSEX HOUSE - DAY ; 17、INT. CHANGING ROOMS/ESSEX HOUSE - DAY,"What pivotal action enables Essex to reveal Cecil's correspondence with King James, Oxford's eavesdropping, and Southampton's confirmation of Essex's lineage?",Essex Dismisses the Valets,"In the changing rooms at Essex House, Essex sends away his attendants, creating a moment of privacy that allows him to disclose sensitive information about Cecil's secret communications with King James. This decision inadvertently permits Oxford to overhear the conversation and escape undetected, while also setting the stage for Southampton to affirm Essex's royal lineage. The dismissal of the valets removes a layer of oversight, unlocking multiple consequential threads in the narrative. [17、INT. CHANGING ROOMS/ESSEX HOUSE - DAY]",Narrative Progression
legacy-en48bdeeb754c548448c2bfaf7976c365b-18,en48bdeeb754c548448c2bfaf7976c365b,en,18、EXT. ESSEX HOUSE - DAY ; 18、EXT. ESSEX HOUSE - DAY ; 18、EXT. ESSEX HOUSE - DAY,"What pivotal event shifts the trajectory of the relationship between Oxford and Southampton, setting in motion the reconciliation and final warnings that follow?",Oxford and Southampton Exit Essex's Residence,"Following their departure from Essex's residence, the dynamic between Oxford and Southampton begins to shift decisively. This moment marks the end of their alignment with Essex and creates the emotional and narrative space for reflection, leading directly to Southampton's apology, Oxford's final request, and his subsequent warning against further association with Essex. The scene establishes a clear break from prior loyalties and initiates the closing phase of their arc. [18、EXT. ESSEX HOUSE - DAY]",Narrative Progression
legacy-en48bdeeb754c548448c2bfaf7976c365b-25,en48bdeeb754c548448c2bfaf7976c365b,en,27、EXT. MAZE - DAY ; 48、INT. OXFORD STONE - STUDY - DAY,"By the time Oxford demands secrecy from Jonson, what has already taken place between them?",Oxford reveals his noble status and social constraints,"Before Oxford can insist on secrecy regarding the authorship of the plays, he first discloses his true identity as a nobleman to Jonson, explaining the societal limitations that prevent him from claiming his work publicly. This revelation occurs during a meeting in the garden maze, where the weight of his position becomes clear, setting the stage for his later demand that Jonson remain silent about the arrangement.",Temporal Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-26,en48bdeeb754c548448c2bfaf7976c365b,en,15、INT. A JAIL CELL - DAY ; 26、EXT. OXFORD STONE - GARDEN - DAY,"By the time Jonson acknowledges his release to Oxford, what has already taken place?",Jonson is thrown into the prison cell,"Before Jonson speaks to Oxford about his release, he is imprisoned and subjected to harsh conditions, marking a pivotal moment of confinement and defiance. This occurs in a jail cell during an earlier sequence, establishing the circumstances that precede his eventual acknowledgment of freedom.",Temporal Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-27,en48bdeeb754c548448c2bfaf7976c365b,en,26、EXT. OXFORD STONE - GARDEN - DAY ; 27、EXT. MAZE - DAY,What occurs immediately before Jonson faces the offer in the maze?,Ben Jonson clears his throat nervously,"Shortly after being released and acknowledged in the garden at Oxford Stone, Ben Jonson transitions to the maze, where he is confronted with a pivotal offer. The moment just prior to this confrontation shows him physically manifesting tension through a small, telling gesture. [scene: 26、EXT. OXFORD STONE - GARDEN - DAY]",Temporal Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-28,en48bdeeb754c548448c2bfaf7976c365b,en,38、INT. CECIL HOUSE - GREAT HALL - DAY ; 39、INT. WESTMINSTER ABBEY - DAY,"What key event sets the stage for the wedding ceremony, following the negotiation at Cecil House?",William Cecil demands concession for covering up incident,"Shortly before the wedding at Westminster Abbey, a pivotal exchange takes place in the Great Hall of Cecil House, where William Cecil leverages his silence about a prior incident to demand a political concession. This moment directly precedes the marriage of Young Oxford and Anne, establishing the conditions under which the union proceeds.",Temporal Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-29,en48bdeeb754c548448c2bfaf7976c365b,en,8、EXT/INT. THE ROSE THEATER - CONTINUOUS ; 9、EXT. THE ROSE THEATER - NIGHT,"Shortly after Pole decides to set the theater ablaze, what action raises the immediate threat to Jonson?",Pole threatens to smoke Jonson out,"In the moments leading up to the fire, Pole issues a direct threat to force Jonson out by smoke, escalating the danger just before flames engulf the theater and Jonson is pushed through the door. This occurs in the continuous scene immediately preceding the exterior chaos, establishing the causal and temporal link between Pole's command and the ensuing fire.",Temporal Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-3,en48bdeeb754c548448c2bfaf7976c365b,en,18、EXT. ESSEX HOUSE - DAY,What does Oxford aim to prevent by warning Southampton after their visit to Essex?,Essex's ambitions causing civil war,"As they leave Essex's London residence, Oxford critiques Essex's judgment and warns Southampton that the Cecils will not tolerate rivals, urging caution. Southampton reveals his belief that Essex is the Queen's son and expresses loyalty to him over a foreign successor. Oxford emphasizes his desire for a rightful succession but stresses that Essex's reckless ambitions could trigger civil war, insisting any change must be managed with precision. After a tense exchange where Southampton questions Oxford's political acumen, he relents, acknowledges Oxford's longstanding loyalty, and agrees to consult him before taking action. Oxford then asks him to deliver a gift, maintaining his protective role.",Character Understanding
legacy-en48bdeeb754c548448c2bfaf7976c365b-30,en48bdeeb754c548448c2bfaf7976c365b,en,30、INT. CECIL HOUSE - HALLWAY - DAY ; 31、INT. CECIL HOUSE - GREAT HALL - DAY,What occurs just before Young Oxford disarms the tutor and interrupts Cecil's chess game?,William Cecil introduces Young Oxford to his tutors,"In the preceding scene, set in the hallway of Cecil House, William Cecil presents Young Oxford to his assigned tutors, establishing the context for the encounter that quickly escalates in the great hall shortly afterward.",Temporal Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-4,en48bdeeb754c548448c2bfaf7976c365b,en,38、INT. CECIL HOUSE - GREAT HALL - DAY,What does Cecil aim to secure from Oxford during their confrontation by the fireplace?,Marriage to his daughter for political control,"William Cecil stands before a large fireplace, pacing angrily as Young Oxford faces him. Cecil accuses Oxford of disobedience for killing a man, then reveals the theft of Oxford's poems was done on his orders. He warns Oxford about defying authority and the danger to his soul, to which Oxford replies that his poems are his soul. Cecil shifts focus to damage control, proposing to cover the killing as self-defense, but demands something in return. He introduces his daughter, noting her affection for Oxford, leading Oxford to accuse him of seeking his estates through a forced marriage. Cecil coldly presents the arrangement as Oxford's only alternative to execution. Church bells ring as Oxford remains silent, staring at him.",Character Understanding
legacy-en48bdeeb754c548448c2bfaf7976c365b-7,en48bdeeb754c548448c2bfaf7976c365b,en,30、INT. CECIL HOUSE - HALLWAY - DAY,What occurs when Young Oxford first arrives at the Cecil household?,Young Oxford arrives with William Cecil and his family,"Young Oxford arrives at the Cecil residence alongside William Cecil, his wife, and their daughter Anne. Boy Robert Cecil, William's nine-year-old son, observes from the window but does not immediately join. William introduces his wife and daughter, Anne offers a curtsy and condolences on Oxford's father's death, and Robert asks if Oxford will stay forever. Oxford explains he will remain only until maturity, as ordered by the Queen. William then presents Oxford to his tutors in various subjects, though poetry and composition are forbidden in the Puritan household.",Scene Grounding
legacy-en48bdeeb754c548448c2bfaf7976c365b-8,en48bdeeb754c548448c2bfaf7976c365b,en,27、EXT. MAZE - DAY ; 27、EXT. MAZE - DAY,What action by Oxford directly leads to Jonson becoming disoriented in the maze?,Oxford instructs his servant Francesco to hand over a manuscript,"At the center of the maze, Oxford signals Francesco to give Jonson a leather-bound manuscript containing a play, instructing him to stage it under his own name due to Oxford's social standing. After the exchange, Oxford departs without clarifying the way out, while Francesco throws Jonson a pouch of coins and warns him to remain silent. As Jonson bends to retrieve the pouch, he realizes he is lost, unsure of the path back, and chooses a direction at random, disappearing into the hedges while calling after Oxford.",Causal-Motivational Reasoning
legacy-en48bdeeb754c548448c2bfaf7976c365b-9,en48bdeeb754c548448c2bfaf7976c365b,en,38、INT. CECIL HOUSE - GREAT HALL - DAY ; 39、INT. WESTMINSTER ABBEY - DAY,What demand by William Cecil directly leads to the marriage between Young Oxford and Anne?,He demands a marriage alliance as the price for covering up the incident.,"In the great hall of Cecil House, William Cecil halts his pacing and slams the table, asserting he can conceal the violent incident by framing it as self-defense—provided Young Oxford marries his daughter. Young Oxford protests, accusing Cecil of exploiting the threat of execution to gain control over his estate through the union. The weight of the ultimatum settles between them as church bells begin to ring, foreshadowing the impending ceremony.",Causal-Motivational Reasoning
task2-candidate-45f7e8e88d191cc0d951,en48bdeeb754c548448c2bfaf7976c365b,en,102、120,"How does the public perception of Shakespeare's status change from his peers' skepticism about his coat-of-arms to the celebration of his play's success, and what role does financial and institutional support play in this transformation?","Shakespeare shifts from being mocked for his self-proclaimed gentleman status to being celebrated as a dramatic genius, with Oxford's financial backing and control over the Globe enabling a public triumph that silences his critics.","scene 102: Shakespeare presents his coat-of-arms to his peers, claiming gentleman status, but is met with confusion and Jonson's accusation of betrayal, culminating in public mockery of his writing ability.
scene 120: At a tavern, actors celebrate Shakespeare's play Richard III, praising his dramatic skill above the Greeks, while Jonson storms out in fury, ignored by the group.",Character Understanding
task2-candidate-563aae92a7f44bd96996,en48bdeeb754c548448c2bfaf7976c365b,en,163、166,How does Jonson's role shift from adversary to custodian of Oxford's legacy?,"Jonson shifts from drunkenly accusing Shakespeare to accepting Oxford's charge to protect and publish his manuscripts, becoming the guardian of the truth.","scene 163: Jonson is completely drunk, waving a sword in one hand, a tankard in another. JONSON So! Off to the palace are you? ... Fraud. Charlatan. Counterfeiter of wit! Murderer!
scene 166: Oxford: 'Promise me... promise me, Jonson, that you will keep our secret safe. That you won't expose Shakespeare...' All my writings. The plays, the sonnets... Keep them safe... publish them.'",Character Understanding
task2-candidate-5a1ed260fcbb44cc7ea9,en48bdeeb754c548448c2bfaf7976c365b,en,17、21,How does the audience's perception of theatrical power shift from skepticism to political recognition through Essex and Oxford's contrasting views?,"Oxford demonstrates the cultural reach of theater by calculating its audience size, but Essex initially dismisses words as ineffective; however, after the Queen embraces a play, Essex gains favor by aligning with its success, showing a shift in recognizing theater's political utility.","scene 17: Essex rejects Oxford's argument about the power of playwrights, asserting that kingdoms are won by swords, not words.
scene 21: Essex publicly supports the play, defying Cecil and enabling the Queen's approval, which elevates his status and shows his recognition of theater's political value.",Temporal Reasoning
task2-candidate-5a9d8c5dbfcdf80b4b85,en48bdeeb754c548448c2bfaf7976c365b,en,12、27,"How does Ben Jonson's relationship with authority shift from his arrest to his release, and what evidence indicates this transformation was not voluntary but coerced?","Jonson transitions from defiant prisoner to coerced collaborator when Oxford arranges his unsanctioned release and compels him to publish plays under his own name, enforced by payment and threat from Francesco.","scene 12: Jonson is arrested, interrogated, and physically abused while denying knowledge of de Vere's plays, showing resistance to authority.
scene 27: Oxford reveals he orchestrated Jonson's release under false pretenses and demands Jonson publish his plays, marking a shift from resistance to enforced compliance.",Role-Relation Continuity
task2-candidate-5dce2e65b201c4e480a3,en48bdeeb754c548448c2bfaf7976c365b,en,37、62,"What delayed consequence emerges from Jonson's refusal to collaborate with amateurs, and how does it affect his credibility when Shakespeare later gains acclaim?","Jonson's earlier moral rejection of amateur playwrights is undermined when Shakespeare, an actor he dismissed, achieves artistic success, exposing Jonson's judgment as flawed and isolating him among the Wits.","scene 37: Jonson refuses to collaborate with an amateur playwright, calling it an 'affront against the Muses' and mocking actors' understanding of writing.
scene 62: The Mermaid's Wits, including Jonson, grow increasingly depressed as Shakespeare's name appears above play titles, signaling his dominance despite being the 'actor' Jonson scorned.",Narrative Progression
task2-candidate-67aaa3c89678703d1464,en48bdeeb754c548448c2bfaf7976c365b,en,36、62,How does Jonson's artistic identity shift from idealistic ambition to compromised integrity in the face of Shakespeare's rise?,"Jonson initially declares his intent to be 'the conscience of our times,' but as Shakespeare gains acclaim through work Jonson helped enable, Jonson's silence and growing depression reveal his ideals undermined by unacknowledged complicity.","scene 36: Jonson declares he came to London to be 'the conscience of our times, the soul of our age,' expressing high moral and artistic ideals.
scene 62: Jonson and the Mermaid's Wits grow increasingly depressed as Shakespeare's name appears above play titles, showing Jonson's disillusionment despite his earlier principles.",Role-Relation Continuity
task2-candidate-80f64a03e427b68e4b9f,en48bdeeb754c548448c2bfaf7976c365b,en,158、175,How does the truth of Oxford's authorship persist beyond his death despite official erasure?,"Though Elizabeth declares Oxford's plays and son unclaimed, Jonson recovers the manuscripts from the theater rubble and later publishes Shakespeare's works with a dedication, preserving the legacy.","scene 158: Treason... that is all that has come from you... your son... Your plays... None will be claimed by you. None.
scene 175: Jonson's eyes search the ground. And, eventually, he finds it-- THE METAL BOX... INSIDE THE BOX Are the manuscripts Oxford gave him. Jonson smiles, relieved. They are singed at the edges, but they are there.",Scene Grounding
task2-candidate-859f1fcb860f8ea1f5d3,en48bdeeb754c548448c2bfaf7976c365b,en,50、51,"How does Anne's perception of Jonson change from silent recognition to unspoken tension, and what does it reveal about her awareness of Oxford's secret?","Anne initially only silently recognizes Jonson from a past encounter, but her choice not to speak suggests she suspects his role in Oxford's writing, marking the beginning of her awareness of the hidden artistic life destabilizing their household.","scene 50: Anne sees Jonson leaving Oxford's study and realizes she has seen him before, but remains silent, indicating suppressed recognition.
scene 51: Anne later confronts Oxford about prioritizing writing over family, destroying his manuscript and asking if he is possessed, showing her growing distress over his secret creative world.",Temporal Reasoning
task2-candidate-adcbcf8ee46c02d3f309,en48bdeeb754c548448c2bfaf7976c365b,en,131、136,"How does the military preparation under Robert Cecil parallel the theatrical performance of Richard III, and what does this reveal about the convergence of political spectacle and real violence?","As Gloucester's soliloquy about deformity and power is recited, Cecil is armored in a mirror, symbolizing his identification with the villain; this convergence culminates in the deployment of hidden cannons on London Bridge, where political theater turns to real violence.","scene 131: Robert Cecil is fitted with armor while Gloucester's soliloquy about being deformed and unfinish'd plays, creating a symbolic identification between the character and Cecil.
scene 136: Soldiers clear London Bridge and position cannons covered with canvas tarps, establishing a concealed military presence that later fires into the mob.",Narrative Progression
task2-candidate-b8dc7309e485717b85a6,en48bdeeb754c548448c2bfaf7976c365b,en,118、139,"What causes Ben Jonson's evolving understanding of the Richard III performance, and how does this lead to his decision to intervene in the political crisis?","Jonson initially sees the performance as a theatrical event but realizes it is a political maneuver orchestrated by Oxford to incite a mob for Essex, prompting him to rush to the Tower to warn Cecil of the impending uprising.","scene 118: Ben Jonson notices the Globe theater and a poster advertising a performance of 'Richard III' on Monday, becoming aware of the event but not its significance.
scene 139: Jonson realizes that the audience unrest is part of a plot by Oxford to bring a mob to Essex, and he decides to warn Cecil at the Tower, though he is swept away by the mob.",Temporal Reasoning
task2-candidate-d220bfbc90f44f67e1b6,en48bdeeb754c548448c2bfaf7976c365b,en,166、168,What evidence shows the evolution of Jonson's belief in the significance of Oxford's manuscripts after receiving them?,"Initially accepting the charge, Jonson later realizes a deeper layer in the dedication, suggesting a concealed meaning tied to Southampton, prompting him to look back in revelation.","scene 166: Oxford: 'All my writings. The plays, the sonnets... Keep them safe. Keep them from my family. From the Cecil's. Wait a few years, and then, publish them.'
scene 168: Jonson reads the dedication on the first page of the manuscript as he walks. Jonson freezes, and looks back at Oxford's house, realizing there is another whole layer to all this; exactly what he can only guess.",Temporal Reasoning
task2-candidate-e17a4a6af5c0866545fb,en48bdeeb754c548448c2bfaf7976c365b,en,112、119,"What triggers the shift in Shakespeare's role from passive recipient of Oxford's manuscript to active controller of theatrical content, and how does this affect Jonson's standing in the theater?","After receiving the manuscript and funding from Oxford, Shakespeare becomes part owner of the Globe, enabling him to stipulate that no Jonson plays be performed there, resulting in Jonson's permanent exclusion and professional humiliation.","scene 112: Oxford delivers the manuscript of Richard III to Shakespeare, orders immediate rehearsals, and provides a large pouch of coins to cover costs, establishing Shakespeare's role in the production.
scene 119: Burbage informs Jonson that Shakespeare is part owner and has stipulated that no Jonson plays be performed at the Globe ever, leading to Jonson's shock and exclusion.",Causal-Motivational Reasoning
task2-candidate-eab9cec63f573b114999,en48bdeeb754c548448c2bfaf7976c365b,en,112、130,"What does the absence of Oxford and Francesco's presence among the groundlings during the Richard III performance reveal about the covert nature of the political strategy, and how is this interpreted by Jonson?","Oxford's absence from his box and Francesco's presence among the groundlings signal a deliberate shift from noble patronage to direct popular mobilization, which Jonson recognizes as evidence of a hidden political plot to incite rebellion.","scene 112: Oxford delivers the manuscript of Richard III to Shakespeare, instructs immediate rehearsals under strict secrecy, and authorizes full funding, establishing his control over the production.
scene 130: Jonson observes Francesco among the groundlings instead of in Oxford's box and confirms Oxford's seat is empty, leading him to suspect a larger political scheme is unfolding.",Narrative Progression
task2-candidate-eddf5cdabb695a58df2a,en48bdeeb754c548448c2bfaf7976c365b,en,152、153,"What shift occurs in Oxford's understanding of his identity after Cecil's revelations, and how does it culminate emotionally?","Oxford shifts from believing he was an illegitimate royal son to realizing he was a pawn in a dynastic plot, culminating in his emotional collapse in the courtyard.","scene 152: Robert Cecil: 'Elizabeth had several children, Edward, not just yours. She was sixteen for the first... my father took it, and hid it...' You could have been a king, Edward. And your son after you. Except for the fact that... you were you.'
scene 153: Oxford's a shell-- devoid of emotion. Broken. Hardly alive at all. He drops to his knees, the rain pouring down on him.",Temporal Reasoning
task2-candidate-f246d1390d60accfcad1,en48bdeeb754c548448c2bfaf7976c365b,en,99、107,"How does Elizabeth's perception of Essex evolve from learning of his alleged treason to her reaction upon his uninvited intrusion, and what does this reveal about her shifting emotional and political stance?","Elizabeth shifts from alarm at Essex's alleged treason to outrage at his personal and political transgression, revealing a deepening sense of betrayal that combines emotional vulnerability with reasserted royal authority.","scene 99: Robert Cecil informs Elizabeth of rumors that Essex is negotiating with Spain to claim the throne, causing her to become alarmed and emotionally distressed.
scene 107: Essex intrudes into Elizabeth's private chamber uninvited, causing mutual shock; Elizabeth regains composure and expels him, denouncing his behavior as insolent.",Temporal Reasoning
task2-candidate-f4bc269430546cc915c7,en48bdeeb754c548448c2bfaf7976c365b,en,99、123,"What triggers Robert Cecil's shift from public scorn to private relief, and how does this reflect the delayed political consequences of Essex's actions?","Cecil shifts from being publicly booed after Elizabeth's retreat to receiving a message that brings him relief, reflecting that the anticipated political crisis has been averted through intelligence confirming the failure of Essex's mobilization.","scene 99: After Elizabeth retreats into her carriage, the commoners in the crowd begin to boo Robert Cecil, revealing public hostility likely tied to sympathy for Essex.
scene 123: Robert Cecil, who has prayed all night for a miracle, stops praying and shows visible relief when Sir Richard Pole whispers a message to him, indicating a favorable turn in the political situation.",Narrative Progression
task2-candidate-f544e8c1a5b2ac585bf4,en48bdeeb754c548448c2bfaf7976c365b,en,34、39,How does the servant's theft of poems set in motion a chain of violence and political manipulation involving Young Oxford?,"The servant's theft leads Young Oxford to discover the intrusion and kill him, an act that William Cecil later uses as leverage to force Oxford into marriage, transforming a personal crime into a political tool.","scene 34: A servant steals Young Oxford's poems and hides behind a tapestry; Oxford discovers the theft and kills the servant by thrusting his sword through the fabric.
scene 39: William Cecil confronts Oxford about the killing and uses it as justification for a coercive bargain: marriage to Anne or execution, shifting the act from personal to political consequence.",Narrative Progression
