id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-1,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,36、乡间小路，日，外 ; 39、乡间小路，日，外,在素察拦下平平并质问她的行为中，他与平平之间的关系可被理解为哪种互动模式？,胁迫控制者/受害者,素察利用母亲是警察局局长的权势威慑平平，又展示她昏迷时被拍下的裸照和视频，以公开隐私相威胁，迫使她晚上到仓库见面。平平哭泣求删视频并试图逃避，二人的互动核心是权力压迫、性胁迫和心理控制。,Character Understanding
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-10,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,20、一组镜头 大街，日，外 ; 22、寺庙，日，外,素察为何会威胁平平晚上到仓库见面？,素察用手机偷拍平平并露出猥琐神情,素察在寺庙广场趁平平不备偷拍她的私密照片，并表现出不轨意图，这一行为成为他后续以此为要挟、强迫平平赴约的心理和实际筹码，构成了威胁行为的直接动因。,Causal-Motivational Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-11,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,36、乡间小路，日，外 ; 39、乡间小路，日，外,素察为何会威胁平平晚上到仓库见面？这一威胁背后的直接导火索是什么？,平平请求素察删除视频，素察随即以公开视频相威胁,素察先在乡间小路上向平平展示偷拍视频并暴露自己能查到她住址；随后平平伸手拿手机并哭求删除视频，素察便以公开视频为要挟，要求她晚上十点到家中仓库见面。,Causal-Motivational Reasoning
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-12,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,48、李维杰家仓库，夜，内 ; 187、一组镜头 小商店，日，外,从李维杰家仓库的调查到小商店外的对峙，拉韫和都彭之间的关系如何演变？,从信任的对话者变为亲密陪伴,初期拉韫能直言劝诫都彭的家庭行为，显示彼此信任；后续都彭主动搂住拉韫并劝其离开危险现场，表现出更深层的情感联结与保护意图，关系已升华为亲密陪伴。,Role-Relation Continuity
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-13,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,12、小黑房间，夜，内 ; 195、李维杰商铺，日，内,从[小黑房间，夜，内]到[195、李维杰商铺，日，内]，普朗和李维杰之间的关系如何延续？,普朗始终信任并支持李维杰，李维杰则利用这份信任进行布局,两人初见时礼节性友好，随后普朗多次表现出对李维杰的关心与公开支持，李维杰也向其托付关键联络任务，显示信任关系逐步加深；但最终揭示李维杰利用普朗的善良与信任达成自身目的，关系本质为单向利用，但始终维持表面合作与情感依赖。,Role-Relation Continuity
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-14,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,11、公寓房间，夜，内 ; 151、一组镜头 警局办公室，日，内,从[11、公寓房间，夜，内]到[151、一组镜头 警局办公室，日，内]，李维杰和阿玉之间的关系或分工如何延续？,李维杰始终保护并主导应对危机，阿玉依赖并配合其决策,从初期亲密互动到后续共同应对危机，李维杰始终处于主动保护位置，主导计划并安抚阿玉，而阿玉持续表现出信任与配合，关系稳定且分工明确。,Role-Relation Continuity
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-15,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,22、寺庙，日，外 ; 29、寺庙院子，日，外 ; 31、李维杰的门店，日，内,哪一个事件直接引发了后续平平与素察进入仓库、阿玉对峙素察并警告他远离女儿，以及阿玉在床边关切平平的一系列发展？,素察威胁平平晚上到仓库见面,该威胁发生在寺庙外的白天场景中，是素察对平平施加控制的关键举动，迫使平平赴约进入仓库，从而触发阿玉介入保护女儿并察觉异常，推动母女关系与冲突对抗进入高潮阶段。,Narrative Progression
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-16,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,28、寺庙广场，日，外 ; 20、一组镜头 大街，日，外 ; 20、一组镜头 大街，日，外,哪一个事件为素察后续展示偷拍照片、提及药物并发出见面威胁的行为提供了直接的叙事起点？,素察偷拍平平后试图接近她,该事件标志着素察从暗中窥视转向主动控制，使他获得对平平的权力筹码，从而触发后续一系列胁迫行为的发展。,Narrative Progression
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-17,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,12、小黑房间，夜，内 ; 3、下水管道，日，内 ; 3、下水管道，日，内,哪一个事件成为李维杰后续在饭店谈论电影、打探桑坤行踪并对其威胁表现出轻蔑态度的剧情转折点？,李维杰劝说老人鉴定伤情引发桑坤怒火,该事件标志着李维杰从被动避让转向主动对抗，激化了与桑坤的矛盾，为后续一系列反击行动提供了动机和情势基础。,Narrative Progression
legacy-ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3-18,ch232d9fa92b0f7586b39d9a6beb75dc2827489ed3,zh,20、一组镜头 大街，日，外 ; 20、一组镜头 大街，日，外 ; 22、寺庙，日，外,哪一个事件为素察后续展示裸照、发出威胁以及阿玉母女情感爆发提供了关键转折？,素察透露母亲身份并炫耀权力,该场景中，素察通过揭示其母的权势地位获得心理优势，这一行为标志着他从被动纠缠转向主动施压，直接激发了其后续的威胁行动与控制行为，同时也为阿玉的愤怒反击和母女和解建立了情感支点，构成推动情节升级的核心动力。,Narrative Progression
