id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-end5a824f9c5a34d1b8b0181b434ae6674-10,end5a824f9c5a34d1b8b0181b434ae6674,en,35、INT. CLOTHING STORE - DAY ; 36、INT. A CHIC EYEWEAR BOUTIQUE - DAY,What event immediately prior to Remy Hollis's purchase explains his decision to buy the entire case of sunglasses?,Remy Hollis emerges from the dressing room in new attire,"In the clothing store, Remy Hollis steps out of the dressing room wearing new clothes and notices the price tag still attached, briefly registering its cost. Kendall Hale touches his arm and whispers a quote about money not mattering to those who have it, subtly reframing his relationship to wealth. This moment of transformation and suggestion sets the stage for his subsequent embrace of an affluent identity in the eyewear boutique, where he confidently orders the entire case of sunglasses without checking the price.",Causal-Motivational Reasoning
legacy-end5a824f9c5a34d1b8b0181b434ae6674-11,end5a824f9c5a34d1b8b0181b434ae6674,en,"33、EXT. ""the leather photograph"" MANSION - GARAGE - DAY ; 32、INT. ""the leather photograph"" MANSION - GARAGE - THE NEXT MORNING",What interaction initially enables Kendall Hale to feel comfortable joining Remy Hollis in the Ferrari the following morning?,Remy Hollis introduces himself formally to Kendall Hale,"In the garage at the the leather photograph mansion, Remy Hollis awkwardly introduces himself to Kendall Hale after nearly stalling the Ferrari. Though she already knows who he is, she reciprocates by introducing herself as Kendall Hale. The exchange, marked by Remy Hollis’s fumbled compliment and Kendall Hale’s amused reaction, establishes a tentative rapport between them. This moment of personal recognition and light humor sets the tone for her approaching him again the next morning, when she confidently enters the same garage and takes a seat beside him in the car.",Causal-Motivational Reasoning
legacy-end5a824f9c5a34d1b8b0181b434ae6674-14,end5a824f9c5a34d1b8b0181b434ae6674,en,8、INT. Westhaven Warehouse - NEWSROOM - DAY ; 9、INT. Northbridge Hospital - MEN'S ROOM - DAY,What event immediately before the bathroom scene explains Remy Hollis's emotional collapse and vomiting?,Blair Ellison rejecting Remy Hollis's public promposal in the school Harborview Motel,"After Shawn Sloane dares him, Remy Hollis approaches Blair Ellison in the crowded school Harborview Motel, kneels, and asks her to the The Harvest Gathering amid mounting silence and attention. The entire student body joins in shouting the question, amplifying the spectacle. Blair Ellison responds with embarrassment and rejection, clarifying she sees him only as a friend and is attracted to physically imposing men, not someone like him. She walks away laughing, leaving Remy Hollis humiliated as students mock him. Shawn Sloane helps him up, marking the moment as an 'actual emergency.' This public rejection directly precedes and motivates Remy Hollis's visceral breakdown in the men's room, where he vomits while fixating on the emptiness of his life, symbolized by his muttered lament about meatloaf.",Causal-Motivational Reasoning
legacy-end5a824f9c5a34d1b8b0181b434ae6674-15,end5a824f9c5a34d1b8b0181b434ae6674,en,5、INT. Harborview Motel - Northbridge Hospital - DAY ; 5、INT. Harborview Motel - Northbridge Hospital - DAY ; 6、INT. BASKETBALL COURT - Northbridge Hospital - DAY,"What pivotal interaction sets in motion the sequence where Remy Hollis reveals Valerie Quincy's traits, Blair Ellison reacts emotionally, and Remy Hollis becomes distressed by Valerie Quincy's remark?",Remy Hollis and Valerie Quincy in the Harborview Motel,"In the Harborview Motel of Northbridge Hospital, an exchange between Remy Hollis and Valerie Quincy escalates subtle tensions into direct confrontation, catalyzing a chain of emotional revelations and reactions among the characters. This moment shifts the narrative trajectory by exposing underlying dynamics that had previously remained unspoken, directly leading to Remy Hollis's candid description of Valerie Quincy, Blair Ellison's conflicted response, and Valerie Quincy's provocative comment that deeply unsettles Remy Hollis. [scene: 5、INT. Harborview Motel - Northbridge Hospital - DAY]",Narrative Progression
legacy-end5a824f9c5a34d1b8b0181b434ae6674-16,end5a824f9c5a34d1b8b0181b434ae6674,en,2、INT. Harborview Motel - DAY ; 3、INT. Northbridge Hospital - NEWSROOM - DAY ; 3、INT. Northbridge Hospital - NEWSROOM - DAY,What pivotal moment shifts the narrative toward the The Harvest Gathering invitation and its aftermath?,Blair Ellison winks and Remy Hollis decides to ask her to the The Harvest Gathering,"In the school Harborview Motel, a brief but meaningful exchange occurs when Blair Ellison winks at Remy Hollis, prompting him to reconsider their relationship and take action. This moment sets off a chain of events leading directly to the The Harvest Gathering invitation and the couple's celebration, marking a clear shift in the story's direction. [2、INT. Harborview Motel - DAY]",Narrative Progression
legacy-end5a824f9c5a34d1b8b0181b434ae6674-17,end5a824f9c5a34d1b8b0181b434ae6674,en,"32、INT. ""the leather photograph"" MANSION - GARAGE - THE NEXT MORNING ; 32、INT. ""the leather photograph"" MANSION - GARAGE - THE NEXT MORNING ; 32、INT. ""the leather photograph"" MANSION - GARAGE - THE NEXT MORNING","What pivotal event initiates the shift in Remy Hollis and Kendall Hale's relationship, leading directly to their shared moments in the Ferrari and Kendall Hale assuming a guiding role in Remy Hollis's actions?",Remy Hollis and Kendall Hale's Awkward Introductions,"The initial encounter between Remy Hollis and Kendall Hale in the garage of the the leather photograph Mansion establishes the foundation for their evolving dynamic. This scene marks the first meaningful interaction where Kendall Hale's presence begins to influence Remy Hollis's trajectory, setting in motion a series of events that include her joining him in the Ferrari, Remy Hollis's celebratory awakening beside her, and her later instructing him in driving the car. The moment carries significant narrative weight as the catalyst for their intertwined path forward.",Narrative Progression
legacy-end5a824f9c5a34d1b8b0181b434ae6674-18,end5a824f9c5a34d1b8b0181b434ae6674,en,"32、INT. ""the leather photograph"" MANSION - GARAGE - THE NEXT MORNING ; 32、INT. ""the leather photograph"" MANSION - GARAGE - THE NEXT MORNING ; 32、INT. ""the leather photograph"" MANSION - GARAGE - THE NEXT MORNING","What pivotal event sets in motion the sequence where Kendall Hale joins Remy Hollis in the Ferrari, teaches him to drive it, and culminates in Remy Hollis waking up beside her and celebrating in the mirror?",Kendall Hale Invites Remy Hollis for a Ride,"In the garage of the the leather photograph mansion the following morning, Kendall Hale extends an invitation to Remy Hollis for a drive in the Ferrari, marking the first consequential step that initiates a chain of intimate and transformative interactions between them. This moment directly precedes and enables the subsequent developments in which Kendall Hale actively involves Remy Hollis in her world through shared experience with the car and physical closeness, ultimately reshaping their dynamic.",Narrative Progression
legacy-end5a824f9c5a34d1b8b0181b434ae6674-25,end5a824f9c5a34d1b8b0181b434ae6674,en,"21、EXT. ""the leather photograph"" MANSION - DAY ; 37、INT. ""the leather photograph"" HEADQUARTERS - DAY","By the time Spencer York tours Remy Hollis, Valerie Quincy, and Avery Rivers through the Bluewater Industries offices, what has already taken place upon Remy Hollis’s arrival at Westhaven Warehouse?",Beautiful young women guide Remy Hollis toward Westhaven Warehouse,"Before Spencer York begins the tour of the Bluewater Industries offices, Remy Hollis arrives at Westhaven Warehouse where he is immediately met and escorted by beautiful young women who lead him inside. This sequence establishes his introduction to the estate and sets the tone for the surreal environment he is entering, preceding the more structured tour led by Spencer York.",Temporal Reasoning
legacy-end5a824f9c5a34d1b8b0181b434ae6674-26,end5a824f9c5a34d1b8b0181b434ae6674,en,"22、INT. ""the leather photograph"" MANSION - CONFERENCE ROOM - DAY ; 38、INT. MASTER BEDROOM CLOSET - ""the leather photograph"" MANSION - NIGHT","By the time Remy Hollis arrives with Kiki and Kelly, what key moment involving Avery Rivers has already taken place?",Avery Rivers expresses joy over Remy Hollis joining the family,"Before Remy Hollis's entrance with Kiki and Kelly, Avery Rivers reacts to Remy Hollis's integration into the family during a private moment in Westhaven Warehouse's conference room, where he openly expresses his approval and emotional satisfaction. This development establishes a shift in Avery Rivers's attitude, setting the stage for the evolving dynamics witnessed later in the master bedroom closet scene.",Temporal Reasoning
legacy-end5a824f9c5a34d1b8b0181b434ae6674-27,end5a824f9c5a34d1b8b0181b434ae6674,en,2、INT. Harborview Motel - DAY ; 3、INT. Northbridge Hospital - NEWSROOM - DAY,What does Blair Ellison do shortly before deciding to ask Remy Hollis to the The Harvest Gathering?,winks at Remy Hollis,"In the school Harborview Motel, Blair Ellison winks at Remy Hollis, a moment that precedes her decision to take the initiative and ask him to the The Harvest Gathering. This gesture sets up her shift from passive interest to active pursuit, marking a turning point in her approach to their relationship.",Temporal Reasoning
