id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en4f8be69c09c643ddb50e5d728ced107f-10,en4f8be69c09c643ddb50e5d728ced107f,en,61、INT. JACKIE'S KITCHEN - NIGHT ; 61、INT. JACKIE'S KITCHEN - NIGHT,What moment of emotional confrontation explains Jackie's abrupt departure and Rachel's subdued reaction during the tea scene?,Jackie expresses resentment and emotional pain toward Rachel,"In the yard, Jackie confronts Rachel about the fallout from Annabelle’s incident, accusing her of undermining her and turning her into the villain. As Jackie speaks of sacrifice and the weight of motherhood, her anger gives way to raw pain. Rachel, initially defiant, falls silent and leaves without responding. This unresolved tension carries into the kitchen later, where Jackie abruptly exits during tea, returning only to offer a quiet, weighted remark before leaving again, while Rachel sits in silence, reacting to the emotional residue of their earlier exchange.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-11,en4f8be69c09c643ddb50e5d728ced107f,en,45、INT. LIVING ROOM - CONTINUOUS ; 50、EXT. JACKIE'S HOUSE - DAY,What action by Jackie creates the emotional shift that leads Annabelle to embrace her after receiving the video editor?,Jackie persuades Annabelle to sit beside her,"In the living room, Jackie speaks candidly with Annabelle about family, change, and choosing to see the good in difficult situations. She invites Annabelle to sit beside her, guiding her toward acceptance of Rachel’s growing role in their lives. Through this quiet, heartfelt conversation, Jackie fosters a moment of connection and understanding, setting the emotional foundation for Annabelle’s later gesture of affection when she receives the video editor.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-12,en4f8be69c09c643ddb50e5d728ced107f,en,61、INT. JACKIE'S KITCHEN - NIGHT ; 61、INT. JACKIE'S KITCHEN - NIGHT,What action by Jackie creates the emotional weight that leads to her abrupt departure and Rachel's silent reaction over the tea?,Jackie removes her wig to reveal chemotherapy-affected scalp,"In the kitchen, Jackie confronts Rachel with the truth about her health by removing her wig, exposing the physical effects of chemotherapy. She reveals she is not relocating for a job, but for cancer treatment. Rachel is stunned, her expression shifting from confusion to sorrow as the gravity of Jackie’s situation sinks in. This moment of raw disclosure precedes Jackie’s sudden exit, her return, and her quiet, weighted remark before leaving for good, after which Rachel sits alone, tasting the tea but unable to drink it.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-13,en4f8be69c09c643ddb50e5d728ced107f,en,56、EXT. SOCCER FIELD - 3 O'CLOCK PRACTICE ; 57、INT. EMERGENCY ROOM - DAY,What action by Rachel creates the emotional foundation for Jackie's silent observation of her and Ben in the hospital?,Rachel checks on Jackie's well-being during the soccer game,"During the soccer practice, Rachel notices Jackie seems withdrawn and asks about her mood. Jackie opens up about considering a part-time return to work at Random House, including potential overnight trips, and asks Rachel to keep it confidential. Rachel responds with supportive enthusiasm, but a quiet tension lingers as Jackie avoids eye contact. This moment establishes a subtle emotional intimacy and unspoken complexity that underlies Jackie’s later stillness and silence as she watches Rachel and Ben together in the hospital room.",Causal-Motivational Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-14,en4f8be69c09c643ddb50e5d728ced107f,en,70、EXT. YARD - DAY ; 165、EXT. YARD - DAY,How does Jackie's treatment of Firewoman Jessica evolve from their first interaction to their later encounter in the yard?,Jackie consistently speaks to Firewoman Jessica with condescension and distrust,"From the initial exchange in the yard, where Jackie responds to Jessica's feedback with defensiveness and a sharp tone, to their later interaction in the same setting, Jackie maintains a dismissive and adversarial stance, using condescending language and showing clear distrust, indicating a sustained negative relational pattern throughout these scenes.",Role-Relation Continuity
legacy-en4f8be69c09c643ddb50e5d728ced107f-16,en4f8be69c09c643ddb50e5d728ced107f,en,57、INT. EMERGENCY ROOM - DAY ; 80、INT. JACKIE'S HOME - DAY ; 71、INT. BEN'S BEDROOM - NIGHT,What pivotal event sets in motion Jackie's private moments of reflection and her decision to express gratitude to Duncan?,Jackie Leaves Work and Walks to Ben's Room,"After completing her shift, Jackie departs the hospital and makes her way to Ben's room, a solitary journey that marks a shift from professional duty to personal reckoning. This movement initiates a sequence of intimate actions—viewing photos in her bedroom, observing her sleeping son, and ultimately seeking out Duncan—each revealing her emotional reorientation. [scene: INT. EMERGENCY ROOM - DAY]",Narrative Progression
legacy-en4f8be69c09c643ddb50e5d728ced107f-25,en4f8be69c09c643ddb50e5d728ced107f,en,39、INT. DOCTOR'S OFFICE - AFTERNOON ; 64、INT. JACKIE'S KITCHEN - NIGHT,"By the time Annabelle confronts Jackie about the cancer diagnosis, what key medical revelation has already taken place?",Cancer cells found in lymph nodes,"Before Annabelle confronts Jackie in the kitchen at night, the doctor has already informed Jackie of the test results during an afternoon appointment in the oncology office, confirming the spread of cancer to her lymph nodes. This development directly sets the stage for the emotional confrontation, as Annabelle reacts to Jackie's decision to keep the news private. The two scenes are separated by a narrative gap of several hours and multiple intervening character threads.",Temporal Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-26,en4f8be69c09c643ddb50e5d728ced107f,en,"69、INT. JACKIE'S KITCHEN - DAY ; 83、EXT. CAR POOL LINE, ELEMENTARY SCHOOL - DAY","By the time Annabelle runs to Rachel after the plan succeeds, what moment between her and Jackie has already taken place?",Jackie and Annabelle peel hardboiled eggs together at the kitchen counter,"In an earlier scene, Jackie and Annabelle share a quiet, intimate moment in the kitchen, peeling hardboiled eggs side by side. This domestic interaction establishes a subtle bond and unspoken understanding between them, which precedes the later emotional payoff when Annabelle runs to Rachel after the plan succeeds.",Temporal Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-27,en4f8be69c09c643ddb50e5d728ced107f,en,75、INT. LUKE AND RACHEL'S DEN - NIGHT ; 76、INT. ANNABELLE'S ROOM - MOMENTS LATER,What occurs just before Jackie speaks with Annabelle about confronting Brad?,Phone rings during emotional family moment,"Shortly after a tense emotional moment in Luke and Rachel's den, where the family is dealing with Annabelle's sudden departure, the phone rings and Rachel answers it. This call sets in motion the conversation in which Jackie later advises Annabelle on how to confront Brad, linking the two scenes through the unfolding crisis.",Temporal Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-28,en4f8be69c09c643ddb50e5d728ced107f,en,"83、EXT. CAR POOL LINE, ELEMENTARY SCHOOL - DAY ; 84、EXT. JACKIE'S YARD - DAY",What key action takes place just before the confrontation between Rachel and Jackie unfolds at the swing set?,Rachel kisses Annabelle's hair,"Shortly after Rachel shares a quiet moment with Annabelle in the carpool line, she performs a small but telling gesture—kissing Annabelle's hair—before the tension with Jackie escalates in the yard. This moment precedes the direct confrontation between the two women, setting an emotional undercurrent just prior to the conflict becoming overt. [scene: 83、EXT. CAR POOL LINE, ELEMENTARY SCHOOL - DAY]",Temporal Reasoning
legacy-en4f8be69c09c643ddb50e5d728ced107f-29,en4f8be69c09c643ddb50e5d728ced107f,en,60、EXT. JACKIE'S HOUSE - DAY ; 61、INT. JACKIE'S KITCHEN - NIGHT,What does Rachel do shortly before confronting Jackie about the move?,Rummages through papers on Jackie's desk,"In the scene preceding the confrontation, Rachel searches through documents on Jackie's desk, uncovering evidence that sets the stage for the ensuing discussion about Jackie's impending relocation.",Temporal Reasoning
