id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en6825fec0dcce429abef2b213d6372bbd-10,en6825fec0dcce429abef2b213d6372bbd,en,12、EXT. CEMETERY - NIGHT ; 40、EXT. LARGE GRAVEYARD - DAWN,What change in Blair Marlowe enables Linden Sloane to carry him through the crypts while he is incapacitated?,Blair Marlowe experiences transformed Blair Marlowe vision,"After Blair Marlowe awakens as a Blair Marlowe, his senses are dramatically heightened, allowing him to perceive the world with intense clarity and vivid detail. He sees the cemetery, the swamp, and even the remains of his deceased family with a new, unsettling beauty, overwhelmed by the brightness and richness of his transformed perception. This sensory transformation leaves him disoriented and stunned, rendering him unable to move independently, which explains why Linden Sloane must carry him through the crypts as he remains in a state of sensory overload.",Causal-Motivational Reasoning
legacy-en6825fec0dcce429abef2b213d6372bbd-11,en6825fec0dcce429abef2b213d6372bbd,en,19、INT. DINING Silverbrook Theater - NIGHT ; 46、INT. HOUSE - NIGHT,"What event during the dinner scene makes Blair Marlowe increasingly alienated, leading to his eventual flight after Parker Grayson's transformation?",Linden Sloane reviews financial documents and dismisses Blair Marlowe's moral concerns while drinking rat the brass ring,"During a lavish dinner, Linden Sloane focuses on financial records, revealing that Blair Marlowe's wealth from cotton can sustain them for decades. He mocks Blair Marlowe’s hesitation about killing, insisting he will adapt. When Quinn Adler enters, Blair Marlowe briefly fixates on her humanity, but stops her from clearing his plate, holding her wrist and studying her veins before sending her away. Linden Sloane scolds him for showing vulnerability, then produces a live rat, drains it, and pours the the brass ring into a glass, insisting Blair Marlowe drink. Blair Marlowe does, surprised by the taste, and asks if they can survive on animal the brass ring. Linden Sloane condescends, calling it mere survival, not living, and urges Blair Marlowe to go to New Orleans to experience real feeding. This moment crystallizes Blair Marlowe’s discomfort with Linden Sloane’s amorality and the erosion of his own humanity, setting the stage for his later flight when Linden Sloane kills and dances with the dead after transforming Parker Grayson.",Causal-Motivational Reasoning
legacy-en6825fec0dcce429abef2b213d6372bbd-12,en6825fec0dcce429abef2b213d6372bbd,en,99、EXT. LATIN QUARTER - NIGHT ; 262、INT. STAIRS,How does Valerie Monroe's relationship to Blair Marlowe de Pointe du Lac evolve from their initial The Autumn Game through later encounters?,Valerie Monroe consistently pursues Blair Marlowe as an adversary,"From their first encounter in the Latin Quarter, where Valerie Monroe provokes and physically attacks Blair Marlowe while Blair Marlowe responds with anger and contempt, the adversarial dynamic persists through multiple scenes. Valerie Monroe continues to view Blair Marlowe as a threat, as indicated by Rowan Hart's report that Valerie Monroe blames Blair Marlowe for killing his maker. Subsequent interactions, including a strike in the Pinecrest Theater corridor and a final attack from behind on the stairs, reinforce Valerie Monroe's sustained hostile stance, marked by repeated physical confrontations and an enduring perception of Blair Marlowe as a rival.",Role-Relation Continuity
legacy-en6825fec0dcce429abef2b213d6372bbd-13,en6825fec0dcce429abef2b213d6372bbd,en,112、EXT. HOTEL BALCONY - LATER ; 262、INT. STAIRS,How does the adversarial relationship between Wesley Colter and Blair Marlowe de Pointe du Lac evolve from their initial The Autumn Game to the final attack on the stairs?,"They remain mutual adversaries with escalating hostility, culminating in Blair Marlowe killing Wesley Colter.","From the balcony The Autumn Game onward, Wesley Colter positions herself as an enforcer of Blair Marlowe justice against Blair Marlowe, leading attacks and mocking his vulnerability. Blair Marlowe responds with increasing aggression, culminating in his premeditated killing of Wesley Colter during the fire, confirming their sustained and intensifying antagonism across multiple encounters.",Role-Relation Continuity
legacy-en6825fec0dcce429abef2b213d6372bbd-14,en6825fec0dcce429abef2b213d6372bbd,en,102、INT. FOOT OF STAIRWAY ; 250、INT. CORRIDOR OF Pinecrest Theater DES Jonah Dalton - NIGHT,How does Wesley Colter's treatment of Parker Grayson evolve from their initial encounter to the The Autumn Game at the Pinecrest Theater des Jonah Dalton?,Wesley Colter consistently treats Parker Grayson as a target of hostility and condemnation,"From the foot of the stairway onward, Wesley Colter singles out Parker Grayson with direct threats and physical intimidation, including baring her fangs and advancing menacingly despite attempts to de-escalate. This pattern persists through multiple encounters, culminating in her pronouncement of a death sentence during the Pinecrest Theater des Jonah Dalton sequence, where she frames Parker Grayson as a subject of punitive justice.",Role-Relation Continuity
legacy-en6825fec0dcce429abef2b213d6372bbd-15,en6825fec0dcce429abef2b213d6372bbd,en,7、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC ; 7、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC ; 7、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC,What pivotal event initiates Blair Marlowe's transformation and sets into motion his subsequent confrontations with Linden Sloane?,Blair Marlowe Awakens to Linden Sloane by His Bed,"In the opulent bedroom at Point du Lac, Blair Marlowe regains consciousness to find Linden Sloane watching over him, marking the moment when his mortal life ends and his existence as a Blair Marlowe begins. This encounter establishes the foundation for their fraught relationship and directly precipitates Blair Marlowe's later acts of defiance, including facing Linden Sloane with a pistol, rejecting the offer of full transformation, and ultimately drawing a sword in The Autumn Game.",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-16,en6825fec0dcce429abef2b213d6372bbd,en,12、EXT. CEMETERY - NIGHT ; 40、EXT. LARGE GRAVEYARD - DAWN ; 39、INT. BURNING MANSION - NIGHT,"What pivotal revelation shifts the trajectory of the narrative toward the sequences involving Blair Marlowe’s journey through the crypt, his rescue at dawn, and his The Autumn Game with self-recognition?",Linden Sloane Reveals the Crypt's Truth,"In the cemetery at night, Linden Sloane discloses a foundational truth about the crypt and its significance, fundamentally altering Blair Marlowe’s understanding of their existence and setting in motion the chain of events that lead to Blair Marlowe being carried through the crypt, rescued at dawn, and ultimately seeing his reflection. This disclosure serves as the critical narrative hinge that propels the story into its next phase.",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-17,en6825fec0dcce429abef2b213d6372bbd,en,12、EXT. CEMETERY - NIGHT ; 40、EXT. LARGE GRAVEYARD - DAWN ; 39、INT. BURNING MANSION - NIGHT,"What pivotal event initiates the transformation that leads directly to Blair Marlowe navigating the crypt, Linden Sloane's dawn rescue, and Blair Marlowe confronting his reflection?",Blair Marlowe Awakens as a Blair Marlowe,"The moment Blair Marlowe rises as a Blair Marlowe marks a definitive shift in the narrative, setting in motion a chain of consequential actions: Linden Sloane carries him through the crypts, delivers him to safety at dawn, and Blair Marlowe ultimately sees his altered self in a mirror. This transformation fundamentally redirects the story’s trajectory, establishing the central dynamic between the characters and launching Blair Marlowe’s journey of identity and resistance. [12、EXT. CEMETERY - NIGHT]",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-18,en6825fec0dcce429abef2b213d6372bbd,en,44、INT. INN - EVENING ; 47、EXT. STREETS - NIGHT ; 18、INT. BASEMENT - POINTE DU LAC,What pivotal moment shifts the narrative toward Blair Marlowe's nocturnal flight through New Orleans and Linden Sloane's final gestures of closure?,Blair Marlowe Declares He Is Leaving Linden Sloane,"In the quiet tension of a dimly lit inn at evening, Blair Marlowe confronts the irreversible fracture in his bond with Linden Sloane, voicing his decision to depart. This declaration sets into motion a chain of emotionally charged farewells and symbolic acts—Blair Marlowe running alone through the city, Linden Sloane sealing the the paper radio, whispering prayers in darkness, and a final, bittersweet gesture of affection—marking the end of their intertwined existence.",Narrative Progression
legacy-en6825fec0dcce429abef2b213d6372bbd-2,en6825fec0dcce429abef2b213d6372bbd,en,25、EXT. LAWNS. NIGHT,What does Linden Sloane's The Autumn Game with Blair Marlowe reveal about his view of their relationship?,Protector/dependent,"Linden Sloane kills Jesse Ellison to eliminate a threat and immediately confronts Blair Marlowe, berating him for weak feeding choices and nearly exposing them. When Blair Marlowe attacks in rage, Linden Sloane resists effortlessly but does not retaliate, instead ruffling Blair Marlowe's hair and offering him freedom to feed as he chooses while affirming his enduring presence. His actions frame Blair Marlowe as someone who needs guidance and protection, while positioning himself as the one who sustains Blair Marlowe despite his flaws [scene: Linden Sloane Kills Jesse Ellison and Confronts Blair Marlowe].",Character Understanding
