id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enf30d36a744764b89b68ac58103b401f0-1,enf30d36a744764b89b68ac58103b401f0,en,31、INT. DILAPIDATED HOTEL ROOM - MOMENTS LATER,What is Cobb's objective in handling Saito's gun while confronting him in the hidden apartment?,Extract the missing information from Saito,"Cobb sits with Saito's gun turning in his hand while Nash restrains Saito from behind. The sound of approaching riots fills the room. Cobb notes Saito came prepared, acknowledging the gun, while Saito demands to know how Cobb discovered the secret apartment—one even his security chief doesn't know about. Cobb suggests that a man in Saito's position can't fully hide such a place when a married woman is involved. Saito refuses to believe she betrayed him, but Cobb insists they haven’t obtained the key information they came for. Arthur interrupts, warning that the crowd is closing in.",Character Understanding
legacy-enf30d36a744764b89b68ac58103b401f0-11,enf30d36a744764b89b68ac58103b401f0,en,31、INT. DILAPIDATED HOTEL ROOM - MOMENTS LATER ; 33、INT. DILAPIDATED HOTEL ROOM - DAY,What action immediately prior to the confrontation establishes Cobb's psychological dominance over Saito before he presses the gun to his chin?,Cobb sits with Saito's gun in hand while Nash restrains Saito,"In the moments leading up to the physical escalation, Cobb is seen calmly handling Saito's own weapon while Saito is held from behind by Nash, establishing a shift in power dynamics. The setting—a tense, enclosed hotel room amid rising external chaos—amplifies the confrontation's intensity. Cobb's composed possession of the gun, combined with his controlled dialogue, signals his growing upper hand even before he physically threatens Saito, laying the behavioral groundwork for the more direct coercion that follows.",Causal-Motivational Reasoning
legacy-enf30d36a744764b89b68ac58103b401f0-13,enf30d36a744764b89b68ac58103b401f0,en,"33、INT. DILAPIDATED HOTEL ROOM - DAY ; 46、INT. APARTMENT, TOKYO - CONTINUOUS",What action directly triggers Cobb and Arthur's decision to flee following the mission's collapse?,Cobb forces Saito to look up using the gun barrel,"In a tense confrontation, Cobb presses his gun under Saito's chin and compels him to meet his gaze, demanding an explanation for allowing the team into the dream despite knowing their intent. Saito remains defiant, framing the encounter as an audition and declaring their failure. As sounds of advancing chaos echo from below, Cobb insists the extraction succeeded, but Saito dismisses it as transparent deception. This breakdown in negotiation signals that the mission has been exposed, setting in motion the immediate need for escape. [33、INT. DILAPIDATED HOTEL ROOM - DAY]",Causal-Motivational Reasoning
legacy-enf30d36a744764b89b68ac58103b401f0-14,enf30d36a744764b89b68ac58103b401f0,en,87、INT. WORKSHOP - CONTINUOUS ; 261、EXT. PENTHOUSE (LIMBO) - DAY,How does Ariadne's treatment of Mal evolve from their first interaction to the final confrontation in limbo?,Ariadne consistently treats Mal as a threat,"From the workshop onward, Ariadne expresses concern about Mal's presence in the dream, signaling wariness. This negative stance persists as Mal displays hostility toward Ariadne when she is discovered spying. By the final scene in limbo, Ariadne takes direct action against Mal by aiming a gun at her, reinforcing an ongoing pattern of perceiving and responding to Mal as a danger.",Role-Relation Continuity
legacy-enf30d36a744764b89b68ac58103b401f0-15,enf30d36a744764b89b68ac58103b401f0,en,"12、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS ; 12、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS ; 39、INT. DILAPIDATED HOTEL ROOM - DAY","What pivotal event shifts the narrative trajectory toward the sequence in which Saito demands the envelope, Mal shoots Arthur, Saito rises, Cobb surrenders, and Cobb confronts Saito at gunpoint?",Cobb Confronted by Saito and Mal,"The confrontation between Cobb, Saito, and Mal in the dining room of the Japanese castle serves as a critical inflection point, altering the power dynamics and setting in motion a chain of escalating consequences that directly lead to Saito's renewed control, Mal's violent intervention, and Cobb's subsequent actions across overlapping layers of reality. [12、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-16,enf30d36a744764b89b68ac58103b401f0,en,"46、INT. APARTMENT, TOKYO - CONTINUOUS ; 46、INT. APARTMENT, TOKYO - CONTINUOUS ; 47、INT. CORRIDOR - CONTINUOUS","What pivotal event sets in motion the sequence where Cobb and Arthur flee, make departure arrangements, and board the helicopter?","Arthur Arrives, Cobb Prepares to Leave","Arthur's arrival at Cobb's apartment in Tokyo interrupts a tense moment, prompting Cobb to finalize his exit strategy. This convergence of action and decision marks the shift from evasion to coordinated escape, directly initiating the chain of events that leads to their departure. [46、INT. APARTMENT, TOKYO - CONTINUOUS]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-17,enf30d36a744764b89b68ac58103b401f0,en,31、INT. DILAPIDATED HOTEL ROOM - MOMENTS LATER ; 49、INT. HELICOPTER ON PAD - CONTINUOUS ; 33、INT. DILAPIDATED HOTEL ROOM - DAY,"What pivotal event shifts the narrative toward Cobb questioning Nash's fate and Saito's proposal of inception, culminating in Cobb's confrontation and surrender?",Cobb Confronts Saito in the Hidden Apartment,"In the aftermath of a failed extraction, tensions escalate when Cobb confronts Saito in a secluded apartment, challenging his motives and survival. This confrontation forces a reckoning that sets off a chain of revelations, including doubts about Nash's disappearance and Saito's true intentions, ultimately leading to a power reversal where Cobb is disarmed and Saito asserts control. [32, 31、INT. DILAPIDATED HOTEL ROOM - MOMENTS LATER]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-18,enf30d36a744764b89b68ac58103b401f0,en,"31、INT. DILAPIDATED HOTEL ROOM - MOMENTS LATER ; 42、INT. BULLET TRAIN COMPARTMENT - DAY ; 46、INT. APARTMENT, TOKYO - CONTINUOUS","What pivotal event sets in motion the sequence leading to Arthur ending sedation, the team's escape after mission failure, and Cobb's confrontation with Saito?",Arthur watches the riot and warns Cobb,"In the aftermath of escalating unrest outside their hideout, Arthur observes the violent riot from a hotel window and alerts Cobb to the deteriorating situation. This moment triggers immediate operational changes, prompting Arthur to terminate the sedation, initiate withdrawal procedures, and set into motion the team's urgent departure. The warning marks the first irreversible step toward the collapse of their mission and the subsequent confrontations in hidden and liminal spaces. [31、INT. DILAPIDATED HOTEL ROOM - MOMENTS LATER]",Narrative Progression
legacy-enf30d36a744764b89b68ac58103b401f0-2,enf30d36a744764b89b68ac58103b401f0,en,33、INT. DILAPIDATED HOTEL ROOM - DAY,What is Cobb's objective when he presses a gun under Saito's chin and demands answers about their mission?,Extract the truth about the audition,"Cobb presses the barrel of his gun under Saito's chin, forcing him to look up as distant sounds of violence echo from below. Defiant, Saito meets Cobb's gaze and reveals their infiltration was an audition they failed. Cobb insists he extracted all available information, but Saito dismisses the attempt as transparent deception, maintaining control even under duress.",Character Understanding
legacy-enf30d36a744764b89b68ac58103b401f0-25,enf30d36a744764b89b68ac58103b401f0,en,19、INT. DILAPIDATED HOTEL ROOM - DAY ; 38、INT. BULLET TRAIN COMPARTMENT - DAY,"By the time Arthur awakens and checks the countdowns, what has already taken place involving the silver case?",Arthur opens silver case containing complex mechanism,"Before Arthur checks the countdowns aboard the bullet train, he must first activate part of the dream architecture by opening a silver case with a intricate mechanism, a step that occurs earlier in a dilapidated hotel room as part of the team's coordinated effort to stabilize the dream layers.",Temporal Reasoning
