id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-10,enc05e4f27bd8448ebaf9883c64aa4d599,en,35、EXT. NURSING HOME - DAY ; 46、INT. DEEJAY BOOTH,What action enables Jesse Dalton to visit Wesley Bennett and ultimately hear her on-air verdict?,Sage Davenport suggests Jesse Dalton borrow her the brass key instead,"As Jesse Dalton and Sage Davenport prepare to part, she suggests he take her the brass key and return his, arranging for Wesley Bennett to drive him back from the rental agency. This allows Jesse Dalton to see Wesley Bennett, setting in motion the encounter that culminates in her on-air response to his call.",Causal-Motivational Reasoning
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-12,enc05e4f27bd8448ebaf9883c64aa4d599,en,47、EXT. RADIO STATION - DAY ; 209、INT. HALLWAY - CONTINUOUS,How does Jesse Dalton's treatment of Riley Whitaker evolve from their initial encounter to their final confrontation?,Jesse Dalton consistently treats Riley Whitaker as a threat,"From their first appearance together, Jesse Dalton reacts to Riley Whitaker with suspicion and hostility, recalling a negative prior association without direct acknowledgment. This adversarial stance persists through multiple encounters, including a shootout at a convenience store and a final assassination attempt by Riley Whitaker, which Jesse Dalton repels by killing him in self-defense. Throughout these events, Jesse Dalton's behavior remains aligned with viewing Riley Whitaker as a dangerous opponent.",Role-Relation Continuity
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-13,enc05e4f27bd8448ebaf9883c64aa4d599,en,114、INT. KITCHEN - SAME ; 238、INT. BEDROOM,How does Jesse Dalton's relationship to the Avery Sinclair evolve from their first encounter to their final interaction?,Jesse Dalton treats the Avery Sinclair as a lethal threat and moves to eliminate him,"From the kitchen confrontation to the final bedroom encounter, Jesse Dalton consistently responds to the Avery Sinclair with immediate physical aggression. In each scene, he initiates direct, violent actions—first by shooting upon the Avery Sinclair's entry, then by attacking and ultimately snapping his neck—indicating a persistent adversarial stance defined by preemptive neutralization rather than an evolving or negotiated relationship.",Role-Relation Continuity
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-14,enc05e4f27bd8448ebaf9883c64aa4d599,en,16、INT. HALLWAY - CONTINUOUS ; 138、INT. HALLWAY - CONTINUOUS,How does Jesse Dalton's treatment of Micah Sterling evolve from their first confrontation to their final encounter?,Jesse Dalton continues treating Micah Sterling as a threat,"From their initial violent exchange in the hallway, where both fire at each other and Jesse Dalton disarms Micah Sterling, to the later moment when Jesse Dalton again aims a the blue badge at him while Micah Sterling pleads for his life, Jesse Dalton consistently responds to Micah Sterling with lethal intent, maintaining a hostile and adversarial stance throughout.",Role-Relation Continuity
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-15,enc05e4f27bd8448ebaf9883c64aa4d599,en,46、INT. DEEJAY BOOTH ; 46、INT. DEEJAY BOOTH ; 46、INT. DEEJAY BOOTH,What pivotal moment shifts the trajectory of the conflict between Wesley Bennett and Jesse Dalton during the live The Summer Ceremony?,Jesse Dalton Reveals He's in Therapy During The Summer Ceremony,"In the deejay booth, Jesse Dalton's admission that he is in therapy interrupts the escalating confrontation with Wesley Bennett, reframing his behavior and altering the tone of the public exchange. This disclosure disrupts Wesley Bennett's narrative of Jesse Dalton as a manipulative antagonist and introduces ambiguity into her campaign against him, setting the stage for the subsequent developments in their conflict. [scene: INT. DEEJAY BOOTH]",Narrative Progression
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-16,enc05e4f27bd8448ebaf9883c64aa4d599,en,31、INT. the brass key - MORNING ; 36、EXT. GRAVEYARD ROAD - DAY ; 41、INT. Parker Vale & Harper York' COUNTRY SQUIRE - SAME,"What pivotal event sets in motion the sequence in which Jesse Dalton visits his father's grave, Harper York observe him on the street, and he discovers a 7-11 where his childhood home once stood?",Jesse Dalton Arrives at the 7-11,"The moment Jesse Dalton arrives at the 7-11 marks a critical shift in the narrative, triggering a chain of interconnected events that unfold across multiple character threads. This scene serves as the catalyst for Jesse Dalton's emotional confrontation with his past, indirectly prompting his visit to his father's grave and drawing the attention of Harper York, who begin surveilling him. The location itself—revealed to be the site of his former house—grounds the story in a transformed landscape, both physically and psychologically, setting the trajectory for subsequent developments. [31、INT. the brass key - MORNING]",Narrative Progression
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-17,enc05e4f27bd8448ebaf9883c64aa4d599,en,2、EXT. COUNTRY CLUB - DAY ; 2、EXT. COUNTRY CLUB - DAY ; 43、EXT. STREET -,"What pivotal event sets in motion Jesse Dalton's departure, return to the station, and visit to his father's grave?",Jesse Dalton gets his the brass key and leaves,"In the scene at the country club, Jesse Dalton retrieves his the brass key and departs, initiating a sequence of actions that lead directly to his escape as police arrive, his subsequent return to the police station, and a visit to his father's grave. This moment marks a critical shift in the narrative, transitioning from confrontation to resolution and reckoning. [2、EXT. COUNTRY CLUB - DAY]",Narrative Progression
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-18,enc05e4f27bd8448ebaf9883c64aa4d599,en,"8、EXT. STREET - SAME - INTERCUT ; 8、EXT. STREET - SAME - INTERCUT ; 11、INT. APARTMENT, CHICAGO - NIGHT","What pivotal event sets in motion Jesse Dalton's flight, his arrival at the apartment, and his subsequent drive onto the turnpike?",Jesse Dalton Flees After Witnessing the Harper Adler's Attack,"After seeing the Harper Adler carry out the execution, Jesse Dalton immediately goes on the run, prompting his return to the apartment and eventual escape onto the turnpike, marking a critical shift in the narrative trajectory. [8、EXT. STREET - SAME - INTERCUT]",Narrative Progression
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-2,enc05e4f27bd8448ebaf9883c64aa4d599,en,39、INT. RADIO STATION - DAY,What realization motivates Jesse Dalton's return to the radio station during Wesley Bennett's broadcast?,Time has changed nothing between them,"Jesse Dalton walks into the radio station as Wesley Bennett is on air. After the song ends, she fumbles her introduction and plays another record. He comments on her labeling eighties music as 'oldies,' prompting her to remind him it has been ten years since he stood her up on prom night and vanished. He says it’s good to see her again and asks what he’s missed. Wesley Bennett delivers a dry, sarcastic summary of superficial changes in Grosse Pointe—new roads, a fiber-optic schedule, a marriage and divorce, a sister city in New Zealand. Jesse Dalton responds, 'Here is now there. There is here,' and they lock eyes. The moment lingers as the request line rings, the caller is dismissed, and conversation resumes with restrained tension. When Jesse Dalton says he’ll come back before leaving, Wesley Bennett simply says okay, underscoring the unresolved history that still binds them.",Character Understanding
legacy-enc05e4f27bd8448ebaf9883c64aa4d599-25,enc05e4f27bd8448ebaf9883c64aa4d599,en,30、INT. the brass key ; 46、INT. DEEJAY BOOTH,"By the time Wesley Bennett confronts Jesse Dalton on live radio, what has already taken place?",Wesley Bennett swivels her chair to face the street and observes the brass key,"Prior to the confrontation on air, Wesley Bennett notices Jesse Dalton's presence from her window, turning her chair toward the street and spotting his the brass key, an action that sets the stage for her subsequent decision to address him publicly during the broadcast. This moment of recognition occurs well before the live exchange and informs her emotional and narrative trajectory into the radio confrontation.",Temporal Reasoning
