id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-10,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,49、学校自行车棚|外|日 ; 50、游戏厅|内|日 ; 51、游戏厅外|外|黄昏,在游戏厅里小流氓当街拖走曾庭，这一冲突的直接导火索是什么更早发生的行为？,曾庭纠缠邢毅并卖掉她的车轮，引来蒋宇替“弟妹”出头警告他离邢毅远点,游戏厅外蒋宇明确说“邢毅是我弟妹，以后你离她远点”，说明小流氓找曾庭的直接原因是他此前在自行车棚围绕邢毅的一系列纠缠行为，包括卖掉邢毅车轮、试图借机送她回家。吴柏吐口水和曾庭拍砖都发生在曾庭已经被拖出游戏厅之后，是后续升级而非被拖走的导火索。,Causal-Motivational Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-12,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,18、东湾镇|内|日 ; 143、吴柏家|内|夜,从[18、东湾镇|内|日]到[143、吴柏家|内|夜]，曾庭和吴柏之间的关系如何演变？,从吴柏单方面关心照护，发展为双方确立被集体见证的伴侣关系,在酒店场景中，吴柏表现出对曾庭生活细节的关切并试图劝阻其冲动行为，虽有冲突但基础情感联结仍存；至结尾场景，二人共同处于象征婚姻的仪式中心，通过献唱、佩戴头冠与群体见证等行为，明确升华为公开的伴侣关系。演变过程体现从单向照护到双向情感确认的转变。,Role-Relation Continuity
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-13,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,6、东湾镇|内|日 ; 134、【闪回】 134.云谷区里|内|日,从[6、东湾镇|内|日]到[134、【闪回】 134.云谷区里|内|日]，曾庭对邢毅的情感态度与邢毅对曾庭的反应之间形成了怎样的转变？,曾庭持续单方面倾慕，邢毅从无感转为公开嫌弃,在东湾镇等场景中，曾庭通过画外音和行动表现出对邢毅的长期暗恋与追求意图；而在闪回的云谷区场景中，邢毅以捂耳朵等动作明确表现出对曾庭示爱行为的反感，显示出两人情感状态的不对称变化。,Role-Relation Continuity
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-14,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,31、云谷区|日|内 ; 143、吴柏家|内|夜,从[31、云谷区|日|内]到[143、吴柏家|内|夜]，邢毅和吴柏之间的关系如何演变？,从互助同桌发展为亲密朋友,两人最初因学习合作建立信任，成为互助同桌；中间曾出现短暂敌对；最终在吴柏家中，邢毅为其戴婚纱头冠，表现出深厚情感联结，关系升华为亲密朋友。,Role-Relation Continuity
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-15,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,3、酒店大门|外|日 ; 3、酒店大门|外|日 ; 4、东湾镇|内|日,哪个事件触发了后续曾庭解释豪车绕行、步入酒店时陷入回忆，以及风衣亮相却与司仪撞衫的一系列发展？,曾庭乘奔驰抵达并与老同学重逢,该场景中，曾庭以驾驶奔驰亮相的方式重返旧地，与昔日同窗重新建立联系，这一出场不仅引发众人反应，也激活了其个人记忆与身份焦虑，成为后续情节推进的起点。,Narrative Progression
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-16,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,49、学校自行车棚|外|日 ; 50、游戏厅|内|日,哪一个事件成为后续曾庭劝说韩雅追求吴柏、用学费买房并最终放弃学业追求爱情的叙事转折点？,韩雅在车棚表示吴柏比邢毅好看，曾庭由此意识到韩雅喜欢吴柏,在自行车棚里，韩雅说吴柏比邢毅好看，曾庭随即追问“你不会是喜欢吴柏了吧”，并露出狡猾眼神，转而请韩雅去打游戏。这一发现才使他在游戏厅系统性劝韩雅追吴柏、放弃学业并用学费买房。,Narrative Progression
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-18,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,2、豪车|内|日 ; 4、东湾镇|内|日 ; 11、会面比赛会场|内|日,哪一个事件触发了曾庭后续进入酒店时的回忆、与司仪撞衫的尴尬，以及对豪车绕行的解释？,曾庭整理仪容时发现老同学,该事件发生在车内，曾庭在准备入场时意外认出老同学，这一发现打破了他原本从容的状态，引发了一系列连锁反应：进入酒店后情绪波动导致回忆涌现，登场时注意力分散造成与司仪撞衫的尴尬，同时也为他之后解释行车路线偏离提供了动机和背景。,Narrative Progression
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-26,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,7、校园桂巷镇|外|日 ; 49、学校自行车棚|外|日,在曾庭卖车轮买汽水被揭穿、反被吴柏锁车之前，到了他在校园桂巷镇做广播体操时，已经发生了什么关键发展？,曾庭在做广播体操时瞥向邢毅,该事件发生在校园桂巷镇，是曾庭对邢毅产生关注的早期表现，早于后续因追求物质印象而引发的冲突，构成情感动机的铺垫。,Temporal Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-27,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,20、酒店奢华洗手间|内|日 ; 21、高中云谷区|内|日,在“曾庭在云谷区中认出梦境”之前，前面先发生了什么关键情节？,曾庭打开洗手间门走向高中课堂,曾庭在进入高中云谷区并意识到身处梦境之前，最后一个动作是从酒店奢华洗手间的门内走出，这一场景紧接其后便是她在云谷区中产生熟悉感并认出梦境。该动作构成对后续认知转折的时间铺垫。,Temporal Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-28,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,21、高中云谷区|内|日 ; 22、医院|内|日,“曾庭在云谷区当众强吻邢毅并陷入混乱”之后不久，曾庭随后意识到了什么？,曾庭从昏迷中醒来并发现自己受伤,情节从云谷区冲突直接推进到下一场景，曾庭出现在医院，意识恢复，身体状态显示受伤，表明事件在时间线上紧密衔接，属于顺承发展。,Temporal Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-4,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,2、豪车|内|日,曾庭在整理仪容时，为何突然要求停车？,发现路边的老同学,曾庭在车内整理仪容时，无意中透过车窗看到一群老同学站在酒店外，这一发现直接触发他紧急叫停车辆，改变了原本继续绕行的打算。,Character Understanding
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-5,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,18、东湾镇|内|日,在会面比赛现场，吴柏出现后最直接推动剧情发展的关键动作是什么？,吴柏闯入会面比赛并试图带曾庭离开,吴柏突然现身会面比赛，打破表面平静，她主动与邢毅打招呼缓和气氛，但真实目的是带醉酒的曾庭离场。她反复催促并最终拉拽曾庭，引发曾庭情绪爆发并将她推倒，直接导致冲突升级，成为该场景转折点。,Scene Grounding
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-6,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,21、高中云谷区|内|日,在[21、高中云谷区|内|日]这场戏中，推动全班爆发冲突的初始动作是什么？,曾庭飞起一脚踹向叶静,这场戏的核心冲突由曾庭对叶静的突然肢体攻击引发，这一动作直接导致后续学生群起、拉扯劝架、何宁加入、叶静质问与最终晕倒等一系列连锁反应。所有情节都围绕这一踹展开，是情绪和行动的起点。,Scene Grounding
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-7,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,21、高中云谷区|内|日,在[21、高中云谷区|内|日]这场戏中，推动整个情节爆发的初始关键动作是什么？,曾庭开始攻击叶静，并在挣脱同学后把书包扣在叶静头上继续殴打,原文中全班混乱并不是由曾庭走向邢毅触发，而是先由曾庭踹向叶静、塞情书，随后在拉扯中挣脱并把书包扣在叶静头上继续殴打，引发同学们纷纷参与踹打老师。强吻邢毅发生在这场课堂冲突之后，不能作为整场戏爆发的初始动作。,Scene Grounding
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-8,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,49、学校自行车棚|外|日 ; 50、游戏厅|内|日,在游戏厅里，曾庭为何会劝韩雅放弃学业去追吴柏？,曾庭认为男女比例失调，韩雅将来容易打光棍，所以应趁在学校还有机会时追吴柏，并把学费拿去买房,游戏厅原文中曾庭明确用“男女比例严重失调”“将来几千万男人打光棍”来劝韩雅抓住在学校的机会追吴柏，并进一步建议他不要把时间浪费在学习上，让安瑶把供他上大学的钱拿去买二环内房子。自行车棚里称赞歌曲只是前置互动，不是这段劝说的理由。,Causal-Motivational Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-9,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,12、东湾镇|内|日 ; 13、云谷区里|内|日 ; 14、会面比赛现场|内|日,在同学们合唱调侃曾庭之前，哪一个具体事件直接引发了这种带有玩笑意味的集体反应？,曾庭在会面比赛席间吹嘘自己筹备演唱会，引出他学生时代元旦晚会唱《伤心太平洋》出丑的回忆,同学们合唱“离开真的残酷吗”直接承接前一场闪回：曾庭在会面比赛上说自己一直在筹备演唱会，众人顺势提到同学不够去听，画面切到他学生时代在元旦晚会上紧张唱错《伤心太平洋》并被同学嘲笑；回到会面比赛现场，同学们才用同一句歌词合唱调侃他。,Causal-Motivational Reasoning
task2-candidate-1890a227508952867c3f,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,48、53,曾庭在歌手大赛上的表演如何成为其校园地位转变的关键事件？,曾庭在歌手大赛上以《双节棍》引爆全场，虽只获三等奖，但其表演极具冲击力，使他从被老师训斥的问题学生转变为为校争光的才艺代表。,"scene 48: 曾庭在歌手大赛舞台上以李小龙造型演唱《双节棍》高潮部分，通过激烈舞蹈和象征性动作踢飞‘东亚病夫’牌匾，并将持牌同学踹飞，引爆全场气氛。
scene 53: 张宁突然宣布曾庭因歌曲走红被邀请参加央视春晚，扭转其负面形象，成为为校争光的荣誉事件。",Causal-Motivational Reasoning
task2-candidate-7e20db69280fb47fbfc0,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,1、2,曾庭最初为何未能及时下车，后来又为何突然要求停车？,曾庭最初因睡着而未下车，后来因发现老同学在酒店门口而紧急要求停车。,"scene 1: 一辆豪华奔驰车在酒店外绕圈，保安礼貌的安排豪车入位，车继续绕圈。
scene 2: （突然看到老同学们走出酒店，在门口抽烟）停停停车！",Character Understanding
task2-candidate-88fe966c20dc98fe6649,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,3、4,曾庭从抵达酒店到被簇拥进入大堂，其社会地位发生了怎样的变化？,曾庭从迟到的参与者转变为被同学簇拥的焦点人物，社会地位显著提升。,"scene 3: 奔驰车停在老同学们面前，曾庭潇洒的下车和同学们打招呼。
scene 4: 曾庭被同学们众星捧月踏入东湾镇大堂",Character Understanding
task2-candidate-8a63b3923cbb50f0e159,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,82、83,吴柏在车站先后向电车海报和灯箱挥手告别，这一系列动作反映了她对曾庭态度的何种延续？,她通过向曾庭的视觉形象告别，表达了即使对方已成名，她仍保留着个人情感联结的坚持。,"scene 82: 吴柏冲着电车后面印着曾庭的巨幅海报摆了摆手。吴柏转身，发现车站牌上仍然是曾庭的广告灯箱，又摆了摆手。
scene 83: 吴柏跟广告牌里的曾庭挥手再见。",Scene Grounding
task2-candidate-8ea2f2b26efcfef20b5a,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,61、133,曾庭对吴柏的情感态度经历了怎样的演变过程，从最初拒绝到最终在病床前接受其陪伴的关键认知转折点是什么？,曾庭从公开羞辱吴柏到在病床前被其真情告白触动，关键转折是得知她曾为救自己答应进小树林，并回忆起她多年默默付出的细节。,"scene 61: 曾庭当众嘲笑吴柏‘粗俗不堪’‘像骑个猪’，导致吴柏愤怒挥拳。
scene 133: 吴柏跳窗进入病房，向曾庭倾诉多年暗恋与守护，曾庭在氧气罩下流泪倾听。",Temporal Reasoning
task2-candidate-9750447b5d078c4f4472,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,42、55,吴柏从最初在晨光桥楼下观望，到后来在家长会后模仿邢毅，其行为动机经历了怎样的发展？,吴柏最初在晨光桥楼下观望其弹琴，表现出关心与守护；后来模仿邢毅的穿搭，试图在形象上接近曾庭心仪的对象，反映出其从被动关注转向主动竞争的心理变化。,"scene 42: 吴柏在晨光桥楼下观望曾庭弹琴的身影，确认其状态后骑车离去。
scene 55: 吴柏通过模仿邢毅的穿搭在走廊行走，引发周围同学的异样目光，为后续冲突埋下伏笔。",Role-Relation Continuity
task2-candidate-9c5a0ad3c71d84dffaa7,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,130、133,曾庭在病房中拒绝见吴柏，但最终吴柏仍潜入探望，这一行为如何体现她情感的持续性？,尽管曾庭拒绝见面，吴柏仍冒险从窗户潜入病房，为他擦身并倾诉多年暗恋，表明她的情感从未中断。,"scene 130: 曾庭：我不见她！无论如何我不想让她看见我现在这样子。
scene 133: 吴柏撑着自己的身体从窗户跳进病房……拿出水盆里的毛巾给曾庭擦着手",Scene Grounding
task2-candidate-9d864c42bbee3a4b8d14,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,121、122,曾庭因钥匙卡车联想到吴柏，这一联想如何与他早前在新婚时的承诺形成情感呼应？,曾庭曾承诺补给吴柏浪漫，包括送她一屋子钥匙，当他看到满载钥匙的卡车时，触发了对这一未实现承诺的强烈回忆。,"scene 122: 吴柏：我也要像电视剧里那样，你送我一屋子花！我喜欢钥匙！
scene 121: 钥匙随风摇摆，曾庭联想起了吴柏。",Narrative Progression
task2-candidate-a20120f64130f612a339,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,118、119,曾庭在会所演唱《人在旅途》并撒钞票的行为，如何体现其情感状态从自我放纵到崩溃的演变？,曾庭通过与‘吴柏’形象的小姐合唱获得短暂情感慰藉，随后撒钞票引爆气氛，但最终在宿醉中面对混乱现实，情绪彻底失控。,"scene 118: 曾庭向天空洒了一把钞票，小姐们气氛达到高潮。
scene 119: 曾庭被手机铃声吵醒，看见自己旁边赤裸地躺着一个陪酒小姐，不慌不乱地穿衣服。",Character Understanding
task2-candidate-a5a9ff215f09c39e43c5,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,34、35,曾庭在家中表现出异常行为后，其情绪和行为如何逐步演变为音乐创作的灵感爆发？,曾庭回家后异常拥抱安瑶和刘琮，被认定为精神失常；随后回忆旧日音乐产生怀旧情绪，最终在看到戒指时突然哈哈大笑，意识到可利用未来歌曲成名。,"scene 34: 曾庭回家后突然拥抱安瑶和刘琮，说出不合时宜的言语，表现出精神异常，引发家人和刘琮的关注。
scene 35: 曾庭在房间中看到旧卡带和海报，回忆起过去的音乐收藏，意识到这些歌手已走红多年，产生怀旧情绪。",Temporal Reasoning
task2-candidate-bf204b143e9fa1c293ca,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,50、52,曾庭劝说韩雅放弃学业追求吴柏的建议，与其此前对吴柏的态度形成怎样的反差？,曾庭此前多次试图摆脱吴柏的纠缠，甚至在被逼问时才勉强承认不讨厌她，但后来却主动策划让韩雅追求吴柏，显示出其态度从抗拒到策略性利用的转变。,"scene 52: 在吴柏的逼问下，曾庭最终承认不讨厌她，情感摊牌完成。
scene 50: 曾庭利用社会现实话题引导韩雅放弃大学，转而买房并追求吴柏，韩雅最终接受建议。",Narrative Progression
task2-candidate-c6c7b6049ef00208f91c,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,105、106,曾庭在盛典聚会中突然离场，这一行为与他后续在筒子楼寻找吴柏之间存在怎样的情感触发关联？,选手提及‘小屋’触发曾庭对与吴柏共同生活的回忆，导致他离场并最终前往筒子楼寻找她。,"scene 105: 曾庭突然想到什么，不管不顾的起身直接离开现场。
scene 106: 曾庭从窗户往里看，看不见，急忙敲门……掠过被单看到了绳子对面的女人正是吴柏。",Temporal Reasoning
task2-candidate-d848d893511c94d0d07d,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,69、80,吴柏从在桂巷镇目睹曾庭与邢毅亲密共餐，到后来决定离开城市，这一情感变化过程如何体现？,她先是在远处伤心靠墙，最终写下告别信并前往荷兰，完成从失落到决意离开的情感转变。,"scene 69: 吴柏伤心的靠在墙上
scene 80: 吴柏OS：曾庭，当你看到这封信的时候，姐已经不在这个城市混了，我今天晚上就要走了，去荷兰学体育。……祝贺你梦想成真，也不知道以后还有没有机会和你这个大明星一起玩了，勿念。",Character Understanding
task2-candidate-dff78382bea017e21b89,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,61、143,曾庭在求婚仪式上演唱承诺歌曲时，吴柏的身份发生了怎样的象征性转变，这一转变与她早年被曾庭当众羞辱的场景形成何种对比？,吴柏从被曾庭当众羞辱的粗俗形象转变为被集体加冕的象征性新娘，完成了从被排斥到被珍视的身份逆转。,"scene 61: 曾庭在同学面前模仿吴柏走路并称其‘像骑个猪’，公开贬低其形象。
scene 143: 曾庭在烛光舞台上为吴柏献唱‘绝不会放手’，邢毅为其戴上婚纱头冠，同学们手持钥匙应和，赋予其新娘身份。",Narrative Progression
task2-candidate-e5e9aeba9a0a2a5833d4,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,96、98,曾庭在游艇上将手机扔进大海，这一行为与他早年在大排档卖唱时依赖吴柏支持之间有何情感关联？,他早年怯场时靠吴柏打气才敢唱歌，如今事业压力巨大，扔手机象征对现实支撑系统的崩溃与对过去纯粹情感的追忆。,"scene 96: 曾庭：不瞒你说，当年我就在这卖唱，他们几个总合伙挤兑我……我就能当着吴柏面唱出来。后来吴柏天天来给我打气，慢慢地我就敢唱了。
scene 98: 曾庭把手机扔进向大海。",Narrative Progression
task2-candidate-e72fe54875c9ed4116cd,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,92、93,曾庭在成名后怒斥选手篡改歌词，这一行为如何引发罗琳的公开失望并退出节目？,曾庭在舞台上情绪失控迁怒罗琳，导致后者在采访中表示敬仰破灭并宣布不再参与。,"scene 92: 曾庭冲向罗琳动武，被一群工作人员分开。
scene 93: 罗琳：我其实到现在都没有弄清楚倒底是怎么回事，我喜欢曾庭老师的每一首歌……真是没想到他是这样的人，真的很失望。再也不来了。",Narrative Progression
