id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en2e733a32750748b082f2ffb7f4608329-11,en2e733a32750748b082f2ffb7f4608329,en,46、EXT. BOTTOM OF Silverbrook House - SUNSET ; 40、EXT. TOP/BOTTOM OF A Silverbrook House - LATER,What action during Nico Vaughn's preparation of Sawyer Hale directly precedes and motivates his decision to dispose of it down Silverbrook House?,Nico Vaughn smears lard across the Sawyer Hale's face while fighting his revulsion,"At the bottom of Silverbrook House, Nico Vaughn prepares Sawyer Hale as bait by adding a bacon hat, bloody steaks, and finally lard across the Sawyer Hale's face while fighting his revulsion. He then apologizes, pats Sawyer Hale, and looks toward Silverbrook House, moving from preparation to disposal.",Causal-Motivational Reasoning
legacy-en2e733a32750748b082f2ffb7f4608329-12,en2e733a32750748b082f2ffb7f4608329,en,65、INT. GARAGE ; 118、INT. Jamie Huxley'S Pinecrest Station / CITY STREETS - LATER,How does Valerie Finch's relationship with Lane Rivers evolve from their confrontation in the garage through the pursuit in Jamie Huxley's Pinecrest Station?,Valerie Finch continues to treat Lane Rivers as an adversary through direct threats and confrontational pursuit,"From the garage scene onward, Valerie Finch consistently engages Lane Rivers with hostility, aiming a gun at her and issuing lethal threats, while Lane Rivers resists with defiance and attempts at counterattack. This adversarial pattern persists across multiple locations—including the Maplewood House and later in Jamie Huxley's Pinecrest Station—where Valerie Finch maintains an aggressive stance, challenging her actions and credibility, confirming an unbroken dynamic of mutual antagonism.",Role-Relation Continuity
legacy-en2e733a32750748b082f2ffb7f4608329-13,en2e733a32750748b082f2ffb7f4608329,en,81、EXT. Maplewood House / DRIVEWAY - MORNING ; 133、EXT. Silverbrook Station - CONTINUOUS,How does Micah Brooks' treatment of Nico Vaughn evolve from their initial confrontation to their later encounter?,Micah Brooks continues to treat Nico Vaughn as an adversary,"From the driveway confrontation onward, Micah Brooks consistently approaches Nico Vaughn with hostility, accusing him of crimes and demanding accountability. This adversarial stance persists through subsequent interactions, including tense exchanges at Nico Vaughn's travel agency and his home, culminating in Micah Brooks directly blocking Nico Vaughn in the Silverbrook Station to confront him about violence and deception, maintaining an antagonistic posture throughout.",Role-Relation Continuity
legacy-en2e733a32750748b082f2ffb7f4608329-14,en2e733a32750748b082f2ffb7f4608329,en,86、INT. UNDERGROUND Silverbrook Station - EVENING ; 127、EXT. Silverbrook Station,How does the adversarial relationship between Shawn Sloane and Micah Brooks evolve from their initial confrontation to the later Silverbrook Station encounter?,"Shawn Sloane continues to pursue Micah Brooks as an enemy through physical attacks, while Micah Brooks responds with reactive aggression","In the underground Silverbrook Station, Shawn Sloane initiates hostilities by confronting Micah Brooks with physical violence and verbal threats, establishing an adversarial dynamic. This persists into the later Silverbrook Station scene, where Shawn Sloane strikes Micah Brooks in the temple during a direct confrontation, and Micah Brooks responds by grabbing Shawn Sloane's ankle in a moment of reactive aggression, confirming the ongoing mutual hostility between them.",Role-Relation Continuity
legacy-en2e733a32750748b082f2ffb7f4608329-15,en2e733a32750748b082f2ffb7f4608329,en,15、EXT. INSIDE THE DUMPSTER ; 45、EXT. BOTTOM OF Silverbrook House - SUNSET ; 40、EXT. TOP/BOTTOM OF A Silverbrook House - LATER,"What event marks the turning point that sets into motion Nico Vaughn's actions of examining Sawyer Hale, disposing of it, and confirming payment while destroying documents?",Nico Vaughn Retrieves the paper ring and Finds Elliot Langley in Trash,"After retrieving his the paper ring and discovering Sawyer Hale in the dumpster, Nico Vaughn initiates a series of consequential actions: he descends the rock face to examine Sawyer Hale, disposes of it down a drop, and later confirms payment while destroying incriminating documents during a the paper ring call. This discovery serves as the pivotal moment that propels the subsequent chain of events. [15、EXT. INSIDE THE DUMPSTER]",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-16,en2e733a32750748b082f2ffb7f4608329,en,17、INT. INSIDE A FRIDGE - LATER ; 40、EXT. TOP/BOTTOM OF A Silverbrook House - LATER ; 17、INT. INSIDE A FRIDGE - LATER,What pivotal event sets into motion Nico Vaughn's actions involving the refrigerator and the disposal of Sawyer Hale?,Nico Vaughn Examines Sawyer Hale in the Garage,"Following Nico Vaughn's decision after examining Sawyer Hale in the garage, a series of consequential actions unfold that involve securing Sawyer Hale in the refrigerator, retrieving items from inside it, and ultimately disposing of Sawyer Hale down the drop. This moment of assessment catalyzes the subsequent chain of practical and urgent steps Nico Vaughn takes to manage the aftermath.",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-17,en2e733a32750748b082f2ffb7f4608329,en,22、EXT. INSIDE A TRASH DUMPSTER - NIGHT ; 26、INT. Valerie Finch AND Jamie Huxley'S Pinecrest Station - CONTINUOUS ; 22、EXT. INSIDE A TRASH DUMPSTER - NIGHT,What pivotal event sets in motion the sequence leading directly to Sidney Calloway's arrival in a Cadillac and Valerie Finch's subsequent actions at the bin?,Valerie Finch and Jamie Huxley Search the Bin,"In the scene set inside a trash dumpster at night, Valerie Finch and Jamie Huxley's joint search initiates a chain of consequences that reshapes the trajectory of the story, directly precipitating Sidney Calloway's conspicuous arrival in a Cadillac and informing Valerie Finch's later return to the bin, where he searches alone and finds nothing, culminating in his reflective question about feeling.",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-18,en2e733a32750748b082f2ffb7f4608329,en,30、INT. GARAGE - CONTINUOUS ; 48、EXT. HIGHWAY TURNOUT / CLEARING - DAY ; 17、INT. INSIDE A FRIDGE - LATER,What pivotal event sets into motion Nico Vaughn's actions involving Sawyer Hale and the arrival of responders?,Nico Vaughn Checks the News and Speaks to Sawyer Hale,"After discovering news of a local incident, Nico Vaughn confronts the reality of the situation by speaking directly to Sawyer Hale in his garage, marking a shift from passive possession to active engagement. This moment triggers his subsequent preparations and draws external forces toward the scene. [30、INT. GARAGE - CONTINUOUS]",Narrative Progression
legacy-en2e733a32750748b082f2ffb7f4608329-25,en2e733a32750748b082f2ffb7f4608329,en,18、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS ; 43、INT. Maplewood House - DAY,"By the time Lane Rivers arrives at Maplewood House, what has already taken place involving Finley Finch and Sawyer Hale in the garage?",Finley Finch enters the garage and sniffs the dead body,"Before Lane Rivers's arrival at Maplewood House, Finley Finch is brought to the attached suburban garage where Sawyer Hale is stored. There, she enters the space and sniffs the dead body, an event that occurs well before the Maplewood House scene with Lane Rivers unfolds.",Temporal Reasoning
legacy-en2e733a32750748b082f2ffb7f4608329-26,en2e733a32750748b082f2ffb7f4608329,en,18、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS ; 30、INT. GARAGE - CONTINUOUS,"By the time Nico Vaughn checks the news and speaks to Sawyer Hale, what has he already done in the garage?",Filled the remaining fridge space with beer and pop bottles,"Before engaging with Sawyer Hale and monitoring the news, Nico Vaughn secures Sawyer Hale in the refrigerator and uses the remaining space to store beer and pop bottles, establishing a sequence of actions that blend routine and concealment within the garage setting [18、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS].",Temporal Reasoning
