id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-10,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,42、第42场 ; 59、第59场,郑凝为何在吸食鸦片时陷入对雪林练武的回忆？这一心理触发与她早前在站中褪下戒指的行为有何关联？,郑凝在站里褪下戒指，象征她斩断世俗牵绊，从此将情感与人生寄托于武学与记忆。,褪下戒指的举动标志着郑凝与过去生活的彻底告别，这一行为承载了她压抑情感、坚守承诺的心理转折，成为日后沉溺回忆与鸦片的精神伏笔。两个场景通过情感延续与自我放逐的主题相连，戒指的交还预示了她此后孤独终老的命运走向。,Causal-Motivational Reasoning
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-11,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,54、第54场 ; 54、第54场,在郑凝与许慕对决时，是什么更早的干预行为确保了她能独自完成这场较量并揭示‘老猿挂印’的真义？,唐璇阻止许慕的徒弟介入冲突,在对决现场，许慕的徒弟多次试图介入，但被唐璇拦下并击退。这一干预维持了郑凝与许慕之间一对一的对决局面，使郑凝得以独立完成复仇，并在击败许慕后从容揭示父亲所授‘老猿挂印’中‘回头’的深意。唐璇的行动虽未成功压制许慕，但清除了外部干扰，为郑凝履行个人使命创造了必要条件。,Causal-Motivational Reasoning
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-12,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,19、第19场 ; 60、第60场,从[19、第19场]到[54、第54场]，郑凝和唐璇之间的保护与被保护关系是如何延续的？,唐璇始终将郑凝置于身后保护，郑凝接受其守护并托付要务,从郑凝托付信件开始，唐璇持续表现出对郑凝的忠诚与维护，在关键场合主动汇报、劝说并身体力行将其护在身后，直至郑凝去世后仍代为处理遗物，体现出稳定的保护与被保护关系。,Role-Relation Continuity
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-13,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,17、第17场 ; 54、第54场,从[17、第17场]到[54、第54场]，郑凝对许慕始终采取怎样的对抗性关系？,持续追杀以报父仇,郑凝在17、第17场立誓报仇，认定不杀许慕则无法了结心结；此后在第41场主动上门挑战，最终在54、第54场与之生死对决，始终将许慕视为必须铲除的仇敌，行动一致指向复仇。,Role-Relation Continuity
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-15,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,54、第54场 ; 54、第54场 ; 55、第55场,哪个事件标志着郑凝从被动转为主动，直接推动了她后续击败许慕、揭示老猿挂印真义并吐血受伤的情节发展？,郑凝接管与许慕的对决,该场景中郑凝主动接手对决，改变了此前由他人主导的对抗格局，成为后续她完成复仇、阐明武学深意及身体崩坏等一系列情节的起点。,Narrative Progression
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-16,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,42、第42场 ; 61、第61场 ; 44、第44场,哪一个行动直接促成了郑凝此后焚发立誓、雪中立誓及雪中独行的决绝走向？,郑凝褪下戒指交还未婚夫,该举动象征她彻底割舍世俗身份与情感牵绊，标志着从个人情感到家族使命的转向，为后续一系列自我献祭式的行为提供了动机支点。,Narrative Progression
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-17,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,58、第58场 ; 58、第58场 ; 57、第57场,在58、第58场中，哪一个事件成为后续罗欣与郑凝在戏院谈戏、罗欣回忆1952年冬在大南街相见，以及唐璇交付遗物并安排灵柩回乡这一系列情节展开的关键转折？,郑凝向罗欣道别并了结往事,该场景标志着郑凝与罗欣之间情感与使命的正式终结，为后续的回忆、遗物交接及精神传承提供了叙事动力，是连接过去与终章的核心节点。,Narrative Progression
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-18,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,39、第39场 ; 39、第39场 ; 42、第42场,哪一个事件成为推动郑凝决意返家面对同门、解除婚约并索回委员会遗物的关键转折？,郑凝询问唐璇下落与父亲遗言,该场景中，郑凝追问唐璇父亲的遗言与下落，首次直面父亲死亡的真相，由此触发她对家族责任与个人情感的重新抉择，成为后续返家、退婚、索物等一系列行动的起点。,Narrative Progression
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-25,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,35、第35场 ; 62、第62场,到了罗欣听雨忆亡妻时，此前已发生的最关键事件是什么？,罗欣女儿因饥饿去世,在罗欣静坐听雨、追思过往之前，其女儿因长期饥饿而夭折，这一丧失至亲的经历构成他后续情感流露的直接动因，两场戏之间存在明确的因果与时间顺序。,Temporal Reasoning
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-28,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,54、第54场 ; 55、第55场,“郑凝接管与许慕的对决”之后不久，紧接着发生了什么？,郑凝进屋后吐血,郑凝在与许慕对决后体力透支，下一场景中她回到屋内即吐血，显示其身体已受重创，情节紧密衔接。,Temporal Reasoning
legacy-ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841-29,ch0c733d3c1e5b335c7a44a0c18d42e0b8ec40a841,zh,39、第39场 ; 41、第41场,“郑凝询问唐璇下落与父亲遗言”之后不久，郑凝接下来做了什么？,郑凝要求许慕归还委员会的信物,郑凝在得知父亲遗言后，很快前往 confrontation 许慕，索要象征委员会武学传承的信物，这一行动直接推动了她与许慕之间的冲突升级。两场戏在时间上紧密衔接，中间仅隔一场过渡戏，情节具有明确的因果与时间顺承关系。,Temporal Reasoning
