id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enb43327ef98f144afae56e30053028568-10,enb43327ef98f144afae56e30053028568,en,2、INT. Maplewood Plaza - DAY ; 10、INT. HOSPITAL STAIRWAY - DAY,What event motivates Robin Nolan's private moment of envisioning a renewed life with Quinn Sloane as he climbs the hospital stairs?,Quinn Sloane suffers head injury and near-drowning in powerboat accident,"In the Maplewood Plaza, Robin Nolan sits beside his comatose wife, Quinn Sloane, who remains unresponsive 23 days after being thrown from a powerboat during a race. She sustained a severe head injury and nearly drowned, leaving her in a deep coma with minimal neurological response. Surrounded by medical equipment and the quiet hum of life support, Robin Nolan confronts the fragility of her condition. Later, as he ascends the hospital stairs, he speaks aloud of her recovery and their shared future, imagining a reconciliation that hinges on the possibility of her awakening from this trauma-induced state.",Causal-Motivational Reasoning
legacy-enb43327ef98f144afae56e30053028568-12,enb43327ef98f144afae56e30053028568,en,15、INT. Stonebridge Hospital - DAY ; 19、INT. Casey Foster'S HOUSE - CONTINUOUS,What prompts Sawyer Sloane to apologize to Casey Foster?,Robin Nolan receives a phone call from Valerie Sterling about Sawyer Sloane's behavior,"Valerie Sterling calls Robin Nolan to report that Sawyer Sloane has been sending offensive messages to her daughter Casey Foster, including a derogatory comment posted on Facebook and a mocking nickname implying Casey Foster is overweight. Barb demands that Sawyer Sloane come to her house to apologize in person and threatens to report the behavior to the headmaster if it continues. Robin Nolan confronts Sawyer Sloane shortly after receiving the call, leading directly to the apology.",Causal-Motivational Reasoning
legacy-enb43327ef98f144afae56e30053028568-14,enb43327ef98f144afae56e30053028568,en,46、INT. LIVING ROOM - DAY ; 47、EXT. Stonebridge Hospital - DAY,What decision immediately motivates Robin Nolan's sudden departure from the house?,Robin Nolan decides to leave Linden Bellamy with Sawyer Sloane,"After learning that Linden Bellamy witnessed her mother with another man and hearing about the ensuing confrontation, Robin Nolan becomes visibly agitated. He abruptly tells Linden Bellamy to watch Sawyer Sloane and walks out without further explanation. Moments later, he bursts out of the house and sprints down the street, marking a decisive physical escalation of his emotional state. [scene: 46、INT. LIVING ROOM - DAY]",Causal-Motivational Reasoning
legacy-enb43327ef98f144afae56e30053028568-15,enb43327ef98f144afae56e30053028568,en,4、INT. Maplewood Plaza - DAY ; 47、EXT. Stonebridge Hospital - DAY ; 38、INT. Reese Quincy'S ROOM HALLWAY - NIGHT,What event shifts the narrative trajectory toward Robin Nolan’s urgent actions involving his daughter and Casey Foster?,Robin Nolan Receives an Urgent Call About His Daughter,"In the Maplewood Plaza, Robin Nolan receives a critical phone call concerning his daughter Linden Bellamy, prompting a chain of urgent decisions and interventions. This moment marks the pivot from prior character tensions to active crisis response, directly initiating his late-night retrieval of Linden Bellamy and escalating his confrontation with Sawyer Sloane over Casey Foster’s safety. [4、INT. Maplewood Plaza - DAY]",Narrative Progression
legacy-enb43327ef98f144afae56e30053028568-16,enb43327ef98f144afae56e30053028568,en,2、INT. Maplewood Plaza - DAY ; 10、INT. HOSPITAL STAIRWAY - DAY ; 4、INT. Maplewood Plaza - DAY,What pivotal event sets in motion Robin Nolan's emotional journey and the subsequent developments involving his daughter's condition and his reconciliation efforts?,Robin Nolan Observes Quinn Sloane in Coma After Boating Accident,"The narrative shifts decisively when Robin Nolan confronts the aftermath of the boating accident, standing at his daughter Quinn Sloane's bedside as she lies unconscious in the hospital. This moment anchors the emotional core of the story, triggering Robin Nolan's urgent involvement in her care, his communication with Wesley Grayson regarding her prognosis, and his growing introspection that leads to tentative steps toward reconciliation. [4、INT. Maplewood Plaza - DAY]",Narrative Progression
legacy-enb43327ef98f144afae56e30053028568-17,enb43327ef98f144afae56e30053028568,en,44、INT. KING KITCHEN - DAY ; 44、INT. KING KITCHEN - DAY ; 46、INT. LIVING ROOM - DAY,What pivotal moment shifts the narrative toward the revelations about Linden Bellamy's mother and the family's emotional reckoning?,Robin Nolan Comments on Linden Bellamy's Condition and Hesitates to Speak Further,"In the kitchen during the day, Robin Nolan observes Linden Bellamy's deteriorating state and begins to voice his concerns, but pauses, holding back crucial information. This moment of hesitation underscores the growing tension between truth and protection, setting in motion the subsequent confrontations about her mother's affair and illness, and prompting the difficult conversations about disclosure within the family.",Narrative Progression
legacy-enb43327ef98f144afae56e30053028568-18,enb43327ef98f144afae56e30053028568,en,45、EXT. KING SWIMMING POOL - DAY ; 45、EXT. KING SWIMMING POOL - DAY ; 46、INT. LIVING ROOM - DAY,"What pivotal event shifts the narrative trajectory toward the escalating tensions involving Linden Bellamy, Robin Nolan, and Sawyer Sloane in the subsequent scenes?",Linden Bellamy and Robin Nolan in the Pool After Sawyer Sloane's Outburst,"Following Sawyer Sloane's emotional outburst, the encounter between Linden Bellamy and Robin Nolan at the swimming pool marks a critical shift in their dynamic, setting in motion a chain of confrontations and revelations. This moment recalibrates the power balance and emotional stakes, directly precipitating Linden Bellamy's later comments about the pool, Robin Nolan's withdrawal upon learning of the affair, and the eventual late-night confrontation between Robin Nolan, Sawyer Sloane, and Linden Bellamy on the golf course. [45、EXT. KING SWIMMING POOL - DAY]",Narrative Progression
legacy-enb43327ef98f144afae56e30053028568-2,enb43327ef98f144afae56e30053028568,en,15、INT. Stonebridge Hospital - DAY,What does Robin Nolan intend to do after learning about Sawyer Sloane's messages to Casey Foster?,Confront Sawyer Sloane about harassment,"Robin Nolan receives a call from Valerie Sterling, who informs him that her daughter Casey Foster has been targeted by offensive messages from Sawyer Sloane, including a demeaning comment posted on Facebook and a mocking nickname implying Casey Foster's size. Barb reads the message aloud and insists Sawyer Sloane apologize in person, warning she will escalate to the headmaster if no action is taken. Despite Robin Nolan noting Sawyer Sloane's personal struggles due to her mother's illness, Barb rejects any justification, emphasizing the emotional harm to her daughter. During the call, Robin Nolan sees Sawyer Sloane outside, distracted and physically agitated, pounding the ground with a rock.",Character Understanding
legacy-enb43327ef98f144afae56e30053028568-25,enb43327ef98f144afae56e30053028568,en,12、INT. Maplewood Plaza - CONTINUOUS ; 45、EXT. KING SWIMMING POOL - DAY,"By the time Linden Bellamy and Robin Nolan are alone together in the pool following Sawyer Sloane's emotional reaction, what has Sawyer Sloane already done that sets the situation in motion?",Sawyer Sloane giggles and texts on her phone while sitting on a sofa,"Before the tension between Linden Bellamy and Robin Nolan unfolds in the swimming pool, Sawyer Sloane is seen in a Maplewood Plaza, casually giggling and focused on her phone, which contributes to the growing strain in the group dynamic. This moment initiates a chain of interpersonal reactions that lead to the confrontation and its quiet aftermath by the pool.",Temporal Reasoning
legacy-enb43327ef98f144afae56e30053028568-26,enb43327ef98f144afae56e30053028568,en,44、INT. KING KITCHEN - DAY ; 45、EXT. KING SWIMMING POOL - DAY,What happens just before Linden Bellamy comments on the pool and Jordan Dalton’s visit is announced?,Linden Bellamy enters the kitchen and takes a Coca-Cola,44、INT. KING KITCHEN - DAY,Temporal Reasoning
