id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en7f8648f5449c4f9da46febfd68cdbd58-11,en7f8648f5449c4f9da46febfd68cdbd58,en,42、INT Maplewood District - DAY ; 42、INT Maplewood District - DAY,What event immediately provokes Terry Vaughn's transformation from stunned grief to violent rage?,Terry Vaughn discovers the wreckage of his lab and apartment,"In the charred remains of his lab and apartment, Terry Vaughn moves through the debris in stunned silence, confronting the total destruction of his home and work. This moment of quiet devastation precedes his discovery of Shawn Sterling's the leather notebook, which triggers an explosive shift in his demeanor. The earlier scene of ruin establishes the full weight of his loss, making the subsequent rage not just a reaction to the the leather notebook, but the culmination of suppressed shock and grief now given a target. [42、INT Maplewood District - DAY]",Causal-Motivational Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-12,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. Maplewood District - DAY - Terry Vaughn ; 42、INT Maplewood District - DAY,What event directly triggers the cascade of hallucinatory visions in Terry Vaughn's mind?,Lane Hart discovers coffee-stained document in bedroom,"After Lane Hart finds a coffee-stained document in the bedroom and alerts Shawn Sterling, he and Blair Sawyer forcibly subdue Terry Vaughn and subject him to a severe electrical shock using electrodes connected to a reservoir of blue fluid. The intense current causes Terry Vaughn to convulse, his skin peeling and hands igniting before he collapses. This traumatic electrocution immediately precedes and induces the neurological storm in which Terry Vaughn experiences a flood of fragmented, surreal visions involving Sage Foster, Shawn Sterling in surgical garb, and grotesque distortions of his own face and body. [scene: 29、INT. Maplewood District - DAY - Terry Vaughn]",Causal-Motivational Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-13,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. Maplewood District - DAY - Terry Vaughn ; 42、INT Maplewood District - DAY,What action immediately before the hallucinatory sequence creates the physiological trigger for Terry Vaughn's mental breakdown?,Shawn Sterling activates oxygen and acetylene tanks,"After electrocuting Terry Vaughn by submerging him in a fluid-filled reservoir, Shawn Sterling releases gas from oxygen and acetylene tanks into the lab, creating a volatile atmosphere. As the room fills with the mixture, the electrical short from the failed current leaves the environment charged and unstable. This combination of electrochemical exposure and oxygen-rich gas sets off neurological overstimulation, directly precipitating the cascade of hallucinatory visions in Terry Vaughn’s mind, where trauma manifests as surreal, looping imagery involving Sage Foster, Shawn Sterling, and surgical violence.",Causal-Motivational Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-14,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. Maplewood District - DAY - Terry Vaughn ; 85、EXT. Westhaven District- DAY,How does Riley Sloane's relationship with Terry Vaughn evolve from their initial confrontation to the ambush at the Westhaven District?,Riley Sloane continues treating Terry Vaughn as an adversary through coordinated hostile actions,"From the Maplewood District confrontation to the Westhaven District ambush, Riley Sloane consistently engages Terry Vaughn with hostile intent. In the lab, he is part of a group that confronts and physically restrains Terry Vaughn, establishing an adversarial dynamic. This persists at the Westhaven District, where Riley Sloane participates in a coordinated ambush with Robin Hale, reaffirming his role as an active opponent.",Role-Relation Continuity
legacy-en7f8648f5449c4f9da46febfd68cdbd58-15,en7f8648f5449c4f9da46febfd68cdbd58,en,35、EXT. GRAVEYARD - LONG-SHOT - DAY ; 30、EXT Maplewood District BUILDING - TWILIGHT ; 42、INT Maplewood District - DAY,What pivotal moment marks the shift in momentum leading directly to Terry Vaughn's acts of confrontation and destruction in the subsequent sequence?,Terry Vaughn Awakens with Fierce Lucidity,"In the graveyard scene, Terry Vaughn emerges from a state of confusion with sudden clarity and resolve, setting in motion a chain of actions defined by intent and fury. This moment of awakening reorients his trajectory, directly precipitating his violent breakthrough, self-confrontation, and the discovery that triggers his final outburst. [35、EXT. GRAVEYARD - LONG-SHOT - DAY]",Narrative Progression
legacy-en7f8648f5449c4f9da46febfd68cdbd58-17,en7f8648f5449c4f9da46febfd68cdbd58,en,22、EXT. CITY STREET - MORNING ; 28、EXT PAYPHONE - DAY -Sage Foster ; 27、INT Maplewood District - DAY,What pivotal event sets in motion Sage Foster's emotional breakdown and subsequent call to Terry Vaughn?,Sage Foster declines Terry Vaughn's proposal and leaves in a the old watch,"After Terry Vaughn proposes, Sage Foster rejects the offer and departs in a the old watch, marking a critical shift in the narrative. This decision initiates a chain of events that leads to her isolation, emotional collapse, and eventual desperate call to Terry Vaughn from a pay phone, where he answers while stretching, unaware of her distress. Her grief culminates in a public breakdown, where a priest intervenes to assist her. [22、EXT. CITY STREET - MORNING]",Narrative Progression
legacy-en7f8648f5449c4f9da46febfd68cdbd58-18,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. Maplewood District - DAY - Terry Vaughn ; 30、EXT Maplewood District BUILDING - TWILIGHT ; 42、INT Maplewood District - DAY,What pivotal event sets in motion Terry Vaughn's transformation and the subsequent destruction of his lab?,Terry Vaughn's Crawl to the Drinking Bird,"In the aftermath of his experimentation, Terry Vaughn drags himself toward the Drinking Bird device in a decisive act that triggers a chain of irreversible consequences. This moment marks the shift from passive suffering to active confrontation, directly leading to the ignition of the device, the collapse of his laboratory, and his discovery of Shawn Sterling's the leather notebook amid the wreckage. [29、INT. Maplewood District - DAY - Terry Vaughn]",Narrative Progression
legacy-en7f8648f5449c4f9da46febfd68cdbd58-25,en7f8648f5449c4f9da46febfd68cdbd58,en,9、INT Maplewood District - DAY - A GLASS BEAKER ; 22、EXT. CITY STREET - MORNING,"By the time Sage Foster declines Terry Vaughn's proposal and leaves in a the old watch, what key moment between Terry Vaughn and Carson Nolan has already taken place?",Carson Nolan asks Terry Vaughn if he has asked her,"Earlier in the narrative, Carson Nolan confronts Terry Vaughn in the lab, pressing him about whether he has proposed to Sage Foster. This exchange occurs well before the final confrontation on the city street, establishing a thematic buildup around Terry Vaughn's hesitation and the expectations surrounding the proposal. The scene sets up the emotional stakes that culminate in Sage Foster's decision.",Temporal Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-26,en7f8648f5449c4f9da46febfd68cdbd58,en,29、INT. Maplewood District - DAY - Terry Vaughn ; 42、INT Maplewood District - DAY,"By the time Terry Vaughn confronts his reflection, what event has already taken place in the lab?",Electrodes snap and fall into blue fluid reservoir after ignition,"In the Maplewood District, shortly before Terry Vaughn's confrontation with his reflection, an electrical ignition causes the electrodes attached to him to snap and drop into a blue fluid reservoir, marking a critical malfunction during the experiment.",Temporal Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-27,en7f8648f5449c4f9da46febfd68cdbd58,en,45、INT. Jonah Huxley'S APARTMENT -- BEDROOM -- LATER ; 46、INT. Jonah Huxley'S APARTMENT - LATER,What occurs immediately before Kendall Sawyer confronts Jonah Huxley in the apartment?,Kendall Sawyer's charred hand emerges from the darkness,"In the moments leading up to the confrontation, the scene shifts from the bedroom to the main area of Jonah Huxley's apartment, where a tense stillness is broken by the slow reveal of Kendall Sawyer's presence. His charred hand emerges from the shadows, signaling his return and setting the stage for the violent outburst that follows.",Temporal Reasoning
legacy-en7f8648f5449c4f9da46febfd68cdbd58-28,en7f8648f5449c4f9da46febfd68cdbd58,en,21、INT Maplewood District - MORNING ; 22、EXT. CITY STREET - MORNING,What happens just before Terry Vaughn proposes on the city street?,Terry Vaughn comforts Sage Foster with a back massage and kiss,21、INT Maplewood District - MORNING,Temporal Reasoning
