id,related_scenes,question,answer,related_context,question_type,question_source
1,49、INT. ENTERPRISE - SICKBAY - DAY,Why does Deanna request to be relieved of her duties?,"Because the Viceroy can access her thoughts, making her a liability.",Shinzon's Viceroy seems to have the ability to reach into my thoughts. I've become a liability...,Causal-Motivational Reasoning,broad_coverage_scene
2,13、INT. ENTERPRISE - BRIDGE - LATER,"In [13、INT. ENTERPRISE - BRIDGE - LATER], What is Data's emotional state regarding the possible connection to others like himself?",Deep desire to explore a possible connection to others like himself.,"Picard glances at Data, recognizes the android's deep desire to explore this possible connection to others like himself.",Character Understanding,broad_coverage_scene
3,54、INT. SCIMITAR - CORRIDORS - FOLLOWING,What was the purpose of Data's mission?,To discover the source of the Thalaron radiation.,"DATA: 'My mission was a success, sir. I have discovered the source of the Thalaron radiation.'",Causal-Motivational Reasoning,broad_coverage_scene
4,33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT,"In [33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT], What is Shinzon's emotional state when interacting with Deanna?","Maniacal and fascinated, as he laughs and stares deeply.","Shinzon laughs, maniacally. He slowly moves toward her, still hidden in the shadows. SHINZON (quietly) I've never met a human woman.",Character Understanding,broad_coverage_scene
5,47、INT. SCIMITAR - VICEROY'S CABIN - FOLLOWING,"In [47、INT. SCIMITAR - VICEROY'S CABIN - FOLLOWING], What physical condition does Shinzon experience during the scene?",He is overtaken by a wave of illness.,"He begins to go -- but suddenly stops, a wave of illness overtake him.",Character Understanding,broad_coverage_scene
6,55、INT. SCIMITAR - GENERATION CHAMBER - NIGHT,"In [55、INT. SCIMITAR - GENERATION CHAMBER - NIGHT], How does Data access the Emergency Transport Unit?",Data rotates his left hand and slides it forward to expose a hidden compartment.,"Data rotates his left hand and then slides it forward, exposing a hidden compartment in his wrist.",Scene Grounding,broad_coverage_scene
7,13、INT. ENTERPRISE - BRIDGE - LATER,"In [13、INT. ENTERPRISE - BRIDGE - LATER], How does Data respond to Geordi's question about a long-lost relative?",Shows curiosity without verbal response.,"Data doesn't respond, but the curiosity on his face is apparent.",Character Understanding,broad_coverage_scene
8,52、INT. ENTERPRISE - BRIDGE - NIGHT,What is the purpose of Riker's instruction to Geordi?,To find a way into the target's cloak.,"Keep at it, Geordi. Find a way in.",Causal-Motivational Reasoning,broad_coverage_scene
9,52、INT. ENTERPRISE - BRIDGE - NIGHT,Why is Geordi frustrated?,Because the target's cloak has no tachyon emissions or residual antiprotons.,"His cloak is perfect... no tachyon emissions, no residual antiprotons.",Causal-Motivational Reasoning,broad_coverage_scene
10,59、INT. SCORPION COCKPIT - SHUTTLEBAY - FOLLOWING,How does Picard maneuver the Scorpion toward the shuttlebay doors?,Elegantly swings it around toward the large shuttlebay external doors.,Picard elegantly swings it around toward the large shuttlebay external doors as:,Scene Grounding,broad_coverage_scene
11,45、INT. ENTERPRISE - PICARD'S CABIN - NIGHT,"In [45、INT. ENTERPRISE - PICARD'S CABIN - NIGHT], What is Picard's emotional state when he looks at the photo?",Deeply troubled,He stops and stares at one of the pictures deeply troubled.,Character Understanding,broad_coverage_scene
12,34、INT. ENTERPRISE - SICKBAY - DAY,What does Beverly state about the person's condition?,He has Shalaft's Syndrome and is a clone.,"BEVERLY: There's no doubt, Captain. Right down to your regressive strain of Shalaft's Syndrome. He's a clone.",Character Understanding,broad_coverage_scene
13,32、INT. ENTERPRISE - BRIDGE - FOLLOWING,When do Picard and the crew head to the turbolift?,After the transmission ends and the Scimitar reappears.,"Picard, Riker, Deanna, Worf and Data head toward the turbolift, energized now that the endless waiting is over.",Temporal Reasoning,broad_coverage_scene
14,36、INT. ENTERPRISE - RIKER AND DEANNA'S CABIN - NIGHT,What does 'Imzadi' mean in the context of the passage?,A term of endearment used by Shinzon to Deanna.,SHINZON: 'Imzadi. This is so good.',Scene Grounding,broad_coverage_scene
15,44、INT. SICKBAY - NIGHT,"In [44、INT. SICKBAY - NIGHT], What is Beverly's expression when she returns to the medical displays?",Deeply concerned,"Beverly returns to some medical displays showing Thalaron research, her expression deeply concerned.",Character Understanding,broad_coverage_scene
16,54、INT. SCIMITAR - CORRIDORS - FOLLOWING,Why is the Viceroy preparing Counsellor Troi for Shinzon?,To soothe him as she soothes Picard and stand at his side.,VICEROY: 'To soothe him as she soothes you. To stand at his side as she does at yours.',Causal-Motivational Reasoning,broad_coverage_scene
17,12、INT. ENTERPRISE - BRIDGE - DAY,What does Worf believe about appearing naked?,It is inappropriate for a Starfleet officer to appear... naked.,I think it is inappropriate for a Starfleet officer to appear... naked.,Character Understanding,broad_coverage_scene
18,5、INT. ROMULAN SENATE CHAMBER - SUNSET,"In [5、INT. ROMULAN SENATE CHAMBER - SUNSET], What is Senator Tal'Aura's emotional state during the proceedings?",Bored indifference,watches the proceedings with a studied look of bored indifference,Character Understanding,broad_coverage_scene
19,29、EXT. ENTERPRISE - OVER ROMULUS - SPACE,What does Picard state about the Enterprise's hails?,All our hails have gone unanswered.,All our hails have gone unanswered.,Character Understanding,broad_coverage_scene
20,53、INT. SCIMITAR - BRIG - NIGHT,What is the purpose of B-9 holding the Reman disruptor?,To incapacitate Picard if he resists during transport.,"B-9 If you resist, I will incapacitate you.",Causal-Motivational Reasoning,broad_coverage_scene
21,37、EXT. ROMULAN SENATE - DAY,"In [37、EXT. ROMULAN SENATE - DAY], What visual description is given of the Senate?",The Byzantine splendors of the Senate loom before us,The Byzantine splendors of the Senate loom before us.,Scene Grounding,broad_coverage_scene
22,23、INT. ENTERPRISE - CREW LOUNGE - NIGHT,"In [23、INT. ENTERPRISE - CREW LOUNGE - NIGHT], What are the Fire Caves of Fek'lhr?",A Klingon challenge where couples face the demons of Gre'thor.,WORF: 'They move on to the Fire Caves of Fek'lhr to face the demons of Gre'thor.',Scene Grounding,broad_coverage_scene
23,28、INT. ENTERPRISE - ENGINEERING LAB - DAY,What is Data's belief regarding the B-9's functionality after memory integration?,Data believes the B-9 will function as a more complete individual.,DATA: It is my belief that with my memory engrams he will be able to function as a more complete individual.,Character Understanding,broad_coverage_scene
24,28、INT. ENTERPRISE - ENGINEERING LAB - DAY,What does Data believe about the B-9's purpose?,Data believes Dr. Soong did not want the B-9 to remain inactive.,DATA: I do not believe he would have wanted the B-9 to live out his life in his present state.,Character Understanding,broad_coverage_scene
25,55、INT. SCIMITAR - GENERATION CHAMBER - NIGHT,What is the spider-weapon described as in the chamber?,A gigantic version of the spider-weapon that killed Romulan Senators.,High above them... is a gigantic version of the spider-weapon we saw kill all the Romulan Senators before.,Scene Grounding,broad_coverage_scene
26,53、INT. SCIMITAR - BRIG - NIGHT,Why does the Reman Guard deactivate the force field?,To comply with B-9's order to take Picard to the Praetor.,B-9 (to Reman guard) I am to take the prisoner to the Praetor. The Reman Guard deactivates the force field.,Causal-Motivational Reasoning,broad_coverage_scene
27,51、INT. SCIMITAR - BRIG - NIGHT,"In [51、INT. SCIMITAR - BRIG - NIGHT], What physical change is visible on Shinzon's face?",Tiny veins forming a spider-web pattern.,Tiny veins are now visible on Shinzon's face; the faintest sign of an intricate spider-web pattern of pale blue veins.,Character Understanding,broad_coverage_scene
28,33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT,"In [33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT], What is Shinzon's identity according to the passage?","Human, despite initial assumptions of being Reman.","The crew cannot see him clearly in the dim light but it is evident he is human. Assuming that he was Reman, they're surprised by this realization.",Character Understanding,broad_coverage_scene
29,62、INT. SCIMITAR - CORRIDORS - FOLLOWING,What movement does the Scorpion make through the ship?,zigs and zags through the ship at breakneck speed,zigs and zags through the ship at breakneck speed,Scene Grounding,broad_coverage_scene
30,46、INT. ENTERPRISE - TURBOLIFT - MORNING,"In [46、INT. ENTERPRISE - TURBOLIFT - MORNING], What is Deanna's behavioral state during the telepathic struggle?",Forcing herself to concentrate and resist,She forces herself to concentrate... to resist telepathically... it is a mighty effort.,Character Understanding,broad_coverage_scene
31,60、INT. SCIMITAR CORRIDORS - FOLLOWING,How does Picard maneuver in the corridor?,"Banks sharply, careens off the far side but keeps control.",Picard banks sharply -- careens off the far side of the corridor but keeps control.,Scene Grounding,broad_coverage_scene
32,30、INT. ENTERPRISE - BRIDGE - FOLLOWING,What does Picard say about the enemy's strategy?,It's an old psychological strategy to put him in a position of dominance and make us uneasy.,"PICARD It's an old psychological strategy, Number One. To put him in a position of dominance and make us uneasy.",Character Understanding,broad_coverage_scene
33,43、INT. ENTERPRISE BRIDGE - NIGHT,"In [43、INT. ENTERPRISE BRIDGE - NIGHT], What is Geordi's emotional state when he reviews the sensor logs?",Grim,(grim),Character Understanding,broad_coverage_scene
34,48、INT. SCIMITAR - BRIDGE - DAY,When does Shinzon order tea relative to the engineers connecting the conduits?,After the engineers begin connecting the conduits,Shinzon goes to a replicator unit and orders tea... He takes it and sips as he watches his Engineers connecting the conduits,Temporal Reasoning,broad_coverage_scene
35,11、INT. SENATE CHAMBER - NIGHT,What are the visual elements of the chamber where Shinzon stands?,"A large star chart floor and flickering torch light, with Reman warriors standing around.",The entire floor is a large star chart... cadres of Shinzon's fearsome REMAN WARRIORS stand around the chamber. Even more chilling now in the flickering torch light.,Scene Grounding,broad_coverage_scene
36,11、INT. SENATE CHAMBER - NIGHT,"In [11、INT. SENATE CHAMBER - NIGHT], What is Shinzon's physical appearance and attire?","A dynamic young human in his twenties with pale, almost white skin, shining golden hair, and a striking Reman military uniform.","He is a dynamic young human in his twenties. Very handsome with pale, almost white skin and shining, golden hair. He wears a striking Reman military uniform.",Scene Grounding,broad_coverage_scene
37,64、EXT. OVER ROMULUS - SPACE,"In [64、EXT. OVER ROMULUS - SPACE], What is the Scorpion slicing through?",The cloak of invisibility around the Scimitar,The Scorpion seems to appear from nowhere -- slicing through the cloak of invisibility around the Scimitar --,Scene Grounding,broad_coverage_scene
38,58、INT. SCIMITAR - SHUTTLEBAY - FOLLOWING,What action does Picard take after the door closes?,Fires a disruptor blast to seal the door mechanism.,"When the door closes behind them, Picard turns and fires a disruptor blast -- sealing the door mechanism.",Scene Grounding,broad_coverage_scene
39,58、INT. SCIMITAR - SHUTTLEBAY - FOLLOWING,"In [58、INT. SCIMITAR - SHUTTLEBAY - FOLLOWING], How are the Scorpion-class attack fliers described visually?","Extremely compact, streamlined, with disruptor turrets on each.",They are uniquely designed. Extremely compact and stream-lined. A disruptor turret on each.,Scene Grounding,broad_coverage_scene
40,49、INT. ENTERPRISE - SICKBAY - DAY,Why does Picard deny Deanna's request?,He needs her to endure more assaults and assist him.,Permission denied. If you can possibly endure any more of these assaults. I need you at my side.,Causal-Motivational Reasoning,broad_coverage_scene
41,41、INT. ROMULAN SENATE CHAMBER - NIGHT,"In [41、INT. ROMULAN SENATE CHAMBER - NIGHT], What is Shinzon's physical condition?","His nose was broken four times, and his jaw was injured.",SHINZON: My nose was broken four times. And my jaw... But so much is the same.,Character Understanding,broad_coverage_scene
42,38、INT. ROMULAN SENATE CHAMBER - DAY,"In [38、INT. ROMULAN SENATE CHAMBER - DAY], What is Suran's emotional state during the conference?",Angry and impatient,"Commander Suran is angry, pacing. ... Then I don't understand the reason for the delay!",Character Understanding,broad_coverage_scene
