id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,enba0f98e3fab842c387810d1e1085d5e0,en,43、INT. PRECINCT - DAY,Why does Duffy confront Jordy in the precinct after pacing at the Sergeant's desk?,To demand accountability for Jordy bringing a homicide witness to a firehouse instead of reporting to the station.,"Chief Duffy is visibly agitated as he paces at the Sergeant's desk, checking his watch. When Jordy arrives with Daphne, Duffy immediately confronts him for failing to respond to calls and not appearing at the station as required. He expresses anger over Jordy taking Daphne—a key witness in a homicide—to the firehouse for a shower, questioning his judgment. Eddie intervenes, explaining he ordered Jordy to keep Daphne away from the press, which defuses the situation slightly. Duffy then allows Jordy to brief Eddie first and insists on being updated before the press conference.",Character Understanding
2,enba0f98e3fab842c387810d1e1085d5e0,en,42、INT. NYC RESTAURANT - DAY,What does Emil's line of questioning about the videos reveal about his state of mind during the meal with Oleg?,He is suspicious and seeking confirmation about whether incriminating evidence still exists.,"Emil confronts Oleg about whether the videos of Milos and Tamina, and the woman’s murder, were erased. He insists Oleg not lie, promises he won’t be angry, and only relaxes after extracting hesitation and uncertainty. His behavior—methodical, tense, physically unwell—suggests he is operating under paranoia and a need for control over loose evidence. [scene: Emil Confronts Oleg About the Un erased Videos]",Character Understanding
3,enba0f98e3fab842c387810d1e1085d5e0,en,44、INT. POLICE PRECINCT - DETECTIVE ROOM'S SQUAD - DAY,What is Eddie's objective when he sends the other detectives out of the room with Jordy?,Confront Jordy about misconduct,"Eddie brings Jordy into an interrogation room and asks the other detectives to leave, wanting a private conversation. He questions Jordy’s decision to bring a suspect woman to the station for a shower, expressing disbelief and concern over the recklessness of the act. Eddie emphasizes the potential consequences for Jordy’s career and the integrity of the investigation, stressing that personal involvement is inappropriate. He advises Jordy to offer legal help instead of taking matters into his own hands. When Jordy questions why Eddie defended him earlier, Eddie offers a reluctant comparison, suggesting a personal fondness despite Jordy’s missteps. The scene ends in silence as they share a moment lighting a cigar, underscoring the tension and complexity of their relationship.",Character Understanding
4,enba0f98e3fab842c387810d1e1085d5e0,en,14、INT. MILOS' APARTMENT - NIGHT,What does Jordy's action of collecting the cloth fragment reveal about his role in the investigation?,Lead Investigator,"Jordy used tweezers to pull a small unburned piece of cloth from behind one of the bodies on the mattress. He dropped the fragment into a paint can that Korfin held out. Without further explanation, he stated it was evidence of a homicide. [scene: Jordy Finds Evidence of Homicide]",Character Understanding
5,enba0f98e3fab842c387810d1e1085d5e0,en,24、INT. MILOS' APARTMENT - DAWN,What action marks Jordy's arrival at the fire-damaged apartment?,enters the burned remains of Milos and Tamina's apartment,"Jordy arrives at the charred wreckage of Milos and Tamina's apartment, stepping through the debris under a collapsed roof with smoke still lingering in the air. Inside, he encounters Eddie, who is seated on a singed chair, smoking a cigar and drinking vodka from a won ton soup container. Eddie comments on giving Jordy credit in the case, but Jordy dismisses the recognition, stating he doesn’t follow the news. The scene establishes the aftermath of the fire and the tense, weary dynamic between the two characters as they navigate the ruined space.",Scene Grounding
6,enba0f98e3fab842c387810d1e1085d5e0,en,14、INT. MILOS' APARTMENT - NIGHT,What action marks the beginning of the investigation in Milos' apartment?,Jordy and Korfin arrive at the fire scene,"Jordy and fire marshal Korfin enter the charred apartment, stepping over debris and pooling water. Eddie stands near the remains of a mattress, holding a half-smoked Cuban cigar. Jordy asks him to put it out, explaining it could interfere with scent detection. Eddie complies, carefully placing the cigar into a holder and slipping it into his pocket. Leon holds up a crack pipe found on the stairs, showing it to the others. Korfin shines a flashlight directly on Leon to get a better look, the beam briefly blinding him. Leon asks him to move the light. Korfin apologizes. Jordy examines the bodies, pulling on a rubber glove and checking the mouth of one victim. He warns Leon not to blow his nose, explaining that smoke residue can burn the nasal passages. Later, using tweezers, Jordy retrieves a small piece of unburned cloth from behind one of the heads and drops it into Korfin’s paint can.",Scene Grounding
7,enba0f98e3fab842c387810d1e1085d5e0,en,45、INT. EDDIE'S APARTMENT - NIGHT,What occurs in the scene where Oleg films the television coverage of Eddie's funeral?,Television broadcast reports Eddie's funeral,"A television broadcast covers Detective Eddie Flemming's funeral, with a newscaster highlighting his career and community impact. Leon delivers a eulogy and sings 'Amazing Grace' at the service. Oleg records the broadcast on a handheld camera while watching it on a small TV in a dimly lit room, and simultaneously, Emil prepares a drug-laced lightbulb in a hotel room.",Scene Grounding
8,enba0f98e3fab842c387810d1e1085d5e0,en,34、EXT. LUDWIG'S SALON - CONTINUOUS; 34、EXT. LUDWIG'S SALON - CONTINUOUS,What prompts the group to move discreetly along the curb instead of approaching the car directly?,Eddie spots Oleg and Emil on the far corner,"While outside Ludwig's Salon, Eddie notices Oleg filming him from across the street and immediately alerts Leon, instructing the group to avoid detection by moving quietly along the curb. He directs Jordy to get Daphne into the car without drawing attention, while Leon stays back to monitor the situation. At the same time, Emil shouts at Oleg in Czech to stop recording and begins running away, but the group continues their cautious approach toward the vehicle, staying low-key to avoid confrontation. [34、EXT. LUDWIG'S SALON - CONTINUOUS]",Causal-Motivational Reasoning
9,enba0f98e3fab842c387810d1e1085d5e0,en,2、INT. PASSPORT CONTROL - KENNEDY AIRPORT - DAY; 2、INT. PASSPORT CONTROL - KENNEDY AIRPORT - DAY,What prompts the supervisor to send Emil and Oleg to secondary inspection?,Immigration officer questions Emil about his visit and flags concerns over their travel intentions,"At the passport control counter, the immigration officer questions Emil Slovak about the purpose and duration of his visit, as well as the amount of cash he is carrying. When the officer notices Oleg raising a disposable camera and learns they are traveling together, he calls Oleg forward and expresses suspicion about their limited funds and potential intent to overstay. These concerns are relayed to the supervisor, who arrives to address the delay and, after assessing the situation, directs them to secondary inspection to clear the backlog and resolve the uncertainty [2、INT. PASSPORT CONTROL - KENNEDY AIRPORT - DAY].",Causal-Motivational Reasoning
10,enba0f98e3fab842c387810d1e1085d5e0,en,13、EXT. MILOS' APARTMENT - NIGHT; 14、INT. MILOS' APARTMENT - NIGHT,What event enables Korfin and Jordy to begin uncovering evidence of a premeditated double homicide at the fire scene?,Jordy arrives at the fire scene and speaks with Battalion Chief Louie,"Jordy arrives at the burning brownstone and approaches Battalion Chief Louie, who informs him that homicide is already investigating due to two fatalities. Louie mentions that Eddie Flemming is handling the case, which prompts Jordy's involvement despite not declaring it a crime scene. Arson investigator Bobby Korfin joins them, establishing the team dynamic just before they enter the apartment and begin discovering physical evidence of a planned double homicide. This initial exchange sets the conditions for their subsequent investigation inside the unit. [13、EXT. MILOS' APARTMENT - NIGHT]",Causal-Motivational Reasoning
