id,related_scenes,question,answer,related_context,question_type,question_source
1,62、INT. MASTER BEDROOM - NIGHT,What does 'rats-in-a-maze shot' refer to in the passage?,A camera shot showing characters from above in a tense situation.,"We rise up, above them, above the room, looking down on them, the rats-in-a-maze shot.",Scene Grounding,broad_coverage_scene
2,9、INT. PANIC ROOM - DAY,What does Evan say about the panic room's phone line?,A buried phone line completely separate from the house's main line.,"EVAN: 'Buried phone line, completely separate, not connected to the house's main line'",Character Understanding,broad_coverage_scene
3,46、INT. SARAH'S BEDROOM - NIGHT,What action is Meg performing on Sarah?,Dragging her out of the room and into the hallway,"On the top floor, Meg is already dragging Sarah out of the room and into the hallway.",Scene Grounding,broad_coverage_scene
4,19、INT. MASTER BEDROOM - NIGHT,"In [19、INT. MASTER BEDROOM - NIGHT], What is Meg's state at the beginning of the scene?","In a hard, boozy sleep","Meg is in a hard, boozy sleep.",Character Understanding,broad_coverage_scene
5,54、INT. ENTRY FLOOR - NIGHT,When does Junior freeze?,When he hears the elevator stop and start again,"In the foyer, Junior freezes, hearing the elevator stop and start again",Temporal Reasoning,broad_coverage_scene
6,7、INT. DEN - DAY,What sound is heard from the hallway along with the little girl's laughter?,GROANING METALLIC sound of the elevator,"From the hallway, there is a GROANING METALLIC sound, the elevator, and the happy laughter of the little girl",Scene Grounding,broad_coverage_scene
7,72、INT. KITCHEN - NIGHT,What additional action does Junior take after wiping sweat?,pulls the phone out of the wall and cuts the cord for the handset,"Not satisfied, he pulls the phone itself out of the wall, cuts the cord for the handset too.",Scene Grounding,broad_coverage_scene
8,25、INT. SARAH'S BEDROOM - NIGHT,"In [25、INT. SARAH'S BEDROOM - NIGHT], What is The Man's emotional state?",aghast and beside himself,"The Man stands in the doorway, staring, aghast, at the mountain of moving boxes... His lips mouth a word, soundlessly. Doesn't take a lip reader to guess it.",Character Understanding,broad_coverage_scene
9,4、EXT. WEST 83RD STREET - DAY,Why does Lydia apologize to Evan?,"Because he waited for them, as she acknowledges.","I am so sorry, you were a saint to wait for us!",Causal-Motivational Reasoning,broad_coverage_scene
10,40、INT. PANIC ROOM - NIGHT,"In [40、INT. PANIC ROOM - NIGHT], What is Meg's behavioral state?",Leaps to her feet and dashes out of the room,Meg moves. Leaps to her feet and dashes out of the room.,Character Understanding,broad_coverage_scene
11,35、INT. MASTER BEDROOM - NIGHT,"In [35、INT. MASTER BEDROOM - NIGHT], What is Meg's emotional state when she notices the lights are on?",Frustrated,She TSKS,Character Understanding,broad_coverage_scene
12,69、INT. PANIC ROOM - NIGHT,How does Meg express her fear while watching the screens?,Barely audible whisper of 'locking us in',MEG (barely audible) ... locking us in...,Scene Grounding,broad_coverage_scene
13,5、INT. TOWNHOUSE - FOYER - DAY,Why does Sarah stop bouncing the ball?,Because Lydia tells her to stop.,"LYDIA No ball, kid. Sarah immediately stops bouncing.",Causal-Motivational Reasoning,broad_coverage_scene
14,49、INT. TOP FLOOR HALLWAY - NIGHT,What does Raoul shout to the open stairwell?,IN THE ELEVATOR! BOTH OF 'EM HEADED TOWARD YOU!,"Raoul turns from the elevator, SHOUTS to the open stairwell. RAOUL IN THE ELEVATOR! BOTH OF 'EM HEADED TOWARD YOU!",Character Understanding,broad_coverage_scene
15,7、INT. DEN - DAY,How does Evan react to the child's noise?,He winces and speaks as if his mouth hurts,"Evan winces, speaks as if his mouth hurts when he moves it",Scene Grounding,broad_coverage_scene
