id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-endffac0563af542049ec8e89fb53065ba-10,endffac0563af542049ec8e89fb53065ba,en,19、INT. HOME FOR GIRLS - PLAYROOM - DAY ; 31、EXT. HOME FOR GIRLS - DAY.,What action immediately prompts Sister Abigail to stand watching as the car departs?,Esther urges Kate to leave with her quickly,"In the final moments at the Home for Girls, Esther pulls Kate toward the car, eager to leave. Kate complies, laughing, and the two wave at Sister Abigail before getting in. John has already loaded the trunk, and as the car pulls away, Sister Abigail remains at the gate, watching silently as it drives off—her expression shifting from warmth to stillness—prompted directly by the suddenness of their departure initiated by Esther’s urgency.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-11,endffac0563af542049ec8e89fb53065ba,en,19、INT. HOME FOR GIRLS - PLAYROOM - DAY ; 31、EXT. HOME FOR GIRLS - DAY.,What prompts Sister Abigail's lingering farewell as she watches the car depart?,Sister Abigail informs Esther about Yolanda's departure,"In the playroom, Sister Abigail announces Yolanda’s departure, marking a moment of quiet emotional strain, particularly for Esther, whose faltering smile and silent gaze signal a subdued reaction. This exchange sets the emotional tone that culminates in Sister Abigail’s later, solitary vigil at the gate, where she watches the car drive away with a fading smile, remaining motionless long after it disappears.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-12,endffac0563af542049ec8e89fb53065ba,en,37、INT. COLEMAN RESIDENCE - VARIOUS - DAY ; 38、INT. ESTHER'S BEDROOM - DAY,What earlier moment explains Esther's approval of the remodeled nursery?,Esther tours her luxurious new home in awe,"As Esther moves through the house, she marvels at its size and opulence, visibly impressed despite lingering tension with Daniel. The family follows her, with Kate gently guiding her toward her new bedroom. This tour establishes Esther’s sense of wonder and growing attachment to her new environment, setting the stage for her emotional acceptance of the personalized nursery space.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-13,endffac0563af542049ec8e89fb53065ba,en,14、INT. XATB AND JOHN'S BEDROOM - NIGHT ; 15、INT.-LAWYER'S OFFICE -- DAY,What action by John directly enables the couple’s confident stance during the adoption discussion with the lawyer?,John reassures Kate of their unbroken bond and proposes adoption again,"After an intimate moment is interrupted, Kate expresses guilt and emotional distress, feeling broken and inadequate as a mother. John comforts her, affirming their enduring connection and the stability of their family. He renews his proposal to adopt, emphasizing their capacity to provide love and care despite past losses. His persistence and emotional support help shift Kate’s perspective, leading to her quiet acceptance. This moment of reconciliation and renewed commitment precedes their meeting with the lawyer, where they present a united and prepared front.",Causal-Motivational Reasoning
legacy-endffac0563af542049ec8e89fb53065ba-14,endffac0563af542049ec8e89fb53065ba,en,3、INT. DOCTOR BROWNING'S OFFICE - DAY ; 123、INT. RESTROOM -- DAY,How does the professional relationship between Dr. Browning and Kate Coleman remain consistent from their initial session to their later interaction in the restroom?,Dr. Browning continues to serve as Kate's trusted therapeutic advisor,"From their first meeting in Dr. Browning's office, where a foundation of therapeutic trust is established, through Kate's repeated referrals of others to the doctor and their later encounter in the restroom, Dr. Browning consistently maintains a supportive, counseling role, offering guidance and emotional reassurance, which underscores an enduring professional dynamic centered on medical and psychological trust.",Role-Relation Continuity
legacy-endffac0563af542049ec8e89fb53065ba-15,endffac0563af542049ec8e89fb53065ba,en,20、INT. HOME FOR GIRLS - ENTRY - DAY ; 40、INT. UPSTAIRS HALLWAY - NIGHT ; 30、INT: HOME FOR GIRLS - CHAPEL DAY,"What pivotal moment shifts the narrative trajectory toward the subsequent scenes involving Kate, John, and Esther in the chapel and their farewell with Sister Abigail?",Kate Hugs Sister Abigail and Notices Esther Watching,"In the entryway of the Home for Girls, Kate shares an emotional embrace with Sister Abigail, a gesture that momentarily unites past and present. During this embrace, she becomes aware of Esther observing them, a silent but charged moment that alters Kate’s understanding of the relationships around her and sets in motion the intimate developments that follow in the chapel and during the farewell.",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-16,endffac0563af542049ec8e89fb53065ba,en,37、INT. COLEMAN RESIDENCE - VARIOUS - DAY ; 38、INT. ESTHER'S BEDROOM - DAY ; 39、INT. ESTHER'S BEDROOM - NIGHT,"What pivotal event sets in motion Esther's integration into the Coleman household, leading to her approval of the nursery and moments of domestic intimacy?",Esther Explores Her New Home,"In the scene where Esther first tours the residence, her cautious engagement with the environment marks a shift from outsider to resident. This exploration directly precedes and motivates her emotional acceptance of the remodeled nursery, the bedtime routine, and John's personal gesture of revealing the fish tank, establishing a new phase in her relationship with the family. [37、INT. COLEMAN RESIDENCE - VARIOUS - DAY]",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-17,endffac0563af542049ec8e89fb53065ba,en,38、INT. ESTHER'S BEDROOM - DAY ; 31、EXT. HOME FOR GIRLS - DAY. ; 43、INT. ESTHER'S BEDROOM - DAY,What pivotal event sets in motion Esther and Kate's transition toward domestic collaboration and departure from the facility?,Esther Enters and Approaches the Remodeled Nursery,"After the nursery is remodeled, Esther's entrance and approval of the space marks a shift in her engagement, signaling acceptance and a new phase in her relationship with Kate. This moment catalyzes their shared domestic planning, physical closeness, and eventual departure from the facility together.",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-18,endffac0563af542049ec8e89fb53065ba,en,14、INT. XATB AND JOHN'S BEDROOM - NIGHT ; 21、INT.JoHN'S CAR - NIGHT ; 14、INT. XATB AND JOHN'S BEDROOM - NIGHT,What pivotal event initiates the emotional arc leading to Kate's vulnerability and John's reassurance about their family responsibilities?,John and Kate Discuss Adopting a Child,"The conversation between John and Kate about adopting a child marks a critical shift in their relationship dynamics, setting in motion a series of emotional revelations. This moment introduces underlying tensions about parenthood and responsibility, which culminate in Kate confronting her emotional struggles and John offering reassurance about their children and future. [14、INT. XATB AND JOHN'S BEDROOM - NIGHT]",Narrative Progression
legacy-endffac0563af542049ec8e89fb53065ba-25,endffac0563af542049ec8e89fb53065ba,en,35、EXT. COLEMAN RESIDENCE - DAY ; 48、EXT. COLEMAN RESIDENCE - POOL - NIGHT -,"By the time Esther opens the sign language book and signs thank you, what has already taken place as the group approaches the house?",Kate leads the group toward the house holding the girls' hands,"Before the moment at the pool where Esther opens the sign language book and expresses gratitude through signing, the group is seen walking toward the Coleman residence during the day. Kate guides the children, holding the girls' hands as they approach, setting the stage for the later emotional exchange.",Temporal Reasoning
