id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-1,en1dc4afb3a651427dab550bf6ca68cfa5,en,24、INT. Morgan Cavendish'S LIVING ROOM - NIGHT,What role does Morgan Cavendish assert in relation to Cameron Ellison during their confrontation about Terry Adler?,protector/dependent,"Morgan Cavendish returns and remarks sarcastically that Terry Adler has many rare qualities, her tone edged with irritation. Cameron Ellison laughs it off, saying he can't believe she's jealous over a brief conversation with a young admirer. Morgan Cavendish snaps back that it wasn't ten minutes but twenty—or thirty—and that Terry Adler watches her constantly, studying the way she walks, talks, thinks, eats, and sleeps. Cameron Ellison defends Terry Adler, saying the girl is simply trying to emulate someone she looks up to. Morgan Cavendish grows sharper, insisting she has a right to protect what belongs to her, especially Cameron Ellison. He doesn't move to comfort her, saying instead that he's too angry. Morgan Cavendish retorts that his refusal to reassure her speaks of guilt. Cameron Ellison insists he won't be drawn into soothing her suspicions, but Morgan Cavendish stands her ground, her voice tight with resentment.",Character Understanding
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-10,en1dc4afb3a651427dab550bf6ca68cfa5,en,5、INT. Morgan Cavendish'S Maplewood Hospital - Harborview Plaza - NIGHT ; 9、INT. BOARDING GATE - LAGUARDIA - NIGHT,"What earlier action by Terry Adler establishes her deep personal investment in Morgan Cavendish’s career, making her move into the guest room a natural progression?",Terry Adler affirms she has attended every performance of the brass case,"During a quiet moment in Morgan Cavendish's Maplewood Hospital, Terry Adler declines a drink but reveals she has attended every performance of the brass case, explaining that the Riverside Warehouse is where she feels most alive. She recounts following the production from San Francisco to New York, driven by her profound connection to Morgan Cavendish’s work, particularly the transformative experience of seeing her perform for the first time. This demonstration of unwavering devotion and emotional investment sets the stage for her subsequent move into Morgan Cavendish’s home, framed not as an intrusion but as an inevitable step given her established presence in the periphery of Morgan Cavendish’s professional life.",Causal-Motivational Reasoning
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-11,en1dc4afb3a651427dab550bf6ca68cfa5,en,2、EXT. ALLEY - Harborview Plaza - NIGHT ; 42、INT. CUB ROOM - NIGHT,"What event enables Terry Adler’s presence in the Cub Room alongside Finley Adler, making her integration into the inner circle plausible?",Evan Brooks approaches the stage door and notices a recess in the wall,"Evan Brooks walks toward the stage door and passes a recess in the wall where Terry Adler is standing in the shadows. Terry Adler steps forward into the light, revealing herself, and after a brief exchange, Evan Brooks takes her arm and insists on introducing her to Morgan Cavendish, bringing her inside the Riverside Warehouse. This moment marks Terry Adler’s first physical entry into the world of the main characters, facilitated directly by Evan Brooks’s recognition and invitation, which establishes her legitimacy within the group and sets up her later appearance in the Cub Room with Finley Adler.",Causal-Motivational Reasoning
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-13,en1dc4afb3a651427dab550bf6ca68cfa5,en,19、INT. SECOND FLOOR LANDING AND STAIRS - NIGHT ; 82、INT. LOBBY AND FOYER - Harborview Plaza - DAY,How does Finley Adler's treatment of Quinn Hale evolve or remain consistent from their initial interaction through later scenes in the Riverside Warehouse?,"Finley Adler continues to guide and address Quinn Hale with familiar, paternal condescension","From the second-floor landing at night to the final scenes in the Riverside Warehouse lobby, Finley Adler consistently engages Quinn Hale as a Cameron Ellison associate, using terms like 'my dear' and physically guiding her, which reflects an ongoing dynamic in which he positions himself as a mentor-like figure. Though the relationship is not deeply personal, his behavior remains marked by a courteous yet patronizing familiarity, suggesting a stable, if superficial, social alignment throughout these sequences.",Role-Relation Continuity
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-14,en1dc4afb3a651427dab550bf6ca68cfa5,en,25、INT. Morgan Cavendish'S LIVING ROOM - NIGHT ; 79、INT. Morgan Cavendish'S LIVING ROOM - NIGHT,How does Morgan Cavendish's treatment of the Bennett Cavendish remain consistent from their first interaction to the final scene in her living room?,Morgan Cavendish continues to assert dominance over the Bennett Cavendish through coercive demands and condescension,"Across multiple scenes in Morgan Cavendish's living room, including early and late interactions, Morgan Cavendish consistently imposes her will on the Bennett Cavendish by demanding repeated performances of 'Liebestraum' against his objections, using her authority to override his resistance and responding to his concerns with dismissal and contempt, establishing a sustained adversarial dynamic rooted in power imbalance.",Role-Relation Continuity
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-15,en1dc4afb3a651427dab550bf6ca68cfa5,en,2、EXT. ALLEY - Harborview Plaza - NIGHT ; 2、EXT. ALLEY - Harborview Plaza - NIGHT ; 3、INT. Harborview Plaza - NIGHT,"What pivotal event sets in motion the sequence leading to Terry Adler's growing allegiance and the unfolding introductions among Evan Brooks, Terry Adler, and Morgan Cavendish at the Riverside Warehouse?",Evan Brooks Meets Terry Adler at the Stage Door,"The encounter between Evan Brooks and Terry Adler at the stage door initiates a chain of developments that propel Terry Adler into the inner circle of the Riverside Warehouse ensemble. This moment marks the first concrete connection between Terry Adler and the established characters, enabling her gradual integration and setting up the dynamics that will the brass case out as they arrive at the Riverside Warehouse and approach Morgan Cavendish's Maplewood Hospital. [2、EXT. ALLEY - Harborview Plaza - NIGHT]",Narrative Progression
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-16,en1dc4afb3a651427dab550bf6ca68cfa5,en,5、INT. Morgan Cavendish'S Maplewood Hospital - Harborview Plaza - NIGHT ; 5、INT. Morgan Cavendish'S Maplewood Hospital - Harborview Plaza - NIGHT ; 38、INT. Morgan Cavendish'S LIVING ROOM - DAY,What pivotal event sets in motion Morgan Cavendish's growing unease and the subsequent unraveling of her professional and personal dynamics?,Evan Brooks brings Terry Adler to meet Morgan Cavendish,"In the Maplewood Hospital at the Harborview Plaza, Evan Brooks introduces Terry Adler to Morgan Cavendish, marking the beginning of a shift in the interpersonal dynamics among the central characters. This encounter initiates a chain of developments that heighten tension, as Terry Adler's seemingly innocent admiration gradually infiltrates Morgan Cavendish's circle, prompting defensive reactions and exposing underlying vulnerabilities in her relationships with Evan Brooks, Cameron Ellison, and Lane Arden.",Narrative Progression
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-17,en1dc4afb3a651427dab550bf6ca68cfa5,en,"41、INT. LADIES' ROOM - STORK CLUB - NIGHT ; 41、INT. LADIES' ROOM - STORK CLUB - NIGHT ; 37、INT. LOBBY - ""21"" - DAY","What pivotal event sets in motion Evan Brooks's confrontation with Terry Adler and Finley Adler, leading to the unraveling of Terry Adler's deceptions?",Terry Adler confesses to Evan Brooks in the ladies' lounge,"In the Stork Club's ladies' room, Terry Adler admits the truth to Evan Brooks, exposing her fabricated Hollywood connections and deceptive persona. This confession becomes the catalyst for Evan Brooks's subsequent actions, directly prompting her to seek out Terry Adler and Finley Adler at the entrance and setting the stage for Finley Adler's confrontation with Terry Adler over her lies. [41、INT. LADIES' ROOM - STORK CLUB - NIGHT]",Narrative Progression
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-18,en1dc4afb3a651427dab550bf6ca68cfa5,en,5、INT. Morgan Cavendish'S Maplewood Hospital - Harborview Plaza - NIGHT ; 16、INT. Morgan Cavendish'S BEDROOM - DAY ; 5、INT. Morgan Cavendish'S Maplewood Hospital - Harborview Plaza - NIGHT,"What pivotal moment initiates Morgan Cavendish's engagement with Terry Adler, setting in motion their evolving dynamic?",Terry Adler Shares Her Journey to Morgan Cavendish's Riverside Warehouse,"In the Maplewood Hospital at the Harborview Plaza, Terry Adler recounts her personal journey to Morgan Cavendish, marking the first meaningful interaction between them. This moment shifts the narrative trajectory by establishing Terry Adler's presence in Morgan Cavendish's world, prompting Morgan Cavendish's curiosity, Evan Brooks's continued advocacy, and the subsequent unfolding of Terry Adler's integration into Morgan Cavendish's professional and personal circle. [5、INT. Morgan Cavendish'S Maplewood Hospital - Harborview Plaza - NIGHT]",Narrative Progression
legacy-en1dc4afb3a651427dab550bf6ca68cfa5-25,en1dc4afb3a651427dab550bf6ca68cfa5,en,2、EXT. ALLEY - Harborview Plaza - NIGHT ; 40、INT. CUB ROOM - STORK CLUB - NIGHT,"By the time the celebration is interrupted by a note, what has already taken place between Evan Brooks and Terry Adler?",Evan Brooks reassures Terry Adler about her appearance and asks for her full name,"Before the events in the Cub Room at the Stork Club unfold, Evan Brooks and Terry Adler share a moment outside the Harborview Plaza where Evan Brooks comforts Terry Adler about how she looks and inquires about her full name, establishing an early point of connection between them.",Temporal Reasoning
