id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-10,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,49、学校自行车棚|外|日 ; 50、游戏厅|内|日 ; 51、游戏厅外|外|黄昏,在游戏厅里小流氓当街拖走夏洛，这一冲突的直接导火索是什么更早发生的行为？,夏洛纠缠邱雅并卖掉她的车轮，引来陈凯替“弟妹”出头警告他离邱雅远点,游戏厅外陈凯明确说“邱雅是我弟妹，以后你离她远点”，说明小流氓找夏洛的直接原因是他此前在自行车棚围绕邱雅的一系列纠缠行为，包括卖掉邱雅车轮、试图借机送她回家。马冬梅吐口水和夏洛拍砖都发生在夏洛已经被拖出游戏厅之后，是后续升级而非被拖走的导火索。,Causal-Motivational Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-12,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,18、豪华酒店|内|日 ; 143、马冬梅家|内|夜,从[18、豪华酒店|内|日]到[143、马冬梅家|内|夜]，夏洛和马冬梅之间的关系如何演变？,从马冬梅单方面关心照护，发展为双方确立被集体见证的伴侣关系,在酒店场景中，马冬梅表现出对夏洛生活细节的关切并试图劝阻其冲动行为，虽有冲突但基础情感联结仍存；至结尾场景，二人共同处于象征婚姻的仪式中心，通过献唱、佩戴头冠与群体见证等行为，明确升华为公开的伴侣关系。演变过程体现从单向照护到双向情感确认的转变。,Role-Relation Continuity
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-13,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,6、酒店大堂|内|日 ; 134、【闪回】 134.教室里|内|日,从[6、酒店大堂|内|日]到[134、【闪回】 134.教室里|内|日]，夏洛对邱雅的情感态度与邱雅对夏洛的反应之间形成了怎样的转变？,夏洛持续单方面倾慕，邱雅从无感转为公开嫌弃,在酒店大堂等场景中，夏洛通过画外音和行动表现出对邱雅的长期暗恋与追求意图；而在闪回的教室场景中，邱雅以捂耳朵等动作明确表现出对夏洛示爱行为的反感，显示出两人情感状态的不对称变化。,Role-Relation Continuity
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-14,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,31、教室|日|内 ; 143、马冬梅家|内|夜,从[31、教室|日|内]到[143、马冬梅家|内|夜]，邱雅和马冬梅之间的关系如何演变？,从互助同桌发展为亲密朋友,两人最初因学习合作建立信任，成为互助同桌；中间曾出现短暂敌对；最终在马冬梅家中，邱雅为其戴婚纱头冠，表现出深厚情感联结，关系升华为亲密朋友。,Role-Relation Continuity
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-15,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,3、酒店大门|外|日 ; 3、酒店大门|外|日 ; 4、酒店大堂|内|日,哪个事件触发了后续夏洛解释豪车绕行、步入酒店时陷入回忆，以及风衣亮相却与司仪撞衫的一系列发展？,夏洛乘奔驰抵达并与老同学重逢,该场景中，夏洛以驾驶奔驰亮相的方式重返旧地，与昔日同窗重新建立联系，这一出场不仅引发众人反应，也激活了其个人记忆与身份焦虑，成为后续情节推进的起点。,Narrative Progression
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-16,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,49、学校自行车棚|外|日 ; 50、游戏厅|内|日,哪一个事件成为后续夏洛劝说大春追求马冬梅、用学费买房并最终放弃学业追求爱情的叙事转折点？,大春在车棚表示马冬梅比邱雅好看，夏洛由此意识到大春喜欢马冬梅,在自行车棚里，大春说马冬梅比邱雅好看，夏洛随即追问“你不会是喜欢马冬梅了吧”，并露出狡猾眼神，转而请大春去打游戏。这一发现才使他在游戏厅系统性劝大春追马冬梅、放弃学业并用学费买房。,Narrative Progression
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-18,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,2、豪车|内|日 ; 4、酒店大堂|内|日 ; 11、婚礼会场|内|日,哪一个事件触发了夏洛后续进入酒店时的回忆、与司仪撞衫的尴尬，以及对豪车绕行的解释？,夏洛整理仪容时发现老同学,该事件发生在车内，夏洛在准备入场时意外认出老同学，这一发现打破了他原本从容的状态，引发了一系列连锁反应：进入酒店后情绪波动导致回忆涌现，登场时注意力分散造成与司仪撞衫的尴尬，同时也为他之后解释行车路线偏离提供了动机和背景。,Narrative Progression
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-26,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,7、校园操场|外|日 ; 49、学校自行车棚|外|日,在夏洛卖车轮买汽水被揭穿、反被马冬梅锁车之前，到了他在校园操场做广播体操时，已经发生了什么关键发展？,夏洛在做广播体操时瞥向邱雅,该事件发生在校园操场，是夏洛对邱雅产生关注的早期表现，早于后续因追求物质印象而引发的冲突，构成情感动机的铺垫。,Temporal Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-27,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,20、酒店奢华洗手间|内|日 ; 21、高中教室|内|日,在“夏洛在教室中认出梦境”之前，前面先发生了什么关键情节？,夏洛打开洗手间门走向高中课堂,夏洛在进入高中教室并意识到身处梦境之前，最后一个动作是从酒店奢华洗手间的门内走出，这一场景紧接其后便是她在教室中产生熟悉感并认出梦境。该动作构成对后续认知转折的时间铺垫。,Temporal Reasoning
legacy-ch264d4181722e2f969e974d0f57ae7dea83d4bef4-28,ch264d4181722e2f969e974d0f57ae7dea83d4bef4,zh,21、高中教室|内|日 ; 22、医院|内|日,“夏洛在教室当众强吻邱雅并陷入混乱”之后不久，夏洛随后意识到了什么？,夏洛从昏迷中醒来并发现自己受伤,情节从教室冲突直接推进到下一场景，夏洛出现在医院，意识恢复，身体状态显示受伤，表明事件在时间线上紧密衔接，属于顺承发展。,Temporal Reasoning
