id,movie_id,language,related_scenes,question,answer,related_context,question_type
1,en46a42bd9735146aab01614153446ad01,en,32 THE CLEARING - LATER THAT DAY 32,What does Zus commit to after inspecting the gun Tuvia brings back?,Make the bullets count,"Zus greets Tuvia with anger, criticizing him for returning with more people instead of food. He demands to know if they at least brought back a gun. Tuvia shows him the weapon, revealing there are only four bullets. Zus stares at the gun, then declares they will have to make the bullets count. He walks away toward the group gathered around the food.",Character Understanding
2,en46a42bd9735146aab01614153446ad01,en,15 THE SMALL FARMHOUSE 15,What does Zus aim to achieve through his confrontation with the farmer?,Secure the hidden rifle,"Zus enters the farmer's home and demands to know the location of his gun. When the farmer denies ownership, Zus escalates with violence—smashing a plate into his face, kicking him, and dumping food over him. He threatens further harm, forcing the terrified farmer to point to a rifle mounted above the stove. Zus retrieves it, aims it at the farmer, and issues a warning before leaving.",Character Understanding
3,en46a42bd9735146aab01614153446ad01,en,,What does Tuvia compel the Police Captain to do as an act of moral confrontation?,Kneel and face judgment,"Tuvia enters the room in the rain, pistol in hand, and advances on the Police Captain. He presses the gun to the Captain's forehead and demands he kneel. The Captain, silent and pale, begins to weep. Tuvia invokes the names of his parents, David and Beila Bielski, and recalls his murdered brothers and others, grounding his actions in a sense of retributive justice.",Character Understanding
4,en46a42bd9735146aab01614153446ad01,en,,What does Tuvia achieve through his confrontation with the Police Captain?,Avenges his family's murder,"Tuvia arrives at the Police Captain's home during a rainstorm, confronting him and his family at gunpoint. He demands recognition and accountability, accusing the Captain of complicity in the persecution and killing of Jews, including members of his own family. When the Captain deflects responsibility by claiming he was following orders and treating Tuvia's family fairly, Tuvia rejects his justification. After reciting the names of his slain relatives, he executes the Captain and his sons, ending their lives in retribution for his family’s deaths.",Character Understanding
5,en46a42bd9735146aab01614153446ad01,en,32 THE CLEARING - LATER THAT DAY 32,What action does Zus take upon Tuvia's return that establishes the scene's central conflict?,Criticizes Tuvia for bringing more people instead of food,"Zus confronts Tuvia immediately upon his return, expressing anger that he has brought additional people rather than securing food. He questions whether they obtained a weapon, and when Tuvia produces a gun with only four bullets, Zus emphasizes the need to make each bullet count before walking away toward the waiting group.",Scene Grounding
6,en46a42bd9735146aab01614153446ad01,en,11 THE NALIBOKI FOREST AT DAWN - VIEWED FROM ABOVE 11,What action marks Asael's response to Tuvia's return in the forest?,Embraces Tuvia upon seeing him,"When Tuvia returns to the forest camp, his presence is met with shock and relief. Asael immediately rises and throws his arms around Tuvia, clinging to him while sobbing about the death of their parents. Tuvia responds silently, holding both Asael and Aron. The moment is tense and intimate, broken only when Zus appears with a hatchet, questioning Tuvia before ultimately acknowledging his return by tossing him the family mezuzah.",Scene Grounding
7,en46a42bd9735146aab01614153446ad01,en,18 ANOTHER PART OF THE FOREST 18,What action by Zus sets the immediate conflict in the forest scene?,Voices concern about feeding the new survivors,"In the forest, Zus observes the survivors eating and expresses doubt that they can sustain them, creating tension about resource scarcity. This prompts Tuvia to decide on a course of action—seeking food and a pistol from Koscik—before departing, while Zus adds a sarcastic remark as he leaves.",Scene Grounding
8,en46a42bd9735146aab01614153446ad01,en,18 ANOTHER PART OF THE FOREST 18; 32 THE CLEARING - LATER THAT DAY 32,What event directly prompts Zus's confrontation with Tuvia over the strain of new arrivals and limited ammunition?,Aron leads survivors from the trees,"Aron emerges from the forest with a group of survivors, including a traumatized girl and her family, whom Tuvia and the others begin to assist. The arrival of these new people, combined with the visible toll of their suffering, introduces immediate pressure on the group's resources. This sets the stage for Zus's later outburst, in which he challenges Tuvia's priorities, demanding to know whether any weapons were acquired and expressing frustration over the growing burden on their supplies.",Causal-Motivational Reasoning
9,en46a42bd9735146aab01614153446ad01,en,13 LATER - THE NALIBOCKI FOREST - A LOAF OF STALE BREAD 13; 13 LATER - THE NALIBOCKI FOREST - A LOAF OF STALE BREAD 13,What earlier suggestion creates the conditions for Asael to assert the brothers' forest expertise and Tuvia to yield to their plan?,Zus suggests raiding Wilencki's farm,"Facing hunger and cold, the group debates how to obtain food. Asael finds little to eat and cannot light a fire. When Tuvia questions their options, Zus proposes raiding Wilencki’s farm, insisting they will take what they need despite the risks. Asael supports the plan by emphasizing their knowledge of the forest, which becomes the key justification for proceeding. Tuvia remains silent but acquiesces, marking a shift in leadership dynamics among the brothers.",Causal-Motivational Reasoning
10,en46a42bd9735146aab01614153446ad01,en,12 ASAEL AND ARON SLEEP HUDDLED ON THE GROUND 12; 18 ANOTHER PART OF THE FOREST 18,What exchange creates the tension that leads to the brothers' conflict over acquiring weapons for the resistance?,Zus questions Tuvia's return and intentions,"When Tuvia returns, Zus confronts him while eating, scrutinizing his motives and pressing for a plan, which Tuvia fails to provide. The unresolved tension from this encounter resurfaces during a later discussion about arming themselves, when Zus insists on obtaining rifles and machine guns, clashing with Tuvia's more cautious stance.",Causal-Motivational Reasoning
