id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en84ff0693fcff4a248aac61e40934aab5-11,en84ff0693fcff4a248aac61e40934aab5,en,15、EXT. Westhaven Heights ; 17、EXT. SNOWY HILL,What event immediately before the sledding accident establishes Cameron Hayes's influence on the unfolding adventure?,Cameron Hayes arrives and skates across the Westhaven Heights,"Cameron Hayes's arrival and skate across the Westhaven Heights initiate his presence in Spencer Dalton's world, setting the stage for his later claim of responsibility. His sudden appearance disrupts Spencer Dalton's solitary moment, drawing attention to the book about mythical creatures and establishing a connection between Cameron Hayes and the onset of extraordinary events. This interaction primes the narrative for Cameron Hayes's subsequent assertion of agency during the sledding incident, where the physical consequences—Spencer Dalton losing a Shawn Cavendish—become attributed to Cameron Hayes's influence rather than chance.",Causal-Motivational Reasoning
legacy-en84ff0693fcff4a248aac61e40934aab5-12,en84ff0693fcff4a248aac61e40934aab5,en,8、INT. Shawn Cavendish'S PALACE ; 117、EXT. Westhaven Heights - NIGHT,What specific role-based relationship between Avery Hayes and Shawn Cavendish remains consistent from their first joint response to the Aurora Signal through their final confrontation with Quinn Whitaker?,fellow Silverline Collective who back each other in crises,"Avery Hayes and Shawn Cavendish are shown as trusted allies throughout the narrative, beginning with Shawn Cavendish's immediate response to Avery Hayes's Aurora Signal in her palace [scene 9] and continuing through their coordinated actions during the confrontation at the Westhaven Heights [scene 118]. Their relationship is consistently marked by mutual trust and cooperation as fellow Silverline Collective, with multiple interactions reinforcing this dynamic, including Avery Hayes including Shawn Cavendish in urgent strategy discussions and expressing concern for her well-being.",Role-Relation Continuity
legacy-en84ff0693fcff4a248aac61e40934aab5-13,en84ff0693fcff4a248aac61e40934aab5,en,31、INT. Shawn Cavendish PALACE - A MOMENT LATER ; 117、EXT. Westhaven Heights - NIGHT,How does Cameron Hayes's relationship to Quinn Whitaker evolve from their initial confrontation through the later scenes involving the the paper notebook?,Cameron Hayes consistently treats Quinn Whitaker as an adversary,"From the moment Quinn Whitaker mocks Cameron Hayes at the Shawn Cavendish Palace, their dynamic is defined by antagonism, with Cameron Hayes responding defensively and later resolving to confront Quinn Whitaker after learning he stole his memories. This adversarial stance persists as Cameron Hayes pursues Quinn Whitaker's the paper notebook and directly accuses him of spreading fear, maintaining a clear opposition throughout the sequence.",Role-Relation Continuity
legacy-en84ff0693fcff4a248aac61e40934aab5-14,en84ff0693fcff4a248aac61e40934aab5,en,34、INT. Shawn Cavendish PALACE - LAGOON - MOMENTS LATER ; 111、EXT. Maplewood Station - NIGHT - CONTINUOUS,How does Jonah Adler's relationship with Quinn Whitaker evolve from their initial confrontation to the Maplewood Station?,Jonah Adler continues to engage Quinn Whitaker as an active adversary through direct combat,"From the lagoon beneath the Shawn Cavendish Palace to the Maplewood Station, Jonah Adler consistently acts against Quinn Whitaker as a direct opponent. In early encounters, Jonah Adler joins Silverline Collective responding to Quinn Whitaker's assault, and his actions align with resisting Quinn Whitaker's goals. Later, in Maplewood Station, Jonah Adler physically attacks Quinn Whitaker to protect Cameron Hayes, using dream sand and forceful strikes. Throughout, their interactions remain combative, with no indication of truce or shift in stance, confirming an enduring adversarial dynamic driven by active opposition.",Role-Relation Continuity
legacy-en84ff0693fcff4a248aac61e40934aab5-15,en84ff0693fcff4a248aac61e40934aab5,en,24、INT. Avery Hayes'S LIBRARY - DAY ; 26、INT. Avery Hayes'S OFFICE - A MOMENT LATER ; 26、INT. Avery Hayes'S OFFICE - A MOMENT LATER,"What pivotal event initiates the sequence in which Avery Hayes confronts Cameron Hayes in his office, challenges him to find his center, and reveals his nesting dolls?",Cameron Hayes's Arrival and Silverline Collective' Welcome,"The sequence leading to Avery Hayes's confrontation with Cameron Hayes begins with Cameron Hayes's arrival at the Eastgate Hospital and Silverline Collective' formal welcome, establishing the conditions for Cameron Hayes's integration into the group and setting in motion Avery Hayes's efforts to guide him toward self-discovery. This event marks the shift from Cameron Hayes's isolation to active engagement with Silverline Collective, directly enabling the subsequent scenes in Avery Hayes's office. [24、INT. Avery Hayes'S LIBRARY - DAY]",Narrative Progression
legacy-en84ff0693fcff4a248aac61e40934aab5-17,en84ff0693fcff4a248aac61e40934aab5,en,15、EXT. Westhaven Heights ; 16、EXT. Spencer Dalton'S BACKYARD - DAY ; 16、EXT. Spencer Dalton'S BACKYARD - DAY,"What pivotal event initiates the sequence in which Spencer Dalton opens the secret plank, Cameron Hayes creates a magical snowball, and Spencer Dalton is sent on a runaway sled ride?",Cameron Hayes Lands and Meets Spencer Dalton by the Westhaven Heights,"The story shifts into motion when Cameron Hayes arrives at the Westhaven Heights and encounters Spencer Dalton, establishing their connection and setting in motion a series of magical and consequential actions. This initial meeting unlocks the core dynamics between the characters and activates the plotline involving the secret plank, the enchanted snowball, and the sled ride. [15、EXT. Westhaven Heights]",Narrative Progression
legacy-en84ff0693fcff4a248aac61e40934aab5-18,en84ff0693fcff4a248aac61e40934aab5,en,16、EXT. Spencer Dalton'S BACKYARD - DAY ; 16、EXT. Spencer Dalton'S BACKYARD - DAY ; 19、EXT. ROOF OF Spencer Dalton'S HOUSE - CONTINUOUS,"What pivotal event sets off Cameron Hayes's engagement with the children, his confrontation with Wesley Vaughn, and his decision to take Spencer Dalton on a sled ride?",Cameron Hayes Creates a Magical Snowball,"In the backyard, Cameron Hayes crafts a magical snowball that reignites his sense of purpose and directly triggers his interactions with the children, leading to a chain of actions including mocking Wesley Vaughn, seeking guidance from Westhaven Theater, and launching Spencer Dalton on an exhilarating sled ride through town. [16、EXT. Spencer Dalton'S BACKYARD - DAY]",Narrative Progression
legacy-en84ff0693fcff4a248aac61e40934aab5-25,en84ff0693fcff4a248aac61e40934aab5,en,0、EXT. Westhaven Heights - NIGHT ; 13、EXT. ST. PETERSBURG - NIGHT,"By the time Cameron Hayes takes flight, what has already happened to him at the Westhaven Heights?",Cameron Hayes emerges from underwater through an ice hole,"Before Cameron Hayes can take flight over St. Petersburg, he must first emerge from a Westhaven Heights, having surfaced through a hole in the ice under the cover of night. This moment marks his physical arrival into the world, setting the stage for his subsequent journey.",Temporal Reasoning
legacy-en84ff0693fcff4a248aac61e40934aab5-26,en84ff0693fcff4a248aac61e40934aab5,en,12、INT. Eastgate Hospital - NIGHT ; 24、INT. Avery Hayes'S LIBRARY - DAY,"By the time Cameron Hayes rejects the Guardian induction, what has already taken place when moonlight reveals a hidden symbol and raises a gem-tipped pillar?",Moonlight reveals ornate symbol and raises gem-tipped pillar,"In the Eastgate Hospital at night, moonlight streams onto the floor, illuminating an ornate symbol and triggering the rise of a gem-tipped pillar, a pivotal event that precedes Cameron Hayes's later refusal of the Guardian role in Avery Hayes's library.",Temporal Reasoning
legacy-en84ff0693fcff4a248aac61e40934aab5-27,en84ff0693fcff4a248aac61e40934aab5,en,23、EXT. Maplewood Station - NIGHT - CONTINUOUS ; 24、INT. Avery Hayes'S LIBRARY - DAY,"What occurs just before Cameron Hayes faces Silverline Collective, following a brief shift in setting?",Wesley Vaughn greets Cameron Hayes from off-screen,"Shortly after Cameron Hayes moves from the Maplewood Station to Avery Hayes's library, he is confronted by Silverline Collective. Immediately prior to this confrontation, in the preceding scene, Wesley Vaughn calls out to Cameron Hayes from off-screen as they meet in the clearing, setting up the tension that unfolds in the next location.",Temporal Reasoning
