id,related_scenes,question,answer,related_context,question_type,question_source
1,20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS,"In [20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS], What is Jack's emotional state when he sees the Dreamsand?",Smiling with relief,"Jack turns and looks up, a smile now on his lips.",Character Understanding,broad_coverage_scene
2,31、EXT. SKY - NEAR TOOTH'S PALACE,What action does Jack take to rescue Baby Tooth?,Leaps into the air and rescues it before the Nightmare can snatch it away,Jack leaps into the air and rescues it before the Nightmare can snatch it away,Scene Grounding,broad_coverage_scene
3,65、INT. NORTH POLE - GLOBE ROOM - DAY - MOMENTS LATER,What caused North to declare Jack a Guardian?,Jack stood up to Pitch and saved them.,North: 'You stood up to Pitch. You saved us.',Causal-Motivational Reasoning,broad_coverage_scene
4,20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS,"In [20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS], What is Jack's emotional state when he looks at the moon?",Pensive and frustrated,"Jack flips onto the roof, a little pensive. ... turns away in frustration.",Character Understanding,broad_coverage_scene
5,36、EXT. SHANGHAI ROOFTOPS - NIGHT,What happens to Tooth after she becomes overwhelmed?,Tooth smacks into a toothpaste billboard and then zooms in on a little girl's bedroom window.,"Tooth, overwhelmed, jets off without paying attention and SUDDENLY -- THOOMP -- she smacks into a TOOTHPASTE BILLBOARD. Tooth gasps and her eyes go wide -- she FLIES to the window, excited.",Scene Grounding,broad_coverage_scene
6,18、EXT. SNOWY HILL,"In [18、EXT. SNOWY HILL], How does Pippa's facial expression change after she is hit by a snowball?",a mischievous sparkle,Pippa's face changes - a mischievous sparkle.,Character Understanding,broad_coverage_scene
7,56、INT. PITCH'S LAIR - NIGHT,"In [56、INT. PITCH'S LAIR - NIGHT], What does Pitch create from the nightmare sand?",A crude image of the SANDMAN,A strand of NIGHTMARE SAND...turning it into a crude image of the SANDMAN.,Scene Grounding,broad_coverage_scene
8,19、INT. JAMIE'S BEDROOM - NIGHT,"In [19、INT. JAMIE'S BEDROOM - NIGHT], What is Sophie's emotional state when she urges Jamie to hide?",She is crazed.,"SOPHIE (CRAZED) and her repeated 'Hide, hide, hide, hide!'",Character Understanding,broad_coverage_scene
9,13、INT. GLOBE ROOM - NIGHT,What does North believe about the urgency of the situation?,He believes it was serious enough to call everyone.,"I know, I know, but I obviously wouldn't have called you all here unless it was serious.",Character Understanding,broad_coverage_scene
10,29、EXT. SLEIGH - FLYING THROUGH THE SKY - CONTINUOUS,Why does Bunnymund express regret about the route?,Because North chose a shortcut instead of the tunnels.,Bunny says 'I knew we should have taken the tunnels' after North says he knows a shortcut.,Causal-Motivational Reasoning,broad_coverage_scene
11,36、EXT. SHANGHAI ROOFTOPS - NIGHT,How does North move between chimneys?,"North jumps into one chimney, shoots out of another, and emerges with a bang from a third.","North jumps into one chimney, then shoots out of another across the way. North disappears down yet another chimney only to emerge with a bang out the top of another.",Scene Grounding,broad_coverage_scene
12,26、INT. TOY FACTORY - NORTH POLE - DAY,"In [26、INT. TOY FACTORY - NORTH POLE - DAY], What is North's emotional state when he enters the factory?",Angry and peeved,"North storms through factory floor, Jack trying to keep up. (peeved - still rushing)",Character Understanding,broad_coverage_scene
13,26、INT. TOY FACTORY - NORTH POLE - DAY,"In [26、INT. TOY FACTORY - NORTH POLE - DAY], What is North's role in the factory?",Overseer of factory operations,"North gives orders to yeti, directs elves, and supervises activities",Character Understanding,broad_coverage_scene
14,28、INT. LAUNCHING SHED - A MOMENT LATER,"In [28、INT. LAUNCHING SHED - A MOMENT LATER], What is Bunny's emotional state when boarding the sleigh?",Frozen and terrified,"Bunny is frozen and unnerved... Bunny clutches the edge of his, terrified.",Character Understanding,broad_coverage_scene
15,37、INT. BOY'S BEDROOM - NIGHT,"In [37、INT. BOY'S BEDROOM - NIGHT], What is Jack's personality trait as described in the passage?",Cocksure,"Jack, cocksure, arrives outside an open window",Character Understanding,broad_coverage_scene
16,2、EXT. BURGESS SETTLEMENT - TOWN CENTER - CONTINUOUS,What does Jack say about his name?,My name is Jack Frost. The moon told me so.,JACK (V.O.) My name is Jack Frost -- how do I know that? The moon told me so.,Character Understanding,broad_coverage_scene
17,28、INT. LAUNCHING SHED - A MOMENT LATER,"In [28、INT. LAUNCHING SHED - A MOMENT LATER], What is Jack's emotional state when he sees the sleigh?",Gob-smacked and surprised,"Jack is understandably gob-smacked, so much so that he almost gets knocked over by one of the reindeer.",Character Understanding,broad_coverage_scene
18,65、INT. NORTH POLE - GLOBE ROOM - DAY - MOMENTS LATER,Why are the lights on the globe going out?,Fear has tipped the balance.,Jack: 'It's fear. He's tipped the balance.',Causal-Motivational Reasoning,broad_coverage_scene
19,59、EXT. DOWNTOWN BURGESS - CONTINUOUS,"In [59、EXT. DOWNTOWN BURGESS - CONTINUOUS], What object does Jack use to hit the Nightmare?",His staff,Jack whips a blast from his staff and HITS the Nightmare,Scene Grounding,broad_coverage_scene
20,21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS,"In [21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS], What is Pitch's emotional state after creating the nightmare?",Delighted.,"Pitch snickers, delighted.",Character Understanding,broad_coverage_scene
21,11、INT. EGG TUNNEL,How does the dimly-lit figure navigate the tunnels?,Races at blinding speed while leaping and zigzagging,"Speeding along through a subterranean tunnel, we can barely keep up with a DIMLY-LIT FIGURE as it races at blinding speed, leaping and zigzagging through a series of TUNNELS --",Scene Grounding,broad_coverage_scene
22,25、INT. NORTH'S LIBRARY - DAY,"In [25、INT. NORTH'S LIBRARY - DAY], What is Bunny's behavioral state?",Grumbling with arms crossed.,"Bunny stands off to the side, grumbling with his arms crossed.",Character Understanding,broad_coverage_scene
23,17、EXT. JAMIE'S BACKYARD - DAY,What does Jack say about the Easter Bunny?,"He's real, annoying, grumpy, and full of himself.","Oh he's real alright. Real annoying, real grumpy, and really full of himself.",Character Understanding,broad_coverage_scene
24,35、INT. TOOTH PALACE - LAGOON - MOMENTS LATER,How does the water react when Jack walks across it?,The water freezes under his feet,"Tooth leads Jack across the pond, the water freezing under his feet as he walks",Scene Grounding,broad_coverage_scene
25,34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,"In [34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS], What happens to Pitch after children run through him?",Pitch slips back into the shadows.,"Pitch, thinner and weaker... slips back into the shadows after children run through him.",Scene Grounding,broad_coverage_scene
26,55、EXT. SKYLINE - NIGHT,"In [55、EXT. SKYLINE - NIGHT], What object do the Guardians use to disappear?",Snowglobe portal,The Guardians... disappear through a snowglobe portal,Scene Grounding,broad_coverage_scene
27,33、EXT. VILLAGE - NIGHT - FLASHBACK,How does Pitch appear when revealed on the mountain?,Smiling as he stares up at the moon.,"Pitch, smiling as he stares up at the moon.",Scene Grounding,broad_coverage_scene
28,17、EXT. JAMIE'S BACKYARD - DAY,What does Jamie claim about Big Foot?,He says hair samples and DNA were found in Michigan.,"It says here that they found Big Foot hair samples and DNA, in Michigan. That's like, super close!",Character Understanding,broad_coverage_scene
29,6、EXT. NORTH POLE - CONTINUOUS,When does the Guardians' Call go out?,For the first time in decades,"for the first time in decades, the GUARDIANS' CALL GOES OUT!",Temporal Reasoning,broad_coverage_scene
