id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-11,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,24、洞子火锅店，夜，内 ; 44、洞子火锅店，夜,在刘波决定自首之前，哪个关键冲突暴露了团队内部的裂痕，促使他情绪彻底失控？,眼镜当众指责刘波和许东长期忽视火锅店经营,在火锅店的对峙中，眼镜对刘波的指责引发了刘波激烈的情绪反应，许东也陷入崩溃，这一冲突使刘波意识到自己行为的后果和对同伴的影响，成为他最终选择独自承担责任的心理转折点。,Causal-Motivational Reasoning
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-12,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,9、金库门口，日，内 ; 67、医院天台上，日，外,从初始通过他人传话催促行动，到最终共同参与决策与情感共鸣，刘波与许东之间的角色关系经历了怎样的具体转变？,从单向指令的接收者与发出者转变为共同经营者与亲密伙伴,关系始于许东通过眼镜传达指令，体现上下级式的单向沟通，后经多次互动发展为共同经营火锅店并建立情感联结，最终在天台场景中表现为平等协作与信任的伙伴关系。,Role-Relation Continuity
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-13,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,19、街道，夜，外 ; 67、医院天台上，日，外,从[19、街道，夜，外]到[67、医院天台上，日，外]，于小慧和刘波之间的互动关系经历了怎样的转变？,从最初的震惊回避发展为共同行动的协作关系,刘波在初闻于小慧名字时表现出震惊与迟疑，随后在火锅店场景中持续回避交流，显示双方存在情感对立；但后续于小慧主动提出计划，刘波认真回应并参与其活动，最终在天台共同唱歌跳舞，表明已建立基于信任的协作关系。,Role-Relation Continuity
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-14,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,1、重庆市，日，外 ; 53、银行大厅，日，内,从[1、重庆市，日，外]到[53、银行大厅，日，内]，唐僧和沙僧之间的协作关系具体体现为什么样的分工模式？,唐僧指挥行动，沙僧听从指令并执行任务,从初始场景到银行劫持的多个关键节点中，唐僧始终处于决策和发令位置，沙僧则持续响应其指令，参与封锁、押送等具体行动，表明二人维持着稳定的指挥与执行分工。,Role-Relation Continuity
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-16,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,26、火锅店门口，夜，外 ; 41、刘波家，日，外 ; 37、洞子火锅店，夜，外,哪一个事件标志着刘波情绪与行动方向发生根本转变，从而串联起他后续回家寻找外公、关店以及决定自首的一系列行为？,刘波站在原地，神情失落,该场景中刘波目送眼镜离开后独自伫立，神情失落，表现出其心理支撑崩塌的瞬间。这一状态成为后续一系列被动转向主动承担责任行为的内在驱动力，是情感累积与剧情转向的枢纽点。,Narrative Progression
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-17,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,23、超市，日，内 ; 23、超市，日，内 ; 31、地铁站台，日，外,哪个事件构成了刘波后续追问于小慧帮忙原因并最终神情失落的叙事转折点？,刘波在超市试图引起于小慧注意,该场景中，刘波主动尝试与于小慧互动但未获积极回应，为其后续追问动机及情感受挫埋下伏笔，是推动情节由日常接触转向情感张力升级的关键动作。,Narrative Progression
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-18,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,11、修理厂，日，内 ; 11、修理厂，日，内 ; 23、超市，日，内,在修理厂场景中，哪一个事件标志着七哥与刘波之间债务压力从隐性紧张转向公开威胁，并直接引发后续鱼头象征性暴力与电话恐吓的连锁发展？,七哥在走廊买鱼时向刘波催债,该事件首次将七哥的经济索求转化为具象行动与言语压迫，使原本潜伏的债务矛盾升级为直接冲突，为后续象征性暴力（砍鱼头）和人身威胁（电话恐吓）提供了叙事动因。,Narrative Progression
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-25,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,11、修理厂，日，内 ; 43、洞子火锅店，夜,到了七哥在洞子火锅店击倒刘波夺走书包时，此前在修理厂已发生的那个关键动作是什么？,刘波从汽车修理厂走向走廊,该动作发生在修理厂场景，是刘波移动路径的起点，早于火锅店冲突32个场景，构成后续遭遇的空间铺垫。,Temporal Reasoning
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-26,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,48、洞子火锅店，日，内 ; 49、金库，日，内,在“刘波击晕孙悟空并质问眼镜”之前，刘波先采取了什么关键行动？,匆忙返回店铺并报告钱库被抢,刘波在前往金库 confrontation 之前，曾回到火锅店向同伴通报钱库遭劫的情况，这一举动为他后续追责孙悟空提供了动机和信息基础，情节上构成直接铺垫。,Temporal Reasoning
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-27,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,33、刘波家，日，内 ; 34、楼道里，日，外,“刘波与七哥在客厅会面后离开家”之后不久，刘波随后意识到了什么？,刘波靠墙喘息并发现外公在场,刘波离开客厅后随即进入楼道场景，情节连续推进，中间无插入事件，动作与情境自然衔接，显示时间上的紧密顺承。,Temporal Reasoning
legacy-chc287cf500dba3fdc512a55d138da55aa1b4d72c5-28,chc287cf500dba3fdc512a55d138da55aa1b4d72c5,zh,15、洞子火锅店，日，内 ; 16、银行金库，夜，内,“许东与刘波谈论眼镜离开和转行打算”之后不久，许东接下来做了什么？,许东提议炸毁洞口以争取逃跑时间,许东在与刘波对话后很快进入银行金库场景，随即提出炸毁洞口的计划，情节紧凑，动作延续性强，显示其从退意转向激烈应对的转折。,Temporal Reasoning
