id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enf689530f4ca245d28318dd0fdb24c50d-10,enf689530f4ca245d28318dd0fdb24c50d,en,"24、EXT. THE BACK OF AN OLD Eastgate Warehouse HOUSE - NIGHT, ; 25、INT. Eastgate Warehouse, Eastgate Warehouse - NIGHT,",What motivates Carson Arden to hide Rowan Hayes under the stairs?,Sage Hollis expresses concern about harming Rowan Hayes,"After accidentally stepping on Rowan Hayes and recoiling in shock, Sage Hollis voices worry that he may have injured it and suggests leaving the infant for the police. Carson Arden, in contrast, picks up the crying child and carries it into the house, with Sage Hollis following hesitantly. His visible anxiety and discomfort signal a threat to Rowan Hayes’s safety, creating pressure to conceal it quickly once inside. This leads Carson Arden to hide Rowan Hayes in a small room beneath the stairs when she hears someone calling for her.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-11,enf689530f4ca245d28318dd0fdb24c50d,en,"24、EXT. THE BACK OF AN OLD Eastgate Warehouse HOUSE - NIGHT, ; 24、EXT. THE BACK OF AN OLD Eastgate Warehouse HOUSE - NIGHT,",What action directly prompts Carson Arden to take Rowan Hayes inside?,Adrian Thorne leaves his Jamie Rivers on the back porch,"Adrian Thorne arrives at an old three-story house with a screened porch, the sound of voices and laughter spilling from inside. Rowan Hayes, calmed by the soft yellow light and the murmur of conversation, stops crying. Adrian Thorne sets the infant down on the back porch steps, then takes out all the money he has and tucks it into the blanket. He knocks on the weathered screen door and, without waiting, turns and walks away, leaving Rowan Hayes behind. Shortly after, Sage Hollis steps on Rowan Hayes and stumbles back in shock, initially suggesting they call the police. Carson Arden, observing the child wrapped in the blanket, remarks that no one wanted to keep it, then silently picks up the crying infant and carries it into the house.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-12,enf689530f4ca245d28318dd0fdb24c50d,en,"20、INT. MASTER BEDROOM, the wooden box HOUSE - NIGHT ; 20、INT. MASTER BEDROOM, the wooden box HOUSE - NIGHT",What event immediately precipitates Adrian Thorne's prolonged kneeling beside his wife's body in the silent aftermath of her passing?,Doctor informs Adrian Thorne of his wife's critical condition,"In the master bedroom late at night, Adrian Thorne arrives to find his wife pale and struggling, surrounded by the doctor and household staff. The doctor tells him she will not survive, and moments later, she dies in his arms. After her death, the room falls into solemn stillness as the priest begins to pray and the maids weep. Adrian Thorne remains on his knees, gripping her hand, immobilized by the weight of her final moments and his own helplessness, as the doctor covers her body and the reality of her absence settles in.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-13,enf689530f4ca245d28318dd0fdb24c50d,en,"11、INT. Eastgate Warehouse - DAY, ; 12、EXT. BATTLEFIELD - DAY,",What event directly enables the reversal of death and destruction on the battlefield?,Crowd realizes the clock is moving backwards in time,"During the unveiling of the clock at the Eastgate Warehouse, Morgan Grayson reveals the timepiece and winds it, causing the second hand to move counterclockwise. As the crowd reacts with shock, Morgan Grayson explains that he designed it this way with the hope that soldiers lost in the war could return to life and go home, establishing the mechanism and intent behind the temporal reversal that later manifests on the battlefield.",Causal-Motivational Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-15,enf689530f4ca245d28318dd0fdb24c50d,en,"28、INT. Carson Arden'S ROOM - THAT NIGHT, ; 29、Eastgate Warehouse - THAT NIGHT, ; 29、Eastgate Warehouse - THAT NIGHT,",What pivotal event shifts the narrative toward the confrontation with the elders and the decision about the child's fate?,Carson Arden Reveals Rowan Hayes's Origin and Pleads for His Stay,"In the aftermath of Robin Mercer's arrival, tension builds around his place within the community. Carson Arden's private reckoning culminates in a decisive moment where she discloses the child's mysterious origins and makes an impassioned appeal for his acceptance, directly precipitating the subsequent gathering in which the elders are presented with the reality of his presence and must respond. This disclosure serves as the narrative hinge that activates the next sequence of communal deliberation and emotional confrontation. [28、INT. Carson Arden'S ROOM - THAT NIGHT,]",Narrative Progression
legacy-enf689530f4ca245d28318dd0fdb24c50d-16,enf689530f4ca245d28318dd0fdb24c50d,en,"29、Eastgate Warehouse - THAT NIGHT, ; 29、Eastgate Warehouse - THAT NIGHT, ; 35、INT. Carson Arden'S ROOM - NIGHT,","What pivotal event sets in motion the interactions between Robin Mercer and the elders, leading to their growing connection and tension over his desires?",Carson Arden Presents Robin Mercer to the Old People,"In Eastgate Warehouse of Eastgate Warehouse that night, Carson Arden formally introduces Robin Mercer to the elderly residents, marking his first meaningful integration into their world. This moment shifts the narrative trajectory by establishing the dynamics between Robin Mercer and the group, directly enabling subsequent scenes of bonding, conflict, and emotional restraint as Robin Mercer begins to assert his independence.",Narrative Progression
legacy-enf689530f4ca245d28318dd0fdb24c50d-17,enf689530f4ca245d28318dd0fdb24c50d,en,"24、EXT. THE BACK OF AN OLD Eastgate Warehouse HOUSE - NIGHT, ; 25、INT. Eastgate Warehouse, Eastgate Warehouse - NIGHT, ; 29、Eastgate Warehouse - THAT NIGHT,",What event sets in motion the chain of revelations involving Rowan Hayes's presence and the group's reaction to Robin Mercer?,Sage Hollis and Carson Arden Find Rowan Hayes on the Porch,"The discovery of Rowan Hayes on the porch by Sage Hollis and Carson Arden initiates a series of consequential actions, leading directly to Carson Arden hiding the infant, introducing Robin Mercer to the group, and Sage Hollis observing the interaction with growing skepticism. This moment disrupts the existing domestic equilibrium and introduces the central tension around the child’s origin and place within the household. [24、EXT. THE BACK OF AN OLD Eastgate Warehouse HOUSE - NIGHT]",Narrative Progression
legacy-enf689530f4ca245d28318dd0fdb24c50d-25,enf689530f4ca245d28318dd0fdb24c50d,en,"17、INT. Lakeview School - MORNING, PRESENT ; 31、INT. Lakeview School, Eastgate Warehouse - DAY, PRESENT","By the time Finley Hayes examines the red watch, what has she already done that sets the moment in motion?",Retrieved an old envelope from Darian Wilder's suitcase,"In Lakeview School, Finley Hayes retrieves an old envelope from Darian Wilder's suitcase before sitting down to examine the red watch's contents. This action precedes her deeper engagement with the red watch and provides the physical catalyst for the subsequent scene of reflection and discovery.",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-26,enf689530f4ca245d28318dd0fdb24c50d,en,"26、INT. Carson Arden'S ROOM, Eastgate Warehouse, Eastgate Warehouse - NIGHT ; 28、INT. Carson Arden'S ROOM - THAT NIGHT,","By the time Carson Arden and Harper Everett argue over Rowan Hayes's future, what has already occurred?",Harper Everett arrives for his visit,"Harper Everett's arrival is established in an earlier scene at Carson Arden's room in Eastgate Warehouse, where his presence initiates the chain of interactions leading to their confrontation about Rowan Hayes. The argument unfolds later that same night, building directly on the circumstances set in motion by his arrival.",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-27,enf689530f4ca245d28318dd0fdb24c50d,en,"6、EXT. Eastgate Warehouse - DAY, ; 7、INT. WORKSHOP BELOW THE CLOCKMAKER'S HOME - NIGHT,",Which scene immediately precedes the one where Morgan Grayson learns of his son's death?,"6、EXT. Eastgate Warehouse - DAY,","The scene in which Morgan Grayson waves goodbye to his son occurs directly before the scene where he learns of his son's death, with no intervening scenes between them.",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-28,enf689530f4ca245d28318dd0fdb24c50d,en,"47、INT. Eastgate Warehouse, Eastgate Warehouse - ANOTHER TIME, ; 48、INT. DINING ROOM, Eastgate Warehouse - ANOTHER DAY,",What occurs just before Robin Mercer follows Evan Arden outside?,Evan Arden senses Robin Mercer's presence and turns,"In Eastgate Warehouse of Eastgate Warehouse, shortly after Robin Mercer retreats upstairs, Evan Arden becomes aware of his presence and turns in response. This moment immediately precedes Robin Mercer’s decision to follow Evan Arden outside, setting up the transition between interior tension and the unfolding confrontation outdoors.",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-29,enf689530f4ca245d28318dd0fdb24c50d,en,"21、EXT. Eastgate Warehouse - NIGHT, ; 22、EXT. A BRIDGE, Eastgate Warehouse - NIGHT,",Which scene immediately precedes the moment Adrian Thorne nearly throws Rowan Hayes into the water?,"21、EXT. Eastgate Warehouse - NIGHT,","The scene '21、EXT. Eastgate Warehouse - NIGHT,' depicts Adrian Thorne carrying the Jamie Rivers through crowded streets and directly precedes '22、EXT. A BRIDGE, Eastgate Warehouse - NIGHT,' where he nearly throws Rowan Hayes into the water but pulls back. [21、EXT. Eastgate Warehouse - NIGHT,]",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-3,enf689530f4ca245d28318dd0fdb24c50d,en,"47、INT. Eastgate Warehouse, Eastgate Warehouse - ANOTHER TIME,",What does Robin Mercer realize upon hearing voices under the stairs?,Evan Arden is socializing with workers,"Robin Mercer lies on the floor near the stairs, playing with metal army men, when he hears Evan Arden's laugh and voice drifting up from beneath the stairs. He reaches for his canes, gets up, and moves slowly toward the sound. As he approaches, he sees Evan Arden standing in an alcove under the stairs with some of the other workers, speaking in a different tone, telling a story that draws laughter from the group. When Evan Arden turns and notices Robin Mercer, Robin Mercer begins to retreat, using his canes to make his way quickly back up the stairs.",Character Understanding
legacy-enf689530f4ca245d28318dd0fdb24c50d-30,enf689530f4ca245d28318dd0fdb24c50d,en,"28、INT. Carson Arden'S ROOM - THAT NIGHT, ; 29、Eastgate Warehouse - THAT NIGHT,",What happens immediately before Carson Arden brings Robin Mercer to Eastgate Warehouse to introduce him to the group?,Harper Everett examines Rowan Hayes on Carson Arden's bed,"28、INT. Carson Arden'S ROOM - THAT NIGHT,",Temporal Reasoning
legacy-enf689530f4ca245d28318dd0fdb24c50d-6,enf689530f4ca245d28318dd0fdb24c50d,en,"24、EXT. THE BACK OF AN OLD Eastgate Warehouse HOUSE - NIGHT,",What action initiates the pivotal moment in the scene set behind the old Eastgate Warehouse house?,Sage Hollis invites Carson Arden to come out back,"Sage Hollis pushes open the screen door and invites Carson Arden to step out back, offering her his hand. She takes it, smiling, and he backs out onto the porch. As he steps down, he suddenly stumbles, nearly falling, and a Jamie Rivers wails beneath his foot. Carson Arden moves toward the sound, pushes aside the blanket, and freezes. Rowan Hayes has the bald head of a Jamie Rivers, but its face is wrinkled and aged, with the sunken eyes and sagging skin of an Adrian Monroe. She gasps, murmuring in disbelief. Sage Hollis, shaken, says he didn’t see it there and worries he hurt the child. Rowan Hayes continues to cry. After a moment, Carson Arden reaches down, picks up the infant, and carries it inside. Sage Hollis follows close behind.",Scene Grounding
legacy-enf689530f4ca245d28318dd0fdb24c50d-7,enf689530f4ca245d28318dd0fdb24c50d,en,"28、INT. Carson Arden'S ROOM - THAT NIGHT,",What does Carson Arden disclose about Rowan Hayes during her conversation with Harper Everett?,reveals Rowan Hayes is her sister's child from Lafayette,"Carson Arden tells Harper Everett that Rowan Hayes is her sister's child from Lafayette, born after a tragic incident, and explains that the child came out white and has been left in her care. She pleads for Rowan Hayes to be allowed to stay, emphasizing his short life expectancy and calling him a miracle of an unexpected kind, while Harper Everett expresses concern about the burden and suggests placing him in a home for unwanted children.",Scene Grounding
