id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,29、洗衣房，日，内,姜仁浩推开洗衣房门时，其行动背后的直接判断是什么？,必须立即救出妍斗,姜仁浩目睹润慈爱将金妍斗头部按入洗衣机，情况危急。他踩到剪子后迅速介入，抱出孩子并质问老师。这一反应基于他对暴力行为的即时判断和对学生安全的紧迫关切，行动核心是阻止伤害继续发生。,Character Understanding
2,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,27、办公室，日，内,姜仁浩在办公室目睹冲突后，其质问行为基于什么判断？,质疑暴力正当性,姜仁浩进入办公室时看到全名秀受伤且恐惧，朴宝贤随后施暴并给出管教理由。姜仁浩的即时质问反映出他不认同该行为具有正当性，其反应源于对暴力惩戒合理性的怀疑。,Character Understanding
3,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,22、教室，日，内,姜仁浩在发现全民秀满脸伤痕后，为何立即改变态度并表现出关切？,判断全民秀可能遭遇暴力，转为保护者角色,姜仁浩拍肩询问迟到原因，见到伤痕后神情变化，表明其从责备转为担忧的判断,Character Understanding
4,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,14、乡间小路，日，外,在姜仁浩坐在徐友真的面包车里时，他最迫切想了解什么？,确认到达时间,姜仁浩上车后因寒冷多次询问行程进度，表现出对何时到达目的地的急切关注，这是他在该场景中最直接的意图。,Character Understanding
5,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,16、楼梯，日，外,在[16、楼梯，日，外]这场戏中，姜仁浩做出的最能体现他主动建立联结的关键动作是什么？,为聋哑学生让路并用手语问候,姜仁浩在楼梯上遇见聋哑学生时主动停下让行，并尝试用手语向成宥利打招呼，表现出善意与沟通意愿，尽管对方未回应。这一系列动作标志着他试图接近这群被边缘化的学生，是角色介入事件的初始姿态。,Scene Grounding
6,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,15、慈爱学堂门口，日，外,在慈爱学堂门口，姜仁浩下车后立即做出的关键动作是什么？,手持雾津人权维护中心的名片,姜仁浩抵达学校门口后，从车中下来并手持名片，标志着他正式以人权维护中心代表身份介入事件，此动作确立了他在此场景中的角色立场与任务起点。,Scene Grounding
7,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,35、饭店，夜，内,在[35、饭店，夜，内]这场戏中，推动姜仁浩意识到校园暴力系统性本质的关键动作是什么？,姜仁浩回忆朴宝贤殴打全名秀,该场景中，姜仁浩的回忆揭示了教师对学生的暴力并非孤立事件，而是长期存在的结构性问题，结合徐友真揭露施暴者与校长的亲属关系，强化了权力包庇的现实，使姜仁浩的认知从个别恶行转向制度性共谋。,Scene Grounding
8,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,35、饭店，夜，内; 47、公安局，日，内,徐友真为何会决定当面递交证据并质问警方对校长性侵案的不作为？,她向姜仁浩揭露了校长性侵金妍斗及其他学生的真相，并意识到警方此前已因类似报案无动于衷。,徐友真在与姜仁浩的会面中披露了金妍斗的证词及多名学生受害的事实，同时提到此前有孩子报警却遭送回学校并遭受报复，这让她意识到体制性漠视的存在，从而促使她直接向警方施压以推动调查。,Causal-Motivational Reasoning
9,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,29、洗衣房，日，内; 43、走廊，夜，外,校长后来在楼梯上用手语威胁金妍斗，这一行为最早是由哪个事件直接推动的？,姜仁浩发现润慈爱将金妍斗按在洗衣机中并救出她,姜仁浩干预洗衣房暴力事件后，打破了校方对金妍斗的控制，导致她后续敢于接近校长室并目击不当行为，从而引发校长的威胁举动。该干预是后续压制性反应的直接导火索。,Causal-Motivational Reasoning
10,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,27、办公室，日，内; 29、洗衣房，日，内,姜仁浩为何在洗衣房confrontation润慈爱并以法律相胁？这一激烈反应的直接导火索是什么？,目睹全名秀遭朴宝贤暴力对待后，姜仁浩产生强烈道德冲击，促使他后续干预对金妍斗的虐待,姜仁浩在办公室目睹朴宝贤对全名秀施暴，虽未当场阻止，但这一经历动摇了他对学校权威的信任，成为他后来在洗衣房直面润慈爱暴力行为并以法律威胁的动机起点。两次事件间存在情感与道德立场的递进关系。,Causal-Motivational Reasoning
11,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,6、汽车内，夜，外; 13、汽车修理厂，日，外,姜仁浩在与徐友真因追尾发生争执并最终和解之前，是什么经历影响了他当时的状态和后续互动的走向？,姜仁浩在出发前与母亲通话，得知女儿松儿哭着要见他才入睡,姜仁浩在驾车前与母亲通话，得知女儿思念自己，情绪低落，这一情境为他随后在事故中的沉默与克制态度提供了心理铺垫。当争执发生时，他并未激烈对抗，而社长介入后局势转向对徐友真的质疑，最终促成和解。前期的父女情感牵连间接影响了冲突的缓和路径。,Causal-Motivational Reasoning
12,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,4、汽车内，夜，外; 45、姜仁浩家，夜，内,到了姜仁浩与突然到访的母亲和女儿重逢时，此前他在办公室已做了什么关键动作？,锁上办公室门准备下班,在家庭团聚场景发生前，姜仁浩于办公室走廊场景中完成了下班前的收尾动作，这一行为标志着他从工作状态转向私人时间，为后续家庭互动提供了时间与情境上的起点。,Temporal Reasoning
13,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,4、汽车内，夜，外; 45、姜仁浩家，夜，内,到了姜仁浩与突然到访的母亲和女儿重逢时，此前在车内发生的那个关键发展是什么？,姜仁浩接听母亲来电,在重逢场景之前，姜仁浩于夜间在车内接到母亲来电，确认了对方的行程安排，为后续突如其来的到访提供了情节铺垫。该通话发生在同一夜晚较早时段，是推动母女现身的直接前提。,Temporal Reasoning
14,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,13、汽车修理厂，日，外; 90、法院门口，日，内,从[13、汽车修理厂，日，外]的冲突到[90、法院门口，日，内]的共同行动，姜仁浩与徐友真之间的互动关系如何演变？,从言语对抗的对立者转变为共同抗争的同伴,两人最初因车祸发生激烈争执，表现出明显的敌意；随着剧情推进，他们逐渐建立信任，在法院门口一同参与示威，展现出团结一致的伙伴关系。,Role-Relation Continuity
15,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,27、办公室，日，内; 89、铁轨，夜，外,从[27、办公室，日，内]到[89、铁轨，夜，外]，朴宝贤对全民秀的行为模式和两人之间的关系如何延续？,朴宝贤始终将全民秀视为敌对目标，持续施加暴力与压制,从办公室初次暴力冲突开始，朴宝贤多次对全民秀实施殴打、辱骂和身体威胁，直至铁轨场景中双方以刀搏命，始终维持施暴者与反抗者的敌对动态，关系未发生根本转变。,Role-Relation Continuity
16,che261d398714901ce9e34d79269f6c07c1b54c65f,zh,28、宿舍楼，日，外; 90、法院门口，日，内,从宿舍楼初遇冲突到法院门口共同示威，姜仁浩与宥利之间的关系或分工如何延续？,姜仁浩始终保护宥利，宥利逐渐将他视为依靠,从姜仁浩主动冲上前保护宥利并安抚她开始，到后续通过手语沟通建立信任，宥利表现出情感依赖，甚至视其为父亲般的存在；最终在法院门口共同抗争，情感与合作关系持续深化，始终维持保护与被保护的核心关系。,Role-Relation Continuity
