id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en13156e4072c04c31ae4b5defda4a7bc5-1,en13156e4072c04c31ae4b5defda4a7bc5,en,7、INT. STAB 3 SET - DAY,What does Dewey aim to do upon encountering Gale and Detective Kincaid at the STAB 3 set?,Protect Sidney by controlling the news,"When Detective Kincaid and Gale Weathers arrive at the STAB 3 movie set, Dewey confronts them near the replica of the Macher Residence. He cuts off Gale’s attempt to speak, rebuffing her with bitterness and accusing her of exploiting Sidney for fame. After Kincaid shows Dewey a piece of evidence from a recent murder, Dewey insists on being the one to inform Sidney, citing a promise he made to protect her. Kincaid agrees but warns Dewey of consequences if more lives are lost. Dewey then walks away without addressing Gale further.",Character Understanding
legacy-en13156e4072c04c31ae4b5defda4a7bc5-12,en13156e4072c04c31ae4b5defda4a7bc5,en,13、EXT. STAB 3 PRODUCTION OFFICES - NIGHT ; 14、INT. STAB 3 PRODUCTION OFFICES - NIGHT,What action immediately precedes and enables Sarah's entry into the production offices?,Sarah exits her car outside the production offices,"Sarah arrives at the production offices at night, stepping out of her car and beginning to walk toward the building. Unseen by her, the killer observes from the rooftop above. This exterior approach directly precedes her entrance into the office space, where she finds the interior empty and decorated with promotional material from the STAB film series.",Causal-Motivational Reasoning
legacy-en13156e4072c04c31ae4b5defda4a7bc5-13,en13156e4072c04c31ae4b5defda4a7bc5,en,32、INT. JENNIFER'S HOUSE - NIGHT ; 63、INT. MAUREEN'S BEDROOM - PRESCOTT HOUSE SET - NIGHT,How does the adversarial relationship between Gale Weathers and Ghost evolve from their initial confrontation through later encounters?,Gale Weathers continues to oppose Ghost as a declared adversary while Ghost persistently attacks her,"From their first encounter, Gale confronts Ghost with verbal threats and he responds with immediate violence, establishing a hostile dynamic. This pattern continues as Ghost repeatedly targets Gale with physical attacks, including lunging at her with a blade and charging during pursuit, while Gale actively resists and evades, reinforcing an ongoing adversarial relationship marked by mutual hostility and direct confrontation.",Role-Relation Continuity
legacy-en13156e4072c04c31ae4b5defda4a7bc5-14,en13156e4072c04c31ae4b5defda4a7bc5,en,32、INT. JENNIFER'S HOUSE - NIGHT ; 64、INT. FOYER - MACHER HOUSE SET - NIGHT,How does the relationship between Dewey Riley and Ghost evolve from their first confrontation to the later encounter in the Macher house foyer?,Dewey Riley continues to pursue Ghost as a hostile adversary,"From the initial confrontation at Jennifer's house, where Dewey shoots and physically attacks Ghost, through Ghost's violent assault on Dewey in Milton's office, and into the final exchange in the Macher house foyer where Ghost attacks with a knife and Dewey attempts to shoot back, the two characters consistently engage in mutual aggression. The interactions across these scenes establish a sustained adversarial dynamic with no indication of truce or shift in alignment.",Role-Relation Continuity
legacy-en13156e4072c04c31ae4b5defda4a7bc5-15,en13156e4072c04c31ae4b5defda4a7bc5,en,28、EXT. JENNIFER'S HOUSE - NIGHT ; 33、EXT. BACKYARD - JENNIFER'S HOUSE - NIGHT ; 49、INT. RECEPTION AREA - MILTON'S OFFICE - SUNSET,"What event sets in motion the sequence in which Jennifer, Gale, and Dewey escape the explosion as the ghost flees, leading to the confrontation in Milton's office?",Dewey and Gale Arrive at Jennifer's House,"The arrival of Dewey and Gale at Jennifer's house initiates a chain of escalating confrontations, triggering the explosion that forces their escape alongside Jennifer and drawing the ghost toward Milton's office, where the threat resurfaces.",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-16,en13156e4072c04c31ae4b5defda4a7bc5,en,47、INT. JOHN MILTON'S OFFICE - DAY ; 49、INT. RECEPTION AREA - MILTON'S OFFICE - SUNSET ; 7、INT. STAB 3 SET - DAY,"What pivotal event shifts the investigation forward, leading directly to Milton's disappearance and the trio's emergence, Gale confronting the producers, and the uncovering of Sidney's mother's past?","Gale, Jennifer, and Dewey confront Milton about Rina Reynolds","In the office of John Milton, Gale, Jennifer, and Dewey press him for information about Rina Reynolds, whose identity is tied to Sidney's origins. This confrontation destabilizes Milton’s position, triggering his sudden disappearance and forcing the trio out of hiding. The exchange unlocks critical momentum, enabling Gale and Jennifer to pursue the truth about Sidney’s mother and confront the Stab 3 production team with new urgency.",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-17,en13156e4072c04c31ae4b5defda4a7bc5,en,13、EXT. STAB 3 PRODUCTION OFFICES - NIGHT ; 18、INT. STAB 3 - PRODUCTION OFFICES - NIGHT ; 15、INT. ROMAN'S OFFICE - NIGHT,"What event sets in motion the sequence leading directly to the lockdown of the offices, the interruption of the rehearsal, and Sarah’s flight to the prop room?",Sarah Arrives at the Offices as the Killer Watches from Above,"Sarah's arrival at the production offices initiates a chain of critical events, as her presence triggers the killer's active pursuit, escalating tension and forcing immediate reactions from the characters. This moment marks the shift from anticipation to direct confrontation, setting the stage for the subsequent disruptions and confrontations. [13、EXT. STAB 3 PRODUCTION OFFICES - NIGHT]",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-18,en13156e4072c04c31ae4b5defda4a7bc5,en,36、INT. DETECTIVE KINCAID'S OFFICE - DAY ; 5、INT. BACKSTAGE - TOTAL ENTERTAINMENT SET - DAY ; 25、INT. INTEROGATION ROOM - POLICE STATION - NIGHT,What pivotal moment shifts the investigation by revealing the killer's evidence directly to Sidney?,Detective Kincaid Shows Sidney the Killer's Evidence,"In the aftermath of mounting threats and unresolved questions surrounding Maureen's murder, Detective Kincaid reaches a critical juncture in the investigation. By presenting Sidney with concrete evidence linking the recent violence to a deliberate pattern, he transforms her from a peripheral figure into a central target, recalibrating the narrative trajectory and intensifying the stakes for those involved. This disclosure aligns with Kincaid's growing suspicion that past incidents were not accidental and sets the stage for confrontations with Dewey and Gale. [36、INT. DETECTIVE KINCAID'S OFFICE - DAY]",Narrative Progression
legacy-en13156e4072c04c31ae4b5defda4a7bc5-25,en13156e4072c04c31ae4b5defda4a7bc5,en,7、INT. STAB 3 SET - DAY ; 26、INT. VIEWING ROOM - POLICE STATION - NIGHT,"By the time Dewey leaves and Gale follows, what has already happened between Gale and Jennifer on set?",Gale responds sarcastically to Jennifer's comments about Brad Pitt,"Earlier on the Stab 3 set, during a tense exchange, Gale reacts with sarcasm to Jennifer's remarks about Brad Pitt, setting off subtle friction between them. This moment precedes the later scene at the police station where Dewey departs and Gale follows, indicating a shift in focus from on-set dynamics to investigative actions.",Temporal Reasoning
legacy-en13156e4072c04c31ae4b5defda4a7bc5-26,en13156e4072c04c31ae4b5defda4a7bc5,en,5、INT. BACKSTAGE - TOTAL ENTERTAINMENT SET - DAY ; 34、INT. DETECTIVE KINCAID'S OFFICE - DAY,"By the time Gale corrects the victim count and the search for Angelina Tyler intensifies, what has already taken place between her and Detective Kincaid?",Gale collides with Detective Mark Kincaid on set,"Before confronting the inaccuracies in the case and pushing forward the investigation, Gale has already had a tense encounter with Detective Mark Kincaid on the Total Entertainment set, where their conflicting agendas and personalities first clash amid the chaos of the ongoing murder inquiry. [5、INT. BACKSTAGE - TOTAL ENTERTAINMENT SET - DAY]",Temporal Reasoning
