id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-10,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,8、8广场  日  外/内 ; 36、38徐宁住处  夜  内,韩柏观察现场并查看时间的举动，如何为他后来击毁纸人破除幻境提供了关键依据？,韩柏通过观察复原后的药房现场并核对时间，识别出幻境中的异常细节，从而获得破除幻境的判断基础。,韩柏在药房内目睹叶家人离奇死亡的重现，并注意到时间停留在午夜零点七分，这一异常成为他识破幻境本质的关键线索，使他在后续情境中能够采取果断行动击毁纸人。,Causal-Motivational Reasoning
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-11,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,13、14街道  夜  外 ; 14、15日式房间  夜  内,韩柏用木桶和荧光粉设局绊倒追兵后，为何吴琦随后主动向他请教幻术六法？,韩柏利用荧光粉留下追踪标记并从容布局，展现出智谋远超蛮力，令吴琦信服其手段。,韩柏未急于追击逃犯，而是通过踢出沾有荧光粉的木桶制造痕迹，预判对方行踪。这一以智取胜的策略让吴琦意识到其手段高明，因而心生敬佩，转而请求学习幻术原理。,Causal-Motivational Reasoning
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-12,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,6、6街道  日  外 ; 53、55柳岸广场  夜  内/外,从[6、6街道  日  外]到[53、55柳岸广场  夜  内/外]，吴琦对韩柏的态度和两人之间的协作方式经历了怎样的转变？,从单向尊敬韩柏转变为平等协作、共同行动的搭档关系,初期吴琦频繁称呼韩柏为‘韩柏’并依赖其专业判断，表现出尊敬与追随；随着共同调查深入，双方在案发现场协同取证、共享推理，最终在白杨公司对抗敌人时形成掩护配合，体现出关系已发展为基于信任的对等合作。,Role-Relation Continuity
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-13,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,2、2柳岸广场  晨  内 ; 53、55柳岸广场  夜  内/外,从[2、2柳岸广场  晨  内]到[53、55柳岸广场  夜  内/外]，吴琦和徐宁之间的合作关系是如何延续的？,始终保持信任的伙伴，共同执行公务并相互配合行动,两人在初期因紧急公务迅速协同行动，显示出信任基础；后续在遇险时仍能共同脱身，表明合作关系持续且稳定。尽管中间出现短暂冲突，但整体互动始终围绕公务协作展开，核心关系未发生根本转变。,Role-Relation Continuity
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-14,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,1、1街巷  夜  外 ; 37、39徐宁家屋顶  夜  外,从[1、1街巷  夜  外]到[37、39徐宁家屋顶  夜  外]，蔡意和孙玩之间的角色关系与职责分工是如何延续的？,蔡意始终作为孙玩的得力干将，听从其指挥并执行任务，孙玩则始终信任并倚重他。,两人关系始于组织内部的上下级合作，蔡意在多个场景中对孙玩表现出恭敬与服从，称其为‘主人’并协同行动；孙玩则视其为家族骄傲，持续给予信任与认可，直至最后时刻。关系稳定且具延续性。,Role-Relation Continuity
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-15,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,5、5柳岸广场  日  内 ; 21、22日式宅院走廊  夜  内,哪一个行动直接触发了后续安全警戒的部署、神秘建筑石狮子异动以及吴琦对韩柏路线变更的质疑？,徐宁接电话后命令吴琦停止调戏并出发去广场,该事件发生在白杨公司内部，是外部指令介入后行动升级的起点，标志着团队从松散状态转入紧急执行模式，由此引发一系列连锁反应，包括路线变更、警戒部署与后续超自然现象的触发。,Narrative Progression
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-16,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,38、40白杨公司  晨  内 ; 26、27胡家大宅  夜  外 ; 16、17河边广场  夜  内,冯雪为徐宁辩解后，韩柏微笑释然，这一互动如何构成后续徐宁车上祈愿、韩柏与舞女冲突及捕兽夹事故中众人情绪转向的叙事转折？,冯雪为徐宁辩解，韩柏微笑释然,该场景中，冯雪出面缓解徐宁的尴尬，韩柏以微笑回应，表面紧张关系得以软化，但暗流未消。这一互动暂时维系了团队表面和谐，为后续一系列压抑情绪下的行为——包括徐宁对未来的幻想、韩柏在冲突中的讽刺反应，以及面对意外时的集体沉默——提供了情绪铺垫与转折支点。,Narrative Progression
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-17,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,34、36胡家后堂  夜  内 ; 34、36胡家后堂  夜  内 ; 18、19河边广场  夜  内,哪个事件成为触发徐宁后续拔枪射击幻象、韩柏识破幻境并带领同伴脱险、最终徐宁彻底识破幻象这一系列行动的情感与叙事支点？,徐宁目睹童年家破人亡,该场景通过闪回揭示徐宁童年创伤，为其在幻境中的激烈反应提供心理动因，同时推动韩柏察觉异常并采取行动，成为整个幻境危机转折的起点。,Narrative Progression
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-18,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,30、31胡家庭院  夜  外 ; 30、31胡家庭院  夜  外 ; 31、32胡家后堂  夜  内,哪个事件直接触发了徐宁从误入幻境到觉醒逃离的一系列行动？,徐宁识破幻象,该场景中，徐宁识破幻象是其认知转变的临界点，此前他受幻象引导进入胡宅，此后行动转为主动挣脱与逃亡，构成叙事动能的逆转。,Narrative Progression
legacy-ch554cfa228c483a7e64cb73bbc932dcb8415e69c3-25,ch554cfa228c483a7e64cb73bbc932dcb8415e69c3,zh,15、16河边广场大厅  夜  内 ; 36、38徐宁住处  夜  内,到了孙玩在徐宁住处控水制敌时，此前在河边广场大厅已发生的关键发展是什么？,孙玩操控鱼缸中的水抽干,在河边广场大厅的场景中，孙玩首次展示控水能力，通过抽干鱼缸中的水显露其超凡技能，为后续在徐宁住处的战斗场景奠定能力基础。该发展早于蔡意夹住子弹与孙玩协同作战的情节，构成时间与能力展示上的前序关键节点。,Temporal Reasoning
