id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enadb2496983c5461982b98e1afd844b33-1,enadb2496983c5461982b98e1afd844b33,en,35、28B BRIDGE Cedar Grove Street,What does Owen Arden aim to accomplish by reassigning Darian Quincy to Summit Department after the flight incident?,Teach discipline through elite training,"Owen Arden confronts Darian Quincy and Morgan Carter following a reckless flight, rejecting excuses and emphasizing accountability. He reveals that the original Summit Department candidate has stepped down due to personal issues and assigns Darian Quincy in his place, not as a reward but as a corrective measure. He acknowledges Darian Quincy’s skill but criticizes his defiance of orders, stating that facing superior pilots in a disciplined environment may instill the teamwork and restraint he lacks. His decision is framed as both a consequence and an opportunity for growth, ultimately intended to shape Darian Quincy into a more responsible aviator.",Character Understanding
legacy-enadb2496983c5461982b98e1afd844b33-11,enadb2496983c5461982b98e1afd844b33,en,31、26 Darian Quincy'S Lakeview Street  - (AERIAL) ; 31、26 Darian Quincy'S Lakeview Street  - (AERIAL),What event immediately prompts Darian Quincy to fly wingtip to wingtip with Harper Nolan's inverted aircraft?,Harper Nolan's aircraft flips into inverted flight,"During a training exercise, Harper Nolan loses control and his aircraft flips upside down, entering inverted flight. Disoriented and unresponsive at first, he fails to correct the maneuver on his own. Recognizing the danger, Darian Quincy positions his plane directly alongside Harper Nolan's inverted jet, maintaining precise formation to provide visual guidance and stabilize the situation. By flying wingtip to wingtip while remaining level, Darian Quincy creates a reference point to help Harper Nolan regain orientation and execute a proper recovery.",Causal-Motivational Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-12,enadb2496983c5461982b98e1afd844b33,en,36、Cedar Grove Street ; 36、Cedar Grove Street,"In [36、Cedar Grove Street], what event immediately before Darian Quincy's rapid movement through the ship motivates his urgency and separation from Morgan Carter?",Darian Quincy and Morgan Carter navigating through a crowd of aircrews on the Cedar Grove Street,"After their dogfight with the leather badge, Darian Quincy and Morgan Carter attempt to cross the crowded Cedar Grove Street of the aircraft carrier, surrounded by aircrews shouting questions and reaching out to them. As the noise and pressure build, with 'Summit Department' being called out, Morgan Carter falls behind in the throng. Darian Quincy, increasingly agitated, begins to move faster—climbing ladders, descending into lower decks, and weaving through tight corridors—eventually breaking into a run as he pushes forward alone through the ship’s interior passageways.",Causal-Motivational Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-13,enadb2496983c5461982b98e1afd844b33,en,31、26 Darian Quincy'S Lakeview Street  - (AERIAL) ; 31、26 Darian Quincy'S Lakeview Street  - (AERIAL),What action by Darian Quincy earlier establishes the trust that allows him to talk Harper Nolan down during the fuel crisis?,Darian Quincy flies wingtip to wingtip with Harper Nolan's inverted aircraft to provide visual reference,"During Harper Nolan's mid-air disorientation, Darian Quincy matches his inverted flight position, flying in extremely close formation to provide a stable visual reference. By maintaining precise wingtip-to-wingtip alignment and calmly reassuring Harper Nolan, he creates a critical sense of stability and trust. This act of skill and presence directly enables his later ability to convince Harper Nolan not to eject when fuel is low and conditions are dangerous, as Harper Nolan now relies on Darian Quincy's judgment to navigate both spatial and operational crises.",Causal-Motivational Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-14,enadb2496983c5461982b98e1afd844b33,en,17、14B INT. Harper Nolan'S Lakeview District ; 44、34 Owen Arden'S CABIN,How does the working relationship between Harper Nolan and Darian Quincy evolve from their joint flight operations to later references in the narrative?,They remain trusted wingmen with mutual operational reliance,"From their coordinated engagement in Harper Nolan's Lakeview District to later moments aboard the Cedar Grove Street and during in-flight emergencies, Darian Quincy consistently supports Harper Nolan through tactical guidance, direct intervention, and public affirmation. Darian Quincy defends Harper Nolan's standing when others speak of him in the past tense, insisting 'Still is,' which underscores an ongoing professional bond rooted in trust and combat partnership.",Role-Relation Continuity
legacy-enadb2496983c5461982b98e1afd844b33-15,enadb2496983c5461982b98e1afd844b33,en,31、26 Darian Quincy'S Lakeview Street  - (AERIAL) ; 31、26 Darian Quincy'S Lakeview Street  - (AERIAL) ; 44、34 Owen Arden'S CABIN,What pivotal event shifts the momentum toward the sequence involving Morgan Carter's humor during and after the emergency landing?,Darian Quincy Talks Harper Nolan Down Amid Fuel Crisis,"In the Lakeview Street during a high-stakes aerial crisis, Darian Quincy's decisive intervention to calm Harper Nolan and maintain control under extreme pressure sets off a chain of events that leads directly to the tense yet human moments following the emergency landing, including Morgan Carter's attempts to diffuse stress with humor and the communication exchanges between the crew and command. This moment of leadership and composure becomes the narrative fulcrum for the subsequent resolution of the flight sequence. [31、26 Darian Quincy'S Lakeview Street  - (AERIAL)]",Narrative Progression
legacy-enadb2496983c5461982b98e1afd844b33-16,enadb2496983c5461982b98e1afd844b33,en,23、19 INT. Lakeview Street 115 - Darian Quincy ; 31、26 Darian Quincy'S Lakeview Street  - (AERIAL) ; 31、26 Darian Quincy'S Lakeview Street  - (AERIAL),What pivotal event initiates the sequence in which Darian Quincy guides a distressed pilot through a fuel emergency and vertigo-induced instability during landing?,Respond to Harper Nolan's Distress Call,"The sequence begins when Darian Quincy intercepts a distress call from Harper Nolan, whose disorientation during a flight emergency sets off a chain of critical interventions. This moment shifts the narrative focus to Darian Quincy's role in stabilizing the crisis, leading directly to his efforts to talk Harper Nolan down amid failing systems and spatial disorientation, culminating in the Noel Arden's assistance during the unstable approach [scene: 23、19 INT. Lakeview Street 115 - Darian Quincy].",Narrative Progression
legacy-enadb2496983c5461982b98e1afd844b33-17,enadb2496983c5461982b98e1afd844b33,en,31、26 Darian Quincy'S Lakeview Street  - (AERIAL) ; 31、26 Darian Quincy'S Lakeview Street  - (AERIAL) ; 31、26 Darian Quincy'S Lakeview Street  - (AERIAL),What pivotal event initiates Darian Quincy's intervention during Harper Nolan's in-flight crisis and sets the recovery sequence in motion?,Darian Quincy Guides Harper Nolan Through Inverted Flight Recovery,"During a high-altitude training exercise, Harper Nolan becomes disoriented and loses control, entering an inverted flight attitude that jeopardizes the mission and his safety. Darian Quincy, recognizing the severity of the situation, takes immediate command of the recovery, guiding Harper Nolan through precise maneuvers to stabilize his aircraft. This moment marks the shift from uncontrolled crisis to coordinated response, enabling the subsequent actions in which Darian Quincy flies wingtip to wingtip with the inverted plane and talks Harper Nolan down through vertigo. [scene: 26 Darian Quincy'S Lakeview Street - (AERIAL)]",Narrative Progression
legacy-enadb2496983c5461982b98e1afd844b33-25,enadb2496983c5461982b98e1afd844b33,en,20、16 INT. the leather badge ; 35、28B BRIDGE Cedar Grove Street,"By the time Morgan Carter retrieves Harper Nolan's photo following the emergency landing, what critical incident during flight has already taken place?",Harper Nolan reports sensory disorientation during flight,"Before the retrieval of the photo on the Cedar Grove Street, Harper Nolan experiences spatial confusion mid-flight, prompting Morgan Carter to intervene and assist in stabilizing the situation. This disorientation directly precipitates the emergency landing and sets the stage for the subsequent emotional resolution involving the photo. The events are linked by a cause-and-effect progression across distinct phases of the flight mission.",Temporal Reasoning
legacy-enadb2496983c5461982b98e1afd844b33-26,enadb2496983c5461982b98e1afd844b33,en,15、14 EXT. Harper Nolan'S Lakeview District ; 36、Cedar Grove Street,"By the time Darian Quincy and Morgan Carter push through the crowds after the the leather badge encounter, what has already taken place in the dogfight?",the leather badge pilot performs precise aerial maneuver to position alongside Darian Quincy,"Prior to the tense aftermath aboard the Cedar Grove Street where Darian Quincy and Morgan Carter face scrutiny, a critical moment unfolds in the skies when the the leather badge pilot executes a calculated maneuver, flying in tight formation with Darian Quincy in a display of skill and intimidation. This close aerial confrontation sets the stage for the subsequent reactions on the carrier, establishing the immediacy and stakes of the encounter that ripple through the crew's response.",Temporal Reasoning
