id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enff3a622961b84aa091a2a5babfe2aa18-10,enff3a622961b84aa091a2a5babfe2aa18,en,22、INT. CARL'S APARTMENT - LATER ; 26、INT. STACKERS - LATER,What action in Carl's apartment directly motivates his insistence on seating priority at the restaurant?,Carl unrolls and studies the 'Just Say Yes' pamphlet,"After dismissing Peter, Carl sits on the couch and picks up the crumpled 'Just Say Yes' pamphlet from the desk. He unballs it, unfolds it, and stares at the image of a smiling Indian man, engaging with its message shortly before the group arrives at the restaurant. This moment precedes his later confrontation with the waitress, where he assertively challenges the seating order, insisting his group was next despite being told otherwise—a shift from his earlier passive demeanor that aligns with the pamphlet’s influence on his behavior.",Causal-Motivational Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-11,enff3a622961b84aa091a2a5babfe2aa18,en,31、EXT. STREET ; 37、INT. RUDY'S,What causes Carl's anxious reaction when Peter and Lucy prepare to leave for their furniture errands?,Carl becomes nervous after accepting Renee's invitation,"After Carl accepts a flier from Renee and walks away, he grips it tightly and reacts uncomfortably to his coffee, signaling his unease. This moment of tension precedes his later discomfort in the bar when Peter and Lucy announce they are leaving for furniture errands, highlighting his growing anxiety about being left alone with Rooney.",Causal-Motivational Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-12,enff3a622961b84aa091a2a5babfe2aa18,en,24、INT. CARL'S APARTMENT - MORNING ; 22、INT. CARL'S APARTMENT - LATER,What prompts Carl to unfold the 'Just Say Yes' pamphlet shortly after his conversation with Peter?,Phone call wakes Carl from sleep,"The phone rings early, jolting Carl awake. He answers groggily to hear Peter on the line, apologizing for his unexpected visit the previous day and affirming Carl’s right to live freely. Peter then invites Carl to brunch with Lucy and Kath. After a moment of hesitation, Carl accepts. Later, after seeing Peter out, Carl sits on the couch, picks up the crumpled 'Just Say Yes' pamphlet from the desk, uncrumples it, and unfolds it in his hands, staring at the image of a smiling Indian man.",Causal-Motivational Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-13,enff3a622961b84aa091a2a5babfe2aa18,en,34、INT. SOUTHWEST BANK - LOAN DESK ; 34、INT. SOUTHWEST BANK - LOAN DESK,What action by Carl creates the conditions for him to later deliver the loan approval and receive the panda gift?,Carl seeks loan approval from Norman,"Carl brings the customer's business plan to Norman's office, advocating for approval despite the loan amount falling below the bank's minimum requirement. Norman refuses to approve the five-thousand-dollar loan, citing policy, though he acknowledges the difficulty small entrepreneurs face. Carl presses the point, showing commitment to helping the customer, which sets in motion his eventual decision to approve the loan independently. This earlier effort establishes the narrative and motivational foundation for the moment when the customer returns to thank him with the panda beanie baby after the approval is granted. [34、INT. SOUTHWEST BANK - LOAN DESK]",Causal-Motivational Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-14,enff3a622961b84aa091a2a5babfe2aa18,en,7、INT. SOUTHWEST BANK - LOBBY ; 7、INT. SOUTHWEST BANK - LOBBY,What event immediately prior explains why Carl directs the bank customer to Norman?,Bank customer approaches Carl seeking loan specialist assistance,"A bank customer approaches Carl in the lobby, asking to speak with a loan specialist. Carl, restricted to his role as a greeter, declines to help despite the customer's frustration and the absence of other staff. The customer sits in the waiting area, and Carl remains at his post, partially hidden behind a column. Shortly afterward, after observing Chris Parker leave the bank, Carl's resentment becomes apparent. When the same customer approaches again seeking assistance, Carl redirects them to Norman, who then takes over the interaction.",Causal-Motivational Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-18,enff3a622961b84aa091a2a5babfe2aa18,en,34、INT. SOUTHWEST BANK - LOAN DESK ; 35、INT. SOUTHWEST BANK - LOAN DESK ; 34、INT. SOUTHWEST BANK - LOAN DESK,What pivotal event sets in motion Carl's efforts to secure Norman's support and advance his position at the bank?,Carl Seeks Norman's Approval for the Beanie Baby Loan,"In the loan desk scene, Carl approaches Norman to request approval for a Beanie Baby loan, initiating a sequence of actions where he increasingly aligns himself with Norman's expectations. This moment marks the shift from passive ambition to active pursuit of favor, directly leading to Carl following Norman to his office, purchasing a Diet Coke to gain access to the loan stamp, and ultimately accepting a promotion and party invitation as outcomes of this evolving dynamic. [35、INT. SOUTHWEST BANK - LOAN DESK]",Narrative Progression
legacy-enff3a622961b84aa091a2a5babfe2aa18-25,enff3a622961b84aa091a2a5babfe2aa18,en,12、INT. DUNKIN DONUTS ; 48、INT. DUNKIN DONUTS,What occurs before Carl decides to add a mocha caramel coolata after seeing a poster inside Dunkin Donuts?,Carl enters Dunkin Donuts,"The event takes place in the same location, with the source scene 'INT. DUNKIN DONUTS' occurring significantly earlier than the target scene. Carl's entry into the store precedes his later decision to modify his order upon seeing a promotional poster.",Temporal Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-26,enff3a622961b84aa091a2a5babfe2aa18,en,1、INT. RUDY'S - MOMENTS LATER ; 24、INT. CARL'S APARTMENT - MORNING,"By the time Carl answers Peter's call, what has Carl already done with his friends?",Said goodbye,"Before responding to Peter's call, Carl spends time with his friends at Rudy's following the New Year's countdown. In the moments after the celebration, he formally takes his leave from them, marking a transition before the next phase of his journey. This departure precedes his isolation in his apartment where Peter's call eventually reaches him.",Temporal Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-27,enff3a622961b84aa091a2a5babfe2aa18,en,25、EXT. STACKERS - MORNING ; 26、INT. STACKERS - LATER,What occurs just before Carl confronts the waitress about the seating arrangement?,"Carl joins Peter, Lucy, and Kath at brunch","Shortly after arriving at Stackers, Carl enters the restaurant and takes a seat with Peter, Lucy, and Kath, joining their brunch gathering. This sets the stage for the subsequent interaction in which Carl becomes agitated over the seating order and confronts the waitress.",Temporal Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-28,enff3a622961b84aa091a2a5babfe2aa18,en,40、EXT. SENOR FROG'S ; 41、INT. CARL'S APARTMENT - MORNING,What happens immediately before the Hot Girl says goodbye to Carl?,The Hot Girl kisses Carl,"In the scene '40、EXT. SENOR FROG'S', the Hot Girl kisses Carl, which directly precedes her saying goodbye to him in '41、INT. CARL'S APARTMENT - MORNING'.",Temporal Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-29,enff3a622961b84aa091a2a5babfe2aa18,en,39、INT. SENOR FROG'S - NIGHT ; 40、EXT. SENOR FROG'S,What occurs just before the hot girl kisses Carl and invites him away?,The hot girl's boyfriend confronts Carl,"Shortly after the confrontation at Senor Frog's, the hot girl approaches Carl outside the bar and kisses him, leading to her invitation. The tension from the prior encounter sets the immediate stage for this shift in dynamics. [scene: 39、INT. SENOR FROG'S - NIGHT]",Temporal Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-3,enff3a622961b84aa091a2a5babfe2aa18,en,22、INT. CARL'S APARTMENT - LATER,How does Peter characterize Carl's lifestyle during the confrontation at his apartment?,As that of a cave dweller who isolates himself and refuses to engage with the world.,"Peter visits Carl to stage an intervention, criticizing his reclusive behavior. He points out Carl missed their engagement party, mocks his choice of TV shows, and highlights his lack of romantic relationships since his breakup with Kath over a year ago. Peter compares Carl to someone still wearing a Timex while others have moved on to Rolexes, emphasizing his stagnation. He insists Carl never leaves his apartment or meets new people, culminating in the label 'cave dweller' to describe his withdrawn, isolated life.",Character Understanding
legacy-enff3a622961b84aa091a2a5babfe2aa18-30,enff3a622961b84aa091a2a5babfe2aa18,en,37、INT. RUDY'S ; 38、INT. RUDY'S - NIGHT,What occurs just before Carl and Rooney decide to find a new bar after being cut off?,Rooney and Carl pound their beers,"In the moments leading up to their departure from Rudy's, Carl and Rooney quickly finish their drinks in one last round before realizing they’ve been cut off, prompting their search for another bar. This final act of downing their beers marks the immediate precursor to their next move. [scene: 37、INT. RUDY'S]",Temporal Reasoning
legacy-enff3a622961b84aa091a2a5babfe2aa18-4,enff3a622961b84aa091a2a5babfe2aa18,en,23、INT. HOLIDAY INN CONFERENCE ROOM,What does Sanji perceive about Carl's emotional state that drives his confrontation during the event?,"Sanji sees that Carl is emotionally detached and stuck in life, having lost touch with his past dreams.","Sanji steps off the stage and walks through the audience toward Carl, who is seated in the back. A spotlight follows him as he crouches beside Carl and asks his name. Carl replies that he is just observing, but Sanji presses him, saying the event was not his idea. Carl hesitates, then agrees it wasn’t his choice to come and calls the whole thing ridiculous. Sanji interrupts, telling Carl he is stuck in life and once had a dream. Carl starts to object, but Sanji continues, asking if he has lost that dream.",Character Understanding
