id,related_scenes,question,answer,related_context,question_type,question_source
1,64.文绣卧室·夏日·内,"在[64.文绣卧室·夏日·内]中, 东宝的职业是什么？",她是日本特务机关的间谍。,我为日本特务机关工作，我现在来保护你。,Character Understanding,broad_coverage_scene
2,50.寝宫·冬日·内,在[50.寝宫·冬日·内]中，溥仪为何任命郑孝胥为内务府大臣？,为了监督清查宫中所有财产。,我任命庄士敦先生的朋友、学者郑孝胥先生为内务府大臣，我让他监督清查宫中所有财产。,Causal-Motivational Reasoning,broad_coverage_scene
3,64.文绣卧室·夏日·内,"在[64.文绣卧室·夏日·内]中, 婉容为什么感到悲伤？",文绣离开了她，她最好的朋友不再回来。,文绣走了，她再也不回来了……她是我最好的朋友。,Character Understanding,broad_coverage_scene
4,2.满洲里火车站月台·冬日·外,"在[2.满洲里火车站月台·冬日·外]中, 溥仪下车时的情绪状态如何？",茫然无措,溥仪茫然无措,Character Understanding,broad_coverage_scene
5,20.故宫小院·夏日·外,二嫫在被推上轿子时说了什么？,二嫫恳求着：‘他是我的孩子！’,二嫫恳求着：‘他是我的孩子！’,Scene Grounding,broad_coverage_scene
6,66.天津码头·夏日,"在[66.天津码头·夏日]中, 溥仪在分别时的情绪如何？",依依不舍,溥仪和庄士敦并肩坐在车中的后座上，依依不舍。,Character Understanding,broad_coverage_scene
7,68.张园内溥仪办公室·夏夜·内,"在[68.张园内溥仪办公室·夏夜·内]中, 婉容说话时的情绪如何？",严肃而恳切,婉容严肃而恳切地：“你现在仍然可以改变主意。”,Character Understanding,broad_coverage_scene
8,21.二嫫住房·夏日·内,溥仪如何描述二嫫的关系？,她不是我乳母，她是陪我玩的人。,"溥仪：""可她不是我乳母，她是陪我玩的人。""",Character Understanding,broad_coverage_scene
9,22.紫禁城院中·夏日·外,溥仪在院中如何呼喊？,哭叫‘二嫫！’,溥仪追到院中哭叫：‘二嫫！’,Scene Grounding,broad_coverage_scene
10,14.监狱牢房·冬日·内,"在[14.监狱牢房·冬日·内]中, 溥仪的当前状态如何？",孤零零地坐在牢房中一动不动,981号囚犯——溥仪孤零零地坐在牢房中的硬板床上，一动不动。,Character Understanding,broad_coverage_scene
