id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-11,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 37、地铁 夜内,曾灵对宋灵的沉默作何反应，这一互动如何促成了两人后来在地铁上谈论爱情？,曾灵确认宋灵的顺从态度,在地铁站，曾灵质问宋灵为何不反驳，宋灵表示认同他的指责，表现出顺从。这一态度让曾灵意识到她的情绪接受度，为后续在地铁中她主动开启关于爱情的对话创造了情感前提。,Causal-Motivational Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-12,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,21、松岗桥／面馆 夜内 （互切） ; 90、乡广播站 日外,从[21、松岗桥／面馆 夜内 （互切）]到[90、乡广播站 日外]，宋灵和曾灵之间的合作状态如何演变？,从共同工作的师徒逐渐发展为彼此信任、无需言语的默契搭档,两人最初以实习指导关系共事，经历短暂冲突后重建联结，曾灵逐步赋予宋灵责任与空间，最终在广播站场景中以相视一笑体现深厚默契，关系由职能性合作升华为情感性共担。,Role-Relation Continuity
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-13,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,4、松岗桥/雨夜小巷（互切） ; 81、海港站 夜 外,从[4、松岗桥/雨夜小巷（互切）]到[81、海港站 夜 外]，张清和曾灵之间的关系发生了怎样的变化？,从对立的前任恋人转变为互认‘最好的朋友’的稳定伙伴关系,两人关系从情感破裂开始，经工作互动与言语冲突，最终在海港站对话中以‘最好的朋友’重新定义角色，完成从敌对到正向社会关系的转变。,Role-Relation Continuity
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-14,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,16、海港站 日外 ; 71、稻城旅店 夜 内,从[16、海港站 日外]到[71、稻城旅店 夜 内]，苏开和曾灵之间的关系如何延续？,始终是彼此信任、共同生活的伙伴，后期发展为能深入交流人生观念的共鸣者,两人从共享餐食、同住同行的日常默契，逐步展现思想层面的交流与认同，关系持续稳定且正向深化，未出现断裂或对立。,Role-Relation Continuity
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-15,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,21、松岗桥／面馆 夜内 （互切） ; 22、海港站 夜外 ; 34、松岗桥 夜内,哪一个事件标志着曾灵与宋灵开始共同应对听众情感问题，并为后续互动模式的确立埋下伏笔？,曾灵介绍宋灵并接听听众电话,该事件首次将宋灵引入广播互动环节，使两人从单向交流转向协作回应听众，由此开启后续一系列以角色配合为核心的剧情发展。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-16,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,2、松岗桥 夜内 ; 2、松岗桥 夜内 ; 3、雨夜 小巷,哪一个事件标志着曾灵从单向播音转向与听众建立情感联结的叙事转折？,曾灵和张清主持节目并接听生日女孩来电,该场景首次展现曾灵通过电台与听众产生真实情感互动，由此开启后续多个听众故事的介入，推动叙事从个人独白转向人际情感交织。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-17,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,17、公司 日内 ; 22、海港站 夜外 ; 36、地铁站 夜内,哪一个事件直接触发了曾灵后续对宋灵的排斥、试探以及立誓争夺收听率的一系列行动？,宋灵当众表示愿跟曾灵实习并自我介绍,该事件打破了曾灵原本封闭的工作状态，引入外来变量，迫使曾灵直面团队变动与个人压力，成为后续冲突与动力升级的导火索。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-18,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 36、地铁站 夜内 ; 22、海港站 夜外,哪一个事件成为曾灵与宋灵关系转变、并推动后续冲突升级及共同回应听众求助的关键转折？,宋灵在被批评后请求曾灵指点,该场景中，宋灵面对曾灵的指责没有反驳，而是主动请求指导，这一姿态打破了两人之间的对抗张力，为曾灵后续的情绪爆发与二人转向合作回应听众问题建立了叙事动力。,Narrative Progression
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-25,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,17、公司 日内 ; 31、办公室 日内,到了台长平息争执、众人散去之时，此前在公司会议上曾灵已做出了什么关键举动？,提出与张清合作新节目并取名‘容嬷嬷’,在争执发生前的公司会议场景中，曾灵主动提议与张清合作，并以玩笑方式命名节目，为后续冲突埋下伏笔，这一发展早于台长出面调解的场景。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-26,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 37、地铁 夜内,在“宋灵与曾灵在地铁上谈论爱情”之前，宋灵先采取了什么关键行动？,宋灵接受批评并寻求指导,在两人于地铁中展开关于爱情的对话前，宋灵刚经历了被曾灵批评并主动请求指点的时刻，这一行为为后续更深入的交流铺垫了情感和动机基础。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-27,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,30、松岗桥 日 内 ; 31、办公室 日内,“曾灵用手堵住宋灵的耳朵”之后不久，台长接下来做了什么？,台长制止闹剧并命令众人返回工作,松岗桥冲突发生后，情节迅速转移到办公室场景，台长出面控制局面并恢复工作秩序，表明事件的直接后续是管理层介入与团队解散。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-28,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,19、胡同 日外 ; 20、胡同 日外,“杨毅抓住逃跑的苏开并质问墙上的小广告”之后不久，杨毅随后意识到了什么？,杨毅偷拍苏开并被曾灵发现,根据场景顺序，该事件发生在同一胡同环境中，前后仅隔一场戏，情节自然衔接：杨毅在控制住苏开后，随即采取进一步行动记录其行为，导致被曾灵当场发现，推动三人关系的紧张升级。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-29,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,18、医院 日外 ; 19、胡同 日外,在“曾灵下令抓捕苏开”之前，苏开先采取了什么关键行动？,看到杨毅后扔下筷子逃跑,在曾灵采取行动之前，苏开因见到杨毅而突然中断用餐，仓促逃离现场，这一反应为后续抓捕提供了直接导火索。,Temporal Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-7,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,21、松岗桥／面馆 夜内 （互切）,在松岗桥与面馆互切的场景中，曾灵完成哪个动作标志着他重新投入工作？,咽下面条后继续播音,曾灵在吃面时接到直播提示，尽管口中还含着面条，他强行咽下并拿起话筒说‘下一个’，这一动作体现他在私人空间与职业身份间的即时切换，是该场戏的核心推进点。,Scene Grounding
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-8,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,36、地铁站 夜内 ; 37、地铁 夜内,宋灵为何会在地铁上主动向曾灵探讨爱情话题？,她在此前接受了曾灵的严厉批评并主动寻求指导,宋灵在被批评后表现出顺从与求教态度，显示出她对曾灵观点的重视，这种心理转变促使她在后续场景中主动开启更深层的对话，包括对爱情的追问。,Causal-Motivational Reasoning
legacy-chdd7e4ae2272bbacd475645b1e574deb4eb829567-9,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,2、松岗桥 夜内 ; 3、雨夜 小巷,在女孩雨中来电倾诉孤独、曾灵讲述稻城之约之前，是什么关键事件促成了这一时刻的对话氛围与情感基调？,曾灵和张清开始主持电台节目并接听来电,电台节目的开启建立了曾灵与听众之间的连接通道，使女孩能在雨夜拨入电话倾诉孤独；播音状态下的曾灵也因此处于倾听与回应的情境中，从而自然引出他对稻城的温柔叙述。这一互动的前提是节目已经开播，主持人身份就位。,Causal-Motivational Reasoning
task2-candidate-03d66cc10ef45b42c9ac,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,51、52,曾灵最初对母亲的思念是如何通过广播回忆被重新激活的，这一情感如何影响了直播氛围？,在广播播放背景下，曾灵回忆起为母亲编辑想吃菜名的短信，这一私人记忆被公开唤起，与宋灵思母倾诉形成情感共振，推动直播情绪深化。,"scene 51: 曾灵（OS）：我也一样 有一年放暑假，我回家之前，我就给我妈编了一个短信，我把我想吃 全部都写在上边。有这个 回锅肉 椒麻鸡 红烧肥肠……
scene 52: 宋灵：我也想吃我妈包的饺子了。我上中学的时候 我妈就去世了。说完宋灵体力不支 趴倒在桌上，曾灵扶着她的肩膀。",Narrative Progression
task2-candidate-0ef4c8b633571cd88a6e,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,45、61,董欣为支持郑欣所做出的牺牲，在郑欣提出分手后产生了哪些延迟后果？,董欣曾旷课做家教、陪郑欣上自习，甚至攒钱试图洗清其冤屈；但郑欣回国后仍提出分手，并承诺还债，使董欣的情感与经济投入成为单向付出，最终导致其情绪崩溃并失踪。,"scene 45: 曾灵（VO）：从那天开始，董欣旷课去做家教，有空就陪郑欣上自习。在最固定的清晨和黄昏，全校师生都能看到他们走过这一条，校园最美丽的道路。
scene 61: 郑欣：你的那些钱，一共 20 万，我都记着呢。我一赚到钱，就马上还给你。董欣：没关系，我不缺钱。……董欣跪在地上大哭，出租车疾驰而去。从这个夜晚开始，董欣突然不见了，谁也找不到他。",Narrative Progression
task2-candidate-1e639ae9b5d7d3bb179b,chdd7e4ae2272bbacd475645b1e574deb4eb829567,zh,91、92,曾灵在冲突事件后决定走下去，这一心理转变是否影响了他后续对个人方向的确立？,是，曾灵在集市事件后决定不再放弃，在家庭等待场景中进一步确认无法挽回的离别，明确自己该去哪。,"scene 91: 曾灵（VO）：我改变不了别人的命运，因为我连自己该去哪都不知道。以前我会放弃，但现在我决定走下去。
scene 92: 曾灵（OS）：有些人等不到了，因为每个人都有属于自己的路，我知道自己该去哪",Scene Grounding
