id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-12,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,1、1场，长滩公园外，日 ; 62、57场A，基隆街道，晨,从[1、1场，长滩公园外，日]到[62、57场A，基隆街道，晨]，胡墤对董彤的照护方式发生了怎样的变化？,从作为配偶共同应对危机，转为以亲属身份提供日常照料,早期场景中胡墤在董彤惊恐时试图拉住他，体现配偶间的相互扶持；后期她在拿药后扶董彤坐下，动作自然，显示关系已转为家庭内部的照护性亲属角色。虽始终维持正向关怀，但关系性质从婚姻伴侣转向更接近亲属间的日常照护。,Role-Relation Continuity
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-14,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,46、43场B，祠堂，日 ; 81、71场，鹿原酒店，日,从[46、43场B，祠堂，日]到[81、71场，鹿原酒店，日]，孙妍对吴容的态度和互动方式发生了怎样的具体变化？,从拒绝与吴容直接对话转变为当面激烈敌对并试图刺杀,在祠堂场景中，孙妍回避与吴容交谈，需通过他人传话，表现出冷处理的对立；而在医院场景中，孙妍直接斥责吴容为‘老奸’并动手攻击，关系升级为公开的暴力敌对。尽管中间曾短暂出现合作迹象，但最终关系彻底破裂。,Role-Relation Continuity
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-15,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,31、30场，鹿原酒店，夜 ; 31、30场，鹿原酒店，夜 ; 32、31场，站，夜,哪个事件标志着叶琮与邹开关系实质性推进，并为后续假钞合作及危机应对建立行动基础？,叶琮迎邹开进屋喝酒,该场景是叶琮主动将邹开引入私密空间的首次实质性接纳，打破了此前观望与试探的僵局，直接开启了合作叙事线，并为后续展示假钞、提出合作及处理突发干扰提供了情境前提。,Narrative Progression
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-16,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,34、33场，长滩公园内外，接前场 ; 17、17场，山坡，黄昏 ; 18、18场，郑宁宅，夜,在长滩公园内外的场景中，哪一个行动直接促成了安瑶与朱宇踏上南下旅程，并引发后续在火车、救护站及医院走廊的一系列关键互动？,安瑶跟随朱宇离开病房,该行动标志着安瑶从被动旁观转向主动参与朱宇的寻亲之路，打破了此前在医院的僵局，开启了两人共同面对外部危机的叙事阶段，成为连接后续空间转移与情感张力升级的枢纽事件。,Narrative Progression
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-18,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,38、37场，长滩公园内外，日 ; 38、37场，长滩公园内外，日 ; 39、38场，田寮港妓区赌场，黄昏入夜,邹开与丁皓探望叶琮亲并打听其下落，这一举动如何成为后续赶往医院、追车命令及托付后事等一系列行动的叙事转折点？,邹开与丁皓探望叶琮亲并打听叶琮下落,该场景首次将邹开与丁皓的关切从街头冲突转向叶琮的个人命运，通过探访其母获取关键信息，触发了对叶琮伤情的确认与后续救援、追责及善后行动，构成了情感与行动走向的转折枢纽。,Narrative Progression
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-25,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,1、1场，长滩公园外，日 ; 42、41场，街道，黄昏,到了丁皓调笑彭真惹怒龙霞遭殴打时，龙霞此前在长滩公园外做了什么来打发时间？,玩硬币,在事件发生前，龙霞于长滩公园外通过玩硬币消磨时间，这一行为发生在冲突场景之前，为角色状态提供了前置动作依据。,Temporal Reasoning
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-26,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,29、29场A，金瓜石医院，接前场 ; 34、33场，长滩公园内外，接前场,到了安瑶跟随朱宇离开病房时，此前在医院里已发生的哪个关键互动使这一行动成为可能？,朱宇进入房间与安瑶交谈,安瑶同意离开病房的前提是朱宇先到医院与其面谈，这一接触发生在两人共处的病房场景中，构成了后续行动的直接铺垫。,Temporal Reasoning
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-27,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,31、30场，鹿原酒店，夜 ; 32、31场，站，夜,在“叶琮向邹开展示假钞并邀其合作造假”之前，前面先发生了什么关键情节？,注意到邹开驻足并亲切地出门迎接,在邀请邹开合作造假之前，叶琮已主动示好，通过出门迎接展现亲近态度，为后续拉拢合作铺垫信任氛围。该举动发生在前一场戏中，时间上紧接且构成情感铺垫。,Temporal Reasoning
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-28,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,30、29场B，鹿原酒店，接前场 ; 31、30场，鹿原酒店，夜,“朱宇寻夫遭误会叶琮调笑引尴尬”之后不久，紧接着发生了什么？,朱宇拒绝停留，坚持带邹开回医院并独自离开,朱宇在误会缓解后立即表明去意，强调邹开需继续治疗，随即准备离场，情节自然推进至她独自带人离开鹿原酒店。,Temporal Reasoning
legacy-chad83aa5c1d76c9068cb7f2693704827931d91b36-30,chad83aa5c1d76c9068cb7f2693704827931d91b36,zh,38、37场，长滩公园内外，日 ; 40、39场，矿工鹿原酒店内外，清晨,在“邹开与丁皓捐钱托陈宇办叶琮后事”之前，前面先发生了什么关键情节？,叶琮家,在捐钱托付后事之前，邹开与丁皓曾一同从长滩公园离开，该场景紧接叶琮去世后的家庭互动，标志着他们正式介入后事安排的开端。,Temporal Reasoning
