id,related_scenes,question,answer,related_context,question_type,question_source
1,50、INT. TRIBAL VILLAGE HUT,Why is the video recorder present in the scene?,To record the tribal elders' activities.,"The hand-held camera is filming, and the video recorder is on the ledge.",Causal-Motivational Reasoning,broad_coverage_scene
2,52、INT. AMERICAN EMBASSY CIA SECTION - MAYA'S CUBICLE - DAY,What does Jessica claim about the Jords?,The Jords have a mole!,JESSICA The Jords have a mole!,Character Understanding,broad_coverage_scene
3,46、INT. MARRIOTT HOTEL RESTAURANT - NIGHT,What does Maya believe about Faraj's decision to withhold information?,She believes it's a good thing as it reveals Faraj's priorities.,It's a good thing because the fact that Faraj withheld on Abu Ahmed is revealing.,Character Understanding,broad_coverage_scene
4,11、INT. BLACK SITE - AFTERNOON,What action causes Maya to flinch when Daniel pulls down Ammar's pants?,Ammar's nakedness is revealed as Daniel pulls down his pants.,Daniel pulls down Ammar's pants. Maya flinches at the bare nakedness.,Scene Grounding,broad_coverage_scene
5,22、INT. AMERICAN EMBASSY - KITCHEN,What does Jessica imply about greed and ideology?,Greed might override ideology in some members.,You're assuming that greed won't override ideology in some of the weaker members.,Character Understanding,broad_coverage_scene
6,25、INT. FRIGATE - BLACK SITE - POLAND - DAY,"In [25、INT. FRIGATE - BLACK SITE - POLAND - DAY], What is Hakim's role according to the passage?",CIA's most important asset and former political prisoner,"This fatherly man is HAKIM, a former political prisoner in Afghanistan and one of the CIA's most important assets.",Character Understanding,broad_coverage_scene
7,20、INT. RESEARCH ROOM - LATER,"In [20、INT. RESEARCH ROOM - LATER], What is the Prisoner's behavioral response to the photograph?",Nods and repeats 'Abu Ahmed',PRISONER (NODS) ... Abu Ahmed. Abu Ahmed. Abu Ahmed.,Character Understanding,broad_coverage_scene
8,15、EXT. BLACK SITE - AFTERNOON,"In [15、EXT. BLACK SITE - AFTERNOON], What is Ammar's emotional state during the conversation?",Lost and conflicted,Ammar is lost. I wanted to kill Americans.,Character Understanding,broad_coverage_scene
9,43、EXT. BLACK SITE - PRE-DAWN,What does Maya say about Faraj's knowledge of Abu Ahmed?,Faraj is completely denying knowing Abu Ahmed.,"MAYA: Faraj is completely denying knowing Abu Ahmed, and that's using every measure we have.",Character Understanding,broad_coverage_scene
10,6、INT. AMERICAN EMBASSY CIA SECTION - STAIRCASE - ISLAMABAD,What detail about Bradley's appearance is mentioned?,His fingernails still have blood not fully buffed out.,"Chief of Station, Pakistan, a smooth, vain, sophisticated former case officer who hasn't quite buffed all the blood out of his fingernails.",Scene Grounding,broad_coverage_scene
11,17、INT. RESEARCH ROOM - MOMENTS LATER,"In [17、INT. RESEARCH ROOM - MOMENTS LATER], What is the prisoner's emotional state during the interrogation?",Distressed,The prisoner moans.,Character Understanding,broad_coverage_scene
12,35、EXT. GARDEN COMPLEX - DAY,"In [35、EXT. GARDEN COMPLEX - DAY], What do the black burkhans indicate?",Heavily armed Pakistani agents.,The black burkhans descend on Faraj. It turns out they are heavily armed Pakistani agents.,Scene Grounding,broad_coverage_scene
13,54、INT. AMERICAN EMBASSY ISLAMABAD - BRIEFING ROOM - NIGHT,What does Jessica say about Balawi's travel plans?,He's not going to travel - security RISK,JESSICA: He's not going to travel - security RISK,Character Understanding,broad_coverage_scene
14,11、INT. BLACK SITE - AFTERNOON,What does Daniel do with the dog collar when he re-enters the scene?,He snaps the collar and leash around Ammar's neck after unhooking him.,"Daniel unhooks Ammar, snaps the collar and leash around his neck, as Ammar cries out against the humiliation.",Scene Grounding,broad_coverage_scene
15,53、INT. AMERICAN EMBASSY CIA SECTION - STATION CHIEF'S OFFICE -,What caused the person to be convinced to turn on Al Qaeda?,"The Jords' efforts of dinners, money, and persuasion.","The Jords worked him for a year. Dinners, money. They've convinced him that it's his patriotic duty to turn on Al Qaeda and get rich doing it.",Causal-Motivational Reasoning,broad_coverage_scene
