id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,ene31a5765eef2481ba7f4a03de7180508,en,44、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY,What does Mike aim to do after being targeted by Stan in the cafeteria?,Expose Stan as a coward,"After leaving the Wonder Bras' table, Mike is confronted when Stan throws a basketball at him. Mike catches it, mocks the name on Stan's jacket, and draws laughter. He addresses the cafeteria, portraying Stan as a superficial bully, then feigns throwing the ball at him—causing Stan to flinch. Mike instead tosses it gently back, amplifying the humiliation. The crowd reacts loudly, and amid the chaos, a stray ball hits Miss Goodwin, who blames Stan.",Character Understanding
2,ene31a5765eef2481ba7f4a03de7180508,en,21、INT. ED'S HOUSE - MORNING,What does Ed intend when he wobbles to the door after polishing his nails?,Confront Mike,"Ed, wrapped in a robe with tissue between his toes and fresh nail polish, wobbles to the door and opens it to find Mike—covered in mud, disheveled, and appearing exactly 17 years old. Ed reacts with a scream, slams the door, and stumbles back, only for muddy footprints to reappear inside, tracking up the stairs toward the bathroom.",Character Understanding
3,ene31a5765eef2481ba7f4a03de7180508,en,23、INT. ED'S HOUSE/FOYER - DAY,"In [23、INT. ED'S HOUSE/FOYER - DAY], what objective motivates Ed's attempt to open the door before Mike tackles him?",To escape the confrontation,"Ed reaches the door and fumbles with the locks, finally managing to open it. Just as the door swings open, Mike lunges forward and tackles him to the floor. The two men roll across the ground, limbs tangled, struggling against each other. Amid the chaos, Mike shouts, 'Calm down! We need to talk! We can work this out!' They freeze when they hear a voice from the doorway. A Latino maid stands there, crossing herself and muttering prayers in Spanish. Ed quickly says, 'Maria, we're just friends. Really.' The maid hurries away, still whispering to herself.",Character Understanding
4,ene31a5765eef2481ba7f4a03de7180508,en,33、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY,What does Maggie's reaction to the prank reveal about her view of Stan's behavior toward Mike?,She sees Stan as someone who crosses a line with his pranks and needs to be called out.,"After Mike walks away with ice cream dripping down his face, Maggie turns to Stan and says, 'That was so not cool.' Stan shrugs and replies, 'I'll buy you another ice cream.'",Character Understanding
5,ene31a5765eef2481ba7f4a03de7180508,en,49、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,What action marks Mike's departure from the backyard scene?,Mike walks back toward the house and steps inside,"After the conversation, Mike turns and walks back toward the house, pausing briefly at the door before stepping inside. Scarlet remains in the yard, motionless, watching the spot where he disappeared as the breeze stirs her hair.",Scene Grounding
6,ene31a5765eef2481ba7f4a03de7180508,en,44、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY,What action initiates the confrontation between Mike and Stan in the cafeteria?,Stan throws a basketball at Mike and demands it back,"After leaving the Wonder Bras' table, Mike is approached by Stan, who hurls a basketball at him, sparking a public confrontation. Mike catches the ball mid-air and mocks the name 'Stan' stitched on the letter jacket. As tension escalates, Mike dribbles and spins the ball while delivering a mocking psychological analysis of Stan's behavior, drawing laughter from the crowd. He feigns throwing the ball at Stan, who flinches, then gently tosses it back, intensifying the humiliation. Amid the chaos, another student throws a ball that misses Mike and hits Miss Goodwin’s tray, splattering her with food, leading her to glare at Stan.",Scene Grounding
7,ene31a5765eef2481ba7f4a03de7180508,en,49、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,What action disrupts the conversation between Scarlet and Mike in the backyard?,Alex interrupts their conversation,"Mike and Scarlet are talking in the backyard about her landscaping work when Mike uses the nickname 'Scar,' causing her to stiffen. Before she can respond, Alex appears at the door and calls out to Mike, interrupting their exchange. Mike then says goodbye to Scarlet and goes inside.",Scene Grounding
8,ene31a5765eef2481ba7f4a03de7180508,en,29、INT. ED'S HOUSE/KITCHEN - NIGHT; 23、INT. ED'S HOUSE/FOYER - DAY,What action by Ed directly provokes the physical confrontation in which Mike tries to restrain him?,Ed confiscates and drinks Mike's beer,"In the kitchen, Mike opens a beer, but before he can drink it, Ed takes the beer and consumes it himself. Ed, visibly agitated, accuses Mike of dragging him into trouble again and refuses to return to Fitch High, establishing tension rooted in control and resistance. This act of taking the beer escalates the underlying friction, directly preceding the struggle in the foyer where Mike tackles Ed in an attempt to de-escalate his behavior, resulting in a physical scuffle.",Causal-Motivational Reasoning
9,ene31a5765eef2481ba7f4a03de7180508,en,21、INT. ED'S HOUSE - MORNING; 22、INT. BATHROOM - DAY,What event immediately provokes Ed's violent reaction and escape when confronted by Mike?,Mike arrives at Ed's door transformed and covered in mud,"Ed, wrapped in a robe with tissue between his toes and fresh nail polish, opens his front door to find Mike—seventeen years old, suit torn, and covered in mud—standing in the doorway. Shocked, Ed screams and slams the door, only for muddy footprints to later appear inside, trailing up the stairs toward the bathroom. This intrusion sets the stage for their next encounter, where Mike grabs Ed and demands help, prompting Ed to knee him and flee.",Causal-Motivational Reasoning
10,ene31a5765eef2481ba7f4a03de7180508,en,22、INT. BATHROOM - DAY; 22、INT. BATHROOM - DAY,What moment directly triggers Mike's frantic reaction to his physical transformation?,Ed points to mirror while whimpering,"In the bathroom, after Ed whimpers and points toward the mirror, Mike turns and sees his reflection as a 17-year-old. His horrified reaction begins immediately—he screams, splashes water on his face, and tries to wipe away the change, but the youthful appearance remains. This moment sets off his escalating desperation to reverse or deny the transformation, culminating in his frantic disrobing and demand for Ed to intervene.",Causal-Motivational Reasoning
