id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-10,ene9057ea21d1c4171b3eb1b705a5763fb,en,9、INT. DFI OPEN PLAN Maplewood Plaza ; 10、INT. DFID Finley Marlowe'S Maplewood Plaza. DAY.,What event directly leads to Finley Marlowe being disinvited from Question Time due to concerns about his messaging discipline?,Riley Finch criticizing Finley Marlowe's communication style during an Maplewood Plaza argument,"During a heated exchange in Finley Marlowe's Maplewood Plaza, Riley Finch confronts him with sharp criticism over his manner of speaking, likening it to a panicky chimp trapped in a washing machine. This confrontation establishes Riley Finch’s perception of Finley Marlowe as undisciplined in messaging, which he later cites as the reason for disinviting Finley Marlowe from Question Time, insisting he cannot handle high-stakes media without deviating from the official line.",Causal-Motivational Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-11,ene9057ea21d1c4171b3eb1b705a5763fb,en,28、INT. NUMBER TEN - DAY ; 118、INT. Cedar Ridge Medical Center - DAY,What action by Riley Finch directly enables his later assertion of control over Finley Marlowe’s resignation?,Riley Finch dismisses Adrian Langley and Emery Davenport from the Maplewood Plaza,"In a closed meeting, Riley Finch tells Adrian Langley and Emery Davenport to leave, isolating Finley Marlowe and establishing dominance before pressuring him on loyalty and strategy. This moment of exclusion sets the stage for Riley Finch to later dictate the terms of Finley Marlowe’s resignation without witnesses or opposition, culminating in his authoritative command to draft the letter.",Causal-Motivational Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-12,ene9057ea21d1c4171b3eb1b705a5763fb,en,7、EXT. STREET NEAR WHITEHALL. DAY. ; 118、INT. Cedar Ridge Medical Center - DAY,What action by Riley Finch directly leads to his decision to fire Finley Marlowe over the wall collapse?,Riley Finch authorizes a journalist to publish false information,"In a phone conversation on a street near Whitehall, Riley Finch instructs a journalist to publish a false story, using personal leverage to ensure compliance. He displays a pattern of manipulating information and intimidating subordinates, evident in his sarcastic tone toward Adrian Langley and aggressive threats to a colleague. Later, when news of the wall collapse reaches him, Riley Finch immediately holds Finley Marlowe accountable, asserting the firing decision was inevitable the moment he learned of the incident—despite Finley Marlowe’s protests and the absence of direct communication with the Finley Hawthorne. The earlier act of sanctioning misinformation establishes Riley Finch’s willingness to shape narratives through deception, which directly motivates his abrupt and unjustified dismissal of Finley Marlowe to control the political fallout.",Causal-Motivational Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-13,ene9057ea21d1c4171b3eb1b705a5763fb,en,7、EXT. STREET NEAR WHITEHALL. DAY. ; 106、INT. Riverside Station - SAME TIME,What specific professional role does Parker Hale continue to hold in relation to Remy Hayes from their first interaction to the later scenes in the Riverside Station?,trusted colleague and collaborative partner,"From their initial interaction [7、EXT. STREET NEAR WHITEHALL. DAY.], where Remy Hayes hands Parker Hale a croissant with a knowing comment indicating shared Maplewood Plaza awareness, through multiple scenes including coordinated work in Riverside Station [11、INT. Riverside Station - DAY], shared domestic-space familiarity [12、INT. DFID/INT Riverside Station MICHAELS Maplewood Plaza], joint task execution [87、INT. Riverside Station - DAY], and continued presence during a professional crisis [106、INT. Riverside Station - SAME TIME], Parker Hale consistently functions as a trusted colleague and collaborative partner to Remy Hayes, engaging in mutual decision-making, direct communication, and shared responsibilities without shifts in hierarchical standing or relational role.",Role-Relation Continuity
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-14,ene9057ea21d1c4171b3eb1b705a5763fb,en,73、INT. Cedar Grove Theater. CORRIDOR/BATHROOM - DAY ; 112、INT. Riley Sinclair'S Maplewood Plaza - DAY,How does Riley Finch's treatment of Tristan Keaton Riley Sinclair evolve from their confrontation in the Cedar Grove Theater corridor to their exchange in Riley Sinclair's Maplewood Plaza?,Riley Finch continues to treat Tristan Keaton Riley Sinclair as a threat,"From their initial confrontation in the Cedar Grove Theater, where Riley Finch challenges Riley Sinclair with anger and sarcasm, through their later encounters at the Cedar Ridge Medical Center mediation room and in Riley Sinclair's Maplewood Plaza, Riley Finch consistently displays hostility, using personal insults and disdain to position Riley Sinclair as an adversary, while Riley Sinclair responds with mockery and dismissal, maintaining a mutually antagonistic dynamic.",Role-Relation Continuity
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-15,ene9057ea21d1c4171b3eb1b705a5763fb,en,28、INT. NUMBER TEN - DAY ; 25、EXT. Riverside Station - DAY ; 118、INT. Cedar Ridge Medical Center - DAY,"What pivotal moment shifts the narrative toward Finley Marlowe's public exposure, his dismissal over the wall collapse, and Riley Finch's retaliatory move through Adrian Langley?",Adrian Langley Proposes Making Finley Marlowe's War Opposition Public,"In the aftermath of growing political pressure, Adrian Langley devises a strategy to leverage Finley Marlowe's opposition to the war by threatening to expose it publicly. This decision sets off a chain of consequences: Finley Marlowe and his team withdraw under media scrutiny, Riley Finch terminates Finley Marlowe following the fallout from the wall collapse, and Riley Finch dispatches Adrian Langley with an implicit threat while deriding Emery Davenport. The proposal marks the critical inflection point that aligns these developments. [28、INT. NUMBER TEN - DAY]",Narrative Progression
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-16,ene9057ea21d1c4171b3eb1b705a5763fb,en,7、EXT. STREET NEAR WHITEHALL. DAY. ; 111、INT. Cedar Ridge Medical Center CORRIDOR - DAY ; 8、INT. Finley Marlowe'S Maplewood Plaza - DAY.,What pivotal event sets in motion Riley Finch's confrontation with Finley Marlowe and the subsequent fallout over the wall collapse?,Riley Finch's Call and the Lift Encounter,"The sequence leading to Riley Finch's direct intervention begins with a critical phone call and an encounter in the lift, which triggers his growing suspicion and urgency. This moment shifts the narrative trajectory, prompting Riley Finch to send Adrian Langley for the blue folder, personally confront Finley Marlowe upon arrival, and ultimately hold him accountable for the wall collapse, marking a definitive break in their working relationship. [7、EXT. STREET NEAR WHITEHALL. DAY.]",Narrative Progression
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-17,ene9057ea21d1c4171b3eb1b705a5763fb,en,9、INT. DFI OPEN PLAN Maplewood Plaza ; 8、INT. Finley Marlowe'S Maplewood Plaza - DAY. ; 118、INT. Cedar Ridge Medical Center - DAY,"What pivotal moment shifts the conflict between Riley Finch and Finley Marlowe into open confrontation, setting off a chain of escalating tensions?",Riley Finch Mocks Finley Marlowe During Heated Maplewood Plaza Argument,"In the open-plan Maplewood Plaza, a charged argument erupts between Riley Finch and Finley Marlowe, escalating from professional disagreement into personal insult when Riley Finch mocks Finley Marlowe. This moment fractures their working relationship, triggering Riley Finch’s subsequent actions to reassert control, including confronting Finley Marlowe with Adrian Langley present, terminating his position over the wall collapse, and provoking Finley Marlowe’s defiant response amid mounting hostility. [9、INT. DFI OPEN PLAN Maplewood Plaza]",Narrative Progression
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-25,ene9057ea21d1c4171b3eb1b705a5763fb,en,4、INT. Riley Finch'S Maplewood Plaza. DAY. ; 28、INT. NUMBER TEN - DAY,"By the time Riley Finch confronts Finley Marlowe over his public statements, what specific moment in the radio broadcast has already taken place?",Taylor Ellison mentions the word 'war',"Before Riley Finch confronts Finley Marlowe about his rhetoric, a pivotal moment occurs during a live radio broadcast in which Taylor Ellison introduces the term 'war' to describe the political climate. This moment sets off a chain of reactions that culminates in the confrontation at Number Ten, establishing the broadcast as a narrative catalyst for the ensuing conflict.",Temporal Reasoning
legacy-ene9057ea21d1c4171b3eb1b705a5763fb-26,ene9057ea21d1c4171b3eb1b705a5763fb,en,28、INT. NUMBER TEN - DAY ; 118、INT. Cedar Ridge Medical Center - DAY,"By the time Riley Finch takes control at the Cedar Ridge Medical Center, what has already taken place between him and Finley Marlowe?",Riley Finch confronts Finley Marlowe about his conduct,"Before Riley Finch assumes command during the Cedar Ridge Medical Center address, he directly challenges Finley Marlowe over his inflammatory rhetoric and inappropriate behavior in a private meeting at Number Ten. This confrontation sets the stage for Riley Finch's subsequent rise to leadership, establishing a clear shift in power dynamics between the two characters.",Temporal Reasoning
