id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-12,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,45、街道，日，外 ; 21、乡间小路，夜，外,在‘老三站在屋里，手里还提着冰糖，静秋说要断绝来往’之前，静秋对组织考验的顾虑如何影响了她与老三的关系发展？,静秋表达对组织考验的担忧,静秋在午休时与老三接触，因处于转正期而担心被组织批评，表现出回避倾向。这种对政治审查的忧虑为她后续决意疏远老三埋下动机，成为她提出断绝来往的重要心理动因。,Causal-Motivational Reasoning
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-14,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,15、舞台，日，内 ; 82、静秋家，日，内,从[15、舞台，日，内]到[82、静秋家，日，内]，静秋和魏红之间的互动方式如何演变？,从单向关怀发展为双向秘密协作,初期魏红主动为静秋母亲寻偏方，表现出对静秋的关心与支持；后续两人共同编金鱼、自然对话、互相扶持，关系趋于平等亲密；最终静秋在魏红耳边低声交流，显示出信任基础上的策略性沟通。整体呈现从单向照拂到双向配合的演进。,Role-Relation Continuity
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-16,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,12、田地，日，外 ; 12、田地，日，外 ; 13、张队长家，日，内,哪一个事件成为推动后续老三走进房间看静秋写作并换灯泡、赠送新钢笔，以及两人约定县城重逢等情节发展的关键转折？,静秋听见打闹声后望见老三逗欢欢,该场景中，静秋注意到老三与欢欢的互动，首次清晰感知到他对她的特别关注，这一观察打破了此前两人之间的拘谨距离，为后续亲密互动和情感承诺的展开提供了动机基础。,Narrative Progression
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-17,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,5、张队长家，日，外 ; 10、田间小路，日，外 ; 29、操场，日，外,哪一个行动触发了后续常林与静秋之间互动关系转变的一系列事件？,常林见静秋后去挑水,该行动标志着常林在情感上的初步回应，打破了此前的疏离状态，为静秋后续的关心行为提供了动机基础，成为两人关系由冷转暖的起点。,Narrative Progression
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-26,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,10、田间小路，日，外 ; 32、河边，日，外,到了老三在河边归还排球并表白偷看静秋打球时，在这之前已经发生的关键发展是什么？,常芳介绍老三给静秋,在河边场景之前，田间小路上常芳已将老三引荐给静秋，这一介绍为后续老三与静秋的互动提供了前提，是两人关系发展的初始节点。,Temporal Reasoning
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-27,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,20、厨房，夜，内 ; 21、乡间小路，夜，外,在“静秋拒收冰糖并决意断绝来往”之前，静秋先采取了什么关键行动？,询问老三做饭的来源,静秋在乡间小路拒绝冰糖并决定断绝关系前，曾在厨房夜戏中主动询问老三饭菜的来源，这一举动体现了她对老三生活细节的关注，也为后续情感转折埋下伏笔。,Temporal Reasoning
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-28,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,35、静秋家，日，内 ; 36、河边，日，外,“静秋走向河边时老三默默跟随”之后不久，静秋接着说起了什么？,静秋向老三透露家庭困境和对未来的担忧,情节从静秋家中出发走向河边开始，紧接着在下一场景河边展开深入对话。两人关系在此推进，静秋首次坦露家庭压力与前途忧虑，构成情感发展的重要转折点。,Temporal Reasoning
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-3,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,46、篮球场，日，外,静秋拿出自己编的金鱼时，她最想传达的是什么？,表达心意,静秋特意编了第三只金鱼送老三，前两只不满意都扔了，说明她重视这份礼物；她亲手将金鱼挂上老三的钥匙串，动作细腻含蓄，流露出以手工寄托情感的深意。老三的动容与后续亲吻额头的回应，也印证这是情感传递的关键时刻。,Character Understanding
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-30,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,12、田地，日，外 ; 13、张队长家，日，内,在“静秋告诉老三将回市里排练，两人约定归来时在县城相见”之前，前面先发生了什么关键情节？,与静秋讨论犯错误的担忧,在两人即将分别前的田地场景中，老三与静秋谈及对关系逾越的顾虑，这一对话为后续静秋提出回市排练及约定重逢埋下情感铺垫，构成时间线上的前置心理动因。,Temporal Reasoning
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-32,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,47、河边，日，外,在河边的场景中，老三为什么执意让静秋换上泳衣下水？他这么说的直接用意是什么？,想让静秋在大风大浪中锻炼并放松一下,老三：毛主席教导我们说，要在大风大浪中锻炼，孙建新教导我们说，静秋同志很辛苦，应该放松一下。,Character Understanding
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-33,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,37、亭子，日，外,在亭子里，面对老三的承诺，静秋虽然没明说，但她最放不下的心事是什么？,担心老三因家庭压力放弃与她的关系,静秋有些不悦：你又出尔反尔了？ 老三：我不是胡说，连我父亲都要恢复工作了，他给弟弟写信，让我回省城去，说家里又要给我介绍对象。,Character Understanding
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-34,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,47、河边，日，外,在河边，静秋嘴上说不想穿泳衣，行动上也犹豫不决，她内心真正挣扎的是什么？,既想顺从老三又感到羞怯不安,静秋：我不想穿。 静秋上身披着白色外套，下面露着大腿，慢慢悠悠走到了河边。 静秋来到了河边，用脚丫轻轻的踢着水，但还是不敢下去。,Character Understanding
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-4,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,48、篮球场，日，内,老三蹲下查看静秋的脚，此时他最想实现的目标是什么？,送鞋保护她的伤脚,老三看到静秋脚伤严重，主动拿出雨鞋希望她穿上，既表达关心，也用激烈言辞打消她的顾虑，确保她接受帮助。,Character Understanding
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-5,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,8、乡间小路，日，外,在[8、乡间小路，日，外]这场戏中，推动老三与静秋初次互动的关键动作是什么？,老三看向静秋,老三从帐篷走出后，因欢欢的示意望向静秋，这一目光引发静秋低头、微笑，进而促使老三抱起欢欢过河与她交谈，开启了两人关系的起点。,Scene Grounding
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-7,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,35、静秋家，日，内,在[35、静秋家，日，内]这场戏中，推动后续关系发展的核心动作是什么？,静秋背着书包走向河边,静秋独自前往河边并登船，老三在远处默默跟随，两人未交谈但行动连贯，这一系列行为奠定了两人关系悄然发展的基调，静秋的前行是触发后续跟随与会合的关键。,Scene Grounding
legacy-ch3a57b2f5c710ef650faa2af0210b76d702c456a7-8,ch3a57b2f5c710ef650faa2af0210b76d702c456a7,zh,21、乡间小路，夜，外 ; 44、篮球场，日，外,在‘老三目送静秋推车离开’之前，哪一个关键互动导致他选择沉默地放手？,静秋决绝表示要断绝来往并归还物品,静秋在面对老三送来的冰糖时态度冷淡，明确表示要还清钱物并断绝关系，使老三陷入沉默，这一反应成为他后续不再挽留、默默目送她离开的情感转折点。,Causal-Motivational Reasoning
