id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en907f369c73384a6a9b4d5cc8b683203a-1,en907f369c73384a6a9b4d5cc8b683203a,en,45、INT. KITCHEN/WESTON LIVING ROOM - AFTERNOON,What does Clara Ford's confrontation with Jenna Ford reveal about her view of Jenna Ford's priorities?,She believes Jenna Ford values obscure films more than family obligations.,"Clara Ford enters and pulls a bottle of Merlot from William Ford's grocery bag. As she passes through, she notices Jenna Ford turning on the TV loudly. She stops and asks if that was the reason Jenna Ford was in such a hurry to get home. Jenna Ford says it’s the 1925 version of *Phantom of the Opera*, with a color-restored scene. Clara Ford scoffs, saying it can be found at any Blockbuster. Steve appears in the archway and comments that it sounds cool. Clara Ford turns back to Jenna Ford, reminding her that she had been upset about missing the funeral, and asks if her real concern was making it back in time to watch the movie. Jenna Ford says she guesses so. Clara Ford gives her a sharp look and leaves. William Ford takes the wine from Steve and follows her out. Steve stays behind, watching the TV.",Character Understanding
legacy-en907f369c73384a6a9b4d5cc8b683203a-10,en907f369c73384a6a9b4d5cc8b683203a,en,9、INT. WESTON HOUSE - DAY ; 11、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,What event immediately before Clara Ford sees Jenna Ford smoking establishes her emotional and psychological state in that moment?,William Ford drives rental car with Clara Ford and Jenna Ford,"William Ford drives a rental car through the flat, brown plains with Clara Ford in the front and Jenna Ford in the back. During the quiet, tense drive, Clara Ford reflects on the desolation of the landscape, framing it as a spiritual burden rather than just a region. William Ford attempts to comfort her with a touch, which she rejects, leaving an unspoken tension between them. This moment of emotional exposure and restraint directly precedes Clara Ford’s reaction to Jenna Ford smoking, shaping her overwhelmed response.",Causal-Motivational Reasoning
legacy-en907f369c73384a6a9b4d5cc8b683203a-11,en907f369c73384a6a9b4d5cc8b683203a,en,45、INT. KITCHEN/WESTON LIVING ROOM - AFTERNOON ; 48、INT. THE WORKSHOP AT THE BACK OF THE BARN - DAY,What action by Clara Ford immediately prior to the argument in the workshop provokes the tense exchange of chairs with William Ford?,Clara Ford takes wine from William Ford's grocery bag,"In the kitchen, Clara Ford removes a bottle of Merlot from William Ford's grocery bag without asking. Her dismissive attitude toward Jenna Ford’s interest in a restored film and her insensitivity about the missed funeral escalate the household tension. William Ford retrieves the wine and follows her outside, setting the stage for their unresolved confrontation later in the workshop, where they silently hand off chairs while arguing, their movements reflecting the lingering friction from her earlier action.",Causal-Motivational Reasoning
legacy-en907f369c73384a6a9b4d5cc8b683203a-12,en907f369c73384a6a9b4d5cc8b683203a,en,"63、INT. WESTON HOUSE, LIVING ROOM - AFTERNOON ; 70、EXT. WESTON HOUSE - DAY ; 71、INT. THE WESTON HOUSE/KITCHEN - DAY ; 72、INT. FRONT HALLWAY - CONTINUOUS ; 73、EXT. WESTON HOUSE - CONTINUOUS",Why does Iris Weston's plan to leave with Cameron Jr. turn into a permanent rupture with Clara Ford?,"After Iris Weston prepares to disclose the relationship, Clara Ford opposes it and Vivian Weston reveals that Iris Weston and Cameron Jr. are siblings; Iris Weston experiences Clara Ford's intervention as part of the betrayal and rejects her attempts to explain.","Scenes 63 and 70-73 show the private bond, attempted disclosure, family-secret revelation, and Iris Weston's departure.",Causal-Motivational Reasoning
legacy-en907f369c73384a6a9b4d5cc8b683203a-13,en907f369c73384a6a9b4d5cc8b683203a,en,47、EXT. WESTON BACKYARD - AFTERNOON ; 47、EXT. WESTON BACKYARD - AFTERNOON,What action immediately precedes Clara Ford kicking open the barn door during the argument with William Ford?,Clara Ford rushes from the back porch to the old barn,"Clara Ford bursts out of the back porch screen and into the yard, heading quickly toward the old barn, with William Ford following behind. As they argue about parenting and responsibility, she emphasizes that their daughter should be learning character from them, particularly from William Ford, whom she accuses of emotional abandonment. The tension escalates as she approaches the barn, leading directly to her kicking open the stuck door.",Causal-Motivational Reasoning
legacy-en907f369c73384a6a9b4d5cc8b683203a-14,en907f369c73384a6a9b4d5cc8b683203a,en,11、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON ; 12、INT. WESTON HOUSE - AFTERNOON,"What moment immediately before entering the house establishes Clara Ford, William Ford, and Jenna Ford's arrival as a physical and sensory transition into the family environment?",Clara Ford exits the car and comments on the heat,"Clara Ford opens the car door and steps out, wiping her forehead and remarking on the intense heat. William Ford follows, retrieving suitcases from the trunk as they stand in the yard, surrounded by stillness and the looming presence of the house. This moment grounds their arrival in bodily experience and environmental pressure, setting the stage for the charged familial reentry that unfolds inside.",Causal-Motivational Reasoning
legacy-en907f369c73384a6a9b4d5cc8b683203a-15,en907f369c73384a6a9b4d5cc8b683203a,en,15、INT. BATHROOM - LATE AFTERNOON ; 53、INT. DINING ROOM - AFTERNOON ; 54、INT. LIVING ROOM - AFTERNOON ; 60、INT. DOCTOR'S OFFICE/WAITING ROOM - DAY ; 74、INT. WESTON HOUSE - CONTINUOUS,How does Clara Ford progress from trying to stabilize the family crisis to seizing control of the house and finally breaking with Vivian Weston?,"She first returns as a caretaker and seeks reconciliation, then responds to the funeral conflict by leading the pill raid and claiming household authority, resists institutional control of Vivian Weston, and ultimately rejects Vivian Weston after learning how she used the family secrets and Benedict Weston's final crisis.","Scenes 16, 54, 55, 61, and 75 show caretaking, dominance, protective defiance, and final relational rupture.",Narrative Progression
legacy-en907f369c73384a6a9b4d5cc8b683203a-16,en907f369c73384a6a9b4d5cc8b683203a,en,11、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON ; 45、INT. KITCHEN/WESTON LIVING ROOM - AFTERNOON ; 49、EXT. THE BACK YARD - DAY,What pivotal moment sets in motion Clara Ford's escalating confrontations with Jenna Ford and William Ford?,Clara Ford Reacts to Jenna Ford Smoking at the Fence,"Clara Ford's encounter with Jenna Ford at the fence, where she reacts to Jenna Ford smoking, marks a critical shift in tension. This moment disrupts the fragile calm, triggering Clara Ford's direct confrontation about Jenna Ford's behavior, which then fuels her growing conflict with William Ford over family boundaries and loyalties. The incident serves as the catalyst for the subsequent emotional confrontations involving Jenna Ford's role in the gathering and the strain on Clara Ford and William Ford's relationship. [11、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON]",Narrative Progression
legacy-en907f369c73384a6a9b4d5cc8b683203a-17,en907f369c73384a6a9b4d5cc8b683203a,en,9、INT. WESTON HOUSE - DAY ; 25、INT. UPSTAIRS HALLWAY - MOMENTS LATER ; 12、INT. WESTON HOUSE - AFTERNOON,What pivotal moment sets in motion the confrontation between Clara Ford and William Ford following their arrival at the house?,Driving Through the Plains with William Ford and Clara Ford,"The journey across the plains marks a shift in tension between Clara Ford and William Ford, establishing the emotional and narrative trajectory that leads directly to their heated argument upon reaching the house. During this stretch, unresolved conflicts surface, altering their dynamic and propelling the story toward the confrontation on the back porch.",Narrative Progression
legacy-en907f369c73384a6a9b4d5cc8b683203a-18,en907f369c73384a6a9b4d5cc8b683203a,en,47、EXT. WESTON BACKYARD - AFTERNOON ; 47、EXT. WESTON BACKYARD - AFTERNOON ; 48、INT. THE WORKSHOP AT THE BACK OF THE BARN - DAY,"What pivotal event shifts the trajectory of the confrontation between Clara Ford and William Ford, leading directly to their physical and emotional standoff at the barn?",Clara Ford and William Ford Argue at the Old Barn,"The escalating tension between Clara Ford and William Ford culminates in a charged encounter at the old barn, where long-standing conflicts over responsibility, identity, and power dynamics surface. This confrontation redefines their interaction, setting off a chain of actions including pursuit, accusation, and symbolic displacement through the exchange of chairs. The argument serves as the narrative fulcrum that propels the subsequent scenes forward. [47、EXT. WESTON BACKYARD - AFTERNOON]",Narrative Progression
