id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-10,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,"23、INT. COFFEE SHOP -- LATER -- AFTERNOON ; 48、INT. ZAMMITO'S HOUSE, BEDROOM -- NIGHT",What prior action enables Julien and Zero to successfully disable the alarms and confirm entry into the house?,Sophie explains security system layout,"In a coffee shop meeting, Sophie sketches the house's security layout on a napkin, identifying an exterior alarm, a hallway motion detector, and a bedroom-located control panel. Julien assesses the exterior alarm as manageable but notes the bedroom system will be challenging. The team devises a plan to enter through the bedroom window after disabling the outside alarm, with Julien and Zero assigned to neutralize the internal systems. Sophie confirms the occupants will be away that night, creating the necessary window for the operation, and the team finalizes their roles and logistics accordingly.",Causal-Motivational Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-11,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING,What event directly prompts Julien to warn Sami about Zero's danger?,Zero enters the bar and is introduced to Sami,"When Zero arrives at the bar, he enters with a calm but intense presence, immediately fixing his gaze on Sami. Daniel introduces him tersely, and Sami attempts to lighten the mood with a joke, which falls flat and creates visible discomfort among the group. Zero shows dismissive behavior toward Sami, speaking in French before switching to English, and expresses confusion about being included if no one is to be killed—implying a readiness for violence. Julien observes the interaction and quickly intervenes, removing Sami from the situation, which leads directly to his warning about Zero’s unpredictability and lethal potential.",Causal-Motivational Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-12,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,6、INT. PEUGEOT -- CONTINUOUS ; 6、INT. PEUGEOT -- CONTINUOUS,What accusation creates the pressure that leads Raymond to take sudden control of the car?,Julien accuses Raymond of not moving the car,"As the old man approaches the Peugeot with a shotgun, Julien shouts at Raymond, blaming him for failing to move the car before they exited the house. The tension escalates inside the vehicle, with Daniel also urging Raymond to act. This moment of confrontation and blame directly precedes Raymond's abrupt physical response behind the wheel, where he forces the car into motion by crashing into the Mercedes behind them to escape the threat.",Causal-Motivational Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-13,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,41、INT. ITALIAN RESTAURANT -- EVENING ; 184、EXT. PRIVATE AIRPORT -- AFTERNOON,How does Half Tooth Tony's relationship to Bonanno evolve or persist across their interactions from the restaurant meeting to the airport assignment?,Half Tooth Tony remains a trusted enforcer who acts on Bonanno's authority,"From the Italian restaurant through the private airport, Half Tooth Tony consistently operates as a loyal associate within Bonanno's inner circle. He relays messages on Bonanno's behalf, collaborates directly with him in security matters, provides situational assessments, and follows operational directives without deviation, demonstrating a sustained role as a trusted enforcer rather than a mere subordinate.",Role-Relation Continuity
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-14,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,83、EXT. BAY VIEW MOTEL -- MORNING ; 208、EXT. ACROSS THE RIVER -- AFTERNOON,What specific role-based relationship persists between Raymond Gayet and Zero from their coordination at the Bay View Motel to the aftermath across the river?,trusted teammates who back each other,"Raymond Gayet and Zero maintain a consistent positive working relationship throughout multiple key scenes, beginning with joint decision-making under pressure at the Bay View Motel [scene 84], continuing through collaborative actions at the Holiday Hotel Suite [scene 96] and the private airport [scene 185], and culminating in their shared presence and mutual recognition of justice achieved at the river wreckage site [scene 209]. Their interactions across this span reflect sustained trust and coordination without rupture or ambiguity.",Role-Relation Continuity
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-15,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING,What event sets in motion Zero's integration into the household and initiates his quiet interrogation of Sami’s identity and role?,Zero arrives at the bar,"The arrival of Zero at the bar marks a pivotal shift in the narrative, introducing a new presence that subtly disrupts the existing dynamics. From this moment, Zero begins to observe and engage with Sami, leading to a series of unspoken inquiries into his background and function within the space. This progression culminates in Zero and Julien relocating to the side of the house, signaling a reconfiguration of territory and power. The scene establishes Zero not as an intruder but as an inevitable force of change. [13、INT. CAFE -- MORNING]",Narrative Progression
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-17,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,13、INT. CAFE -- MORNING ; 13、INT. CAFE -- MORNING ; 12、INT. BATHROOM -- CONTINUOUS -- DAY,"What event initiates the chain of confrontations and planning that follows, setting the central conflict in motion?",Sami arrives and introduces himself,"Sami's arrival at the café in the morning marks the moment he enters the narrative space and establishes contact with the existing characters. This encounter disrupts the prior equilibrium, triggering Julien's warning about Zero, prompting Sami's subsequent confrontation with Marcel, and ultimately leading the group to organize the break-in. The scene serves as the pivotal entry point for Sami, aligning his trajectory with the core plot.",Narrative Progression
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-18,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,11、INT. CAFE -- LATIN QUARTER -- DAY ; 11、INT. CAFE -- LATIN QUARTER -- DAY ; 12、INT. BATHROOM -- CONTINUOUS -- DAY,What pivotal event sets in motion the escalating confrontation between Sami and Marcel that culminates in the bar encounter and physical altercation?,Sami's Failed Escape from Marcel,"In the Latin Quarter café, Sami attempts to flee from Marcel but is intercepted before he can get away. This failed escape marks the point of no return, triggering a chain of confrontations that lead directly to the tense exchange at the bar, Sami's accusation about spreading rumors, and Marcel's violent response as he corners him against the door.",Narrative Progression
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-25,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,23、INT. COFFEE SHOP -- LATER -- AFTERNOON ; 37、INT. SOPHIE'S WAREHOUSE -- EVENING,"By the time the crew departs for the operation, what has Sami already done that signals hesitation about the plan?",questioned the timing of the operation,"In the coffee shop scene, Sami voices concern about whether the operation is being rushed, reflecting doubt about the planned timeline. This moment of pushback occurs well before the crew gathers at Sophie's warehouse to leave for the heist, establishing an early undercurrent of tension around the schedule they're following.",Temporal Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-26,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,9、INT. BASTALDI'S OFFICE -- DAY ; 14、EXT. CAFE -- DAY,"By the time Marcel joins Daniel at the limousine, what crucial detail about the crew has already been confirmed?",Bastaldi confirms Daniel and his crew speak English,"Before Marcel meets Daniel at the cafe, Bastaldi verifies in his office that Daniel and his team are capable of speaking English, ensuring they can operate effectively during the planned heist in America. This confirmation occurs in a prior scene and sets the foundation for their assignment.",Temporal Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-27,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,4、INT. HOUSE FOYER -- NIGHT ; 5、EXT. HOUSE -- NIGHT,What occurs just before Daniel and Julien make their escape to the car?,Old man regains consciousness and grabs his shotgun,"Shortly after the old man wakes up inside the house, he comes to, stumbles briefly, and reaches for his shotgun, setting off the urgency that prompts Daniel and Julien to flee. This moment directly precedes their rush to the vehicle outside.",Temporal Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-28,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,5、EXT. HOUSE -- NIGHT ; 6、INT. PEUGEOT -- CONTINUOUS,What occurs just before Raymond breaks free under fire?,Daniel and Julien run toward the street,"Shortly after escaping the house, Daniel and Julien rush toward the street as they attempt to reach the car, setting the immediate stage for the confrontation in which Raymond breaks free under fire.",Temporal Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-29,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,"47、EXT. ZAMMITO'S HOUSE, SIDE OF HOUSE -- NIGHT ; 48、INT. ZAMMITO'S HOUSE, BEDROOM -- NIGHT",What does Julien do immediately before disabling the alarms inside Zammito's house?,Places a retractable ladder against the wall,"Shortly after climbing through a window to enter the building, Julien positions a retractable ladder against the exterior wall, setting up his entry point before moving to disable the alarms from inside the bedroom.",Temporal Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-30,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,"46、EXT. ZAMMITO'S HOUSE -- NIGHT ; 47、EXT. ZAMMITO'S HOUSE, SIDE OF HOUSE -- NIGHT",What does Julien do shortly before Zero follows him through the window?,Attaches device to alarm panel,"In the scene immediately preceding Zero's pursuit, Julien disables the security system by attaching a device to the alarm panel outside Zammito's house, setting the stage for the subsequent infiltration.",Temporal Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-4,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,2、INT. DARK ROOM -- NIGHT,What does Julien's action of beating the burning curtains with the canvas reveal about his state of mind in the moment?,"He is panicked and focused solely on extinguishing the fire, acting impulsively without considering the consequences.","Julien grabs the canvas from Daniel and starts beating the burning curtains with it, swinging his arms wildly. The flames from the curtains briefly subside, but the canvas catches fire during the struggle. He doesn't notice at first, still swinging the burning painting. After a moment, he sees the flames on the canvas and stops, putting them out. Daniel stares at him in silence. He unrolls the painting and finds it ruined.",Character Understanding
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-8,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,"46、EXT. ZAMMITO'S HOUSE -- NIGHT ; 47、EXT. ZAMMITO'S HOUSE, SIDE OF HOUSE -- NIGHT",What action enables Zero to follow Julien through the window shortly afterward?,Julien and Zero move to the side of the house,"After Julien disables the alarm system, he signals to Zero and the two move quietly along the side of the house, positioning themselves near a window. This repositioning allows Julien to pry it open and enter, with Zero immediately following him inside.",Causal-Motivational Reasoning
legacy-en4cd62c1f5ee54b0aac31ae761c4dbfca-9,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,4、INT. HOUSE FOYER -- NIGHT ; 4、INT. HOUSE FOYER -- NIGHT,What action directly triggers the moment when Daniel and Julien react to the old man's fall?,Julien lights a lighter in the dark room,"In the dimly lit foyer, Daniel instructs Julien to use his lighter for visibility. When Julien ignites it, the sudden flame reveals an elderly man at the top of the stairs brandishing a shotgun, who immediately commands them to stop. This confrontation sets the stage for the subsequent fall, as the old man loses his balance and tumbles down the stairs, prompting Daniel and Julien's shocked reaction and retreat. [4、INT. HOUSE FOYER -- NIGHT]",Causal-Motivational Reasoning
task2-candidate-0a7f43726d77232e19f9,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,169、177,How does the content of the tapes evolve from being a bargaining tool to a source of personal fear for Hadley?,"Initially used by Daniel to negotiate with Bonanno, the tapes later become a personal threat when Sami records Hadley's confession and sends copies to authorities.","scene 169: Daniel plays incriminating tapes of Zammito to Bonanno, offering half in exchange for safe passage, establishing the tapes as a political bargaining tool.
scene 177: Hadley watches a video in which Sami reveals he has recorded Hadley's confession to murder and corruption and sent copies to the FBI and Chicago PD.",Narrative Progression
task2-candidate-37ce9b40baa86da93e9e,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,83、84,"Why does the group abandon plans to recover the stolen money, and what immediate threat prompts this decision?","After learning from Hadley that both Zammito and the FBI are hunting them, Sami and Daniel conclude they cannot risk returning to Sophie's place, forcing an immediate escape.","scene 83: Agent Hadley reveals the FBI knows the group's identities and warns that fleeing will bring federal and criminal forces after them.
scene 84: Sami and Daniel override Raymond's suggestion to retrieve the money, citing that Hadley will anticipate them going to Sophie's, and order immediate relocation.",Causal-Motivational Reasoning
task2-candidate-3a1cd95bd2f9e0542300,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,70、71,"How does Joey Two Tons' role shift from enforcer to subordinate during his interaction with Zammito, and what evidence shows this change in status?","Joey transitions from an enforcer entering to assist Zammito to a humiliated subordinate when Zammito assigns him a task and uses a patronizing nickname, diminishing his status.","scene 70: Joey enters to find Zammito tied up and becomes aware of the robbery, positioning him as a potential rescuer or enforcer.
scene 71: Zammito directly tasks Joey with finding the robbers and then calls him 'Papa Joey,' causing visible embarrassment, which establishes Joey in a subservient role.",Role-Relation Continuity
task2-candidate-438e46a9a600cacecb0f,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,73、81,"What causes Sami's understanding of the heist to evolve from a criminal mistake to a deliberate setup, and when does he fully recognize the betrayal?","Sami initially believes the crew robbed the wrong house, but after disarming Hadley and hearing his confession, Sami deduces they were pawns in a coordinated FBI operation.","scene 73: Sami wakes up and realizes the black canvas bag is missing, suspecting Sophie stole it, interpreting the event as a personal betrayal or theft.
scene 81: After Hadley confesses the FBI's plan and Sophie admits her role, Sami publicly declares they were set up and that they went to the right house intentionally.",Temporal Reasoning
task2-candidate-4df42fbf00f730353669,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,107、112,How does the initial rental agent's suspicion contribute to the eventual pursuit of Raymond and Julien?,"The rental agent reports the suspicious French men, which leads to Zammito identifying them and ordering surveillance, initiating the pursuit.","scene 107: The Rental Agent walks down to the end of the counter and dials a number on the phone. CAR RENTAL AGENT (into phone) I got a couple French guys here trying to rent a car. (listens) Sure. I can stall them.
scene 112: I don't know the little one, but the other guy is definitely one of them. Follow them and call me when you find out where they go.",Causal-Motivational Reasoning
task2-candidate-58da5c0da70cf207f2dd,en4cd62c1f5ee54b0aac31ae761c4dbfca,en,83、85,"How does Agent Hadley's role transform from law enforcement agent to self-interested opportunist, and what triggers this shift?","After learning the tapes can be used to blackmail Zammito, Hadley abandons his FBI mission and decides to sell them for personal profit, initiating a rogue scheme.","scene 83: Hadley identifies the group members by name and warns them that both the FBI and Zammito will pursue them, acting within his official capacity.
scene 85: Hadley declares the tapes are 'gold' and that Zammito would pay to get them back, shifting his goal from justice to personal financial gain.",Temporal Reasoning
