id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-10,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,10、小巷，夜，内 ; 24、小巷，夜，内,在[小巷，夜，内]场景中，是什么更早的行动促使韩青最终下令迁走蔡青父亲的坟？,韩青带领村民持工具前往坟地并坚持推进迁坟,韩青在前往坟地途中确认款项已付，并排除了暂缓迁坟的建议，表现出明确的推进意图，这一系列行动为后续下令迁坟并抬走蔡青父亲提供了直接动因。,Causal-Motivational Reasoning
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-12,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,8、医院，日，外 ; 3、韩青家，日，内,从[医院，日，外]到[韩青家，日，内]，徐泽和邢然之间的互动关系经历了怎样的转变？,从持续对抗转变为共同劳作的伙伴,最初徐泽强行翻找邢然的衣物，引发肢体拉扯和言语冲突，显示双方处于对立状态；后续在站有初步对话交流，关系开始松动；最终两人一同做针线活，表现出合作与共处的稳定正向关系。转变过程由对抗经沟通逐步发展为协作。,Role-Relation Continuity
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-13,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,5、乡间公路，日，外 ; 49、韩青家楼下，日，外,从[5、乡间公路，日，外]到[49、韩青家楼下，日，外]，韩青与徐泽之间的互动关系如何演变？,从信任合作转变为公开对抗与控制,最初在乡间公路场景中，韩青让徐泽帮忙拿礼盒，徐泽虽有疑虑仍配合，显示家庭成员间的信任与协作；而在韩青家楼下场景中，双方爆发激烈争执，韩青以断绝关系相威胁阻止徐泽搬离，表现出压制与敌意，徐泽则以行动和言语反抗，关系已转为对立与控制。,Role-Relation Continuity
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-14,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,38、乡村站，日，外 ; 18、韩青家，夜，内,从韩青在站咨询婚姻证明到胡铭最终登门办理手续，两人之间的互动关系经历了怎样的转变？,从最初寻求帮助的协作关系转变为后期因推诿产生的敌对，最终恢复为完成事务后的友好互动,韩青最初向胡铭咨询婚姻证明事宜，双方处于基于事务协助的正向互动；中期因胡铭推诿职责，关系转为敌对；最终在韩青家中，胡铭上门办理手续并友好道别，关系回归积极状态。这一演变体现了角色关系随事务进展而发生的波折与修复。,Role-Relation Continuity
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-15,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,21、乡下村口，日，外 ; 39、站，日，内 ; 43、公交车，日，外,哪一个事件直接引发了后续徐泽接连质问邢然关于改嫁与林念往事，并索要干衣服翻找衣柜的一系列行为？,徐泽冒雨敲门求见邢然,该事件标志着徐泽主动打破隔阂，进入邢然的生活空间，其湿冷狼狈的状态和突然出现成为触发后续情感追问与物品索求的直接导因，推动剧情从外部环境转入家庭记忆的深层冲突。,Narrative Progression
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-16,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,49、韩青家楼下，日，外 ; 49、韩青家楼下，日，外 ; 17、图书馆，日，内,哪一个事件直接触发了韩青在女儿离去后的情感崩溃，并引发后续读信、争执与迁坟冲突的连锁发展？,徐泽收拾行李离家出走，与母亲韩青激烈争执,该争执标志着母女关系的彻底破裂，使韩青陷入孤立与情感失控，成为后续一系列回忆、情绪爆发与家庭矛盾升级的导火索。,Narrative Progression
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-17,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,8、医院，日，外 ; 10、小巷，夜，内 ; 5、乡间公路，日，外,哪一个行动直接促成了韩青随后组织迁坟、向徐泽赠礼盒感慨女性处境以及指挥村民移走蔡青父亲坟墓的一系列发展？,韩青献礼盒请求邢然同意迁坟,该事件标志着韩青从被动承受压力转向主动推进迁坟计划的关键一步。她通过向邢然献礼盒表达尊重与妥协，试图以礼法手段取得迁坟的合法性，从而撬动后续一系列行动的展开。这一举动既维持了表面的宗族秩序，又实质性地突破了阻力，成为剧情推进的枢纽。,Narrative Progression
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-18,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,17、图书馆，日，内 ; 49、韩青家楼下，日，外 ; 49、韩青家楼下，日，外,哪一个事件成为后续徐泽决定离家出走、母女激烈冲突，以及韩青独自面对母亲遗像情绪崩溃的叙事转折点？,韩青回房回避争执，徐泽向父亲诉委屈,该事件标志着母女沟通的彻底断裂：韩青选择回避而非面对冲突，徐泽转而向父亲寻求情感支持，这一行为链直接触发了家庭矛盾的公开爆发与后续情感溃堤。,Narrative Progression
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-25,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,10、小巷，夜，内 ; 16、教室，日，内,在刘墤追问迁坟事、韩青急寻徐泽之前，韩青在小巷夜戏中为母亲上香这一举动，反映出她与徐泽之间怎样的角色关系？,保护者/被保护者,上香行为体现韩青对家族传统的重视，为后续保护徐泽应对舆论危机提供动机支撑。,Temporal Reasoning
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-26,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,15、学校，日，外 ; 35、医院，夜，内,在韩青分发问题卡片时龙卓打哈欠这一幕之前，已经发生的那个直接影响他状态的关键事件是什么？,龙卓与同学在教室打闹,龙卓在教室与同学打闹的场景早于韩青分发卡片的情节，该行为展现了他当时的活跃状态，为后续疲惫表现提供对比依据，两场景间存在明确的时间与行为延续性。,Temporal Reasoning
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-27,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,35、医院，夜，内 ; 36、浴室，夜，外,在“徐泽与邢然在坟前扎篱笆时谈起母亲”之前，徐泽先意识到了什么关键一点？,徐泽在浴缸中讲述李涵遗言时敲窗确认邢然是否在听,徐泽在浴室向邢然讲述李涵遗言时，通过敲窗动作确认对方是否在倾听，这一行为发生在两人后续在坟前谈母亲之前，构成对后续对话情感基调的铺垫。,Temporal Reasoning
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-28,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,21、乡下村口，日，外 ; 8、医院，日，外,“徐泽冒雨敲门求见邢然”之后不久，紧接着发生了什么？,徐泽开始脱衣服,徐泽冒雨抵达邢然家外，因浑身湿透感到寒冷，随即在屋外开始脱衣取暖，这一行为发生在进入医院门前的短暂时间内，情节紧接前一场景，具有明确的时间顺承关系。,Temporal Reasoning
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-29,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,16、教室，日，内 ; 17、图书馆，日，内,“徐泽询问母亲是否会与邢然打官司”之后不久，紧接着发生了什么？,抱着信盒走向卧室,在徐泽提出关于打官司的敏感问题后，母亲韩青未作正面回应，而是选择回避冲突。她随即离开当前场景，携带信盒进入卧室，这一动作标志着家庭矛盾开始转向隐性压抑的处理方式。,Temporal Reasoning
legacy-chec4732423c118aa09eb74002dbdbd703a266b0cc-30,chec4732423c118aa09eb74002dbdbd703a266b0cc,zh,8、医院，日，外 ; 35、医院，夜，内,在“徐泽在浴缸中洗澡并叫住邢然”之前，前面先发生了什么关键情节？,医院，日，外,该动作发生在目标场景的前一场，时间上紧接且空间一致，构成对后续情节的前置铺垫。,Temporal Reasoning
