id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-end1e9449b581f407491eab2f5742a7478-10,end1e9449b581f407491eab2f5742a7478,en,40、INT. LIVING ROOM OF MABEL DAWSON'S STUDIO ; 43、INT. LONGFELLOW'S BEDROOM,What event immediately enables Longfellow's reflective moment after the phone call?,Mabel answering the phone and handing it to Babe,"The phone rings in Mabel Dawson's studio, where she answers and speaks briefly before recognizing the caller as 'the Cinderella Man.' She calls Babe over and hands her the phone, initiating the conversation that culminates in Longfellow finishing the call and reflecting quietly in his bedroom.",Causal-Motivational Reasoning
legacy-end1e9449b581f407491eab2f5742a7478-11,end1e9449b581f407491eab2f5742a7478,en,1、INT. LONGFELLOW'S LIVING ROOM ; 13、INT. LONGFELLOW'S BEDROOM,What event introduces the legal team in a way that prompts Longfellow’s later skepticism about Cedar’s offer of power of attorney?,Mrs. Meredith re-enters the room with Mr. Deeds,"When Mrs. Meredith returns with Longfellow Deeds, she announces the arrival of waiting visitors, leading to Cedar’s formal introduction along with his associates from the law firm Cedar, Cedar, Cedar and Budington. Deeds responds with polite but pointed humor, immediately noting the oddity of the firm’s name and subtly signaling his discomfort with their presence. This initial encounter establishes a tone of wariness, as Deeds appears unsettled by the group’s self-presentation and their unsolicited offer of services, which later surfaces when he questions Cedar’s motives in proposing the power of attorney.",Causal-Motivational Reasoning
legacy-end1e9449b581f407491eab2f5742a7478-13,end1e9449b581f407491eab2f5742a7478,en,23、INT. TULLIO'S ; 26、INT. LONGFELLOW'S BEDROOM,What event prompts Longfellow to recall Miss Dawson and decide to apologize?,Longfellow leaves the table with Babe amid group silence,"After a tense confrontation at Tullio's, where Longfellow storms off with Babe following a physical altercation with Brookfield and Henaberry, he is escorted out by staff as the group reacts in shock. This incident, marked by public outburst and abrupt departure, sets in motion his later reflection. In the aftermath, while recovering from intoxication in his bedroom, Longfellow suddenly remembers Miss Dawson—noticing a gap in his memory about how she was treated—and feels compelled to make amends, linking his current remorse to the emotional fallout of leaving the gathering under such strained circumstances.",Causal-Motivational Reasoning
legacy-end1e9449b581f407491eab2f5742a7478-14,end1e9449b581f407491eab2f5742a7478,en,13、INT. LONGFELLOW'S BEDROOM ; 17、INT. LONGFELLOW'S BEDROOM,What event immediately prior to Longfellow's rejection of the settlement explains his decision to have Hallor removed from the house?,Butler announces Hallor's arrival,"The butler announces Hallor's arrival, prompting Longfellow to override Cedar's attempt to redirect the meeting to the office. Hallor enters and immediately asserts Mrs. Semple's claim to the estate, revealing the existence of a child and framing the matter as both legal and moral. Longfellow reacts with silence followed by moral outrage, declaring that Mrs. Semple should inherit everything and renouncing his own claim. Cedar urges caution, but Longfellow’s attitude shifts decisively during this first encounter, setting the stage for his later refusal to entertain any settlement and his abrupt dismissal of Hallor.",Causal-Motivational Reasoning
legacy-end1e9449b581f407491eab2f5742a7478-15,end1e9449b581f407491eab2f5742a7478,en,5、INT. TRAIN DRAWING ROOM ; 17、INT. LONGFELLOW'S BEDROOM ; 26、INT. LONGFELLOW'S BEDROOM,What pivotal event shifts the narrative toward Longfellow's confrontation with Cobb and his rejection of Cedar's offer?,Cedar and Cobb Reassure Longfellow After His Inheritance,"In the wake of Longfellow's inheritance, a critical moment unfolds during a private train journey where Cedar and Cobb work to calm his suspicions, temporarily stabilizing his trust. This reassurance sets in motion a chain of disclosures and reckonings, ultimately leading to Cobb's confession of deception, public backlash through telegrams and newspaper outrage, and Longfellow's decisive refusal of Cedar's offer as he demands full financial transparency. [scene: 5、INT. TRAIN DRAWING ROOM]",Narrative Progression
legacy-end1e9449b581f407491eab2f5742a7478-16,end1e9449b581f407491eab2f5742a7478,en,0、EXT. A STATION ; 0、EXT. A STATION ; 3、EXT. STATION,"What event initiates the chain of actions in which Cedar and Cobb question the rail agent, report Longfellow missing, and later reassure him about his inheritance?",Arrival in Mandrake Falls,"The arrival in Mandrake Falls marks the protagonists' entry into the central setting, triggering their investigation into Longfellow's circumstances. This moment sets in motion their interactions with local figures, including the rail agent, and establishes the conditions necessary for the subsequent discovery and reassurance regarding Longfellow's inheritance. [0、EXT. A STATION]",Narrative Progression
legacy-end1e9449b581f407491eab2f5742a7478-17,end1e9449b581f407491eab2f5742a7478,en,23、INT. TULLIO'S ; 24、INT. FOYER OF TULLIO'S ; 24、INT. FOYER OF TULLIO'S,What pivotal event shifts the narrative trajectory toward Longfellow distancing himself from Morrow and asserting control over his public engagements?,Longfellow Confronts the Poets,"In the wake of growing tensions between Longfellow and the younger literary circle, the confrontation at Tullio's serves as a decisive moment where Longfellow asserts his autonomy, reshaping his relationship with Morrow and setting in motion a series of actions that include rejecting invitations, withdrawing from social overtures, and tightening control over his personal and professional boundaries. [scene: 23、INT. TULLIO'S]",Narrative Progression
legacy-end1e9449b581f407491eab2f5742a7478-18,end1e9449b581f407491eab2f5742a7478,en,21、EXT. FRONT OF HOUSE ; 36、EXT. ROOF OF TALL BUILDING - NIGHT ; 23、INT. TULLIO'S,"What pivotal event shifts the trajectory of Babe and Longfellow's relationship, setting in motion the sequence leading to their deeper connection at the Poets' Table and the musical duet under the moonlight?",Babe Refuses Longfellow's Help After Fainting,"After Babe faints during a tense moment outside the house, Longfellow offers assistance, but Babe pointedly refuses, marking a critical shift in their dynamic. This rejection disrupts the existing tension between them and initiates a chain of interactions that ultimately draw them closer, paving the way for their eventual alignment in purpose and emotion. [scene: 21、EXT. FRONT OF HOUSE]",Narrative Progression
legacy-end1e9449b581f407491eab2f5742a7478-25,end1e9449b581f407491eab2f5742a7478,en,21、EXT. FRONT OF HOUSE ; 36、EXT. ROOF OF TALL BUILDING - NIGHT,"By the time Babe confronts the rumors on the rooftop, what has already happened after her collapse?",Babe Bennett apologizes and attempts to stand,"After fainting at the front of the house, Babe Bennett regains consciousness and tries to recover her composure by apologizing and getting back on her feet, setting the stage for her later confrontation with the rumors circulating about her, which unfolds on the roof of a tall building.",Temporal Reasoning
legacy-end1e9449b581f407491eab2f5742a7478-26,end1e9449b581f407491eab2f5742a7478,en,"11、INT. EDITOR'S OFFICE, DAILY MAIL ; 25、INT. MAC'S OFFICE","By the time Babe hides out and continues the deception, what has already happened between her and Editor Mac?",Editor Mac expresses disappointment in Babe Bennett,"Before Babe retreats to maintain her cover, Editor Mac confronts her in his office, voicing clear disappointment in her journalistic performance, which sets the emotional and narrative stage for her subsequent isolation and continued deception. The interaction establishes a rift that influences her decisions moving forward.",Temporal Reasoning
