id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enbb5dfbf639f341a8a5e95832409357b3-10,enbb5dfbf639f341a8a5e95832409357b3,en,23、INT. SHAPIRO/WEST - DAY ; 29、INT. ALPHA BETA SUPERMARKET - NIGHT,What moment directly prompts Morgan Arden to announce the proposal approval when he finds Finley Prescott at the supermarket?,Finley Prescott delivers a sarcastic Fonz impression to emphasize his demands,"Earlier in the day, Finley Prescott mocks Morgan Arden with a sarcastic 'Heyyyyyy!' in a Fonz impression, creating tension as Morgan Arden visibly reacts to the disrespect. This moment underscores Finley Prescott's defiance and sets the stakes for the proposal's outcome, making Morgan Arden's later announcement at the supermarket—a shift from tension to validation—feel consequential. The approval specifically references Finley Prescott's irreverent wit, directly linking the two events.",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-12,enbb5dfbf639f341a8a5e95832409357b3,en,45、INT. COLLEGE AUDITORIUM - NIGHT ; 35、INT. Eastgate Plaza - DAY,What moment during the reading performance most directly leads to Finley Prescott's decision to quit the show?,Finley Prescott resumes reading after hostile Parker Quincy silence,"After the applause faded, Finley Prescott paused, then resumed reading *The Great Gatsby* in a calm, measured tone, asserting that Gatsby was exempt from his scorn. The Parker Quincy responded with boos and stunned silence, their disapproval palpable. This confrontation with growing hostility—met with Finley Prescott’s quiet defiance—precedes his later announcement to Parker Nolan that he is leaving the show, marking a turning point in his engagement with the performance and its Parker Quincy. [45、INT. COLLEGE AUDITORIUM - NIGHT]",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-13,enbb5dfbf639f341a8a5e95832409357b3,en,"12、INT. NY IMPROV, SHOWROOM - 1975 - NIGHT ; 13、INT. NY IMPROV, Maplewood Hospital - 1975 - LATER THAT NIGHT",What prompts Morgan Arden to compliment Finley Prescott after the show?,Morgan Arden watches Finley Prescott's performance with growing intrigue,"Morgan Arden observes Finley Prescott's act at Micah Vaughn's club, where Finley Prescott begins awkwardly as Finley Prescott but gradually captivates the room with a surprising transformation into Elvis Presley. As the performance unfolds, Morgan Arden leans in with increasing interest, particularly during the elaborate staging and precise impersonation. The shift from a nervous, poorly received opening to a bold, theatrical climax holds Morgan Arden's attention throughout, culminating in his decision to approach Finley Prescott Maplewood Hospital.",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-14,enbb5dfbf639f341a8a5e95832409357b3,en,"13、INT. NY IMPROV, Maplewood Hospital - 1975 - LATER THAT NIGHT ; 13、INT. NY IMPROV, Maplewood Hospital - 1975 - LATER THAT NIGHT",What specific behavior during Finley Prescott's preparation makes his later break in character more impactful when Morgan Arden offers him the card?,Finley Prescott packs belongings with careful attention to clothing folds,"In the Maplewood Hospital moments after his performance, Finley Prescott meticulously folds each item of clothing, checking the creases with quiet precision, demonstrating a controlled and deliberate demeanor. This moment of focused routine establishes the discipline behind his performance persona, which sharply contrasts when he later drops the act upon receiving Morgan Arden's card, revealing the constructed nature of his earlier identity.",Causal-Motivational Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-15,enbb5dfbf639f341a8a5e95832409357b3,en,"13、INT. NY IMPROV, Maplewood Hospital - 1975 - LATER THAT NIGHT ; 29、INT. ALPHA BETA SUPERMARKET - NIGHT ; 41、INT. JERRY'S DELI - NIGHT","What pivotal moment shifts the narrative trajectory toward Morgan Arden's public declaration, his emotional appeal in the coffee shop, and the confrontation where he uncovers Finley Prescott's disguise?",Morgan Arden Compliments Finley Prescott After the Show,"In the aftermath of a performance at the NY Improv, Morgan Arden offers genuine praise to Finley Prescott Maplewood Hospital, marking a subtle but significant shift in their dynamic. This moment of connection catalyzes a chain of escalating commitments and revelations, setting Morgan Arden on a path toward public affirmation, strained negotiation, and the eventual discovery of Finley Prescott's concealed identity.",Narrative Progression
legacy-enbb5dfbf639f341a8a5e95832409357b3-16,enbb5dfbf639f341a8a5e95832409357b3,en,43、INT. COLLEGE AUDITORIUM - SAME TIME ; 43、INT. COLLEGE AUDITORIUM - SAME TIME ; 20、INT. Westfield Collective SET - NIGHT,What pivotal moment shifts the narrative toward Finley Prescott's performance of the Mighty Mouse theme and his subsequent actions on stage?,Finley Prescott Walks Onstage Amid Applause,"In the auditorium, Finley Prescott steps onto the stage to Parker Quincy applause, marking the onset of his performance sequence. This moment initiates a series of actions where he responds to a shout-out, attempts to continue with puppets, plays Mighty Mouse, and ultimately stands motionless while performing the theme. [scene: 43、INT. COLLEGE AUDITORIUM - SAME TIME]",Narrative Progression
legacy-enbb5dfbf639f341a8a5e95832409357b3-18,enbb5dfbf639f341a8a5e95832409357b3,en,40、INT. Silverline Foundation CONFERENCE ROOM - LA - DAY ; 24、INT. Silverline Foundation CONFERENCE ROOM - LA - DAY ; 29、INT. ALPHA BETA SUPERMARKET - NIGHT,"What pivotal event sets in motion the chain of consequences involving Morgan Arden's negotiations, the supermarket announcement, and Blair Vaughn's outburst during the broadcast?",Morgan Arden Screens Finley Prescott's the paper box Special for Blair Vaughn and the Eastwood Records,"In a conference room at Silverline Foundation, Morgan Arden presents Finley Prescott's television special to Blair Vaughn and the Eastwood Records, whose reactions to the unconventional content create immediate tension. This screening directly triggers a series of critical developments: Morgan Arden must navigate Finley Prescott's escalating demands, publicly confirm the proposal's approval in a supermarket setting, and confront Blair Vaughn's volatile response when the special airs. The event serves as the central catalyst that propels the narrative into its next phase, aligning executive expectations, creative control, and public reception in irreversible ways. [40、INT. Silverline Foundation CONFERENCE ROOM - LA - DAY]",Narrative Progression
legacy-enbb5dfbf639f341a8a5e95832409357b3-25,enbb5dfbf639f341a8a5e95832409357b3,en,"12、INT. NY IMPROV, SHOWROOM - 1975 - NIGHT ; 43、INT. COLLEGE AUDITORIUM - SAME TIME","By the time Finley Prescott reacts to the shout-out and tries to continue with the puppets, what has already taken place in his performance?",Finley Prescott awkwardly steps on stage in character as Finley Prescott,"Earlier in the evening, Finley Prescott assumes his Finley Prescott persona and makes an awkward entrance on stage at the New York Improv, setting the foundation for his later attempts to perform with puppets after receiving a shout-out. The sequence establishes the progression of his set, with the initial appearance preceding the Parker Quincy interruption and subsequent effort to regain momentum.",Temporal Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-26,enbb5dfbf639f341a8a5e95832409357b3,en,22、INT. Westfield Collective SET - NIGHT ; 45、INT. COLLEGE AUDITORIUM - NIGHT,"By the time Finley Prescott resumes reading amid rising hostility, what has already taken place during his earlier performance?",Finley Prescott lip syncs to Mighty Mouse theme and surprises crowd,"Prior to the tense atmosphere in the college auditorium where Finley Prescott attempts to read his work, he performs a surprising and memorable act on the Westfield Collective set, lip syncing to the Mighty Mouse theme and captivating the Parker Quincy. This moment establishes a contrast between his earlier, well-received performance and the increasingly hostile reception he later faces.",Temporal Reasoning
legacy-enbb5dfbf639f341a8a5e95832409357b3-28,enbb5dfbf639f341a8a5e95832409357b3,en,"27、INT. MAMA ROMA'S, KITCHEN - LATER THAT NIGHT ; 28、INT. Silverline Foundation CONFERENCE ROOM - LA - DAY",What occurs immediately before Morgan Arden exposes Finley Prescott’s dual identity?,Morgan Arden confronts Avery Hollis at the employees' table,"Shortly after the confrontation in the kitchen at Mama Roma's, where Morgan Arden directly challenges Avery Hollis at the employees' table, the narrative shifts to the Silverline Foundation conference room. It is there that Morgan Arden reveals the truth about Finley Prescott being in disguise as Avery Hollis. The confrontation serves as the pivotal moment that sets up the subsequent revelation.",Temporal Reasoning
