id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
legacy-enec3061f1b9d346fa84285a8f3eb111ba-10,enec3061f1b9d346fa84285a8f3eb111ba,en,22、INT. SAM'S FLAT NIGHT ; 22、INT. SAM'S FLAT NIGHT,What event immediately enables Tuttle to begin repairing the heater and ultimately escape across the void?,Mysterious voice instructs Sam to drop the phone and raise his hands,"Sam answers a ringing phone, responding groggily, when a sharp voice commands him to put the phone down and raise his hands. As he hesitates, he hears a noise at the kitchen door and turns to see a blurred movement. The voice speaks again—now clearly from behind him—and Sam whirls around to find Tuttle standing in the room, holding a telephone receiver and aiming a gun at him. After Sam complies, Tuttle places the receiver in a bag, pockets his weapon, and inspects the apartment. Only after securing the space does he introduce himself as a heating engineer and begin working on the system, setting in motion his eventual repair of the heater and escape across the void on a rope to a neighboring building.",Causal-Motivational Reasoning
legacy-enec3061f1b9d346fa84285a8f3eb111ba-12,enec3061f1b9d346fa84285a8f3eb111ba,en,13、EXT. SKY DAY ; 132、EXT. MAZE-LIKE DARK PASSAGES NIGHT,How does Sam Lowry's relationship with the Forces of Darkness evolve from their initial confrontation to the final pursuit through the maze-like passages?,Sam Lowry consistently treats the Forces of Darkness as active adversaries,"From the early aerial confrontation where Sam bars their path and they draw swords, through multiple encounters in the stone ship where he physically struggles against them and is overwhelmed, to the final sequence in the maze-like dark passages where they close in on him without possibility of escape, Sam Lowry maintains an adversarial stance toward the Forces of Darkness, meeting each encounter with direct resistance and combat readiness.",Role-Relation Continuity
legacy-enec3061f1b9d346fa84285a8f3eb111ba-13,enec3061f1b9d346fa84285a8f3eb111ba,en,21、EXT. DARKNESS NIGHT ; 104、EXT. MINISTRY OF INFORMATION RETRIEVAL NIGHT,How does Sam Lowry's relationship with the Giant Samurai Warrior remain consistent from their first encounter through the confrontation at the Ministry of Information Retrieval?,Sam Lowry treats the Giant Samurai Warrior as an adversarial force throughout,"From the initial appearance of the Giant Samurai Warrior in the darkness, Sam reacts with fear and physical resistance, establishing a hostile dynamic. This adversarial pattern continues at the Ministry of Information Retrieval, where the Giant blocks Sam's path and the two engage in direct physical conflict. Sam's actions—confronting, attacking, and ultimately removing the Giant's mask—are framed within a context of opposition and struggle, maintaining a consistent negative and combative relationship without indication of alliance, neutrality, or shift in stance.",Role-Relation Continuity
legacy-enec3061f1b9d346fa84285a8f3eb111ba-14,enec3061f1b9d346fa84285a8f3eb111ba,en,18、INT. POSH RESTAURANT (ENTRANCE) DAY ; 97、INT. LINGERIE DEPARTMENT/SHOPPING CENTRE,How does the working relationship between Mrs. Terrain and Shirley evolve from their initial interaction to their later collaboration?,Shirley transitions from a shy subordinate to an attentive attendant and companion,"In their first encounter, Shirley speaks timidly and defers to Mrs. Terrain, who responds with protective guidance, suggesting a momentary dynamic of care and hesitation. By the later scene, Shirley is actively pushing Mrs. Terrain's wheelchair and engaging in familiar conversation, reflecting an established, cooperative bond where she serves as both attendant and companion. The shift indicates a deepening of roles from tentative interaction to consistent, supportive partnership.",Role-Relation Continuity
legacy-enec3061f1b9d346fa84285a8f3eb111ba-16,enec3061f1b9d346fa84285a8f3eb111ba,en,27、EXT. BUTTLE FLATS DAY ; 34、INT. JILL'S FLAT DAY ; 29、INT. CORRIDOR DAY,What event marks the turning point that sets into motion Sam's confrontation with the collapsing reality of the housing tower and Jill's escape?,SAM Arrives at the Housing Tower,"Sam's arrival at the housing tower initiates a chain of escalating disturbances, including the explosion of a car, Jill's flight with a suitcase, the darkened hallway, and the final closing door, all of which follow directly from his presence and investigation at the site [27、EXT. BUTTLE FLATS DAY].",Narrative Progression
legacy-enec3061f1b9d346fa84285a8f3eb111ba-17,enec3061f1b9d346fa84285a8f3eb111ba,en,49、INT. 30TH FLOOR CORRIDOR DAY ; 49、INT. 30TH FLOOR CORRIDOR DAY ; 49、INT. 30TH FLOOR CORRIDOR DAY,What pivotal event initiates Sam's shift from passive observation to active pursuit in the corridor sequence?,Sam Exits Elevator as a Strange Sound Approaches,"As Sam leaves the elevator onto the 30th floor, an uncanny sound builds in the hallway, altering the atmosphere and prompting a series of actions where Sam refrains from joining the passing crowd, then begins to follow their movement toward the stairs. This moment marks the first deviation from routine and sets in motion Sam's physical and narrative trajectory through the unfolding event. [49、INT. 30TH FLOOR CORRIDOR DAY]",Narrative Progression
legacy-enec3061f1b9d346fa84285a8f3eb111ba-18,enec3061f1b9d346fa84285a8f3eb111ba,en,22、INT. SAM'S FLAT NIGHT ; 22、INT. SAM'S FLAT NIGHT ; 29、INT. CORRIDOR DAY,"What event initiates the sequence in which Sam confronts Tuttle during a mysterious phone call, observes the darkened hallway, and deals with a malfunctioning alarm?",Sam Wakes to Dripping Water and a Ringing Phone,"The narrative shifts into motion when Sam awakens in his flat at night to the sound of dripping water and a ringing phone, setting off a chain of urgent actions and encounters. This moment disrupts the stillness and propels Sam into a series of tense, interconnected events involving surveillance, confusion, and escalating system failures. [22、INT. SAM'S FLAT NIGHT]",Narrative Progression
legacy-enec3061f1b9d346fa84285a8f3eb111ba-25,enec3061f1b9d346fa84285a8f3eb111ba,en,24、INT. KURTZMAN'S OFFICE DAY ; 37、INT. RECORD CLERKS POOL DAY,"By the time Kurtzman and Sam confront the missing transporter and Buttle's cheque, what has Sam already done to initiate the chain of events?",SAM operates the vacuum tube system to retrieve documents,"Before the issue of the missing transporter and Buttle's cheque comes to light, Sam takes initiative by using the vacuum tube system to retrieve key documents, setting in motion the sequence that leads to the later confrontation in the record clerks' pool. This action occurs in Kurtzman's office and establishes Sam's active role in uncovering the administrative discrepancies.",Temporal Reasoning
legacy-enec3061f1b9d346fa84285a8f3eb111ba-26,enec3061f1b9d346fa84285a8f3eb111ba,en,9、INT. BUTTLE SITTING-ROOM NIGHT ; 30、INT. BUTTLE SITTING ROOM DAY,"By the time Mrs Buttle inquires about her husband's body, what administrative act has already taken place in her home?",Official collects signatures from Mrs Buttle for receipt books,"Prior to Mrs Buttle seeking information about her husband's remains, a bureaucratic official visited her residence to process paperwork, requiring her signature on receipt books as part of a procedural formality, establishing the impersonal machinery of the system that governs her loss [scene: 10, 9、INT. BUTTLE SITTING-ROOM NIGHT].",Temporal Reasoning
legacy-enec3061f1b9d346fa84285a8f3eb111ba-27,enec3061f1b9d346fa84285a8f3eb111ba,en,46、INT. MOTHER'S FLAT NIGHT ; 47、INT. BATHROOM NIGHT,"What occurs just before Sam agrees to the transfer, setting up the shift in his circumstances?",Flunky searches Sam upon entry,"Shortly after Sam arrives at his mother's celebration, he is searched by Flunky at the entrance, an act that underscores the heightened scrutiny he faces. This moment directly precedes his decision to accept the transfer to Information Retrieval, establishing a chain of control and compliance that shapes his next move.",Temporal Reasoning
